Year,SeriesCode,Country,Value
2019,VC_DSR_OBDN,Australia,287268
2020,VC_DSR_OBDN,Australia,257797
2021,VC_DSR_OBDN,Australia,44897
2018,VC_DSR_OBDN,Austria,22
2020,VC_DSR_OBDN,Austria,13
2018,VC_DSR_OBDN,Armenia,4
2019,VC_DSR_OBDN,Armenia,34
2020,VC_DSR_OBDN,Armenia,24
2021,VC_DSR_OBDN,Armenia,29
2007,VC_DSR_OBDN,Bulgaria,1
2011,VC_DSR_OBDN,Bulgaria,1
2012,VC_DSR_OBDN,Bulgaria,6
2013,VC_DSR_OBDN,Bulgaria,1
2014,VC_DSR_OBDN,Bulgaria,5
2015,VC_DSR_OBDN,Bulgaria,11
2016,VC_DSR_OBDN,Bulgaria,5
2017,VC_DSR_OBDN,Bulgaria,0
2018,VC_DSR_OBDN,Bulgaria,34
2020,VC_DSR_OBDN,Bulgaria,6
2021,VC_DSR_OBDN,Bulgaria,69
2015,VC_DSR_OBDN,Belarus,0
2016,VC_DSR_OBDN,Belarus,0
2017,VC_DSR_OBDN,Belarus,0
2018,VC_DSR_OBDN,Belarus,0
2019,VC_DSR_OBDN,Belarus,0
2020,VC_DSR_OBDN,Belarus,0
2021,VC_DSR_OBDN,Belarus,0
2005,VC_DSR_OBDN,Chile,0
2006,VC_DSR_OBDN,Chile,0
2007,VC_DSR_OBDN,Chile,0
2008,VC_DSR_OBDN,Chile,0
2009,VC_DSR_OBDN,Chile,0
2010,VC_DSR_OBDN,Chile,1
2011,VC_DSR_OBDN,Chile,0
2012,VC_DSR_OBDN,Chile,0
2013,VC_DSR_OBDN,Chile,0
2014,VC_DSR_OBDN,Chile,0
2015,VC_DSR_OBDN,Chile,5
2016,VC_DSR_OBDN,Chile,3
2017,VC_DSR_OBDN,Chile,6
2018,VC_DSR_OBDN,Chile,0
2019,VC_DSR_OBDN,Chile,0
2020,VC_DSR_OBDN,Chile,0
2021,VC_DSR_OBDN,Chile,0
2005,VC_DSR_OBDN,Colombia,51
2006,VC_DSR_OBDN,Colombia,39
2007,VC_DSR_OBDN,Colombia,27
2008,VC_DSR_OBDN,Colombia,78
2009,VC_DSR_OBDN,Colombia,46
2010,VC_DSR_OBDN,Colombia,193
2011,VC_DSR_OBDN,Colombia,171
2012,VC_DSR_OBDN,Colombia,229
2013,VC_DSR_OBDN,Colombia,104
2014,VC_DSR_OBDN,Colombia,116
2015,VC_DSR_OBDN,Colombia,85
2016,VC_DSR_OBDN,Colombia,103
2017,VC_DSR_OBDN,Colombia,122
2018,VC_DSR_OBDN,Colombia,102
2019,VC_DSR_OBDN,Colombia,222
2020,VC_DSR_OBDN,Colombia,141
2021,VC_DSR_OBDN,Colombia,513
2005,VC_DSR_OBDN,Costa Rica,10
2006,VC_DSR_OBDN,Costa Rica,3
2007,VC_DSR_OBDN,Costa Rica,7
2008,VC_DSR_OBDN,Costa Rica,9
2009,VC_DSR_OBDN,Costa Rica,8
2010,VC_DSR_OBDN,Costa Rica,3
2011,VC_DSR_OBDN,Costa Rica,0
2012,VC_DSR_OBDN,Costa Rica,3
2013,VC_DSR_OBDN,Costa Rica,0
2014,VC_DSR_OBDN,Costa Rica,2
2015,VC_DSR_OBDN,Costa Rica,3
2016,VC_DSR_OBDN,Costa Rica,6
2017,VC_DSR_OBDN,Costa Rica,6
2018,VC_DSR_OBDN,Costa Rica,2
2019,VC_DSR_OBDN,Costa Rica,2
2020,VC_DSR_OBDN,Costa Rica,2
2021,VC_DSR_OBDN,Costa Rica,261
2017,VC_DSR_OBDN,Croatia,144
2005,VC_DSR_OBDN,Estonia,1
2006,VC_DSR_OBDN,Estonia,0
2007,VC_DSR_OBDN,Estonia,0
2008,VC_DSR_OBDN,Estonia,0
2009,VC_DSR_OBDN,Estonia,0
2010,VC_DSR_OBDN,Estonia,1
2011,VC_DSR_OBDN,Estonia,1
2012,VC_DSR_OBDN,Estonia,0
2013,VC_DSR_OBDN,Estonia,0
2014,VC_DSR_OBDN,Estonia,0
2015,VC_DSR_OBDN,Estonia,0
2016,VC_DSR_OBDN,Estonia,0
2017,VC_DSR_OBDN,Estonia,0
2018,VC_DSR_OBDN,Estonia,0
2015,VC_DSR_OBDN,Finland,22
2016,VC_DSR_OBDN,Finland,20
2017,VC_DSR_OBDN,Finland,16
2018,VC_DSR_OBDN,Finland,14
2015,VC_DSR_OBDN,Georgia,1
2016,VC_DSR_OBDN,Georgia,0
2019,VC_DSR_OBDN,Georgia,0
2020,VC_DSR_OBDN,Georgia,0
2021,VC_DSR_OBDN,Georgia,0
2020,VC_DSR_OBDN,Hungary,0
2021,VC_DSR_OBDN,Hungary,13
2015,VC_DSR_OBDN,Ireland,0
2016,VC_DSR_OBDN,Ireland,0
2017,VC_DSR_OBDN,Ireland,494001
2019,VC_DSR_OBDN,Japan,0
2020,VC_DSR_OBDN,Japan,0
2005,VC_DSR_OBDN,Kazakhstan,1
2006,VC_DSR_OBDN,Kazakhstan,1
2007,VC_DSR_OBDN,Kazakhstan,0
2008,VC_DSR_OBDN,Kazakhstan,0
2009,VC_DSR_OBDN,Kazakhstan,1
2010,VC_DSR_OBDN,Kazakhstan,0
2011,VC_DSR_OBDN,Kazakhstan,0
2012,VC_DSR_OBDN,Kazakhstan,0
2013,VC_DSR_OBDN,Kazakhstan,0
2014,VC_DSR_OBDN,Kazakhstan,1
2015,VC_DSR_OBDN,Kazakhstan,0
2016,VC_DSR_OBDN,Kazakhstan,1
2017,VC_DSR_OBDN,Kazakhstan,12
2018,VC_DSR_OBDN,Kazakhstan,5
2019,VC_DSR_OBDN,Kazakhstan,3
2020,VC_DSR_OBDN,Kazakhstan,4
2017,VC_DSR_OBDN,Republic of Korea,0
2015,VC_DSR_OBDN,Kyrgyzstan,12
