Year,SeriesCode,Country,Food Waste Sector,Value
2019,AG_FOOD_WST_PC,Albania,All or no breakdown,126.07151
2019,AG_FOOD_WST_PC,Albania,RTL,15.64016
2019,AG_FOOD_WST_PC,Albania,OOHC,27.64795
2019,AG_FOOD_WST_PC,Albania,HHS,82.7834
2019,AG_FOOD_WST_PC,Azerbaijan,HHS,93.04324
2019,AG_FOOD_WST_PC,Azerbaijan,OOHC,27.64802
2019,AG_FOOD_WST_PC,Azerbaijan,RTL,15.6402
2019,AG_FOOD_WST_PC,Azerbaijan,All or no breakdown,136.33146
2019,AG_FOOD_WST_PC,Australia,OOHC,21.67739
2019,AG_FOOD_WST_PC,Australia,HHS,101.69781
2019,AG_FOOD_WST_PC,Australia,All or no breakdown,132.82827
2019,AG_FOOD_WST_PC,Australia,RTL,9.45307
2019,AG_FOOD_WST_PC,Austria,All or no breakdown,76.01567
2019,AG_FOOD_WST_PC,Austria,OOHC,28.385
2019,AG_FOOD_WST_PC,Austria,HHS,38.99997
2019,AG_FOOD_WST_PC,Austria,RTL,8.63071
2019,AG_FOOD_WST_PC,Armenia,OOHC,27.64781
2019,AG_FOOD_WST_PC,Armenia,RTL,15.64008
2019,AG_FOOD_WST_PC,Armenia,All or no breakdown,136.33043
2019,AG_FOOD_WST_PC,Armenia,HHS,93.04253
2019,AG_FOOD_WST_PC,Belgium,HHS,49.9194
2019,AG_FOOD_WST_PC,Belgium,OOHC,19.70402
2019,AG_FOOD_WST_PC,Belgium,All or no breakdown,79.33804
2019,AG_FOOD_WST_PC,Belgium,RTL,9.71462
2019,AG_FOOD_WST_PC,Bosnia and Herzegovina,HHS,82.78382
2019,AG_FOOD_WST_PC,Bosnia and Herzegovina,OOHC,27.64809
2019,AG_FOOD_WST_PC,Bosnia and Herzegovina,All or no breakdown,126.07215
2019,AG_FOOD_WST_PC,Bosnia and Herzegovina,RTL,15.64024
2019,AG_FOOD_WST_PC,Bulgaria,All or no breakdown,111.6681
2019,AG_FOOD_WST_PC,Bulgaria,RTL,15.64019
2019,AG_FOOD_WST_PC,Bulgaria,OOHC,27.64801
2019,AG_FOOD_WST_PC,Bulgaria,HHS,68.3799
2019,AG_FOOD_WST_PC,Belarus,HHS,68.38
2019,AG_FOOD_WST_PC,Belarus,All or no breakdown,111.66826
2019,AG_FOOD_WST_PC,Belarus,OOHC,27.64805
2019,AG_FOOD_WST_PC,Belarus,RTL,15.64021
2019,AG_FOOD_WST_PC,Canada,RTL,12.8113
2019,AG_FOOD_WST_PC,Canada,HHS,78.54154
2019,AG_FOOD_WST_PC,Canada,OOHC,25.57039
2019,AG_FOOD_WST_PC,Canada,All or no breakdown,116.92323
2019,AG_FOOD_WST_PC,Chile,RTL,12.81129
2019,AG_FOOD_WST_PC,Chile,OOHC,25.57037
2019,AG_FOOD_WST_PC,Chile,HHS,73.92063
2019,AG_FOOD_WST_PC,Chile,All or no breakdown,112.30229
2019,AG_FOOD_WST_PC,China,All or no breakdown,125.15741
2019,AG_FOOD_WST_PC,China,HHS,63.91913
2019,AG_FOOD_WST_PC,China,OOHC,45.59805
2019,AG_FOOD_WST_PC,China,RTL,15.64023
2019,AG_FOOD_WST_PC,Colombia,HHS,70.43183
2019,AG_FOOD_WST_PC,Colombia,OOHC,27.64805
2019,AG_FOOD_WST_PC,Colombia,RTL,15.64022
2019,AG_FOOD_WST_PC,Colombia,All or no breakdown,113.72009
2019,AG_FOOD_WST_PC,Costa Rica,All or no breakdown,115.72136
2019,AG_FOOD_WST_PC,Costa Rica,HHS,72.43272
2019,AG_FOOD_WST_PC,Costa Rica,RTL,15.64035
2019,AG_FOOD_WST_PC,Costa Rica,OOHC,27.64829
2019,AG_FOOD_WST_PC,Croatia,HHS,84.2724
2019,AG_FOOD_WST_PC,Croatia,OOHC,25.57042
2019,AG_FOOD_WST_PC,Croatia,RTL,12.81131
2019,AG_FOOD_WST_PC,Croatia,All or no breakdown,122.65414
2019,AG_FOOD_WST_PC,Cyprus,All or no breakdown,132.91663
2019,AG_FOOD_WST_PC,Cyprus,HHS,94.53407
2019,AG_FOOD_WST_PC,Cyprus,RTL,12.81159
2019,AG_FOOD_WST_PC,Cyprus,OOHC,25.57097
2019,AG_FOOD_WST_PC,Czechia,All or no breakdown,108.25027
2019,AG_FOOD_WST_PC,Czechia,RTL,12.81129
2019,AG_FOOD_WST_PC,Czechia,OOHC,25.57039
2019,AG_FOOD_WST_PC,Czechia,HHS,69.86859
2019,AG_FOOD_WST_PC,Denmark,HHS,81.33385
2019,AG_FOOD_WST_PC,Denmark,OOHC,20.64047
2019,AG_FOOD_WST_PC,Denmark,All or no breakdown,131.77444
2019,AG_FOOD_WST_PC,Denmark,RTL,29.80012
2019,AG_FOOD_WST_PC,Estonia,All or no breakdown,98.81866
