Year,SeriesCode,Country,Value
2000,EN_HAZ_GENV,Azerbaijan,26556.0
2001,EN_HAZ_GENV,Azerbaijan,16437.0
2002,EN_HAZ_GENV,Azerbaijan,9777.0
2003,EN_HAZ_GENV,Azerbaijan,26861.0
2004,EN_HAZ_GENV,Azerbaijan,11183.0
2005,EN_HAZ_GENV,Azerbaijan,12831.0
2006,EN_HAZ_GENV,Azerbaijan,29573.0
2007,EN_HAZ_GENV,Azerbaijan,10471.0
2008,EN_HAZ_GENV,Azerbaijan,24276.0
2009,EN_HAZ_GENV,Azerbaijan,131839.0
2010,EN_HAZ_GENV,Azerbaijan,139971.0
2011,EN_HAZ_GENV,Azerbaijan,185676.0
2012,EN_HAZ_GENV,Azerbaijan,296979.4062
2013,EN_HAZ_GENV,Azerbaijan,202882.0
2014,EN_HAZ_GENV,Azerbaijan,456625.0938
2015,EN_HAZ_GENV,Azerbaijan,191719.1
2016,EN_HAZ_GENV,Azerbaijan,628590.6
2017,EN_HAZ_GENV,Azerbaijan,187230.9
2018,EN_HAZ_GENV,Azerbaijan,319244.3
2019,EN_HAZ_GENV,Azerbaijan,296913.2
2020,EN_HAZ_GENV,Azerbaijan,283509.4
2021,EN_HAZ_GENV,Azerbaijan,245221.8
2004,EN_HAZ_GENV,Austria,1013727.0
2006,EN_HAZ_GENV,Austria,961899.0
2008,EN_HAZ_GENV,Austria,1329984.0
2010,EN_HAZ_GENV,Austria,1472864.0
2012,EN_HAZ_GENV,Austria,1065888.0
2014,EN_HAZ_GENV,Austria,1272288.0
2016,EN_HAZ_GENV,Austria,1260953.0
2018,EN_HAZ_GENV,Austria,1314176.0
2020,EN_HAZ_GENV,Austria,1287107.0
2000,EN_HAZ_GENV,Armenia,381578.0
2001,EN_HAZ_GENV,Armenia,375500.0
2002,EN_HAZ_GENV,Armenia,377900.0
2003,EN_HAZ_GENV,Armenia,344095.0
2004,EN_HAZ_GENV,Armenia,351400.0
2005,EN_HAZ_GENV,Armenia,346325.0
2006,EN_HAZ_GENV,Armenia,352279.0
2007,EN_HAZ_GENV,Armenia,362275.0
2008,EN_HAZ_GENV,Armenia,437258.53125
2009,EN_HAZ_GENV,Armenia,441023.5625
2010,EN_HAZ_GENV,Armenia,435397.78125
2011,EN_HAZ_GENV,Armenia,462895.8125
2012,EN_HAZ_GENV,Armenia,470505.6875
2013,EN_HAZ_GENV,Armenia,579049.8125
2014,EN_HAZ_GENV,Armenia,576419.375
2015,EN_HAZ_GENV,Armenia,555076.5625
2016,EN_HAZ_GENV,Armenia,615470.625
2017,EN_HAZ_GENV,Armenia,537813.6875
2018,EN_HAZ_GENV,Armenia,510858.5
2019,EN_HAZ_GENV,Armenia,570537.0
2004,EN_HAZ_GENV,Belgium,5197467.0
2006,EN_HAZ_GENV,Belgium,4039064.0
2008,EN_HAZ_GENV,Belgium,5918821.0
2010,EN_HAZ_GENV,Belgium,4767299.0
