Year,SeriesCode,Country,Value
2000,EN_HAZ_TRTDISR,Azerbaijan,100.8548
2001,EN_HAZ_TRTDISR,Azerbaijan,29.97506
2002,EN_HAZ_TRTDISR,Azerbaijan,34.18226
2003,EN_HAZ_TRTDISR,Azerbaijan,42.78322
2005,EN_HAZ_TRTDISR,Azerbaijan,43.41828
2007,EN_HAZ_TRTDISR,Azerbaijan,73.31678
2009,EN_HAZ_TRTDISR,Azerbaijan,131.71982
2010,EN_HAZ_TRTDISR,Azerbaijan,108.08804
2011,EN_HAZ_TRTDISR,Azerbaijan,74.47462
2012,EN_HAZ_TRTDISR,Azerbaijan,69.09947
2013,EN_HAZ_TRTDISR,Azerbaijan,75.14023
2014,EN_HAZ_TRTDISR,Azerbaijan,115.87329
2015,EN_HAZ_TRTDISR,Azerbaijan,199.77039
2016,EN_HAZ_TRTDISR,Azerbaijan,112.59602
2017,EN_HAZ_TRTDISR,Azerbaijan,115.81261
2018,EN_HAZ_TRTDISR,Azerbaijan,88.83479
2019,EN_HAZ_TRTDISR,Azerbaijan,85.69845
2020,EN_HAZ_TRTDISR,Azerbaijan,104.53622
2021,EN_HAZ_TRTDISR,Azerbaijan,121.94756
2000,EN_HAZ_TRTDISR,Armenia,100.0
2001,EN_HAZ_TRTDISR,Armenia,100.0
2002,EN_HAZ_TRTDISR,Armenia,100.0
2003,EN_HAZ_TRTDISR,Armenia,100.0
2004,EN_HAZ_TRTDISR,Armenia,100.0
2005,EN_HAZ_TRTDISR,Armenia,100.0
2006,EN_HAZ_TRTDISR,Armenia,100.0
2007,EN_HAZ_TRTDISR,Armenia,100.0
2008,EN_HAZ_TRTDISR,Armenia,100.0
2009,EN_HAZ_TRTDISR,Armenia,100.0
2010,EN_HAZ_TRTDISR,Armenia,100.0
2011,EN_HAZ_TRTDISR,Armenia,100.0
2012,EN_HAZ_TRTDISR,Armenia,100.0
2013,EN_HAZ_TRTDISR,Armenia,100.0
2014,EN_HAZ_TRTDISR,Armenia,100.0
2015,EN_HAZ_TRTDISR,Armenia,100.0
2016,EN_HAZ_TRTDISR,Armenia,100.0
2017,EN_HAZ_TRTDISR,Armenia,100.0
2018,EN_HAZ_TRTDISR,Armenia,100.0
2019,EN_HAZ_TRTDISR,Armenia,100.0
2005,EN_HAZ_TRTDISR,Belarus,154.58333
2006,EN_HAZ_TRTDISR,Belarus,135.63652
2007,EN_HAZ_TRTDISR,Belarus,130.35659
2008,EN_HAZ_TRTDISR,Belarus,103.02624
2009,EN_HAZ_TRTDISR,Belarus,106.48258
2010,EN_HAZ_TRTDISR,Belarus,104.28011
2011,EN_HAZ_TRTDISR,Belarus,102.67176
2012,EN_HAZ_TRTDISR,Belarus,111.66247
2013,EN_HAZ_TRTDISR,Belarus,87.43977
2014,EN_HAZ_TRTDISR,Belarus,84.39925
2015,EN_HAZ_TRTDISR,Belarus,83.9187
2016,EN_HAZ_TRTDISR,Belarus,83.07769
2017,EN_HAZ_TRTDISR,Belarus,72.44507
2018,EN_HAZ_TRTDISR,Belarus,99.79458
2019,EN_HAZ_TRTDISR,Belarus,82.9263
2020,EN_HAZ_TRTDISR,Belarus,83.59662
2021,EN_HAZ_TRTDISR,Belarus,82.28664
2000,EN_HAZ_TRTDISR,China,70.72289
2001,EN_HAZ_TRTDISR,China,70.48319
2002,EN_HAZ_TRTDISR,China,63.23676
2003,EN_HAZ_TRTDISR,China,68.54701
2004,EN_HAZ_TRTDISR,China,68.1407
2005,EN_HAZ_TRTDISR,China,71.85886
2006,EN_HAZ_TRTDISR,China,78.87454
2007,EN_HAZ_TRTDISR,China,92.30769
2008,EN_HAZ_TRTDISR,China,89.0199
2009,EN_HAZ_TRTDISR,China,88.04196
2010,EN_HAZ_TRTDISR,China,93.87112
2011,EN_HAZ_TRTDISR,China,78.38407
2012,EN_HAZ_TRTDISR,China,77.99893
2013,EN_HAZ_TRTDISR,China,76.06505
2014,EN_HAZ_TRTDISR,China,82.31192
2015,EN_HAZ_TRTDISR,China,81.07673
2016,EN_HAZ_TRTDISR,China,100.0
2017,EN_HAZ_TRTDISR,China,90.75259
2018,EN_HAZ_TRTDISR,China,90.87684
2019,EN_HAZ_TRTDISR,China,92.77997
2020,EN_HAZ_TRTDISR,China,104.78823
2016,EN_HAZ_TRTDISR,India,90.26704
2017,EN_HAZ_TRTDISR,India,100.02812
2018,EN_HAZ_TRTDISR,India,73.52185
2019,EN_HAZ_TRTDISR,India,94.69652
2004,EN_HAZ_TRTDISR,Kazakhstan,4.05011
2005,EN_HAZ_TRTDISR,Kazakhstan,1.03605
2006,EN_HAZ_TRTDISR,Kazakhstan,23.05423
2007,EN_HAZ_TRTDISR,Kazakhstan,108.62975
2008,EN_HAZ_TRTDISR,Kazakhstan,81.57853
2009,EN_HAZ_TRTDISR,Kazakhstan,46.61192
2010,EN_HAZ_TRTDISR,Kazakhstan,28.13523
2011,EN_HAZ_TRTDISR,Kazakhstan,25.6977
2012,EN_HAZ_TRTDISR,Kazakhstan,35.63497
2013,EN_HAZ_TRTDISR,Kazakhstan,45.97459
2014,EN_HAZ_TRTDISR,Kazakhstan,39.00472
2015,EN_HAZ_TRTDISR,Kazakhstan,34.33271
2016,EN_HAZ_TRTDISR,Kazakhstan,35.14757
2019,EN_HAZ_TRTDISR,Kazakhstan,205.30134
2000,EN_HAZ_TRTDISR,Kyrgyzstan,63.63209
2001,EN_HAZ_TRTDISR,Kyrgyzstan,0.00056
2002,EN_HAZ_TRTDISR,Kyrgyzstan,0.0006
2003,EN_HAZ_TRTDISR,Kyrgyzstan,0.08296
2004,EN_HAZ_TRTDISR,Kyrgyzstan,0.00479
2005,EN_HAZ_TRTDISR,Kyrgyzstan,0.02506
2006,EN_HAZ_TRTDISR,Kyrgyzstan,0.02159
2007,EN_HAZ_TRTDISR,Kyrgyzstan,142.61187
2008,EN_HAZ_TRTDISR,Kyrgyzstan,0.05386
2010,EN_HAZ_TRTDISR,Kyrgyzstan,3.22348
2011,EN_HAZ_TRTDISR,Kyrgyzstan,0.81077
2012,EN_HAZ_TRTDISR,Kyrgyzstan,1.09413
2013,EN_HAZ_TRTDISR,Kyrgyzstan,39.35813
2014,EN_HAZ_TRTDISR,Kyrgyzstan,48.75251
2015,EN_HAZ_TRTDISR,Kyrgyzstan,47.02216
2016,EN_HAZ_TRTDISR,Kyrgyzstan,32.78799
2017,EN_HAZ_TRTDISR,Kyrgyzstan,40.21322
2000,EN_HAZ_TRTDISR,Moldova,81.72746
2001,EN_HAZ_TRTDISR,Moldova,83.2021
2002,EN_HAZ_TRTDISR,Moldova,137.29777
2003,EN_HAZ_TRTDISR,Moldova,109.57684
2004,EN_HAZ_TRTDISR,Moldova,115.08554
2005,EN_HAZ_TRTDISR,Moldova,69.7179
2006,EN_HAZ_TRTDISR,Moldova,94.19695
2007,EN_HAZ_TRTDISR,Moldova,137.42284
2008,EN_HAZ_TRTDISR,Moldova,127.05085
2009,EN_HAZ_TRTDISR,Moldova,94.26036
2010,EN_HAZ_TRTDISR,Moldova,107.23026
2011,EN_HAZ_TRTDISR,Moldova,41.01285
2012,EN_HAZ_TRTDISR,Moldova,25.94053
2013,EN_HAZ_TRTDISR,Moldova,36.34441
2014,EN_HAZ_TRTDISR,Moldova,102.09868
2015,EN_HAZ_TRTDISR,Moldova,17.28179
2016,EN_HAZ_TRTDISR,Moldova,48.74516
2017,EN_HAZ_TRTDISR,Moldova,87.57389
2018,EN_HAZ_TRTDISR,Moldova,60.89135
2019,EN_HAZ_TRTDISR,Moldova,57.30361
2008,EN_HAZ_TRTDISR,Serbia,100.77232
2009,EN_HAZ_TRTDISR,Serbia,100.43463
2011,EN_HAZ_TRTDISR,Serbia,100.04065
2013,EN_HAZ_TRTDISR,Serbia,98.79509
2015,EN_HAZ_TRTDISR,Serbia,99.92349
2010,EN_HAZ_TRTDISR,United Arab Emirates,95.2654
2011,EN_HAZ_TRTDISR,United Arab Emirates,92.88587
2012,EN_HAZ_TRTDISR,United Arab Emirates,92.52606
2013,EN_HAZ_TRTDISR,United Arab Emirates,81.52287
2014,EN_HAZ_TRTDISR,United Arab Emirates,82.26625
2015,EN_HAZ_TRTDISR,United Arab Emirates,74.26728
2016,EN_HAZ_TRTDISR,United Arab Emirates,63.88689
2017,EN_HAZ_TRTDISR,United Arab Emirates,72.2244
2018,EN_HAZ_TRTDISR,United Arab Emirates,70.37069
2019,EN_HAZ_TRTDISR,United Arab Emirates,82.67483
2000,EN_HAZ_TRTDISR,Ukraine,82.27505
2001,EN_HAZ_TRTDISR,Ukraine,115.76099
2002,EN_HAZ_TRTDISR,Ukraine,140.9414
2003,EN_HAZ_TRTDISR,Ukraine,87.16162
2004,EN_HAZ_TRTDISR,Ukraine,80.82591
2005,EN_HAZ_TRTDISR,Ukraine,78.16266
2006,EN_HAZ_TRTDISR,Ukraine,83.04316
2007,EN_HAZ_TRTDISR,Ukraine,79.79027
2008,EN_HAZ_TRTDISR,Ukraine,87.87717
2009,EN_HAZ_TRTDISR,Ukraine,95.56366
2010,EN_HAZ_TRTDISR,Ukraine,58.16768
2011,EN_HAZ_TRTDISR,Ukraine,52.40223
2012,EN_HAZ_TRTDISR,Ukraine,51.32056
2013,EN_HAZ_TRTDISR,Ukraine,60.31423
2014,EN_HAZ_TRTDISR,Ukraine,56.41663
2015,EN_HAZ_TRTDISR,Ukraine,68.05416
2016,EN_HAZ_TRTDISR,Ukraine,72.06509
2017,EN_HAZ_TRTDISR,Ukraine,68.11365
2018,EN_HAZ_TRTDISR,Ukraine,64.51031
2019,EN_HAZ_TRTDISR,Ukraine,64.37212
2014,EN_HAZ_TRTDISR,Uzbekistan,0.00182
2015,EN_HAZ_TRTDISR,Uzbekistan,0.00431
2016,EN_HAZ_TRTDISR,Uzbekistan,0.05014
2017,EN_HAZ_TRTDISR,Uzbekistan,0.03032
2018,EN_HAZ_TRTDISR,Uzbekistan,0.00318
2019,EN_HAZ_TRTDISR,Uzbekistan,0.00198
2020,EN_HAZ_TRTDISR,Uzbekistan,0.00938
2021,EN_HAZ_TRTDISR,Uzbekistan,0.00235
2021,EN_HAZ_TRTDISR,Uzbekistan,0.00235
