Year,SeriesCode,Country,Frequency of Chlorophyll-a concentration,Value
2018,EN_MAR_CHLANM,Estonia,Moderate,6.15175
2018,EN_MAR_CHLANM,Estonia,High,10.06738
2018,EN_MAR_CHLANM,Estonia,Extreme,8.26977
2019,EN_MAR_CHLANM,Estonia,Extreme,2.96392
2019,EN_MAR_CHLANM,Estonia,Moderate,9.32853
2019,EN_MAR_CHLANM,Estonia,High,10.56473
2020,EN_MAR_CHLANM,Estonia,High,4.93163
2020,EN_MAR_CHLANM,Estonia,Moderate,5.7449
2020,EN_MAR_CHLANM,Estonia,Extreme,1.30899
2021,EN_MAR_CHLANM,Estonia,Extreme,2.78651
2021,EN_MAR_CHLANM,Estonia,High,11.03257
2021,EN_MAR_CHLANM,Estonia,Moderate,8.21546
2022,EN_MAR_CHLANM,Estonia,Moderate,5.97128
2022,EN_MAR_CHLANM,Estonia,Extreme,2.35459
2022,EN_MAR_CHLANM,Estonia,High,7.39173
2018,EN_MAR_CHLANM,Finland,Extreme,8.67561
2018,EN_MAR_CHLANM,Finland,Moderate,6.75271
2018,EN_MAR_CHLANM,Finland,High,10.39131
2019,EN_MAR_CHLANM,Finland,High,10.87248
2019,EN_MAR_CHLANM,Finland,Moderate,8.63226
2019,EN_MAR_CHLANM,Finland,Extreme,3.87616
2020,EN_MAR_CHLANM,Finland,Extreme,1.29457
2020,EN_MAR_CHLANM,Finland,High,5.11911
2020,EN_MAR_CHLANM,Finland,Moderate,5.21577
2021,EN_MAR_CHLANM,Finland,Moderate,8.94727
2021,EN_MAR_CHLANM,Finland,High,9.07453
2021,EN_MAR_CHLANM,Finland,Extreme,1.82416
2022,EN_MAR_CHLANM,Finland,High,7.21015
2022,EN_MAR_CHLANM,Finland,Extreme,2.1528
2022,EN_MAR_CHLANM,Finland,Moderate,6.65745
2018,EN_MAR_CHLANM,France,Moderate,7.6712
2018,EN_MAR_CHLANM,France,High,2.37091
2018,EN_MAR_CHLANM,France,Extreme,0.45389
2019,EN_MAR_CHLANM,France,Extreme,0.69235
