Year,SeriesCode,Country,Value
2000,AG_LND_FRST,Latvia,52.08
2010,AG_LND_FRST,Latvia,54.19
2015,AG_LND_FRST,Latvia,54.5
2016,AG_LND_FRST,Latvia,54.56
2017,AG_LND_FRST,Latvia,54.63
2018,AG_LND_FRST,Latvia,54.69
2019,AG_LND_FRST,Latvia,54.75
2020,AG_LND_FRST,Latvia,54.81
2000,AG_LND_FRST,Liechtenstein,41.88
2010,AG_LND_FRST,Liechtenstein,41.87
2015,AG_LND_FRST,Liechtenstein,41.88
2016,AG_LND_FRST,Liechtenstein,41.88
2017,AG_LND_FRST,Liechtenstein,41.88
2018,AG_LND_FRST,Liechtenstein,41.88
2019,AG_LND_FRST,Liechtenstein,41.88
2020,AG_LND_FRST,Liechtenstein,41.88
2000,AG_LND_FRST,Lithuania,32.23
2010,AG_LND_FRST,Lithuania,34.62
2015,AG_LND_FRST,Lithuania,34.91
2016,AG_LND_FRST,Lithuania,34.96
2017,AG_LND_FRST,Lithuania,35.06
2018,AG_LND_FRST,Lithuania,35.1
2019,AG_LND_FRST,Lithuania,35.13
2020,AG_LND_FRST,Lithuania,35.15
2000,AG_LND_FRST,Luxembourg,33.68
2010,AG_LND_FRST,Luxembourg,34.45
2015,AG_LND_FRST,Luxembourg,34.45
2016,AG_LND_FRST,Luxembourg,34.45
2017,AG_LND_FRST,Luxembourg,34.45
2018,AG_LND_FRST,Luxembourg,34.45
2019,AG_LND_FRST,Luxembourg,34.45
2020,AG_LND_FRST,Luxembourg,34.45
2000,AG_LND_FRST,Malta,1.09
2010,AG_LND_FRST,Malta,1.09
2015,AG_LND_FRST,Malta,1.09
2016,AG_LND_FRST,Malta,1.19
2017,AG_LND_FRST,Malta,1.31
2018,AG_LND_FRST,Malta,1.44
2019,AG_LND_FRST,Malta,1.44
2020,AG_LND_FRST,Malta,1.44
2000,AG_LND_FRST,Mexico,35.18
2010,AG_LND_FRST,Mexico,34.44
2015,AG_LND_FRST,Mexico,34.12
2016,AG_LND_FRST,Mexico,34.06
2017,AG_LND_FRST,Mexico,33.99
2018,AG_LND_FRST,Mexico,33.92
2019,AG_LND_FRST,Mexico,33.86
2020,AG_LND_FRST,Mexico,33.79
2000,AG_LND_FRST,Moldova,10.47
2010,AG_LND_FRST,Moldova,11.4
2015,AG_LND_FRST,Moldova,11.75
2016,AG_LND_FRST,Moldova,11.75
2017,AG_LND_FRST,Moldova,11.75
2018,AG_LND_FRST,Moldova,11.75
2019,AG_LND_FRST,Moldova,11.75
2020,AG_LND_FRST,Moldova,11.75
2000,AG_LND_FRST,Montenegro,46.54
2010,AG_LND_FRST,Montenegro,61.49
2015,AG_LND_FRST,Montenegro,61.49
2016,AG_LND_FRST,Montenegro,61.49
2017,AG_LND_FRST,Montenegro,61.49
2018,AG_LND_FRST,Montenegro,61.49
2019,AG_LND_FRST,Montenegro,61.49
