Year,SeriesCode,Country,Bioclimatic belt,Land cover,Mountain Elevation,Value
2000,ER_MTN_GRNCVI,Albania,TOTAL,GRASSLAND,,7.4
2000,ER_MTN_GRNCVI,Albania,TOTAL,SPARSE_NAT_VEG,,1.81
2000,ER_MTN_GRNCVI,Albania,TOTAL,SHRUB_COVERED,,3.79
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,SHRUB_COVERED,,4.36
2000,ER_MTN_GRNCVI,Albania,MONTANE,SPARSE_NAT_VEG,,1.8
2000,ER_MTN_GRNCVI,Albania,TOTAL,TERRESTRIAL_BARREN,,1.5
2000,ER_MTN_GRNCVI,Albania,TOTAL,INLAND_WATER,,0.88
2000,ER_MTN_GRNCVI,Albania,MONTANE,GLACIERS,,0.0
2000,ER_MTN_GRNCVI,Albania,MONTANE,INLAND_WATER,,0.89
2000,ER_MTN_GRNCVI,Albania,MONTANE,MGCI,,95.71
2000,ER_MTN_GRNCVI,Albania,ALPINE,GLACIERS,,0.0
2000,ER_MTN_GRNCVI,Albania,TOTAL,GLACIERS,,0.0
2000,ER_MTN_GRNCVI,Albania,ALPINE,CROPLAND,,0.0
2000,ER_MTN_GRNCVI,Albania,TOTAL,CROPLAND,,42.38
2000,ER_MTN_GRNCVI,Albania,ALPINE,ARTIFICIAL,,0.54
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,ARTIFICIAL,,0.0
2000,ER_MTN_GRNCVI,Albania,TOTAL,ARTIFICIAL,,0.1
2000,ER_MTN_GRNCVI,Albania,MONTANE,ARTIFICIAL,,0.1
2000,ER_MTN_GRNCVI,Albania,ALPINE,INLAND_WATER,,0.0
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,CROPLAND,,80.6
2000,ER_MTN_GRNCVI,Albania,MONTANE,TREE_COVERED,,42.46
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,TERRESTRIAL_BARREN,,1.11
2000,ER_MTN_GRNCVI,Albania,MONTANE,TERRESTRIAL_BARREN,,1.5
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,TREE_COVERED,,10.47
2000,ER_MTN_GRNCVI,Albania,TOTAL,TREE_COVERED,,42.09
2000,ER_MTN_GRNCVI,Albania,ALPINE,TERRESTRIAL_BARREN,,5.28
2000,ER_MTN_GRNCVI,Albania,ALPINE,SPARSE_NAT_VEG,,45.65
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,SPARSE_NAT_VEG,,0.0
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,GRASSLAND,,3.34
2000,ER_MTN_GRNCVI,Albania,ALPINE,TREE_COVERED,,0.0
2000,ER_MTN_GRNCVI,Albania,ALPINE,MGCI,,48.52
2000,ER_MTN_GRNCVI,Albania,MONTANE,HERB_AQUA_FLOOD,,0.05
2000,ER_MTN_GRNCVI,Albania,ALPINE,HERB_AQUA_FLOOD,,0.0
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,MGCI,,98.78
2000,ER_MTN_GRNCVI,Albania,TOTAL,MGCI,,95.71
2000,ER_MTN_GRNCVI,Albania,TOTAL,HERB_AQUA_FLOOD,,0.05
2000,ER_MTN_GRNCVI,Albania,ALPINE,SHRUB_COVERED,,0.0
2000,ER_MTN_GRNCVI,Albania,MONTANE,SHRUB_COVERED,,3.79
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,HERB_AQUA_FLOOD,,0.0
2000,ER_MTN_GRNCVI,Albania,MONTANE,CROPLAND,,41.99
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,GLACIERS,,0.0
2000,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,INLAND_WATER,,0.11
2000,ER_MTN_GRNCVI,Albania,MONTANE,GRASSLAND,,7.41
2000,ER_MTN_GRNCVI,Albania,ALPINE,GRASSLAND,,48.52
2005,ER_MTN_GRNCVI,Albania,MONTANE,GRASSLAND,,7.41
2005,ER_MTN_GRNCVI,Albania,ALPINE,INLAND_WATER,,0.0
2005,ER_MTN_GRNCVI,Albania,TOTAL,GRASSLAND,,7.39
2005,ER_MTN_GRNCVI,Albania,MONTANE,ARTIFICIAL,,0.11
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,ARTIFICIAL,,0.0
2005,ER_MTN_GRNCVI,Albania,ALPINE,ARTIFICIAL,,0.54
2005,ER_MTN_GRNCVI,Albania,TOTAL,ARTIFICIAL,,0.11
2005,ER_MTN_GRNCVI,Albania,TOTAL,CROPLAND,,41.21
2005,ER_MTN_GRNCVI,Albania,MONTANE,GLACIERS,,0.0
2005,ER_MTN_GRNCVI,Albania,MONTANE,HERB_AQUA_FLOOD,,0.05
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,MGCI,,98.78
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,HERB_AQUA_FLOOD,,0.0
2005,ER_MTN_GRNCVI,Albania,TOTAL,MGCI,,95.67
2005,ER_MTN_GRNCVI,Albania,ALPINE,MGCI,,48.52
2005,ER_MTN_GRNCVI,Albania,MONTANE,INLAND_WATER,,0.89
2005,ER_MTN_GRNCVI,Albania,TOTAL,INLAND_WATER,,0.88
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,INLAND_WATER,,0.11
2005,ER_MTN_GRNCVI,Albania,MONTANE,MGCI,,95.66
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,SPARSE_NAT_VEG,,0.0
2005,ER_MTN_GRNCVI,Albania,TOTAL,SHRUB_COVERED,,3.76
2005,ER_MTN_GRNCVI,Albania,MONTANE,TERRESTRIAL_BARREN,,1.52
2005,ER_MTN_GRNCVI,Albania,MONTANE,TREE_COVERED,,43.64
2005,ER_MTN_GRNCVI,Albania,ALPINE,SHRUB_COVERED,,0.0
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,SHRUB_COVERED,,4.36
2005,ER_MTN_GRNCVI,Albania,ALPINE,GRASSLAND,,48.52
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,GRASSLAND,,3.34
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,CROPLAND,,80.31
2005,ER_MTN_GRNCVI,Albania,REMAIN_MOUNT,GLACIERS,,0.0
2005,ER_MTN_GRNCVI,Albania,ALPINE,GLACIERS,,0.0
