Year,SeriesCode,Country,Sex,Value
2014,VC_IHR_PSRCN,Australia,Female,94
2015,VC_IHR_PSRCN,Australia,Both sexes,236
2015,VC_IHR_PSRCN,Australia,Male,151
2015,VC_IHR_PSRCN,Australia,Female,85
2016,VC_IHR_PSRCN,Australia,Male,147
2016,VC_IHR_PSRCN,Australia,Female,80
2016,VC_IHR_PSRCN,Australia,Both sexes,227
2017,VC_IHR_PSRCN,Australia,Male,144
2017,VC_IHR_PSRCN,Australia,Female,63
2017,VC_IHR_PSRCN,Australia,Both sexes,208
2018,VC_IHR_PSRCN,Australia,Female,84
2018,VC_IHR_PSRCN,Australia,Both sexes,221
2018,VC_IHR_PSRCN,Australia,Male,135
2019,VC_IHR_PSRCN,Australia,Male,156
2019,VC_IHR_PSRCN,Australia,Both sexes,225
2019,VC_IHR_PSRCN,Australia,Female,68
2020,VC_IHR_PSRCN,Australia,Female,74
2020,VC_IHR_PSRCN,Australia,Both sexes,221
2020,VC_IHR_PSRCN,Australia,Male,150
2021,VC_IHR_PSRCN,Australia,Both sexes,193
2021,VC_IHR_PSRCN,Australia,Female,49
2021,VC_IHR_PSRCN,Australia,Male,141
2000,VC_IHR_PSRCN,Austria,Both sexes,82
2000,VC_IHR_PSRCN,Austria,Male,28
2000,VC_IHR_PSRCN,Austria,Female,54
2001,VC_IHR_PSRCN,Austria,Both sexes,70
2001,VC_IHR_PSRCN,Austria,Male,28
2001,VC_IHR_PSRCN,Austria,Female,42
2002,VC_IHR_PSRCN,Austria,Male,27
2002,VC_IHR_PSRCN,Austria,Both sexes,65
2011,VC_IHR_PSRCN,Finland,Male,73
2011,VC_IHR_PSRCN,Finland,Both sexes,110
2011,VC_IHR_PSRCN,Finland,Female,37
2012,VC_IHR_PSRCN,Finland,Male,48
2012,VC_IHR_PSRCN,Finland,Female,41
2012,VC_IHR_PSRCN,Finland,Both sexes,89
2013,VC_IHR_PSRCN,Finland,Both sexes,89
2013,VC_IHR_PSRCN,Finland,Male,66
2013,VC_IHR_PSRCN,Finland,Female,23
2014,VC_IHR_PSRCN,Finland,Both sexes,88
2002,VC_IHR_PSRCN,Austria,Female,38
2003,VC_IHR_PSRCN,Austria,Female,23
2003,VC_IHR_PSRCN,Austria,Male,27
2003,VC_IHR_PSRCN,Austria,Both sexes,50
2004,VC_IHR_PSRCN,Austria,Both sexes,59
2004,VC_IHR_PSRCN,Austria,Female,32
2004,VC_IHR_PSRCN,Austria,Male,27
2005,VC_IHR_PSRCN,Austria,Male,30
2005,VC_IHR_PSRCN,Austria,Female,24
2005,VC_IHR_PSRCN,Austria,Both sexes,54
2006,VC_IHR_PSRCN,Austria,Female,29
2006,VC_IHR_PSRCN,Austria,Both sexes,61
2014,VC_IHR_PSRCN,Finland,Female,27
2014,VC_IHR_PSRCN,Finland,Male,61
2015,VC_IHR_PSRCN,Finland,Male,66
2015,VC_IHR_PSRCN,Finland,Both sexes,82
2015,VC_IHR_PSRCN,Finland,Female,16
2016,VC_IHR_PSRCN,Finland,Both sexes,74
2016,VC_IHR_PSRCN,Finland,Male,52
2016,VC_IHR_PSRCN,Finland,Female,22
2017,VC_IHR_PSRCN,Finland,Male,37
2017,VC_IHR_PSRCN,Finland,Female,30
2006,VC_IHR_PSRCN,Austria,Male,32
2007,VC_IHR_PSRCN,Austria,Female,24
2007,VC_IHR_PSRCN,Austria,Male,21
2007,VC_IHR_PSRCN,Austria,Both sexes,45
2008,VC_IHR_PSRCN,Austria,Both sexes,58
2008,VC_IHR_PSRCN,Austria,Male,29
2008,VC_IHR_PSRCN,Austria,Female,29
2009,VC_IHR_PSRCN,Austria,Female,28
2009,VC_IHR_PSRCN,Austria,Male,23
2009,VC_IHR_PSRCN,Austria,Both sexes,51
2010,VC_IHR_PSRCN,Austria,Male,28
2000,VC_IHR_PSRCN,Mexico,Female,1285
2000,VC_IHR_PSRCN,Mexico,Male,9452
2000,VC_IHR_PSRCN,Mexico,Both sexes,10737
2001,VC_IHR_PSRCN,Mexico,Both sexes,10285
2001,VC_IHR_PSRCN,Mexico,Male,9001
2001,VC_IHR_PSRCN,Mexico,Female,1284
2002,VC_IHR_PSRCN,Mexico,Female,1281
2002,VC_IHR_PSRCN,Mexico,Male,8807
2002,VC_IHR_PSRCN,Mexico,Both sexes,10088
2003,VC_IHR_PSRCN,Mexico,Both sexes,10087
2003,VC_IHR_PSRCN,Mexico,Male,8769
2003,VC_IHR_PSRCN,Mexico,Female,1318
2004,VC_IHR_PSRCN,Mexico,Male,8122
2004,VC_IHR_PSRCN,Mexico,Both sexes,9329
2004,VC_IHR_PSRCN,Mexico,Female,1207
2005,VC_IHR_PSRCN,Mexico,Female,1299
2005,VC_IHR_PSRCN,Mexico,Both sexes,9921
2005,VC_IHR_PSRCN,Mexico,Male,8622
2006,VC_IHR_PSRCN,Mexico,Female,1299
2006,VC_IHR_PSRCN,Mexico,Both sexes,10452
2006,VC_IHR_PSRCN,Mexico,Male,9153
2007,VC_IHR_PSRCN,Mexico,Both sexes,8867
2000,VC_IHR_PSRCN,Albania,Female,13
2000,VC_IHR_PSRCN,Albania,Both sexes,131
2000,VC_IHR_PSRCN,Albania,Male,118
2001,VC_IHR_PSRCN,Albania,Male,181
2001,VC_IHR_PSRCN,Albania,Both sexes,220
2001,VC_IHR_PSRCN,Albania,Female,39
2002,VC_IHR_PSRCN,Albania,Female,39
2002,VC_IHR_PSRCN,Albania,Male,177
2002,VC_IHR_PSRCN,Albania,Both sexes,216
2003,VC_IHR_PSRCN,Albania,Both sexes,166
2003,VC_IHR_PSRCN,Albania,Male,145
2003,VC_IHR_PSRCN,Albania,Female,21
2004,VC_IHR_PSRCN,Albania,Both sexes,131
2010,VC_IHR_PSRCN,Austria,Female,33
2010,VC_IHR_PSRCN,Austria,Both sexes,61
2011,VC_IHR_PSRCN,Austria,Female,35
2011,VC_IHR_PSRCN,Austria,Male,42
2011,VC_IHR_PSRCN,Austria,Both sexes,77
2012,VC_IHR_PSRCN,Austria,Female,38
2012,VC_IHR_PSRCN,Austria,Male,43
2012,VC_IHR_PSRCN,Austria,Both sexes,81
2013,VC_IHR_PSRCN,Austria,Both sexes,61
2013,VC_IHR_PSRCN,Austria,Female,29
2007,VC_IHR_PSRCN,Mexico,Female,1084
2007,VC_IHR_PSRCN,Mexico,Male,7783
2008,VC_IHR_PSRCN,Mexico,Male,12580
2008,VC_IHR_PSRCN,Mexico,Both sexes,14006
2008,VC_IHR_PSRCN,Mexico,Female,1426
2009,VC_IHR_PSRCN,Mexico,Female,1929
2009,VC_IHR_PSRCN,Mexico,Both sexes,19803
2009,VC_IHR_PSRCN,Mexico,Male,17874
2010,VC_IHR_PSRCN,Mexico,Female,2418
2010,VC_IHR_PSRCN,Mexico,Male,23285
2010,VC_IHR_PSRCN,Mexico,Both sexes,25757
2011,VC_IHR_PSRCN,Mexico,Both sexes,27213
2004,VC_IHR_PSRCN,Albania,Female,19
2004,VC_IHR_PSRCN,Albania,Male,112
2005,VC_IHR_PSRCN,Albania,Male,133
2005,VC_IHR_PSRCN,Albania,Both sexes,154
2005,VC_IHR_PSRCN,Albania,Female,21
2006,VC_IHR_PSRCN,Albania,Both sexes,95
2006,VC_IHR_PSRCN,Albania,Male,72
2006,VC_IHR_PSRCN,Albania,Female,23
2007,VC_IHR_PSRCN,Albania,Both sexes,105
2007,VC_IHR_PSRCN,Albania,Female,24
2013,VC_IHR_PSRCN,Austria,Male,32
2014,VC_IHR_PSRCN,Austria,Both sexes,42
2014,VC_IHR_PSRCN,Austria,Female,22
2014,VC_IHR_PSRCN,Austria,Male,20
2015,VC_IHR_PSRCN,Austria,Male,27
2015,VC_IHR_PSRCN,Austria,Both sexes,44
2015,VC_IHR_PSRCN,Austria,Female,17
2016,VC_IHR_PSRCN,Austria,Male,23
2016,VC_IHR_PSRCN,Austria,Both sexes,54
2016,VC_IHR_PSRCN,Austria,Female,31
2017,VC_IHR_PSRCN,Finland,Both sexes,67
2018,VC_IHR_PSRCN,Finland,Male,62
2018,VC_IHR_PSRCN,Finland,Both sexes,86
2018,VC_IHR_PSRCN,Finland,Female,24
2019,VC_IHR_PSRCN,Finland,Female,28
2019,VC_IHR_PSRCN,Finland,Male,53
2019,VC_IHR_PSRCN,Finland,Both sexes,81
2020,VC_IHR_PSRCN,Finland,Both sexes,91
2000,VC_IHR_PSRCN,France,Both sexes,1051
2001,VC_IHR_PSRCN,France,Both sexes,1047
2002,VC_IHR_PSRCN,France,Both sexes,1119
2003,VC_IHR_PSRCN,France,Both sexes,987
2004,VC_IHR_PSRCN,France,Both sexes,990
2005,VC_IHR_PSRCN,France,Both sexes,976
2006,VC_IHR_PSRCN,France,Both sexes,879
2007,VC_IHR_PSRCN,France,Both sexes,993
2008,VC_IHR_PSRCN,France,Both sexes,1021
2009,VC_IHR_PSRCN,France,Both sexes,819
2010,VC_IHR_PSRCN,France,Both sexes,796
2011,VC_IHR_PSRCN,France,Both sexes,856
2012,VC_IHR_PSRCN,France,Both sexes,784
2013,VC_IHR_PSRCN,France,Both sexes,777
2014,VC_IHR_PSRCN,France,Both sexes,792
2015,VC_IHR_PSRCN,France,Male,630
2015,VC_IHR_PSRCN,France,Female,382
2015,VC_IHR_PSRCN,France,Both sexes,1012
2016,VC_IHR_PSRCN,France,Female,282
2016,VC_IHR_PSRCN,France,Male,497
2016,VC_IHR_PSRCN,France,Both sexes,779
2017,VC_IHR_PSRCN,France,Female,257
2017,VC_IHR_PSRCN,France,Male,453
2017,VC_IHR_PSRCN,France,Both sexes,710
2018,VC_IHR_PSRCN,France,Male,473
2018,VC_IHR_PSRCN,France,Both sexes,696
2018,VC_IHR_PSRCN,France,Female,223
2019,VC_IHR_PSRCN,France,Both sexes,753
2019,VC_IHR_PSRCN,France,Male,492
2019,VC_IHR_PSRCN,France,Female,261
2020,VC_IHR_PSRCN,France,Both sexes,692
2020,VC_IHR_PSRCN,France,Male,498
2020,VC_IHR_PSRCN,France,Female,194
2021,VC_IHR_PSRCN,France,Female,228
2021,VC_IHR_PSRCN,France,Male,506
2021,VC_IHR_PSRCN,France,Both sexes,734
2000,VC_IHR_PSRCN,Georgia,Both sexes,239
2001,VC_IHR_PSRCN,Georgia,Both sexes,263
2002,VC_IHR_PSRCN,Georgia,Both sexes,292
2004,VC_IHR_PSRCN,Georgia,Female,34
2004,VC_IHR_PSRCN,Georgia,Male,264
2004,VC_IHR_PSRCN,Georgia,Both sexes,298
2005,VC_IHR_PSRCN,Georgia,Both sexes,403
2005,VC_IHR_PSRCN,Georgia,Female,72
2005,VC_IHR_PSRCN,Georgia,Male,331
2006,VC_IHR_PSRCN,Georgia,Female,45
2006,VC_IHR_PSRCN,Georgia,Both sexes,323
2006,VC_IHR_PSRCN,Georgia,Male,278
2007,VC_IHR_PSRCN,Georgia,Both sexes,330
2007,VC_IHR_PSRCN,Georgia,Male,285
2007,VC_IHR_PSRCN,Georgia,Female,45
2008,VC_IHR_PSRCN,Georgia,Male,220
2008,VC_IHR_PSRCN,Georgia,Both sexes,263
2008,VC_IHR_PSRCN,Georgia,Female,43
2007,VC_IHR_PSRCN,Albania,Male,81
2008,VC_IHR_PSRCN,Albania,Male,74
2008,VC_IHR_PSRCN,Albania,Both sexes,93
2008,VC_IHR_PSRCN,Albania,Female,19
2009,VC_IHR_PSRCN,Albania,Male,78
2009,VC_IHR_PSRCN,Albania,Female,7
2009,VC_IHR_PSRCN,Albania,Both sexes,85
2010,VC_IHR_PSRCN,Albania,Male,108
2010,VC_IHR_PSRCN,Albania,Both sexes,119
2010,VC_IHR_PSRCN,Albania,Female,11
2011,VC_IHR_PSRCN,Mexico,Male,24257
2011,VC_IHR_PSRCN,Mexico,Female,2693
2012,VC_IHR_PSRCN,Mexico,Female,2764
2012,VC_IHR_PSRCN,Mexico,Male,22986
2012,VC_IHR_PSRCN,Mexico,Both sexes,25967
2013,VC_IHR_PSRCN,Mexico,Male,20280
2013,VC_IHR_PSRCN,Mexico,Both sexes,23063
2013,VC_IHR_PSRCN,Mexico,Female,2648
2014,VC_IHR_PSRCN,Mexico,Female,2408
2014,VC_IHR_PSRCN,Mexico,Both sexes,20010
2014,VC_IHR_PSRCN,Mexico,Male,17503
2015,VC_IHR_PSRCN,Mexico,Both sexes,20762
2015,VC_IHR_PSRCN,Mexico,Female,2383
2017,VC_IHR_PSRCN,Austria,Female,37
2017,VC_IHR_PSRCN,Austria,Male,33
2017,VC_IHR_PSRCN,Austria,Both sexes,70
2018,VC_IHR_PSRCN,Austria,Both sexes,86
2018,VC_IHR_PSRCN,Austria,Female,44
2018,VC_IHR_PSRCN,Austria,Male,42
2019,VC_IHR_PSRCN,Austria,Female,40
2019,VC_IHR_PSRCN,Austria,Male,37
2019,VC_IHR_PSRCN,Austria,Both sexes,77
2020,VC_IHR_PSRCN,Austria,Male,28
2009,VC_IHR_PSRCN,Georgia,Female,33
2009,VC_IHR_PSRCN,Georgia,Both sexes,210
2009,VC_IHR_PSRCN,Georgia,Male,177
2010,VC_IHR_PSRCN,Georgia,Male,159
2010,VC_IHR_PSRCN,Georgia,Both sexes,187
2010,VC_IHR_PSRCN,Georgia,Female,28
2014,VC_IHR_PSRCN,Georgia,Female,33
2014,VC_IHR_PSRCN,Georgia,Male,75
2016,VC_IHR_PSRCN,Georgia,Both sexes,39
2016,VC_IHR_PSRCN,Georgia,Male,5
2020,VC_IHR_PSRCN,Austria,Both sexes,65
2020,VC_IHR_PSRCN,Austria,Female,37
2021,VC_IHR_PSRCN,Austria,Both sexes,65
2021,VC_IHR_PSRCN,Austria,Male,25
2021,VC_IHR_PSRCN,Austria,Female,40
2000,VC_IHR_PSRCN,Armenia,Male,65
2000,VC_IHR_PSRCN,Armenia,Female,26
2000,VC_IHR_PSRCN,Armenia,Both sexes,91
2001,VC_IHR_PSRCN,Armenia,Male,70
2001,VC_IHR_PSRCN,Armenia,Both sexes,88
2001,VC_IHR_PSRCN,Armenia,Female,18
2011,VC_IHR_PSRCN,Albania,Female,18
2011,VC_IHR_PSRCN,Albania,Male,124
2011,VC_IHR_PSRCN,Albania,Both sexes,142
2012,VC_IHR_PSRCN,Albania,Male,131
2012,VC_IHR_PSRCN,Albania,Both sexes,157
2012,VC_IHR_PSRCN,Albania,Female,26
2013,VC_IHR_PSRCN,Albania,Female,20
2013,VC_IHR_PSRCN,Albania,Male,104
2013,VC_IHR_PSRCN,Albania,Both sexes,124
2014,VC_IHR_PSRCN,Albania,Male,122
2016,VC_IHR_PSRCN,Georgia,Female,34
2017,VC_IHR_PSRCN,Georgia,Both sexes,91
2017,VC_IHR_PSRCN,Georgia,Male,69
2017,VC_IHR_PSRCN,Georgia,Female,21
2018,VC_IHR_PSRCN,Georgia,Both sexes,89
2018,VC_IHR_PSRCN,Georgia,Male,70
2018,VC_IHR_PSRCN,Georgia,Female,22
2019,VC_IHR_PSRCN,Georgia,Both sexes,77
2019,VC_IHR_PSRCN,Georgia,Female,19
2020,VC_IHR_PSRCN,Georgia,Female,24
2000,VC_IHR_PSRCN,Germany,Female,545
2000,VC_IHR_PSRCN,Germany,Male,819
2000,VC_IHR_PSRCN,Germany,Both sexes,1364
2001,VC_IHR_PSRCN,Germany,Both sexes,1181
2001,VC_IHR_PSRCN,Germany,Male,689
2001,VC_IHR_PSRCN,Germany,Female,492
2002,VC_IHR_PSRCN,Germany,Both sexes,1172
2002,VC_IHR_PSRCN,Germany,Male,698
2002,VC_IHR_PSRCN,Germany,Female,474
2003,VC_IHR_PSRCN,Germany,Male,610
2003,VC_IHR_PSRCN,Germany,Female,487
2003,VC_IHR_PSRCN,Germany,Both sexes,1097
2002,VC_IHR_PSRCN,Armenia,Male,49
2002,VC_IHR_PSRCN,Armenia,Female,20
2002,VC_IHR_PSRCN,Armenia,Both sexes,69
2003,VC_IHR_PSRCN,Armenia,Female,11
2003,VC_IHR_PSRCN,Armenia,Male,65
2004,VC_IHR_PSRCN,Armenia,Male,61
2004,VC_IHR_PSRCN,Armenia,Both sexes,83
2004,VC_IHR_PSRCN,Armenia,Female,22
2005,VC_IHR_PSRCN,Armenia,Female,11
2005,VC_IHR_PSRCN,Armenia,Both sexes,58
