Year,SeriesCode,Country,Age,Sex,Value
2018,VC_HTF_DETV,Belgium,ALLAGE,Male,44
2019,VC_HTF_DETV,Belgium,ALLAGE,Both sexes,144
2019,VC_HTF_DETV,Belgium,ALLAGE,Male,75
2019,VC_HTF_DETV,Belgium,ALLAGE,Female,69
2019,VC_HTF_DETV,Belgium,18+,Male,68
2019,VC_HTF_DETV,Belgium,<18Y,Male,7
2019,VC_HTF_DETV,Belgium,18+,Both sexes,133
2019,VC_HTF_DETV,Belgium,<18Y,Both sexes,11
2019,VC_HTF_DETV,Belgium,18+,Female,65
2020,VC_HTF_DETV,Belgium,ALLAGE,Both sexes,88
2020,VC_HTF_DETV,Belgium,18+,Female,38
2020,VC_HTF_DETV,Belgium,18+,Both sexes,84
2020,VC_HTF_DETV,Belgium,ALLAGE,Female,38
2020,VC_HTF_DETV,Belgium,ALLAGE,Male,50
2008,VC_HTF_DETV,Albania,ALLAGE,Both sexes,108
2008,VC_HTF_DETV,Albania,<18Y,Both sexes,16
2008,VC_HTF_DETV,Albania,18+,Both sexes,92
2009,VC_HTF_DETV,Albania,18+,Both sexes,72
2009,VC_HTF_DETV,Albania,<18Y,Male,17
2009,VC_HTF_DETV,Albania,<18Y,Female,5
2009,VC_HTF_DETV,Albania,<18Y,Both sexes,22
2009,VC_HTF_DETV,Albania,ALLAGE,Female,5
2009,VC_HTF_DETV,Albania,ALLAGE,Both sexes,94
2009,VC_HTF_DETV,Albania,ALLAGE,Male,17
2010,VC_HTF_DETV,Albania,<18Y,Both sexes,14
2010,VC_HTF_DETV,Albania,18+,Both sexes,83
2010,VC_HTF_DETV,Albania,ALLAGE,Both sexes,97
2011,VC_HTF_DETV,Albania,ALLAGE,Both sexes,84
2011,VC_HTF_DETV,Albania,<18Y,Both sexes,39
2011,VC_HTF_DETV,Albania,18+,Both sexes,45
2012,VC_HTF_DETV,Albania,18+,Both sexes,66
2012,VC_HTF_DETV,Albania,<18Y,Both sexes,26
2012,VC_HTF_DETV,Albania,ALLAGE,Both sexes,92
2013,VC_HTF_DETV,Albania,<18Y,Both sexes,43
2020,VC_HTF_DETV,Belgium,18+,Male,46
2007,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,41
2007,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,18
2007,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,23
2008,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,28
2008,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,5
2008,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,33
2009,VC_HTF_DETV,Bosnia and Herzegovina,18+,Male,41
2013,VC_HTF_DETV,Albania,18+,Both sexes,52
2013,VC_HTF_DETV,Albania,ALLAGE,Both sexes,95
2014,VC_HTF_DETV,Albania,<18Y,Both sexes,62
2014,VC_HTF_DETV,Albania,18+,Both sexes,63
2014,VC_HTF_DETV,Albania,18+,Male,63
2014,VC_HTF_DETV,Albania,ALLAGE,Female,17
2014,VC_HTF_DETV,Albania,<18Y,Female,17
2014,VC_HTF_DETV,Albania,ALLAGE,Male,108
2009,VC_HTF_DETV,Bosnia and Herzegovina,18+,Both sexes,42
2009,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Male,23
2009,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Male,64
2009,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Female,5
2009,VC_HTF_DETV,Bosnia and Herzegovina,<18Y,Both sexes,27
2009,VC_HTF_DETV,Bosnia and Herzegovina,ALLAGE,Both sexes,69
2008,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,55
2009,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,78
2010,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,57
2011,VC_HTF_DETV,Estonia,18+,Female,17
2011,VC_HTF_DETV,Estonia,ALLAGE,Female,18
2011,VC_HTF_DETV,Estonia,18+,Both sexes,56
2011,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,61
2011,VC_HTF_DETV,Estonia,18+,Male,39
2011,VC_HTF_DETV,Estonia,<18Y,Both sexes,5
2011,VC_HTF_DETV,Estonia,ALLAGE,Male,43
2012,VC_HTF_DETV,Estonia,18+,Female,14
2012,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,23
2012,VC_HTF_DETV,Estonia,ALLAGE,Male,9
2012,VC_HTF_DETV,Estonia,18+,Both sexes,22
2012,VC_HTF_DETV,Estonia,18+,Male,8
2012,VC_HTF_DETV,Estonia,ALLAGE,Female,14
2013,VC_HTF_DETV,Estonia,18+,Male,13
2013,VC_HTF_DETV,Estonia,ALLAGE,Male,14
2013,VC_HTF_DETV,Estonia,18+,Female,10
2013,VC_HTF_DETV,Estonia,ALLAGE,Female,10
2013,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,24
2013,VC_HTF_DETV,Estonia,18+,Both sexes,24
2015,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,13
2015,VC_HTF_DETV,Estonia,ALLAGE,Male,9
2015,VC_HTF_DETV,Estonia,<18Y,Male,7
2015,VC_HTF_DETV,Estonia,<18Y,Both sexes,11
2016,VC_HTF_DETV,Estonia,<18Y,Male,8
2016,VC_HTF_DETV,Estonia,ALLAGE,Male,8
2016,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,10
2016,VC_HTF_DETV,Estonia,<18Y,Both sexes,8
2017,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,10
2017,VC_HTF_DETV,Estonia,18+,Male,6
2017,VC_HTF_DETV,Estonia,18+,Both sexes,6
2017,VC_HTF_DETV,Estonia,ALLAGE,Male,10
2007,VC_HTF_DETV,Japan,ALLAGE,Both sexes,43
2007,VC_HTF_DETV,Japan,18+,Male,43
2007,VC_HTF_DETV,Japan,18+,Both sexes,43
2007,VC_HTF_DETV,Japan,ALLAGE,Male,43
2018,VC_HTF_DETV,Estonia,<18Y,Female,5
2018,VC_HTF_DETV,Estonia,ALLAGE,Male,5
2018,VC_HTF_DETV,Estonia,ALLAGE,Both sexes,10
2018,VC_HTF_DETV,Estonia,<18Y,Both sexes,7
2014,VC_HTF_DETV,Albania,<18Y,Male,45
2014,VC_HTF_DETV,Albania,ALLAGE,Both sexes,125
2015,VC_HTF_DETV,Albania,<18Y,Male,31
2015,VC_HTF_DETV,Albania,18+,Male,56
2015,VC_HTF_DETV,Albania,ALLAGE,Male,87
2015,VC_HTF_DETV,Albania,ALLAGE,Female,22
2015,VC_HTF_DETV,Albania,18+,Female,5
2015,VC_HTF_DETV,Albania,18+,Both sexes,61
2015,VC_HTF_DETV,Albania,ALLAGE,Both sexes,109
2015,VC_HTF_DETV,Albania,<18Y,Female,17
