Year,SeriesCode,Country,Age,Sex,Value
2005,VC_HTF_DETVFLR,Albania,ALLAGE,Both sexes,0.23
2006,VC_HTF_DETVFLR,Albania,ALLAGE,Both sexes,0.2
2017,VC_HTF_DETVFLR,Albania,<18Y,Female,5.88
2017,VC_HTF_DETVFLR,Albania,<18Y,Both sexes,3.49
2018,VC_HTF_DETVFLR,Albania,18+,Both sexes,0.22
2018,VC_HTF_DETVFLR,Albania,<18Y,Both sexes,4.08
2018,VC_HTF_DETVFLR,Albania,<18Y,Male,4.45
2018,VC_HTF_DETVFLR,Albania,<18Y,Female,3.68
2020,VC_HTF_DETVFLR,Italy,18+,Female,0.95
2021,VC_HTF_DETVFLR,Italy,ALLAGE,Both sexes,0.34
2012,VC_HTF_DETVFLR,Japan,ALLAGE,Both sexes,0.01
2014,VC_HTF_DETVFLR,Japan,ALLAGE,Both sexes,0.01
2019,VC_HTF_DETVFLR,Albania,<18Y,Male,2.61
2019,VC_HTF_DETVFLR,Albania,<18Y,Both sexes,3.84
2019,VC_HTF_DETVFLR,Albania,<18Y,Female,5.13
2014,VC_HTF_DETVFLR,Japan,18+,Male,0.01
2015,VC_HTF_DETVFLR,Japan,ALLAGE,Both sexes,0.03
2015,VC_HTF_DETVFLR,Japan,18+,Male,0.06
2016,VC_HTF_DETVFLR,Japan,18+,Male,0.02
2020,VC_HTF_DETVFLR,Albania,<18Y,Both sexes,4.26
2020,VC_HTF_DETVFLR,Albania,<18Y,Male,2.67
2020,VC_HTF_DETVFLR,Albania,<18Y,Female,5.92
2016,VC_HTF_DETVFLR,Japan,ALLAGE,Both sexes,0.01
2020,VC_HTF_DETVFLR,Japan,18+,Male,0.02
2020,VC_HTF_DETVFLR,Japan,18+,Both sexes,0.01
2020,VC_HTF_DETVFLR,Japan,ALLAGE,Both sexes,0.01
2008,VC_HTF_DETVFLR,Kazakhstan,ALLAGE,Both sexes,0.04
2017,VC_HTF_DETVFLR,Kazakhstan,ALLAGE,Both sexes,0.11
2020,VC_HTF_DETVFLR,Kazakhstan,ALLAGE,Both sexes,0.11
2021,VC_HTF_DETVFLR,Albania,ALLAGE,Both sexes,0.56
2006,VC_HTF_DETVFLR,Azerbaijan,ALLAGE,Both sexes,0.1
2009,VC_HTF_DETVFLR,Azerbaijan,ALLAGE,Both sexes,0.12
2012,VC_HTF_DETVFLR,Azerbaijan,ALLAGE,Both sexes,0.18
2013,VC_HTF_DETVFLR,Azerbaijan,ALLAGE,Both sexes,0.17
2012,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,Both sexes,4.29
2013,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,Both sexes,3.32
2014,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,Both sexes,2.72
2015,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,Both sexes,1.12
2017,VC_HTF_DETVFLR,Uzbekistan,18+,Both sexes,1.68
2017,VC_HTF_DETVFLR,Uzbekistan,18+,Male,0.39
2012,VC_HTF_DETVFLR,Latvia,ALLAGE,Both sexes,0.24
2014,VC_HTF_DETVFLR,Latvia,ALLAGE,Both sexes,0.6
2014,VC_HTF_DETVFLR,Latvia,18+,Female,0.87
2017,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,Both sexes,1.13
2017,VC_HTF_DETVFLR,Uzbekistan,18+,Female,2.93
2018,VC_HTF_DETVFLR,Uzbekistan,18+,Both sexes,1.01
2018,VC_HTF_DETVFLR,Uzbekistan,18+,Female,1.95
2018,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,Both sexes,0.67
2019,VC_HTF_DETVFLR,Uzbekistan,18+,Female,0.43
2019,VC_HTF_DETVFLR,Uzbekistan,ALLAGE,Both sexes,0.14
2019,VC_HTF_DETVFLR,Uzbekistan,18+,Both sexes,0.22
2017,VC_HTF_DETVFLR,Latvia,18+,Both sexes,0.44
2017,VC_HTF_DETVFLR,Latvia,18+,Female,0.79
2017,VC_HTF_DETVFLR,Latvia,ALLAGE,Both sexes,0.46
2010,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.05
2011,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.03
2012,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.02
2013,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.04
2018,VC_HTF_DETVFLR,Latvia,18+,Both sexes,0.7
2018,VC_HTF_DETVFLR,Latvia,ALLAGE,Both sexes,0.57
2018,VC_HTF_DETVFLR,Latvia,18+,Female,1.15
2019,VC_HTF_DETVFLR,Latvia,18+,Both sexes,1.73
2014,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.07
2015,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.03
2016,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.03
2017,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.15
2017,VC_HTF_DETVFLR,Australia,18+,Female,0.13
2017,VC_HTF_DETVFLR,Australia,18+,Male,0.26
2017,VC_HTF_DETVFLR,Australia,18+,Both sexes,0.19
2018,VC_HTF_DETVFLR,Australia,18+,Male,0.3
2018,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.22
2018,VC_HTF_DETVFLR,Australia,18+,Both sexes,0.29
2018,VC_HTF_DETVFLR,Australia,18+,Female,0.27
2019,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.32
2019,VC_HTF_DETVFLR,Australia,18+,Both sexes,0.41
2019,VC_HTF_DETVFLR,Australia,18+,Male,0.42
2019,VC_HTF_DETVFLR,Australia,18+,Female,0.39
2019,VC_HTF_DETVFLR,Australia,<18Y,Both sexes,0.09
2020,VC_HTF_DETVFLR,Australia,18+,Male,0.5
2020,VC_HTF_DETVFLR,Australia,18+,Both sexes,0.45
2020,VC_HTF_DETVFLR,Australia,18+,Female,0.4
2020,VC_HTF_DETVFLR,Australia,<18Y,Both sexes,0.09
2020,VC_HTF_DETVFLR,Australia,ALLAGE,Both sexes,0.35
2007,VC_HTF_DETVFLR,Austria,ALLAGE,Both sexes,0.77
2008,VC_HTF_DETVFLR,Austria,ALLAGE,Both sexes,0.96
2009,VC_HTF_DETVFLR,Austria,ALLAGE,Both sexes,0.7
2017,VC_HTF_DETVFLR,Austria,18+,Male,1.3
2018,VC_HTF_DETVFLR,Austria,18+,Male,0.93
2019,VC_HTF_DETVFLR,Austria,18+,Male,1.12
2020,VC_HTF_DETVFLR,Austria,18+,Female,1.09
2020,VC_HTF_DETVFLR,Austria,18+,Male,1.17
2020,VC_HTF_DETVFLR,Austria,ALLAGE,Both sexes,0.93
2009,VC_HTF_DETVFLR,Armenia,ALLAGE,Both sexes,0.54
2013,VC_HTF_DETVFLR,Armenia,ALLAGE,Both sexes,0.21
2015,VC_HTF_DETVFLR,Armenia,ALLAGE,Both sexes,0.31
2016,VC_HTF_DETVFLR,Armenia,ALLAGE,Both sexes,0.73
2017,VC_HTF_DETVFLR,Armenia,ALLAGE,Both sexes,0.32
2018,VC_HTF_DETVFLR,Armenia,ALLAGE,Both sexes,0.95
2018,VC_HTF_DETVFLR,Armenia,18+,Female,1.86
2019,VC_HTF_DETVFLR,Armenia,ALLAGE,Both sexes,0.18
2005,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.54
2006,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.61
2007,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,2.72
2008,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,1.9
2009,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,1.85
2012,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.59
2013,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.71
2014,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.77
2014,VC_HTF_DETVFLR,Belgium,18+,Male,0.25
2014,VC_HTF_DETVFLR,Belgium,18+,Female,1.62
2015,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.54
2015,VC_HTF_DETVFLR,Belgium,18+,Male,0.16
2015,VC_HTF_DETVFLR,Belgium,18+,Female,1.11
2016,VC_HTF_DETVFLR,Belgium,18+,Female,1.08
2016,VC_HTF_DETVFLR,Belgium,18+,Male,0.23
2016,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.55
2017,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.57
2017,VC_HTF_DETVFLR,Belgium,18+,Male,0.34
2017,VC_HTF_DETVFLR,Belgium,18+,Female,0.99
2018,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.66
2018,VC_HTF_DETVFLR,Belgium,18+,Female,0.17
2018,VC_HTF_DETVFLR,Belgium,18+,Male,1.48
2019,VC_HTF_DETVFLR,Belgium,18+,Male,0.42
2019,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.76
2019,VC_HTF_DETVFLR,Belgium,18+,Female,1.32
2020,VC_HTF_DETVFLR,Belgium,18+,Both sexes,0.52
2020,VC_HTF_DETVFLR,Belgium,ALLAGE,Both sexes,0.42
2020,VC_HTF_DETVFLR,Belgium,18+,Male,0.18
2020,VC_HTF_DETVFLR,Belgium,18+,Female,0.85
2010,VC_HTF_DETVFLR,Bosnia and Herzegovina,ALLAGE,Both sexes,0.45
2011,VC_HTF_DETVFLR,Bosnia and Herzegovina,ALLAGE,Both sexes,0.27
2012,VC_HTF_DETVFLR,Bosnia and Herzegovina,ALLAGE,Both sexes,0.35
2016,VC_HTF_DETVFLR,Bosnia and Herzegovina,ALLAGE,Both sexes,0.37
2017,VC_HTF_DETVFLR,Bosnia and Herzegovina,ALLAGE,Both sexes,0.2
2007,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.32
2008,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,1.17
2009,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.71
2010,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.45
2011,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,1.21
2012,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.87
2013,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.59
2014,VC_HTF_DETVFLR,Bulgaria,18+,Female,0.34
2014,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.22
2015,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.36
2015,VC_HTF_DETVFLR,Bulgaria,18+,Female,0.63
2016,VC_HTF_DETVFLR,Bulgaria,18+,Male,0.24
2016,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.43
2016,VC_HTF_DETVFLR,Bulgaria,18+,Female,0.67
2017,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.93
2017,VC_HTF_DETVFLR,Bulgaria,18+,Male,0.56
2017,VC_HTF_DETVFLR,Bulgaria,18+,Female,1.64
2018,VC_HTF_DETVFLR,Bulgaria,18+,Male,1.66
2018,VC_HTF_DETVFLR,Bulgaria,18+,Female,0.39
2018,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.83
2019,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.62
2020,VC_HTF_DETVFLR,Bulgaria,18+,Both sexes,1.1
2020,VC_HTF_DETVFLR,Bulgaria,18+,Female,0.43
2020,VC_HTF_DETVFLR,Bulgaria,<18Y,Both sexes,0.43
2020,VC_HTF_DETVFLR,Bulgaria,18+,Male,1.83
2020,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,0.99
2021,VC_HTF_DETVFLR,Bulgaria,ALLAGE,Both sexes,1.55
2005,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,2.62
2006,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,0.97
2007,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,0.41
2008,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,1.36
2009,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,0.3
2010,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,0.14
2011,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,0.08
2014,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,0.05
2015,VC_HTF_DETVFLR,Belarus,18+,Female,0.37
2016,VC_HTF_DETVFLR,Belarus,18+,Female,0.4
2016,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,0.21
2018,VC_HTF_DETVFLR,Belarus,18+,Both sexes,0.13
2018,VC_HTF_DETVFLR,Belarus,ALLAGE,Both sexes,0.1
2018,VC_HTF_DETVFLR,Belarus,<18Y,Female,0.53
2018,VC_HTF_DETVFLR,Belarus,18+,Female,0.12
2008,VC_HTF_DETVFLR,Canada,ALLAGE,Both sexes,0.03
2009,VC_HTF_DETVFLR,Canada,ALLAGE,Both sexes,0.06
2010,VC_HTF_DETVFLR,Canada,ALLAGE,Both sexes,0.07
2011,VC_HTF_DETVFLR,Canada,ALLAGE,Both sexes,0.18
2012,VC_HTF_DETVFLR,Canada,ALLAGE,Both sexes,0.03
2014,VC_HTF_DETVFLR,Canada,ALLAGE,Both sexes,0.04
2014,VC_HTF_DETVFLR,Canada,18+,Female,0.07
2015,VC_HTF_DETVFLR,Canada,ALLAGE,Both sexes,0.03
2015,VC_HTF_DETVFLR,Canada,<18Y,Female,0.15
2018,VC_HTF_DETVFLR,Canada,18+,Female,0.05
2018,VC_HTF_DETVFLR,Canada,ALLAGE,Both sexes,0.03
2008,VC_HTF_DETVFLR,Chile,ALLAGE,Both sexes,0.35
2011,VC_HTF_DETVFLR,Chile,ALLAGE,Both sexes,0.43
2013,VC_HTF_DETVFLR,Chile,ALLAGE,Both sexes,0.45
2018,VC_HTF_DETVFLR,Chile,18+,Both sexes,0.08
2018,VC_HTF_DETVFLR,Chile,ALLAGE,Both sexes,0.06
2018,VC_HTF_DETVFLR,Chile,18+,Male,0.16
2020,VC_HTF_DETVFLR,Chile,18+,Male,0.15
2020,VC_HTF_DETVFLR,Chile,ALLAGE,Both sexes,0.09
2020,VC_HTF_DETVFLR,Chile,18+,Female,0.08
