Year,SeriesCode,Country,Age,Sex,Value
2017,VC_HTF_DETVOP,Australia,18+,Female,7.0
2017,VC_HTF_DETVOP,Australia,18+,Male,14.0
2017,VC_HTF_DETVOP,Australia,18+,Both sexes,21.0
2017,VC_HTF_DETVOP,Australia,<18Y,Both sexes,17.0
2017,VC_HTF_DETVOP,Australia,ALLAGE,Both sexes,39.0
2018,VC_HTF_DETVOP,Australia,ALLAGE,Both sexes,63.0
2018,VC_HTF_DETVOP,Australia,<18Y,Both sexes,27.0
2018,VC_HTF_DETVOP,Australia,18+,Male,26.0
2018,VC_HTF_DETVOP,Australia,<18Y,Male,22.0
2018,VC_HTF_DETVOP,Australia,18+,Female,12.0
2018,VC_HTF_DETVOP,Australia,18+,Both sexes,38.0
2019,VC_HTF_DETVOP,Australia,18+,Both sexes,63.0
2019,VC_HTF_DETVOP,Australia,18+,Male,44.0
2019,VC_HTF_DETVOP,Australia,18+,Female,20.0
2019,VC_HTF_DETVOP,Australia,<18Y,Both sexes,27.0
2019,VC_HTF_DETVOP,Australia,<18Y,Male,22.0
2019,VC_HTF_DETVOP,Australia,ALLAGE,Both sexes,89.0
2020,VC_HTF_DETVOP,Australia,<18Y,Both sexes,18.0
2020,VC_HTF_DETVOP,Australia,18+,Female,23.0
2020,VC_HTF_DETVOP,Australia,<18Y,Female,6.0
2020,VC_HTF_DETVOP,Australia,ALLAGE,Both sexes,84.0
2020,VC_HTF_DETVOP,Australia,18+,Male,43.0
2020,VC_HTF_DETVOP,Australia,18+,Both sexes,66.0
2020,VC_HTF_DETVOP,Australia,<18Y,Male,17.0
2017,VC_HTF_DETVOP,Austria,18+,Male,10.0
2017,VC_HTF_DETVOP,Austria,ALLAGE,Both sexes,5.0
2018,VC_HTF_DETVOP,Austria,18+,Male,5.0
2019,VC_HTF_DETVOP,Austria,ALLAGE,Both sexes,10.0
2019,VC_HTF_DETVOP,Austria,18+,Male,17.0
2020,VC_HTF_DETVOP,Austria,18+,Female,21.0
2020,VC_HTF_DETVOP,Austria,ALLAGE,Both sexes,96.0
2020,VC_HTF_DETVOP,Austria,18+,Male,73.0
2009,VC_HTF_DETVOP,Armenia,ALLAGE,Both sexes,5.0
2014,VC_HTF_DETVOP,Poland,18+,Male,5.0
2014,VC_HTF_DETVOP,Poland,ALLAGE,Both sexes,30.0
2015,VC_HTF_DETVOP,Poland,ALLAGE,Both sexes,25.0
2016,VC_HTF_DETVOP,Poland,ALLAGE,Both sexes,19.0
2006,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,17.0
2007,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,40.0
2008,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,41.0
2009,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,39.0
2005,VC_HTF_DETVOP,Albania,ALLAGE,Both sexes,5.0
2006,VC_HTF_DETVOP,Albania,ALLAGE,Both sexes,6.0
2015,VC_HTF_DETVOP,Albania,ALLAGE,Both sexes,48.0
2016,VC_HTF_DETVOP,Albania,ALLAGE,Both sexes,18.0
2012,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,10.0
2014,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,9.0
2014,VC_HTF_DETVOP,Belgium,18+,Female,5.0
2015,VC_HTF_DETVOP,Belgium,<18Y,Female,6.0
2015,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,13.0
2016,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,9.0
2016,VC_HTF_DETVOP,Belgium,18+,Female,8.0
2018,VC_HTF_DETVOP,Belgium,ALLAGE,Both sexes,7.0
2014,VC_HTF_DETVOP,Bosnia and Herzegovina,<18Y,Male,18.0
