Year,SeriesCode,Country,Age,Sex,Value
2012,VC_HTF_DETVSX,Costa Rica,ALLAGE,Both sexes,10
2013,VC_HTF_DETVSX,Costa Rica,ALLAGE,Both sexes,11
2016,VC_HTF_DETVSX,Costa Rica,ALLAGE,Both sexes,12
2016,VC_HTF_DETVSX,Costa Rica,18+,Male,5
2017,VC_HTF_DETVSX,Costa Rica,<18Y,Both sexes,9
2017,VC_HTF_DETVSX,Costa Rica,18+,Both sexes,12
2017,VC_HTF_DETVSX,Costa Rica,18+,Male,28
2017,VC_HTF_DETVSX,Costa Rica,<18Y,Male,21
2017,VC_HTF_DETVSX,Costa Rica,ALLAGE,Both sexes,23
2018,VC_HTF_DETVSX,Costa Rica,<18Y,Male,11
2018,VC_HTF_DETVSX,Costa Rica,ALLAGE,Both sexes,5
2018,VC_HTF_DETVSX,Costa Rica,18+,Male,15
2018,VC_HTF_DETVSX,Costa Rica,18+,Both sexes,8
2019,VC_HTF_DETVSX,Costa Rica,18+,Both sexes,12
2019,VC_HTF_DETVSX,Costa Rica,18+,Male,10
2019,VC_HTF_DETVSX,Costa Rica,ALLAGE,Both sexes,16
2020,VC_HTF_DETVSX,Costa Rica,18+,Both sexes,8
2020,VC_HTF_DETVSX,Costa Rica,ALLAGE,Both sexes,16
2020,VC_HTF_DETVSX,Costa Rica,<18Y,Both sexes,7
2020,VC_HTF_DETVSX,Costa Rica,18+,Male,7
2021,VC_HTF_DETVSX,Costa Rica,ALLAGE,Both sexes,10
2004,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,14
2007,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,13
2009,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,5
2011,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,11
2012,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,7
2014,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,29
2014,VC_HTF_DETVSX,Croatia,<18Y,Male,15
2014,VC_HTF_DETVSX,Croatia,18+,Male,11
2015,VC_HTF_DETVSX,Croatia,18+,Male,30
2015,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,37
2015,VC_HTF_DETVSX,Croatia,<18Y,Male,7
2017,VC_HTF_DETVSX,Portugal,18+,Male,6
2018,VC_HTF_DETVSX,Portugal,ALLAGE,Both sexes,6
2005,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,62
2006,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,57
2008,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,108
2009,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,94
2015,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,57
2016,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,74
2017,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,54
2017,VC_HTF_DETVSX,Albania,<18Y,Both sexes,17
2017,VC_HTF_DETVSX,Albania,18+,Both sexes,39
2016,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,15
2016,VC_HTF_DETVSX,Croatia,18+,Male,7
2016,VC_HTF_DETVSX,Croatia,<18Y,Male,6
2017,VC_HTF_DETVSX,Croatia,<18Y,Male,6
2017,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,9
2018,VC_HTF_DETVSX,Croatia,ALLAGE,Both sexes,10
2019,VC_HTF_DETVSX,Portugal,ALLAGE,Both sexes,10
2019,VC_HTF_DETVSX,Portugal,18+,Male,10
2020,VC_HTF_DETVSX,Portugal,ALLAGE,Both sexes,5
2020,VC_HTF_DETVSX,Portugal,18+,Male,5
2005,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,1011
2006,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,1011
2007,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,724
2008,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,386
2009,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,320
2010,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,482
2011,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,506
2012,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,526
2017,VC_HTF_DETVSX,Albania,<18Y,Male,17
2017,VC_HTF_DETVSX,Albania,18+,Male,39
2018,VC_HTF_DETVSX,Albania,<18Y,Both sexes,15
2018,VC_HTF_DETVSX,Albania,<18Y,Male,15
2018,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,37
2018,VC_HTF_DETVSX,Albania,18+,Male,22
2018,VC_HTF_DETVSX,Croatia,18+,Male,10
2007,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,54
2008,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,40
2009,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,23
2018,VC_HTF_DETVSX,Albania,18+,Both sexes,22
2019,VC_HTF_DETVSX,Albania,18+,Male,32
2019,VC_HTF_DETVSX,Albania,<18Y,Male,33
2019,VC_HTF_DETVSX,Albania,<18Y,Both sexes,33
2019,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,65
2019,VC_HTF_DETVSX,Albania,18+,Both sexes,32
2013,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,439
2014,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,475
2015,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,498
2016,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,530
2017,VC_HTF_DETVSX,Romania,<18Y,Female,42
2017,VC_HTF_DETVSX,Romania,18+,Both sexes,212
2017,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,454
2014,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,11
2014,VC_HTF_DETVSX,Cyprus,18+,Male,11
2015,VC_HTF_DETVSX,Cyprus,18+,Male,6
2020,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,48
2020,VC_HTF_DETVSX,Albania,<18Y,Male,24
2020,VC_HTF_DETVSX,Albania,18+,Male,23
2020,VC_HTF_DETVSX,Albania,18+,Both sexes,23
2020,VC_HTF_DETVSX,Albania,<18Y,Both sexes,25
2021,VC_HTF_DETVSX,Albania,ALLAGE,Both sexes,59
2006,VC_HTF_DETVSX,Azerbaijan,ALLAGE,Both sexes,77
2017,VC_HTF_DETVSX,Romania,<18Y,Both sexes,242
2017,VC_HTF_DETVSX,Romania,<18Y,Male,200
2017,VC_HTF_DETVSX,Romania,18+,Male,211
2018,VC_HTF_DETVSX,Romania,<18Y,Female,20
2018,VC_HTF_DETVSX,Romania,18+,Both sexes,158
2015,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,6
2016,VC_HTF_DETVSX,Cyprus,18+,Male,6
2016,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,6
2017,VC_HTF_DETVSX,Cyprus,ALLAGE,Both sexes,16
2017,VC_HTF_DETVSX,Cyprus,18+,Male,16
2007,VC_HTF_DETVSX,Azerbaijan,ALLAGE,Both sexes,99
2008,VC_HTF_DETVSX,Azerbaijan,ALLAGE,Both sexes,76
2009,VC_HTF_DETVSX,Azerbaijan,ALLAGE,Both sexes,77
2012,VC_HTF_DETVSX,Azerbaijan,ALLAGE,Both sexes,36
2013,VC_HTF_DETVSX,Azerbaijan,ALLAGE,Both sexes,40
2014,VC_HTF_DETVSX,Azerbaijan,ALLAGE,Both sexes,51
2015,VC_HTF_DETVSX,Azerbaijan,ALLAGE,Both sexes,47
2018,VC_HTF_DETVSX,Romania,<18Y,Both sexes,177
2018,VC_HTF_DETVSX,Romania,18+,Male,158
2018,VC_HTF_DETVSX,Romania,<18Y,Male,157
2018,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,335
2019,VC_HTF_DETVSX,Romania,18+,Male,256
2005,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,20
2006,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,16
2007,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,18
2008,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,23
2009,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,19
2010,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,20
2011,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,5
2019,VC_HTF_DETVSX,Romania,18+,Both sexes,256
2019,VC_HTF_DETVSX,Romania,<18Y,Both sexes,262
2019,VC_HTF_DETVSX,Romania,<18Y,Male,252
2019,VC_HTF_DETVSX,Romania,<18Y,Female,10
2019,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,518
2020,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,426
2020,VC_HTF_DETVSX,Romania,18+,Male,210
2020,VC_HTF_DETVSX,Romania,<18Y,Female,32
2020,VC_HTF_DETVSX,Romania,<18Y,Male,183
2020,VC_HTF_DETVSX,Romania,<18Y,Both sexes,215
2020,VC_HTF_DETVSX,Romania,18+,Both sexes,211
2021,VC_HTF_DETVSX,Romania,ALLAGE,Both sexes,382
2012,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,11
2013,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,12
2014,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,13
2017,VC_HTF_DETVSX,Australia,18+,Male,10
2017,VC_HTF_DETVSX,Australia,18+,Both sexes,10
2017,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,10
2018,VC_HTF_DETVSX,Australia,18+,Male,13
2018,VC_HTF_DETVSX,Australia,18+,Both sexes,14
2018,VC_HTF_DETVSX,Australia,ALLAGE,Both sexes,13
