Year,SeriesCode,Country,Sex,Value
2010,IU_COR_BRIB,Albania,Both sexes,19.3
2010,IU_COR_BRIB,Albania,Male,17.0
2010,IU_COR_BRIB,Albania,Female,21.3
2016,IU_COR_BRIB,Albania,Both sexes,22.78
2016,IU_COR_BRIB,Azerbaijan,Both sexes,27.59
2016,IU_COR_BRIB,Australia,Both sexes,4.0
2021,IU_COR_BRIB,Austria,Both sexes,9.0
2015,IU_COR_BRIB,Armenia,Both sexes,17.42
2016,IU_COR_BRIB,Belgium,Both sexes,2.18
2021,IU_COR_BRIB,Belgium,Both sexes,10.0
2010,IU_COR_BRIB,Bosnia and Herzegovina,Both sexes,20.7
2010,IU_COR_BRIB,Bosnia and Herzegovina,Male,23.2
2010,IU_COR_BRIB,Bosnia and Herzegovina,Female,18.2
2015,IU_COR_BRIB,Bosnia and Herzegovina,Both sexes,24.2
2015,IU_COR_BRIB,Bulgaria,Both sexes,12.34
2021,IU_COR_BRIB,Bulgaria,Both sexes,19.0
2016,IU_COR_BRIB,Belarus,Both sexes,14.52
2016,IU_COR_BRIB,Chile,Both sexes,22.0
2019,IU_COR_BRIB,Chile,Both sexes,13.0
2016,IU_COR_BRIB,Colombia,Both sexes,30.0
2016,IU_COR_BRIB,Costa Rica,Both sexes,24.0
2019,IU_COR_BRIB,Costa Rica,Both sexes,7.0
2010,IU_COR_BRIB,Croatia,Both sexes,11.2
2010,IU_COR_BRIB,Croatia,Male,12.9
2010,IU_COR_BRIB,Croatia,Female,9.6
2015,IU_COR_BRIB,Croatia,Both sexes,6.14
2021,IU_COR_BRIB,Croatia,Both sexes,14.0
2015,IU_COR_BRIB,Cyprus,Both sexes,1.45
2021,IU_COR_BRIB,Cyprus,Both sexes,4.0
2016,IU_COR_BRIB,Czechia,Both sexes,6.53
2021,IU_COR_BRIB,Czechia,Both sexes,11.0
2021,IU_COR_BRIB,Denmark,Both sexes,1.0
2004,IU_COR_BRIB,Estonia,Both sexes,3.3
2009,IU_COR_BRIB,Estonia,Both sexes,0.5
2015,IU_COR_BRIB,Estonia,Both sexes,3.63
2021,IU_COR_BRIB,Estonia,Both sexes,1.0
2021,IU_COR_BRIB,Estonia,Male,1.5
2021,IU_COR_BRIB,Estonia,Female,0.5
2021,IU_COR_BRIB,Finland,Both sexes,1.0
2015,IU_COR_BRIB,France,Both sexes,1.45
2018,IU_COR_BRIB,France,Both sexes,0.1
2021,IU_COR_BRIB,France,Both sexes,5.0
