Year,SeriesCode,Country,Age,Disability status,Location,Population Group,Service Attribute,Sex,Value
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,ACCESS,Male,97
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,AFFORD,Male,88
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,QUALITY,Male,93
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,EQUALITY,Male,85
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,ATTITUDE,Male,84
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,AVERAGE,Male,89
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,ACCESS,Female,96
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,AFFORD,Both sexes,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,QUALITY,Both sexes,90
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,EQUALITY,Both sexes,84
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,ATTITUDE,Both sexes,85
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,AFFORD,Both sexes,87
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,AVERAGE,Both sexes,88
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,QUALITY,Both sexes,98
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,QUALITY,Both sexes,92
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,EQUALITY,Both sexes,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,ATTITUDE,Both sexes,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,AVERAGE,Both sexes,89
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,AFFORD,Female,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,ACCESS,Both sexes,96
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,QUALITY,Female,92
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,EQUALITY,Female,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,ATTITUDE,Female,88
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,All areas,TOTAL,AVERAGE,Female,90
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,ACCESS,Both sexes,98
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Urban,TOTAL,ACCESS,Both sexes,96
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,EQUALITY,Both sexes,90
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,ATTITUDE,Both sexes,88
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,AVERAGE,Both sexes,93
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,Total or no breakdown,Rural,TOTAL,AFFORD,Both sexes,91
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,ACCESS,Female,74
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,QUALITY,Both sexes,73
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,ATTITUDE,Both sexes,75
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,ACCESS,Male,73
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,QUALITY,Male,74
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,ATTITUDE,Male,74
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,ACCESS,Both sexes,73
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,QUALITY,Female,72
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,POP_A,ATTITUDE,Both sexes,67
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,TOTAL,ATTITUDE,Female,76
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,POP_A,QUALITY,Both sexes,70
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,POP_A,ACCESS,Both sexes,65
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,Total or no breakdown,All areas,POP_A,ACCESS,Both sexes,65
