Year,SeriesCode,Country,Age,Sex,Value
2021,SG_DMK_PARLSP_UC,Australia,46+,Male,1
2022,SG_DMK_PARLSP_UC,Australia,46+,Male,1
2023,SG_DMK_PARLSP_UC,Australia,46+,Female,1
2021,SG_DMK_PARLSP_UC,Austria,46+,Male,1
2022,SG_DMK_PARLSP_UC,Austria,46+,Female,1
2023,SG_DMK_PARLSP_UC,Austria,46+,Male,1
2021,SG_DMK_PARLSP_UC,Belgium,<=45Y,Female,1
2022,SG_DMK_PARLSP_UC,Belgium,<=45Y,Female,1
2023,SG_DMK_PARLSP_UC,Belgium,<=45Y,Female,1
2021,SG_DMK_PARLSP_UC,Bosnia and Herzegovina,46+,Male,3
2022,SG_DMK_PARLSP_UC,Bosnia and Herzegovina,46+,Male,3
2023,SG_DMK_PARLSP_UC,Bosnia and Herzegovina,46+,Male,3
2021,SG_DMK_PARLSP_UC,Belarus,46+,Female,1
2022,SG_DMK_PARLSP_UC,Belarus,46+,Female,1
2023,SG_DMK_PARLSP_UC,Belarus,46+,Female,1
2021,SG_DMK_PARLSP_UC,Canada,46+,Male,1
2022,SG_DMK_PARLSP_UC,Canada,46+,Male,1
2023,SG_DMK_PARLSP_UC,Canada,46+,Male,1
2021,SG_DMK_PARLSP_UC,Chile,46+,Female,1
2022,SG_DMK_PARLSP_UC,Chile,46+,Female,1
2023,SG_DMK_PARLSP_UC,Chile,46+,Male,1
2021,SG_DMK_PARLSP_UC,Colombia,46+,Male,1
2022,SG_DMK_PARLSP_UC,Colombia,46+,Male,1
2023,SG_DMK_PARLSP_UC,Colombia,46+,Male,1
2021,SG_DMK_PARLSP_UC,Czechia,46+,Male,1
2022,SG_DMK_PARLSP_UC,Czechia,46+,Male,1
2023,SG_DMK_PARLSP_UC,Czechia,46+,Male,1
2021,SG_DMK_PARLSP_UC,France,46+,Male,1
2022,SG_DMK_PARLSP_UC,France,46+,Male,1
2023,SG_DMK_PARLSP_UC,France,46+,Male,1
2021,SG_DMK_PARLSP_UC,Germany,46+,Male,1
2022,SG_DMK_PARLSP_UC,Germany,46+,Male,1
2023,SG_DMK_PARLSP_UC,Germany,46+,Male,1
2021,SG_DMK_PARLSP_UC,India,46+,Male,1
2022,SG_DMK_PARLSP_UC,India,46+,Male,1
2023,SG_DMK_PARLSP_UC,India,46+,Male,1
2021,SG_DMK_PARLSP_UC,Ireland,46+,Male,1
2022,SG_DMK_PARLSP_UC,Ireland,46+,Male,1
2023,SG_DMK_PARLSP_UC,Ireland,46+,Male,1
2021,SG_DMK_PARLSP_UC,Italy,46+,Female,1
2022,SG_DMK_PARLSP_UC,Italy,46+,Female,1
2023,SG_DMK_PARLSP_UC,Italy,46+,Male,1
2021,SG_DMK_PARLSP_UC,Japan,46+,Female,1
2022,SG_DMK_PARLSP_UC,Japan,46+,Female,1
2023,SG_DMK_PARLSP_UC,Japan,46+,Male,1
2021,SG_DMK_PARLSP_UC,Kazakhstan,46+,Male,1
2022,SG_DMK_PARLSP_UC,Kazakhstan,46+,Male,1
2023,SG_DMK_PARLSP_UC,Kazakhstan,46+,Male,1
2021,SG_DMK_PARLSP_UC,Mexico,<=45Y,Male,1
2022,SG_DMK_PARLSP_UC,Mexico,46+,Female,1
2023,SG_DMK_PARLSP_UC,Mexico,46+,Male,1
2021,SG_DMK_PARLSP_UC,Netherlands (Kingdom of the),46+,Male,1
2022,SG_DMK_PARLSP_UC,Netherlands (Kingdom of the),46+,Male,1
2023,SG_DMK_PARLSP_UC,Netherlands (Kingdom of the),46+,Male,1
2021,SG_DMK_PARLSP_UC,Poland,46+,Male,1
2022,SG_DMK_PARLSP_UC,Poland,46+,Male,1
2023,SG_DMK_PARLSP_UC,Poland,46+,Male,1
2021,SG_DMK_PARLSP_UC,Romania,46+,Female,1
2022,SG_DMK_PARLSP_UC,Romania,46+,Male,1
2023,SG_DMK_PARLSP_UC,Romania,<=45Y,Female,1
2021,SG_DMK_PARLSP_UC,Slovenia,46+,Male,1
2022,SG_DMK_PARLSP_UC,Slovenia,46+,Male,1
2023,SG_DMK_PARLSP_UC,Slovenia,46+,Male,1
2021,SG_DMK_PARLSP_UC,Spain,46+,Female,1
2022,SG_DMK_PARLSP_UC,Spain,46+,Male,1
2023,SG_DMK_PARLSP_UC,Spain,46+,Male,1
2021,SG_DMK_PARLSP_UC,Switzerland,46+,Male,1
2022,SG_DMK_PARLSP_UC,Switzerland,46+,Male,1
2023,SG_DMK_PARLSP_UC,Switzerland,46+,Female,1
2021,SG_DMK_PARLSP_UC,Tajikistan,<=45Y,Male,1
2022,SG_DMK_PARLSP_UC,Tajikistan,<=45Y,Male,1
2023,SG_DMK_PARLSP_UC,Tajikistan,<=45Y,Male,1
2022,SG_DMK_PARLSP_UC,Turkmenistan,46+,Male,1
2023,SG_DMK_PARLSP_UC,Turkmenistan,46+,Male,1
2021,SG_DMK_PARLSP_UC,United Kingdom of Great Britain and Northern Ireland,46+,Male,1
2022,SG_DMK_PARLSP_UC,United Kingdom of Great Britain and Northern Ireland,46+,Male,1
2023,SG_DMK_PARLSP_UC,United Kingdom of Great Britain and Northern Ireland,46+,Male,1
2021,SG_DMK_PARLSP_UC,Uzbekistan,46+,Female,1
2022,SG_DMK_PARLSP_UC,Uzbekistan,46+,Female,1
2023,SG_DMK_PARLSP_UC,Uzbekistan,46+,Female,1
2023,SG_DMK_PARLSP_UC,Uzbekistan,46+,Female,1
