Year,SeriesCode,Country,Age,Value
2021,SG_DMK_PARLYP_LC,Albania,<=45Y,31.15
2022,SG_DMK_PARLYP_LC,Albania,<=45Y,31.15
2021,SG_DMK_PARLYP_LC,Azerbaijan,<=45Y,30.36
2022,SG_DMK_PARLYP_LC,Azerbaijan,<=45Y,30.36
2023,SG_DMK_PARLYP_LC,Azerbaijan,<=45Y,22.03
2021,SG_DMK_PARLYP_LC,Australia,<=45Y,25.83
2022,SG_DMK_PARLYP_LC,Australia,<=45Y,25.83
2023,SG_DMK_PARLYP_LC,Australia,<=45Y,24.31
2021,SG_DMK_PARLYP_LC,Austria,<=45Y,43.72
2022,SG_DMK_PARLYP_LC,Austria,<=45Y,43.72
2023,SG_DMK_PARLYP_LC,Austria,<=45Y,43.72
2021,SG_DMK_PARLYP_LC,Armenia,<=45Y,71.97
2022,SG_DMK_PARLYP_LC,Armenia,<=45Y,70.09
2023,SG_DMK_PARLYP_LC,Armenia,<=45Y,70.09
2021,SG_DMK_PARLYP_LC,Belgium,<=45Y,54.0
2022,SG_DMK_PARLYP_LC,Belgium,<=45Y,54.0
2023,SG_DMK_PARLYP_LC,Belgium,<=45Y,54.0
2021,SG_DMK_PARLYP_LC,Bosnia and Herzegovina,<=45Y,19.05
2022,SG_DMK_PARLYP_LC,Bosnia and Herzegovina,<=45Y,19.05
2023,SG_DMK_PARLYP_LC,Bosnia and Herzegovina,<=45Y,24.39
2021,SG_DMK_PARLYP_LC,Bulgaria,<=45Y,41.42
2022,SG_DMK_PARLYP_LC,Bulgaria,<=45Y,51.67
2023,SG_DMK_PARLYP_LC,Bulgaria,<=45Y,52.5
2021,SG_DMK_PARLYP_LC,Belarus,<=45Y,20.91
2022,SG_DMK_PARLYP_LC,Belarus,<=45Y,20.91
2023,SG_DMK_PARLYP_LC,Belarus,<=45Y,20.91
2023,SG_DMK_PARLYP_LC,Canada,<=45Y,30.19
2021,SG_DMK_PARLYP_LC,Chile,<=45Y,41.29
2023,SG_DMK_PARLYP_LC,Chile,<=45Y,45.16
2021,SG_DMK_PARLYP_LC,China,<=45Y,11.56
2022,SG_DMK_PARLYP_LC,China,<=45Y,11.56
2023,SG_DMK_PARLYP_LC,China,<=45Y,11.56
2021,SG_DMK_PARLYP_LC,Colombia,<=45Y,46.67
2022,SG_DMK_PARLYP_LC,Colombia,<=45Y,46.67
2023,SG_DMK_PARLYP_LC,Colombia,<=45Y,63.48
2021,SG_DMK_PARLYP_LC,Costa Rica,<=45Y,45.61
2022,SG_DMK_PARLYP_LC,Costa Rica,<=45Y,45.61
2023,SG_DMK_PARLYP_LC,Costa Rica,<=45Y,43.86
2021,SG_DMK_PARLYP_LC,Croatia,<=45Y,39.74
2022,SG_DMK_PARLYP_LC,Croatia,<=45Y,39.74
2023,SG_DMK_PARLYP_LC,Croatia,<=45Y,39.74
2021,SG_DMK_PARLYP_LC,Cyprus,<=45Y,25.0
2022,SG_DMK_PARLYP_LC,Cyprus,<=45Y,33.93
2023,SG_DMK_PARLYP_LC,Cyprus,<=45Y,33.93
2021,SG_DMK_PARLYP_LC,Czechia,<=45Y,36.0
