Year,SeriesCode,Country,Value
2000,BN_KLT_PTXL_CD,Bulgaria,176870810.33128
2001,BN_KLT_PTXL_CD,Bulgaria,-64754423.68113
2002,BN_KLT_PTXL_CD,Bulgaria,83757787.06092
2003,BN_KLT_PTXL_CD,Bulgaria,211758373.35271
2004,BN_KLT_PTXL_CD,Bulgaria,520991698.29831
2005,BN_KLT_PTXL_CD,Bulgaria,1304132497.5338
2006,BN_KLT_PTXL_CD,Bulgaria,-363441387.44854
2007,BN_KLT_PTXL_CD,Bulgaria,836524082.75566
2008,BN_KLT_PTXL_CD,Bulgaria,1076810246.75011
2009,BN_KLT_PTXL_CD,Bulgaria,821842165.4682
2010,BN_KLT_PTXL_CD,Bulgaria,851470000.0
2000,BN_KLT_PTXL_CD,Albania,25000000.0
2001,BN_KLT_PTXL_CD,Albania,23500000.0
2002,BN_KLT_PTXL_CD,Albania,36820000.0
2003,BN_KLT_PTXL_CD,Albania,22485018.0
2004,BN_KLT_PTXL_CD,Albania,3641326.0
2005,BN_KLT_PTXL_CD,Albania,5664561.0221
2006,BN_KLT_PTXL_CD,Albania,-34157087.66131
2007,BN_KLT_PTXL_CD,Albania,-25810000.0
2008,BN_KLT_PTXL_CD,Albania,28335270.78615
2009,BN_KLT_PTXL_CD,Albania,-15762588.58457
2010,BN_KLT_PTXL_CD,Albania,-317665158.19769
2000,BN_KLT_PTXL_CD,Republic of Korea,-12176700000.0
2001,BN_KLT_PTXL_CD,Republic of Korea,-6706300000.0
2002,BN_KLT_PTXL_CD,Republic of Korea,-346400000.0
2003,BN_KLT_PTXL_CD,Republic of Korea,-17287400000.0
2004,BN_KLT_PTXL_CD,Republic of Korea,-6599000000.0
2005,BN_KLT_PTXL_CD,Republic of Korea,3518100000.0
2006,BN_KLT_PTXL_CD,Republic of Korea,23385700000.0
2007,BN_KLT_PTXL_CD,Republic of Korea,27078000000.0
2008,BN_KLT_PTXL_CD,Republic of Korea,2421400000.0
2009,BN_KLT_PTXL_CD,Republic of Korea,-51187500000.0
2010,BN_KLT_PTXL_CD,Republic of Korea,-42364700000.0
2011,BN_KLT_PTXL_CD,Bulgaria,485420000.0
2012,BN_KLT_PTXL_CD,Bulgaria,1192850000.0
2013,BN_KLT_PTXL_CD,Bulgaria,159850000.0
2014,BN_KLT_PTXL_CD,Bulgaria,-1647760000.0
2015,BN_KLT_PTXL_CD,Bulgaria,-665130000.0
2016,BN_KLT_PTXL_CD,Bulgaria,-801880000.0
2017,BN_KLT_PTXL_CD,Bulgaria,3257070000.0
2018,BN_KLT_PTXL_CD,Bulgaria,1841090000.0
2019,BN_KLT_PTXL_CD,Bulgaria,1792770000.0
2020,BN_KLT_PTXL_CD,Bulgaria,812920000.0
2021,BN_KLT_PTXL_CD,Bulgaria,2737930000.0
2011,BN_KLT_PTXL_CD,Albania,-94043233.85092
2012,BN_KLT_PTXL_CD,Albania,43630172.43753
2013,BN_KLT_PTXL_CD,Albania,150201357.59212
2014,BN_KLT_PTXL_CD,Albania,155182028.00814
2015,BN_KLT_PTXL_CD,Albania,-254256925.35031
2016,BN_KLT_PTXL_CD,Albania,245500179.55294
2017,BN_KLT_PTXL_CD,Albania,-100676648.10719
2018,BN_KLT_PTXL_CD,Albania,-80670600.45531
2019,BN_KLT_PTXL_CD,Albania,154704213.09361
2020,BN_KLT_PTXL_CD,Albania,-56789538.5462
2021,BN_KLT_PTXL_CD,Albania,-92646610.21792
2011,BN_KLT_PTXL_CD,Republic of Korea,-13142700000.0
2012,BN_KLT_PTXL_CD,Republic of Korea,-6747800000.0
2013,BN_KLT_PTXL_CD,Republic of Korea,9344500000.0
2014,BN_KLT_PTXL_CD,Republic of Korea,30608900000.0
2015,BN_KLT_PTXL_CD,Republic of Korea,49529800000.0
2016,BN_KLT_PTXL_CD,Republic of Korea,66970200000.0
2017,BN_KLT_PTXL_CD,Republic of Korea,57853000000.0
2018,BN_KLT_PTXL_CD,Republic of Korea,47420700000.0
2019,BN_KLT_PTXL_CD,Republic of Korea,42377000000.0
2020,BN_KLT_PTXL_CD,Republic of Korea,41744800000.0
2021,BN_KLT_PTXL_CD,Republic of Korea,19607500000.0
2000,BN_KLT_PTXL_CD,Belarus,-44400000.0
2001,BN_KLT_PTXL_CD,Belarus,19900000.0
2002,BN_KLT_PTXL_CD,Belarus,9100000.0
2003,BN_KLT_PTXL_CD,Belarus,-6100000.0
2004,BN_KLT_PTXL_CD,Belarus,-62800000.0
2005,BN_KLT_PTXL_CD,Belarus,41500000.0
2006,BN_KLT_PTXL_CD,Belarus,26400000.0
2007,BN_KLT_PTXL_CD,Belarus,38800000.0
2008,BN_KLT_PTXL_CD,Belarus,-5300000.0
2009,BN_KLT_PTXL_CD,Belarus,-18800000.0
2010,BN_KLT_PTXL_CD,Belarus,-1185600000.0
2011,BN_KLT_PTXL_CD,Belarus,-854100000.0
2012,BN_KLT_PTXL_CD,Belarus,191000000.0
2013,BN_KLT_PTXL_CD,Belarus,59100000.0
2014,BN_KLT_PTXL_CD,Belarus,19600000.0
2015,BN_KLT_PTXL_CD,Belarus,952100000.0
2016,BN_KLT_PTXL_CD,Belarus,-646100000.0
2017,BN_KLT_PTXL_CD,Belarus,-1264800000.0
2018,BN_KLT_PTXL_CD,Belarus,585300000.0
2019,BN_KLT_PTXL_CD,Belarus,-500800000.0
2020,BN_KLT_PTXL_CD,Belarus,-1343500000.0
2021,BN_KLT_PTXL_CD,Belarus,87190338.71
2000,BN_KLT_PTXL_CD,Canada,32052339606.1915
2001,BN_KLT_PTXL_CD,Canada,-712485686.0047
2002,BN_KLT_PTXL_CD,Canada,5437539188.0079
2003,BN_KLT_PTXL_CD,Canada,-76200113.51808
2004,BN_KLT_PTXL_CD,Canada,-23632851976.0626
2005,BN_KLT_PTXL_CD,Canada,33769361230.7641
2006,BN_KLT_PTXL_CD,Canada,41907817960.8162
2007,BN_KLT_PTXL_CD,Canada,70519342120.5641
2008,BN_KLT_PTXL_CD,Canada,-47819527939.929
2009,BN_KLT_PTXL_CD,Canada,-92637063277.4507
2010,BN_KLT_PTXL_CD,Canada,-110142063605.869
2000,BN_KLT_PTXL_CD,Kyrgyzstan,1287663.46107
2001,BN_KLT_PTXL_CD,Kyrgyzstan,-1171208.35859
2002,BN_KLT_PTXL_CD,Kyrgyzstan,12005377.77176
2003,BN_KLT_PTXL_CD,Kyrgyzstan,-6010796.83121
2004,BN_KLT_PTXL_CD,Kyrgyzstan,9453783.75476
2005,BN_KLT_PTXL_CD,Kyrgyzstan,-2264747.05093
2006,BN_KLT_PTXL_CD,Kyrgyzstan,2983615.20925
2007,BN_KLT_PTXL_CD,Kyrgyzstan,14338320.83799
2008,BN_KLT_PTXL_CD,Kyrgyzstan,4538023.27157
2009,BN_KLT_PTXL_CD,Kyrgyzstan,13888355.42314
2010,BN_KLT_PTXL_CD,Kyrgyzstan,-27084111.10611
2011,BN_KLT_PTXL_CD,Canada,-104265503229.2
2012,BN_KLT_PTXL_CD,Canada,-68097064857.0697
2013,BN_KLT_PTXL_CD,Canada,-34483049123.1263
2014,BN_KLT_PTXL_CD,Canada,-33792951516.9984
2015,BN_KLT_PTXL_CD,Canada,-37884016917.9498
2016,BN_KLT_PTXL_CD,Canada,-102982524308.762
2017,BN_KLT_PTXL_CD,Canada,-75109610881.8289
2018,BN_KLT_PTXL_CD,Canada,3092046327.92832
2019,BN_KLT_PTXL_CD,Canada,-1553064964.9316
2020,BN_KLT_PTXL_CD,Canada,-66308924255.0871
2021,BN_KLT_PTXL_CD,Canada,-41444535330.1599
2011,BN_KLT_PTXL_CD,Kyrgyzstan,324472.23744
