Year,SeriesCode,Country,Value
2000,NE_GDI_TOTL_KD_ZG,Germany,3.33669
2001,NE_GDI_TOTL_KD_ZG,Germany,-2.39001
2002,NE_GDI_TOTL_KD_ZG,Germany,-7.73536
2003,NE_GDI_TOTL_KD_ZG,Germany,-0.49827
2004,NE_GDI_TOTL_KD_ZG,Germany,-2.78685
2005,NE_GDI_TOTL_KD_ZG,Germany,-1.93729
2006,NE_GDI_TOTL_KD_ZG,Germany,9.3982
2007,NE_GDI_TOTL_KD_ZG,Germany,6.60751
2008,NE_GDI_TOTL_KD_ZG,Germany,0.52874
2009,NE_GDI_TOTL_KD_ZG,Germany,-16.88906
2010,NE_GDI_TOTL_KD_ZG,Germany,12.22313
2011,NE_GDI_TOTL_KD_ZG,Germany,9.35673
2000,NE_GDI_TOTL_KD_ZG,Azerbaijan,-11.73966
2001,NE_GDI_TOTL_KD_ZG,Azerbaijan,12.90537
2002,NE_GDI_TOTL_KD_ZG,Azerbaijan,87.65746
2003,NE_GDI_TOTL_KD_ZG,Azerbaijan,72.52733
2004,NE_GDI_TOTL_KD_ZG,Azerbaijan,25.0512
2005,NE_GDI_TOTL_KD_ZG,Azerbaijan,-1.30194
2006,NE_GDI_TOTL_KD_ZG,Azerbaijan,2.69053
2007,NE_GDI_TOTL_KD_ZG,Azerbaijan,-9.30662
2008,NE_GDI_TOTL_KD_ZG,Azerbaijan,1.59955
2009,NE_GDI_TOTL_KD_ZG,Azerbaijan,-8.96097
2010,NE_GDI_TOTL_KD_ZG,Azerbaijan,4.31451
2011,NE_GDI_TOTL_KD_ZG,Azerbaijan,11.26977
2012,NE_GDI_TOTL_KD_ZG,Germany,-8.76623
2013,NE_GDI_TOTL_KD_ZG,Germany,2.87838
2014,NE_GDI_TOTL_KD_ZG,Germany,3.46932
2015,NE_GDI_TOTL_KD_ZG,Germany,-1.67158
2016,NE_GDI_TOTL_KD_ZG,Germany,3.78
2017,NE_GDI_TOTL_KD_ZG,Germany,6.87994
2018,NE_GDI_TOTL_KD_ZG,Germany,2.81284
2019,NE_GDI_TOTL_KD_ZG,Germany,1.24518
2020,NE_GDI_TOTL_KD_ZG,Germany,-3.28252
2021,NE_GDI_TOTL_KD_ZG,Germany,3.50139
2000,NE_GDI_TOTL_KD_ZG,Greece,12.36373
2001,NE_GDI_TOTL_KD_ZG,Greece,4.46532
2000,NE_GDI_TOTL_KD_ZG,Romania,25.74297
2001,NE_GDI_TOTL_KD_ZG,Romania,17.1618
2002,NE_GDI_TOTL_KD_ZG,Romania,2.38143
2003,NE_GDI_TOTL_KD_ZG,Romania,8.54707
2004,NE_GDI_TOTL_KD_ZG,Romania,17.04059
2005,NE_GDI_TOTL_KD_ZG,Romania,1.02733
2006,NE_GDI_TOTL_KD_ZG,Romania,33.01474
2007,NE_GDI_TOTL_KD_ZG,Romania,27.08549
2008,NE_GDI_TOTL_KD_ZG,Romania,11.11659
2009,NE_GDI_TOTL_KD_ZG,Romania,-22.50393
2010,NE_GDI_TOTL_KD_ZG,Romania,-1.61982
2011,NE_GDI_TOTL_KD_ZG,Romania,6.33279
2002,NE_GDI_TOTL_KD_ZG,Greece,2.23344
2003,NE_GDI_TOTL_KD_ZG,Greece,18.60438
2004,NE_GDI_TOTL_KD_ZG,Greece,-0.65367
2005,NE_GDI_TOTL_KD_ZG,Greece,-10.63837
2006,NE_GDI_TOTL_KD_ZG,Greece,23.88107
2007,NE_GDI_TOTL_KD_ZG,Greece,8.53101
2008,NE_GDI_TOTL_KD_ZG,Greece,-9.21432
2009,NE_GDI_TOTL_KD_ZG,Greece,-26.88299
2010,NE_GDI_TOTL_KD_ZG,Greece,-10.77093
2011,NE_GDI_TOTL_KD_ZG,Greece,-31.83436
2012,NE_GDI_TOTL_KD_ZG,Greece,-21.10178
2013,NE_GDI_TOTL_KD_ZG,Greece,-3.08167
2012,NE_GDI_TOTL_KD_ZG,Azerbaijan,2.2
2013,NE_GDI_TOTL_KD_ZG,Azerbaijan,19.44732
2014,NE_GDI_TOTL_KD_ZG,Azerbaijan,1.47873
2000,NE_GDI_TOTL_KD_ZG,Austria,2.50519
2001,NE_GDI_TOTL_KD_ZG,Austria,-0.85278
2002,NE_GDI_TOTL_KD_ZG,Austria,-3.82946
2003,NE_GDI_TOTL_KD_ZG,Austria,4.64819
2004,NE_GDI_TOTL_KD_ZG,Austria,1.66444
2005,NE_GDI_TOTL_KD_ZG,Austria,1.56455
2006,NE_GDI_TOTL_KD_ZG,Austria,2.22556
2007,NE_GDI_TOTL_KD_ZG,Austria,7.45944
2008,NE_GDI_TOTL_KD_ZG,Austria,-0.5404
