Year,SeriesCode,Country,Value
2016,SG_PLN_PRPOLRES,Australia,71.9
2018,SG_PLN_PRPOLRES,Australia,53.14425
2016,SG_PLN_PRPOLRES,Austria,83.8
2018,SG_PLN_PRPOLRES,Austria,61.20963
2016,SG_PLN_PRPOLRES,Belgium,77.7
2018,SG_PLN_PRPOLRES,Belgium,32.11534
2016,SG_PLN_PRPOLRES,Canada,53.8
2018,SG_PLN_PRPOLRES,Canada,56.4018
2016,SG_PLN_PRPOLRES,China,88.9
2018,SG_PLN_PRPOLRES,China,83.33333
2016,SG_PLN_PRPOLRES,Czechia,61.1
2018,SG_PLN_PRPOLRES,Czechia,52.77778
2016,SG_PLN_PRPOLRES,Denmark,56.4
2018,SG_PLN_PRPOLRES,Denmark,47.92999
2016,SG_PLN_PRPOLRES,Finland,67.0
2018,SG_PLN_PRPOLRES,Finland,79.58333
2016,SG_PLN_PRPOLRES,France,60.0
2018,SG_PLN_PRPOLRES,France,59.63295
2016,SG_PLN_PRPOLRES,Germany,62.8
2018,SG_PLN_PRPOLRES,Germany,65.67757
2016,SG_PLN_PRPOLRES,Iceland,100.0
2018,SG_PLN_PRPOLRES,Iceland,100.0
2016,SG_PLN_PRPOLRES,Ireland,68.8
2018,SG_PLN_PRPOLRES,Ireland,54.50227
2016,SG_PLN_PRPOLRES,Italy,60.4
2018,SG_PLN_PRPOLRES,Italy,68.45231
2016,SG_PLN_PRPOLRES,Japan,75.9
2018,SG_PLN_PRPOLRES,Japan,64.18976
2016,SG_PLN_PRPOLRES,Republic of Korea,67.9
2018,SG_PLN_PRPOLRES,Republic of Korea,52.29509
2016,SG_PLN_PRPOLRES,Luxembourg,95.9
2018,SG_PLN_PRPOLRES,Luxembourg,43.5511
2016,SG_PLN_PRPOLRES,Netherlands (Kingdom of the),63.8
2018,SG_PLN_PRPOLRES,Netherlands (Kingdom of the),55.65616
2016,SG_PLN_PRPOLRES,New Zealand,58.2
2018,SG_PLN_PRPOLRES,New Zealand,38.81816
2016,SG_PLN_PRPOLRES,Norway,61.4
2018,SG_PLN_PRPOLRES,Norway,61.95815
2016,SG_PLN_PRPOLRES,Portugal,73.4
2018,SG_PLN_PRPOLRES,Portugal,49.54906
2016,SG_PLN_PRPOLRES,Romania,33.3
2016,SG_PLN_PRPOLRES,Slovakia,50.0
2016,SG_PLN_PRPOLRES,Slovenia,33.3
2018,SG_PLN_PRPOLRES,Slovenia,20.83333
2016,SG_PLN_PRPOLRES,Spain,89.6
2018,SG_PLN_PRPOLRES,Spain,63.88502
2016,SG_PLN_PRPOLRES,Sweden,54.4
2018,SG_PLN_PRPOLRES,Sweden,57.48915
2016,SG_PLN_PRPOLRES,Switzerland,51.3
2018,SG_PLN_PRPOLRES,Switzerland,59.51248
2016,SG_PLN_PRPOLRES,Türkiye,0.0
2016,SG_PLN_PRPOLRES,United Kingdom of Great Britain and Northern Ireland,43.3
2018,SG_PLN_PRPOLRES,United Kingdom of Great Britain and Northern Ireland,38.67905
2018,SG_PLN_PRPOLRES,United Kingdom of Great Britain and Northern Ireland,38.67905
