Year,SeriesCode,Country,Value
2016,IQ_SPI_PIL4,Albania,58.29167
2017,IQ_SPI_PIL4,Albania,55.01667
2018,IQ_SPI_PIL4,Albania,59.44167
2019,IQ_SPI_PIL4,Albania,59.44167
2016,IQ_SPI_PIL4,Azerbaijan,55.44167
2017,IQ_SPI_PIL4,Azerbaijan,55.24167
2018,IQ_SPI_PIL4,Azerbaijan,55.09167
2019,IQ_SPI_PIL4,Azerbaijan,55.09167
2016,IQ_SPI_PIL4,Australia,78.29167
2017,IQ_SPI_PIL4,Australia,74.31667
2018,IQ_SPI_PIL4,Australia,74.46667
2019,IQ_SPI_PIL4,Australia,74.46667
2016,IQ_SPI_PIL4,Austria,80.25
2017,IQ_SPI_PIL4,Austria,78.075
2018,IQ_SPI_PIL4,Austria,79.75
2019,IQ_SPI_PIL4,Austria,79.75
2016,IQ_SPI_PIL4,Armenia,60.24167
2017,IQ_SPI_PIL4,Armenia,60.64167
2018,IQ_SPI_PIL4,Armenia,59.94167
2019,IQ_SPI_PIL4,Armenia,59.94167
2016,IQ_SPI_PIL4,Belgium,66.21667
2017,IQ_SPI_PIL4,Belgium,66.61667
2018,IQ_SPI_PIL4,Belgium,65.91667
2019,IQ_SPI_PIL4,Belgium,65.91667
2016,IQ_SPI_PIL4,Bosnia and Herzegovina,48.33333
2017,IQ_SPI_PIL4,Bosnia and Herzegovina,46.68333
2018,IQ_SPI_PIL4,Bosnia and Herzegovina,47.38333
2019,IQ_SPI_PIL4,Bosnia and Herzegovina,47.38333
2016,IQ_SPI_PIL4,Bulgaria,73.21667
2017,IQ_SPI_PIL4,Bulgaria,74.29167
2018,IQ_SPI_PIL4,Bulgaria,70.84167
2019,IQ_SPI_PIL4,Bulgaria,70.84167
2016,IQ_SPI_PIL4,Belarus,46.60833
2017,IQ_SPI_PIL4,Belarus,50.08333
2018,IQ_SPI_PIL4,Belarus,51.85833
2019,IQ_SPI_PIL4,Belarus,53.55833
2016,IQ_SPI_PIL4,Canada,82.09167
2017,IQ_SPI_PIL4,Canada,77.86667
2018,IQ_SPI_PIL4,Canada,84.11667
2019,IQ_SPI_PIL4,Canada,84.11667
2016,IQ_SPI_PIL4,Chile,66.24167
2017,IQ_SPI_PIL4,Chile,62.71667
2018,IQ_SPI_PIL4,Chile,59.525
2019,IQ_SPI_PIL4,Chile,59.525
2016,IQ_SPI_PIL4,China,32.34167
2017,IQ_SPI_PIL4,China,35.91667
2018,IQ_SPI_PIL4,China,32.45
2019,IQ_SPI_PIL4,China,36.61667
2016,IQ_SPI_PIL4,Colombia,46.89167
2017,IQ_SPI_PIL4,Colombia,41.025
2018,IQ_SPI_PIL4,Colombia,42.275
2019,IQ_SPI_PIL4,Colombia,46.44167
2016,IQ_SPI_PIL4,Costa Rica,64.06667
2017,IQ_SPI_PIL4,Costa Rica,62.61667
2018,IQ_SPI_PIL4,Costa Rica,66.46667
2019,IQ_SPI_PIL4,Costa Rica,66.46667
2016,IQ_SPI_PIL4,Croatia,67.31667
2017,IQ_SPI_PIL4,Croatia,63.86667
2018,IQ_SPI_PIL4,Croatia,63.86667
2019,IQ_SPI_PIL4,Croatia,63.86667
2016,IQ_SPI_PIL4,Cyprus,73.73333
2017,IQ_SPI_PIL4,Cyprus,71.65833
2018,IQ_SPI_PIL4,Cyprus,71.65833
2019,IQ_SPI_PIL4,Cyprus,73.30833
2016,IQ_SPI_PIL4,Czechia,78.49167
2017,IQ_SPI_PIL4,Czechia,75.04167
2018,IQ_SPI_PIL4,Czechia,75.61667
2019,IQ_SPI_PIL4,Czechia,75.61667
2016,IQ_SPI_PIL4,Denmark,71.09167
