Year,SeriesCode,Country,Value
2019,SG_STT_NSDSFDDNR,Armenia,1
2020,SG_STT_NSDSFDDNR,Armenia,1
2021,SG_STT_NSDSFDDNR,Armenia,1
2022,SG_STT_NSDSFDDNR,Armenia,1
2019,SG_STT_NSDSFDDNR,Bosnia and Herzegovina,1
2020,SG_STT_NSDSFDDNR,Bosnia and Herzegovina,1
2021,SG_STT_NSDSFDDNR,Bosnia and Herzegovina,1
2022,SG_STT_NSDSFDDNR,Bosnia and Herzegovina,1
2019,SG_STT_NSDSFDDNR,Bulgaria,1
2020,SG_STT_NSDSFDDNR,Bulgaria,1
2021,SG_STT_NSDSFDDNR,Bulgaria,1
2022,SG_STT_NSDSFDDNR,Belarus,1
2019,SG_STT_NSDSFDDNR,Costa Rica,1
2020,SG_STT_NSDSFDDNR,Costa Rica,1
2021,SG_STT_NSDSFDDNR,Costa Rica,1
2019,SG_STT_NSDSFDDNR,Croatia,1
2020,SG_STT_NSDSFDDNR,Croatia,1
2021,SG_STT_NSDSFDDNR,Croatia,1
2022,SG_STT_NSDSFDDNR,Croatia,1
2019,SG_STT_NSDSFDDNR,Hungary,1
2020,SG_STT_NSDSFDDNR,Hungary,1
2021,SG_STT_NSDSFDDNR,Hungary,1
2019,SG_STT_NSDSFDDNR,Kyrgyzstan,1
2020,SG_STT_NSDSFDDNR,Kyrgyzstan,1
2021,SG_STT_NSDSFDDNR,Kyrgyzstan,1
2019,SG_STT_NSDSFDDNR,Albania,1
2022,SG_STT_NSDSFDDNR,Albania,1
2019,SG_STT_NSDSFDDNR,Moldova,1
2022,SG_STT_NSDSFDDNR,Serbia,1
2019,SG_STT_NSDSFDDNR,Slovenia,1
2020,SG_STT_NSDSFDDNR,Slovenia,1
2021,SG_STT_NSDSFDDNR,Slovenia,1
2019,SG_STT_NSDSFDDNR,Tajikistan,1
2019,SG_STT_NSDSFDDNR,Ukraine,1
2019,SG_STT_NSDSFDDNR,North Macedonia,1
2020,SG_STT_NSDSFDDNR,North Macedonia,1
2021,SG_STT_NSDSFDDNR,North Macedonia,1
2019,SG_STT_NSDSFDDNR,Uzbekistan,1
2020,SG_STT_NSDSFDDNR,Uzbekistan,1
2021,SG_STT_NSDSFDDNR,Uzbekistan,1
