Year,SeriesCode,Country,Value
2019,SG_STT_NSDSFND,Türkiye,1
2020,SG_STT_NSDSFND,Türkiye,1
2021,SG_STT_NSDSFND,Türkiye,1
2022,SG_STT_NSDSFND,Türkiye,1
2019,SG_STT_NSDSFND,Ukraine,1
2022,SG_STT_NSDSFND,Ukraine,1
2019,SG_STT_NSDSFND,North Macedonia,1
2020,SG_STT_NSDSFND,North Macedonia,1
2021,SG_STT_NSDSFND,North Macedonia,1
2022,SG_STT_NSDSFND,North Macedonia,1
2022,SG_STT_NSDSFND,United Kingdom of Great Britain and Northern Ireland,1
2019,SG_STT_NSDSFND,Albania,0
2020,SG_STT_NSDSFND,Albania,0
2021,SG_STT_NSDSFND,Albania,0
2022,SG_STT_NSDSFND,Albania,0
2022,SG_STT_NSDSFND,Azerbaijan,1
2019,SG_STT_NSDSFND,Australia,1
2020,SG_STT_NSDSFND,Australia,1
2021,SG_STT_NSDSFND,Australia,1
2022,SG_STT_NSDSFND,Australia,1
2019,SG_STT_NSDSFND,Austria,1
2020,SG_STT_NSDSFND,Austria,1
2021,SG_STT_NSDSFND,Austria,1
2022,SG_STT_NSDSFND,Austria,1
2019,SG_STT_NSDSFND,Armenia,1
2020,SG_STT_NSDSFND,Armenia,1
2021,SG_STT_NSDSFND,Armenia,1
2022,SG_STT_NSDSFND,Armenia,1
2019,SG_STT_NSDSFND,Belgium,1
2020,SG_STT_NSDSFND,Belgium,1
2021,SG_STT_NSDSFND,Belgium,1
2022,SG_STT_NSDSFND,Belgium,1
2019,SG_STT_NSDSFND,Bosnia and Herzegovina,1
2020,SG_STT_NSDSFND,Bosnia and Herzegovina,1
2021,SG_STT_NSDSFND,Bosnia and Herzegovina,1
2022,SG_STT_NSDSFND,Bosnia and Herzegovina,1
2019,SG_STT_NSDSFND,Bulgaria,1
2020,SG_STT_NSDSFND,Bulgaria,1
2021,SG_STT_NSDSFND,Bulgaria,1
2022,SG_STT_NSDSFND,Bulgaria,1
2019,SG_STT_NSDSFND,Belarus,1
2020,SG_STT_NSDSFND,Belarus,1
2021,SG_STT_NSDSFND,Belarus,1
2022,SG_STT_NSDSFND,Belarus,1
2019,SG_STT_NSDSFND,Canada,1
2020,SG_STT_NSDSFND,Canada,1
2021,SG_STT_NSDSFND,Canada,1
2022,SG_STT_NSDSFND,Canada,1
2019,SG_STT_NSDSFND,Chile,0
2020,SG_STT_NSDSFND,Chile,0
2021,SG_STT_NSDSFND,Chile,0
2022,SG_STT_NSDSFND,Chile,1
2019,SG_STT_NSDSFND,China,1
2020,SG_STT_NSDSFND,China,1
2021,SG_STT_NSDSFND,China,1
2022,SG_STT_NSDSFND,China,1
2019,SG_STT_NSDSFND,Colombia,0
2020,SG_STT_NSDSFND,Colombia,0
2021,SG_STT_NSDSFND,Colombia,0
2022,SG_STT_NSDSFND,Colombia,1
2019,SG_STT_NSDSFND,Costa Rica,1
2020,SG_STT_NSDSFND,Costa Rica,1
2021,SG_STT_NSDSFND,Costa Rica,1
2022,SG_STT_NSDSFND,Costa Rica,1
2019,SG_STT_NSDSFND,Croatia,1
2020,SG_STT_NSDSFND,Croatia,1
2021,SG_STT_NSDSFND,Croatia,1
2022,SG_STT_NSDSFND,Croatia,1
2019,SG_STT_NSDSFND,Cyprus,1
2020,SG_STT_NSDSFND,Cyprus,1
2021,SG_STT_NSDSFND,Cyprus,1
2022,SG_STT_NSDSFND,Cyprus,1
2019,SG_STT_NSDSFND,Czechia,1
2020,SG_STT_NSDSFND,Czechia,1
2021,SG_STT_NSDSFND,Czechia,1
2022,SG_STT_NSDSFND,Czechia,1
2019,SG_STT_NSDSFND,Denmark,1
2020,SG_STT_NSDSFND,Denmark,1
2021,SG_STT_NSDSFND,Denmark,1
2022,SG_STT_NSDSFND,Denmark,1
2019,SG_STT_NSDSFND,Estonia,1
2020,SG_STT_NSDSFND,Estonia,1
2021,SG_STT_NSDSFND,Estonia,1
2022,SG_STT_NSDSFND,Estonia,0
2019,SG_STT_NSDSFND,Finland,1
2020,SG_STT_NSDSFND,Finland,1
2021,SG_STT_NSDSFND,Finland,1
2022,SG_STT_NSDSFND,Finland,1
2019,SG_STT_NSDSFND,France,1
2020,SG_STT_NSDSFND,France,1
2021,SG_STT_NSDSFND,France,1
2022,SG_STT_NSDSFND,France,1
2022,SG_STT_NSDSFND,Georgia,1
2019,SG_STT_NSDSFND,Germany,1
2020,SG_STT_NSDSFND,Germany,1
2019,SG_STT_NSDSFND,Uzbekistan,1
2020,SG_STT_NSDSFND,Uzbekistan,1
2021,SG_STT_NSDSFND,Uzbekistan,1
2022,SG_STT_NSDSFND,Uzbekistan,1
2021,SG_STT_NSDSFND,Germany,1
2022,SG_STT_NSDSFND,Germany,1
2019,SG_STT_NSDSFND,Greece,1
2020,SG_STT_NSDSFND,Greece,1
2021,SG_STT_NSDSFND,Greece,1
2022,SG_STT_NSDSFND,Greece,1
2019,SG_STT_NSDSFND,Hungary,1
2020,SG_STT_NSDSFND,Hungary,1
2021,SG_STT_NSDSFND,Hungary,1
2022,SG_STT_NSDSFND,Hungary,1
2019,SG_STT_NSDSFND,Iceland,0
2020,SG_STT_NSDSFND,Iceland,0
2021,SG_STT_NSDSFND,Iceland,0
2022,SG_STT_NSDSFND,Iceland,1
2019,SG_STT_NSDSFND,India,0
2020,SG_STT_NSDSFND,India,0
2021,SG_STT_NSDSFND,India,0
2022,SG_STT_NSDSFND,India,0
2019,SG_STT_NSDSFND,Ireland,1
2020,SG_STT_NSDSFND,Ireland,1
2021,SG_STT_NSDSFND,Ireland,1
2022,SG_STT_NSDSFND,Ireland,1
2019,SG_STT_NSDSFND,Israel,1
2020,SG_STT_NSDSFND,Israel,1
2021,SG_STT_NSDSFND,Israel,1
2022,SG_STT_NSDSFND,Israel,1
2019,SG_STT_NSDSFND,Italy,1
2020,SG_STT_NSDSFND,Italy,1
2021,SG_STT_NSDSFND,Italy,1
2022,SG_STT_NSDSFND,Italy,1
2019,SG_STT_NSDSFND,Japan,1
2020,SG_STT_NSDSFND,Japan,1
2021,SG_STT_NSDSFND,Japan,1
2022,SG_STT_NSDSFND,Japan,1
2019,SG_STT_NSDSFND,Kazakhstan,1
2020,SG_STT_NSDSFND,Kazakhstan,1
2021,SG_STT_NSDSFND,Kazakhstan,1
2022,SG_STT_NSDSFND,Kazakhstan,1
2022,SG_STT_NSDSFND,Republic of Korea,1
2019,SG_STT_NSDSFND,Kyrgyzstan,1
2020,SG_STT_NSDSFND,Kyrgyzstan,1
2021,SG_STT_NSDSFND,Kyrgyzstan,1
2022,SG_STT_NSDSFND,Kyrgyzstan,1
2019,SG_STT_NSDSFND,Latvia,1
2020,SG_STT_NSDSFND,Latvia,1
2021,SG_STT_NSDSFND,Latvia,1
2022,SG_STT_NSDSFND,Latvia,1
2019,SG_STT_NSDSFND,Liechtenstein,1
2020,SG_STT_NSDSFND,Liechtenstein,1
2021,SG_STT_NSDSFND,Liechtenstein,1
2022,SG_STT_NSDSFND,Liechtenstein,1
2019,SG_STT_NSDSFND,Lithuania,1
2020,SG_STT_NSDSFND,Lithuania,1
2021,SG_STT_NSDSFND,Lithuania,1
2022,SG_STT_NSDSFND,Lithuania,1
2022,SG_STT_NSDSFND,Malta,1
2019,SG_STT_NSDSFND,Mexico,1
2020,SG_STT_NSDSFND,Mexico,1
2021,SG_STT_NSDSFND,Mexico,1
2022,SG_STT_NSDSFND,Mexico,1
