Year,SeriesCode,Country,Age,Freq,Location,Sex,Type of speed,Value
2001,IT_NET_BBNDN,Cyprus,,,,,ANYS,2500.0
2002,IT_NET_BBNDN,Cyprus,,,,,ANYS,5879.0
2003,IT_NET_BBNDN,Cyprus,,,,,ANYS,10033.0
2004,IT_NET_BBNDN,Cyprus,,,,,ANYS,17070.0
2005,IT_NET_BBNDN,Cyprus,,,,,ANYS,31856.0
2006,IT_NET_BBNDN,Cyprus,,,,,ANYS,63084.0
2007,IT_NET_BBNDN,Cyprus,,,,,ANYS,97613.0
2008,IT_NET_BBNDN,Cyprus,,,,,ANYS,147276.0
2009,IT_NET_BBNDN,Cyprus,,,,,ANYS,176024.0
2009,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,44334.0
2009,IT_NET_BBNDN,Cyprus,,,,,10MBPS,183.0
2009,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,131507.0
2010,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,66640.0
2010,IT_NET_BBNDN,Cyprus,,,,,10MBPS,9270.0
2010,IT_NET_BBNDN,Cyprus,,,,,ANYS,194455.0
2010,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,118545.0
2011,IT_NET_BBNDN,Cyprus,,,,,ANYS,212149.0
2011,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,175983.0
2011,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,19429.0
2011,IT_NET_BBNDN,Cyprus,,,,,10MBPS,16737.0
2012,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,193370.0
2012,IT_NET_BBNDN,Cyprus,,,,,ANYS,220580.0
2012,IT_NET_BBNDN,Cyprus,,,,,10MBPS,26495.0
2012,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,717.0
2013,IT_NET_BBNDN,Cyprus,,,,,ANYS,229195.0
2013,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,206267.0
2013,IT_NET_BBNDN,Cyprus,,,,,10MBPS,22198.0
2013,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,244.0
2014,IT_NET_BBNDN,Cyprus,,,,,ANYS,243611.0
2014,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,203718.0
2014,IT_NET_BBNDN,Cyprus,,,,,10MBPS,39764.0
2014,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,129.0
2015,IT_NET_BBNDN,Cyprus,,,,,ANYS,260640.0
2015,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,147565.0
2015,IT_NET_BBNDN,Cyprus,,,,,10MBPS,112955.0
2015,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,120.0
2016,IT_NET_BBNDN,Cyprus,,,,,ANYS,278483.0
2016,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,161797.0
2016,IT_NET_BBNDN,Cyprus,,,,,10MBPS,116548.0
2016,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,138.0
2017,IT_NET_BBNDN,Cyprus,,,,,ANYS,295686.0
2017,IT_NET_BBNDN,Cyprus,,,,,10MBPS,172619.0
2017,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,122981.0
2017,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,86.0
2018,IT_NET_BBNDN,Cyprus,,,,,ANYS,313667.0
2018,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,85673.0
2018,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,42.0
2018,IT_NET_BBNDN,Cyprus,,,,,10MBPS,227747.0
2019,IT_NET_BBNDN,Cyprus,,,,,10MBPS,241593.0
2019,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,84802.0
2019,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,170.0
2019,IT_NET_BBNDN,Cyprus,,,,,ANYS,326565.0
2020,IT_NET_BBNDN,Cyprus,,,,,ANYS,332080.0
2020,IT_NET_BBNDN,Cyprus,,,,,10MBPS,323653.0
2020,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,5.0
2020,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,8422.0
2021,IT_NET_BBNDN,Cyprus,,,,,ANYS,340774.0
2021,IT_NET_BBNDN,Cyprus,,,,,10MBPS,335492.0
2021,IT_NET_BBNDN,Cyprus,,,,,2MT10MBPS,4574.0
2021,IT_NET_BBNDN,Cyprus,,,,,256KT2MBPS,708.0
2000,IT_NET_BBNDN,Czechia,,,,,ANYS,2500.0
2001,IT_NET_BBNDN,Czechia,,,,,ANYS,6200.0
2002,IT_NET_BBNDN,Czechia,,,,,ANYS,15300.0
2003,IT_NET_BBNDN,Czechia,,,,,ANYS,34690.0
2004,IT_NET_BBNDN,Czechia,,,,,ANYS,235996.0
2005,IT_NET_BBNDN,Czechia,,,,,ANYS,709063.0
2006,IT_NET_BBNDN,Czechia,,,,,ANYS,1112500.0
2007,IT_NET_BBNDN,Czechia,,,,,ANYS,1496720.0
2005,IT_NET_BBNDN,Albania,,,,,ANYS,272.0
2007,IT_NET_BBNDN,Albania,,,,,ANYS,10000.0
2008,IT_NET_BBNDN,Albania,,,,,ANYS,64000.0
2009,IT_NET_BBNDN,Albania,,,,,ANYS,92000.0
2010,IT_NET_BBNDN,Albania,,,,,ANYS,105539.0
2011,IT_NET_BBNDN,Albania,,,,,ANYS,128210.0
2012,IT_NET_BBNDN,Albania,,,,,ANYS,160088.0
2012,IT_NET_BBNDN,Albania,,,,,2MT10MBPS,110522.0
2012,IT_NET_BBNDN,Albania,,,,,256KT2MBPS,34658.0
2012,IT_NET_BBNDN,Albania,,,,,10MBPS,14908.0
2013,IT_NET_BBNDN,Albania,,,,,ANYS,182556.0
2013,IT_NET_BBNDN,Albania,,,,,256KT2MBPS,34026.0
2003,IT_NET_BBNDN,Malta,,,,,ANYS,22736.0
2004,IT_NET_BBNDN,Malta,,,,,ANYS,37642.0
2005,IT_NET_BBNDN,Malta,,,,,ANYS,51409.0
2006,IT_NET_BBNDN,Malta,,,,,ANYS,52948.0
2007,IT_NET_BBNDN,Malta,,,,,ANYS,83982.0
2007,IT_NET_BBNDN,Malta,,,,,2MT10MBPS,75033.0
2007,IT_NET_BBNDN,Malta,,,,,256KT2MBPS,8000.0
2008,IT_NET_BBNDN,Malta,,,,,ANYS,98209.0
2008,IT_NET_BBNDN,Malta,,,,,2MT10MBPS,83042.0
2008,IT_NET_BBNDN,Malta,,,,,10MBPS,9636.0
2008,IT_NET_BBNDN,Malta,,,,,256KT2MBPS,2649.0
2009,IT_NET_BBNDN,Malta,,,,,2MT10MBPS,96387.0
2009,IT_NET_BBNDN,Malta,,,,,ANYS,113656.0
2000,IT_NET_BBNDN,United Arab Emirates,,,,,ANYS,1973.0
2001,IT_NET_BBNDN,United Arab Emirates,,,,,ANYS,8374.0
2002,IT_NET_BBNDN,United Arab Emirates,,,,,ANYS,16632.0
