Year,SeriesCode,Country,Value
2010,DC_ENVTECH_IMP,Albania,227942472
2011,DC_ENVTECH_IMP,Albania,296009878
2012,DC_ENVTECH_IMP,Albania,244974020
2013,DC_ENVTECH_IMP,Albania,209565784
2014,DC_ENVTECH_IMP,Albania,126021361
2015,DC_ENVTECH_IMP,Albania,214388021
2016,DC_ENVTECH_IMP,Albania,206221288
2017,DC_ENVTECH_IMP,Albania,150860748
2018,DC_ENVTECH_IMP,Albania,163242867
2019,DC_ENVTECH_IMP,Albania,173891990
2020,DC_ENVTECH_IMP,Albania,234987908
2010,DC_ENVTECH_IMP,Azerbaijan,835485744
2011,DC_ENVTECH_IMP,Azerbaijan,1317852416
2012,DC_ENVTECH_IMP,Azerbaijan,1208301190
2013,DC_ENVTECH_IMP,Azerbaijan,1217955771
2014,DC_ENVTECH_IMP,Azerbaijan,1100239953
2015,DC_ENVTECH_IMP,Azerbaijan,1264315292
2016,DC_ENVTECH_IMP,Azerbaijan,1096434465
2017,DC_ENVTECH_IMP,Azerbaijan,767591184
2018,DC_ENVTECH_IMP,Azerbaijan,937250979
2019,DC_ENVTECH_IMP,Azerbaijan,947370133
2020,DC_ENVTECH_IMP,Azerbaijan,1011504902
2010,DC_ENVTECH_IMP,Australia,14458818893
2011,DC_ENVTECH_IMP,Australia,16037556835
2012,DC_ENVTECH_IMP,Australia,18732311980
2013,DC_ENVTECH_IMP,Australia,18310575475
2014,DC_ENVTECH_IMP,Australia,19437224648
2015,DC_ENVTECH_IMP,Australia,16800443076
2016,DC_ENVTECH_IMP,Australia,15040242636
2017,DC_ENVTECH_IMP,Australia,14773443084
2018,DC_ENVTECH_IMP,Australia,17197695920
2019,DC_ENVTECH_IMP,Australia,16805202822
2020,DC_ENVTECH_IMP,Australia,16396556409
2010,DC_ENVTECH_IMP,Austria,10905674030
2011,DC_ENVTECH_IMP,Austria,12875371660
2012,DC_ENVTECH_IMP,Austria,12089995026
2013,DC_ENVTECH_IMP,Austria,12588918718
2014,DC_ENVTECH_IMP,Austria,12868964258
2015,DC_ENVTECH_IMP,Austria,11624710336
2016,DC_ENVTECH_IMP,Austria,12042922416
2017,DC_ENVTECH_IMP,Austria,12539507585
2018,DC_ENVTECH_IMP,Austria,14174200553
2019,DC_ENVTECH_IMP,Austria,14073355436
2020,DC_ENVTECH_IMP,Austria,13424285196
2010,DC_ENVTECH_IMP,Armenia,229483677
2011,DC_ENVTECH_IMP,Armenia,174337163
2012,DC_ENVTECH_IMP,Armenia,177370787
2013,DC_ENVTECH_IMP,Armenia,238356797
2014,DC_ENVTECH_IMP,Armenia,240982150
2015,DC_ENVTECH_IMP,Armenia,161357732
2016,DC_ENVTECH_IMP,Armenia,165319783
2017,DC_ENVTECH_IMP,Armenia,216430695
2018,DC_ENVTECH_IMP,Armenia,291636929
2019,DC_ENVTECH_IMP,Armenia,284280376
2020,DC_ENVTECH_IMP,Armenia,361735264
2010,DC_ENVTECH_IMP,Belgium,15729096939
2011,DC_ENVTECH_IMP,Belgium,18471251086
2012,DC_ENVTECH_IMP,Belgium,16139888328
2013,DC_ENVTECH_IMP,Belgium,15513941408
2014,DC_ENVTECH_IMP,Belgium,16184642699
2015,DC_ENVTECH_IMP,Belgium,13615110444
2016,DC_ENVTECH_IMP,Belgium,13832449679
2017,DC_ENVTECH_IMP,Belgium,14178416282
2018,DC_ENVTECH_IMP,Belgium,15068703821
2019,DC_ENVTECH_IMP,Belgium,15496157601
2020,DC_ENVTECH_IMP,Belgium,16247911168
2010,DC_ENVTECH_IMP,Bosnia and Herzegovina,548282843
2011,DC_ENVTECH_IMP,Bosnia and Herzegovina,616667292
2012,DC_ENVTECH_IMP,Bosnia and Herzegovina,578932049
2013,DC_ENVTECH_IMP,Bosnia and Herzegovina,580749777
2014,DC_ENVTECH_IMP,Bosnia and Herzegovina,739773696
2015,DC_ENVTECH_IMP,Bosnia and Herzegovina,575759510
2016,DC_ENVTECH_IMP,Bosnia and Herzegovina,551681779
2017,DC_ENVTECH_IMP,Bosnia and Herzegovina,668302870
2018,DC_ENVTECH_IMP,Bosnia and Herzegovina,735125820
2019,DC_ENVTECH_IMP,Bosnia and Herzegovina,676114484
2020,DC_ENVTECH_IMP,Bosnia and Herzegovina,694932977
2010,DC_ENVTECH_IMP,Bulgaria,1332856444
2011,DC_ENVTECH_IMP,Bulgaria,1766426170
2012,DC_ENVTECH_IMP,Bulgaria,2172310390
2013,DC_ENVTECH_IMP,Bulgaria,1797620232
2014,DC_ENVTECH_IMP,Bulgaria,1682432637
2015,DC_ENVTECH_IMP,Bulgaria,1377742941
2016,DC_ENVTECH_IMP,Bulgaria,1422652444
2017,DC_ENVTECH_IMP,Bulgaria,1636280953
2018,DC_ENVTECH_IMP,Bulgaria,1866836380
2019,DC_ENVTECH_IMP,Bulgaria,1939989611
2020,DC_ENVTECH_IMP,Bulgaria,2011066876
2010,DC_ENVTECH_IMP,Belarus,1924073600
2011,DC_ENVTECH_IMP,Belarus,2246070000
2012,DC_ENVTECH_IMP,Belarus,2680434200
2013,DC_ENVTECH_IMP,Belarus,2767154600
2014,DC_ENVTECH_IMP,Belarus,2401511400
2015,DC_ENVTECH_IMP,Belarus,2169540500
2016,DC_ENVTECH_IMP,Belarus,1963370600
2017,DC_ENVTECH_IMP,Belarus,2386623500
2018,DC_ENVTECH_IMP,Belarus,2364594900
2019,DC_ENVTECH_IMP,Belarus,2588795400
2020,DC_ENVTECH_IMP,Belarus,2196115600
2010,DC_ENVTECH_IMP,Canada,27290437723
2011,DC_ENVTECH_IMP,Canada,31940140584
2012,DC_ENVTECH_IMP,Canada,32167507212
2013,DC_ENVTECH_IMP,Canada,32225798306
2014,DC_ENVTECH_IMP,Canada,32770033745
2015,DC_ENVTECH_IMP,Canada,30953466046
2016,DC_ENVTECH_IMP,Canada,31239996867
2017,DC_ENVTECH_IMP,Canada,29493435838
2018,DC_ENVTECH_IMP,Canada,31265112520
2019,DC_ENVTECH_IMP,Canada,32080305977
2020,DC_ENVTECH_IMP,Canada,29042578702
2010,DC_ENVTECH_IMP,Chile,3814853551
2011,DC_ENVTECH_IMP,Chile,4402399971
2012,DC_ENVTECH_IMP,Chile,4832560729
2013,DC_ENVTECH_IMP,Chile,5416672108
2014,DC_ENVTECH_IMP,Chile,5231792337
2015,DC_ENVTECH_IMP,Chile,5007751175
2016,DC_ENVTECH_IMP,Chile,4739773027
2017,DC_ENVTECH_IMP,Chile,4366132075
2018,DC_ENVTECH_IMP,Chile,4808078359
2019,DC_ENVTECH_IMP,Chile,4507834267
2020,DC_ENVTECH_IMP,Chile,4889592409
2010,DC_ENVTECH_IMP,China,143251960135
2011,DC_ENVTECH_IMP,China,160047771959
2012,DC_ENVTECH_IMP,China,162405615966
2013,DC_ENVTECH_IMP,China,163492214675
2014,DC_ENVTECH_IMP,China,163926027998
2015,DC_ENVTECH_IMP,China,150149211739
2016,DC_ENVTECH_IMP,China,139686958009
2017,DC_ENVTECH_IMP,China,143654665420
2018,DC_ENVTECH_IMP,China,153204181676
2019,DC_ENVTECH_IMP,China,144961608123
2020,DC_ENVTECH_IMP,China,144254293143
2010,DC_ENVTECH_IMP,Colombia,2699387942
2011,DC_ENVTECH_IMP,Colombia,3388719396
2012,DC_ENVTECH_IMP,Colombia,3763428322
2013,DC_ENVTECH_IMP,Colombia,3921065566
2014,DC_ENVTECH_IMP,Colombia,4262068388
2015,DC_ENVTECH_IMP,Colombia,3720274895
2016,DC_ENVTECH_IMP,Colombia,2847348351
2017,DC_ENVTECH_IMP,Colombia,2866245417
2018,DC_ENVTECH_IMP,Colombia,3209231292
2019,DC_ENVTECH_IMP,Colombia,3193219662
2020,DC_ENVTECH_IMP,Colombia,2567166290
2010,DC_ENVTECH_IMP,Costa Rica,815544434
2011,DC_ENVTECH_IMP,Costa Rica,1100804127
2012,DC_ENVTECH_IMP,Costa Rica,1023992165
2013,DC_ENVTECH_IMP,Costa Rica,1115828831
2014,DC_ENVTECH_IMP,Costa Rica,1189285256
2015,DC_ENVTECH_IMP,Costa Rica,1088394056
2016,DC_ENVTECH_IMP,Costa Rica,1124528520
2017,DC_ENVTECH_IMP,Costa Rica,1072817354
2018,DC_ENVTECH_IMP,Costa Rica,1094159679
2019,DC_ENVTECH_IMP,Costa Rica,1119530999
2020,DC_ENVTECH_IMP,Costa Rica,1166244916
2010,DC_ENVTECH_IMP,Croatia,1356250397
2011,DC_ENVTECH_IMP,Croatia,1335662143
