Year,SeriesCode,Country,Age,Sex,Value
2000,IT_USE_ii99,Azerbaijan,,Both sexes,0.15
2001,IT_USE_ii99,Azerbaijan,,Both sexes,0.31
2002,IT_USE_ii99,Azerbaijan,,Both sexes,5.0
2005,IT_USE_ii99,Azerbaijan,,Both sexes,8.03
2006,IT_USE_ii99,Azerbaijan,,Both sexes,11.99
2007,IT_USE_ii99,Azerbaijan,,Both sexes,14.54
2008,IT_USE_ii99,Azerbaijan,,Male,21.64
2008,IT_USE_ii99,Azerbaijan,,Female,12.63
2008,IT_USE_ii99,Azerbaijan,,Both sexes,17.08
2009,IT_USE_ii99,Azerbaijan,,Both sexes,27.4
2009,IT_USE_ii99,Azerbaijan,,Female,22.96
2009,IT_USE_ii99,Azerbaijan,,Male,32.01
2010,IT_USE_ii99,Azerbaijan,,Both sexes,46.0
2010,IT_USE_ii99,Azerbaijan,,Female,36.55
2010,IT_USE_ii99,Azerbaijan,,Male,55.63
2011,IT_USE_ii99,Azerbaijan,,Both sexes,50.0
2012,IT_USE_ii99,Azerbaijan,,Both sexes,54.2
2013,IT_USE_ii99,Azerbaijan,,Both sexes,73.0
2014,IT_USE_ii99,Azerbaijan,,Both sexes,75.0
2014,IT_USE_ii99,Azerbaijan,,Female,71.69
2014,IT_USE_ii99,Azerbaijan,,Male,78.34
2015,IT_USE_ii99,Azerbaijan,,Both sexes,77.0
2015,IT_USE_ii99,Azerbaijan,,Female,73.2
2015,IT_USE_ii99,Azerbaijan,,Male,80.83
2016,IT_USE_ii99,Azerbaijan,,Both sexes,78.2
2016,IT_USE_ii99,Azerbaijan,,Female,74.71
2016,IT_USE_ii99,Azerbaijan,,Male,81.71
2017,IT_USE_ii99,Azerbaijan,,Female,74.98
2017,IT_USE_ii99,Azerbaijan,,Male,83.12
2017,IT_USE_ii99,Azerbaijan,,Both sexes,79.0
2018,IT_USE_ii99,Azerbaijan,,Both sexes,79.8
2018,IT_USE_ii99,Azerbaijan,,Female,75.82
2018,IT_USE_ii99,Azerbaijan,,Male,83.86
2019,IT_USE_ii99,Azerbaijan,,Male,84.23
2019,IT_USE_ii99,Azerbaijan,,Both sexes,81.1
2019,IT_USE_ii99,Azerbaijan,,Female,78.03
2020,IT_USE_ii99,Azerbaijan,,Female,82.2
2020,IT_USE_ii99,Azerbaijan,,Male,87.05
2020,IT_USE_ii99,Azerbaijan,,Both sexes,84.6
2021,IT_USE_ii99,Azerbaijan,,Both sexes,86.0
2021,IT_USE_ii99,Azerbaijan,,Female,83.64
2021,IT_USE_ii99,Azerbaijan,,Male,88.4
2000,IT_USE_ii99,Australia,,Both sexes,46.76
2001,IT_USE_ii99,Australia,,Both sexes,52.69
2005,IT_USE_ii99,Australia,,Both sexes,63.0
2006,IT_USE_ii99,Australia,,Both sexes,66.0
2007,IT_USE_ii99,Australia,,Female,68.02
2007,IT_USE_ii99,Australia,,Male,70.91
2007,IT_USE_ii99,Australia,,Both sexes,69.45
2008,IT_USE_ii99,Australia,,Both sexes,71.67
2008,IT_USE_ii99,Australia,,Female,70.94
2008,IT_USE_ii99,Australia,,Male,72.43
2009,IT_USE_ii99,Australia,,Both sexes,74.25
2009,IT_USE_ii99,Australia,,Female,73.4
2009,IT_USE_ii99,Australia,,Male,75.12
2010,IT_USE_ii99,Australia,,Both sexes,76.0
2011,IT_USE_ii99,Australia,,Both sexes,79.49
2011,IT_USE_ii99,Australia,,Female,78.4
2011,IT_USE_ii99,Australia,,Male,80.6
2012,IT_USE_ii99,Australia,,Both sexes,79.0
2013,IT_USE_ii99,Australia,,Both sexes,83.45
2013,IT_USE_ii99,Australia,,Female,82.79
2013,IT_USE_ii99,Australia,,Male,84.14
2014,IT_USE_ii99,Australia,,Both sexes,84.0
2015,IT_USE_ii99,Australia,,Male,84.16
2015,IT_USE_ii99,Australia,,Female,84.88
2015,IT_USE_ii99,Australia,,Both sexes,84.56
2016,IT_USE_ii99,Australia,,Both sexes,86.54
2017,IT_USE_ii99,Australia,,Both sexes,86.55
2017,IT_USE_ii99,Australia,,Female,86.12
2017,IT_USE_ii99,Australia,,Male,87.02
2018,IT_USE_ii99,Australia,,Both sexes,90.0
2019,IT_USE_ii99,Australia,,Both sexes,93.61
2020,IT_USE_ii99,Australia,,Both sexes,96.39
2004,IT_USE_ii99,Iceland,,Both sexes,83.88
2005,IT_USE_ii99,Iceland,,Male,87.94
