Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2014,SH_STA_WAST,Estonia,<5Y,,,,1.5
2005,SH_STA_WAST,Georgia,<5Y,,,,3.0
2009,SH_STA_WAST,Georgia,<5Y,,,,1.3
2018,SH_STA_WAST,Georgia,<5Y,,,,0.6
2004,SH_STA_WAST,Germany,<5Y,,,,1.0
2016,SH_STA_WAST,Germany,<5Y,,,,0.4
2003,SH_STA_WAST,Greece,<5Y,,,,0.7
2006,SH_STA_WAST,India,<5Y,,,,20.0
2014,SH_STA_WAST,India,<5Y,,,,15.1
2015,SH_STA_WAST,India,<5Y,,,,20.8
2017,SH_STA_WAST,India,<5Y,,,,17.3
2020,SH_STA_WAST,India,<5Y,,,,18.7
2010,SH_STA_WAST,Japan,<5Y,,,,2.3
2006,SH_STA_WAST,Kazakhstan,<5Y,,,,4.9
2010,SH_STA_WAST,Kazakhstan,<5Y,,,,4.1
2015,SH_STA_WAST,Kazakhstan,<5Y,,,,3.1
2003,SH_STA_WAST,Republic of Korea,<5Y,,,,0.9
2008,SH_STA_WAST,Republic of Korea,<5Y,,,,0.6
2011,SH_STA_WAST,Republic of Korea,<5Y,,,,0.5
2014,SH_STA_WAST,Republic of Korea,<5Y,,,,0.6
2017,SH_STA_WAST,Republic of Korea,<5Y,,,,0.9
2020,SH_STA_WAST,Republic of Korea,<5Y,,,,0.2
2006,SH_STA_WAST,Kyrgyzstan,<5Y,,,,3.4
2009,SH_STA_WAST,Kyrgyzstan,<5Y,,,,1.4
2012,SH_STA_WAST,Kyrgyzstan,<5Y,,,,2.8
2014,SH_STA_WAST,Kyrgyzstan,<5Y,,,,2.8
2018,SH_STA_WAST,Kyrgyzstan,<5Y,,,,2.0
2021,SH_STA_WAST,Latvia,<5Y,,,,1.6
2021,SH_STA_WAST,Lithuania,<5Y,,,,4.8
2002,SH_STA_WAST,Mexico,<5Y,,,,2.5
2005,SH_STA_WAST,Mexico,<5Y,,,,4.9
2006,SH_STA_WAST,Mexico,<5Y,,,,2.0
2012,SH_STA_WAST,Mexico,<5Y,,,,1.6
2015,SH_STA_WAST,Mexico,<5Y,,,,1.0
2016,SH_STA_WAST,Mexico,<5Y,,,,2.0
2019,SH_STA_WAST,Mexico,<5Y,,,,1.4
2020,SH_STA_WAST,Mexico,<5Y,,,,1.6
2021,SH_STA_WAST,Mexico,<5Y,,,,1.7
2005,SH_STA_WAST,Moldova,<5Y,,,,5.8
2012,SH_STA_WAST,Moldova,<5Y,,,,1.9
2005,SH_STA_WAST,Montenegro,<5Y,,,,4.2
2013,SH_STA_WAST,Montenegro,<5Y,,,,2.8
2018,SH_STA_WAST,Montenegro,<5Y,,,,2.2
2009,SH_STA_WAST,Netherlands (Kingdom of the),<5Y,,,,1.0
2011,SH_STA_WAST,Poland,<5Y,,,,0.9
2016,SH_STA_WAST,Portugal,<5Y,,,,1.1
2000,SH_STA_WAST,Romania,<5Y,,,,4.3
2001,SH_STA_WAST,Romania,<5Y,,,,3.9
2002,SH_STA_WAST,Romania,<5Y,,,,3.5
2005,SH_STA_WAST,Serbia,<5Y,,,,4.5
2010,SH_STA_WAST,Serbia,<5Y,,,,3.5
2014,SH_STA_WAST,Serbia,<5Y,,,,3.9
2019,SH_STA_WAST,Serbia,<5Y,,,,2.6
2000,SH_STA_WAST,Viet Nam,<5Y,,,,6.1
2002,SH_STA_WAST,Viet Nam,<5Y,,,,8.8
2003,SH_STA_WAST,Viet Nam,<5Y,,,,10.8
2004,SH_STA_WAST,Viet Nam,<5Y,,,,11.2
2005,SH_STA_WAST,Viet Nam,<5Y,,,,10.6
2006,SH_STA_WAST,Viet Nam,<5Y,,,,9.8
2007,SH_STA_WAST,Viet Nam,<5Y,,,,10.0
2008,SH_STA_WAST,Viet Nam,<5Y,,,,9.4
2009,SH_STA_WAST,Viet Nam,<5Y,,,,7.1
2010,SH_STA_WAST,Viet Nam,<5Y,,,,4.1
2011,SH_STA_WAST,Viet Nam,<5Y,,,,6.6
2012,SH_STA_WAST,Viet Nam,<5Y,,,,6.7
2013,SH_STA_WAST,Viet Nam,<5Y,,,,6.6
2014,SH_STA_WAST,Viet Nam,<5Y,,,,6.8
