Year,SeriesCode,Country,Age,Freq,Location,Sex,Value
2000,SH_STA_MORT,Chile,,,,Female,32.55022
2001,SH_STA_MORT,Chile,,,,Female,34.01686
2002,SH_STA_MORT,Chile,,,,Female,31.56189
2003,SH_STA_MORT,Chile,,,,Female,32.20279
2004,SH_STA_MORT,Chile,,,,Female,28.76468
2005,SH_STA_MORT,Chile,,,,Female,27.26825
2006,SH_STA_MORT,Chile,,,,Female,29.10072
2007,SH_STA_MORT,Chile,,,,Female,28.48279
2008,SH_STA_MORT,Chile,,,,Female,25.63771
2009,SH_STA_MORT,Chile,,,,Female,24.11786
2010,SH_STA_MORT,Chile,,,,Female,23.36026
2011,SH_STA_MORT,Chile,,,,Female,20.15415
2012,SH_STA_MORT,Chile,,,,Female,18.9734
2013,SH_STA_MORT,Chile,,,,Female,17.98455
2014,SH_STA_MORT,Chile,,,,Female,16.09087
2015,SH_STA_MORT,Chile,,,,Female,16.2128
2016,SH_STA_MORT,Chile,,,,Female,15.01822
2017,SH_STA_MORT,Chile,,,,Female,14.73754
2018,SH_STA_MORT,Chile,,,,Female,15.13551
2019,SH_STA_MORT,Chile,,,,Female,14.60006
2000,SH_STA_MORT,Spain,,,,Female,5.03831
2001,SH_STA_MORT,Spain,,,,Female,5.0097
2002,SH_STA_MORT,Spain,,,,Female,4.86458
2003,SH_STA_MORT,Spain,,,,Female,4.94473
2004,SH_STA_MORT,Spain,,,,Female,4.55348
2005,SH_STA_MORT,Spain,,,,Female,4.48906
2006,SH_STA_MORT,Spain,,,,Female,4.3039
2007,SH_STA_MORT,Spain,,,,Female,4.16182
2008,SH_STA_MORT,Spain,,,,Female,4.00192
2009,SH_STA_MORT,Spain,,,,Female,4.09975
2020,SH_STA_MORT,Chile,,,,Female,15.03074
2000,SH_STA_MORT,China,,,,Female,58.06377
2001,SH_STA_MORT,China,,,,Female,55.31018
2002,SH_STA_MORT,China,,,,Female,53.82001
2003,SH_STA_MORT,China,,,,Female,43.34771
2004,SH_STA_MORT,China,,,,Female,48.77667
2005,SH_STA_MORT,China,,,,Female,45.59248
2006,SH_STA_MORT,China,,,,Female,42.55417
2007,SH_STA_MORT,China,,,,Female,39.31897
2008,SH_STA_MORT,China,,,,Female,38.17672
2010,SH_STA_MORT,Spain,,,,Female,3.91945
2011,SH_STA_MORT,Spain,,,,Female,4.07119
2012,SH_STA_MORT,Spain,,,,Female,4.05882
2013,SH_STA_MORT,Spain,,,,Female,4.11754
2014,SH_STA_MORT,Spain,,,,Female,4.00638
2015,SH_STA_MORT,Spain,,,,Female,3.88086
2016,SH_STA_MORT,Spain,,,,Female,3.83039
2017,SH_STA_MORT,Spain,,,,Female,3.97118
2018,SH_STA_MORT,Spain,,,,Female,4.05448
2019,SH_STA_MORT,Spain,,,,Female,3.16769
2009,SH_STA_MORT,China,,,,Female,34.05085
2010,SH_STA_MORT,China,,,,Female,33.22315
2011,SH_STA_MORT,China,,,,Female,32.18183
2012,SH_STA_MORT,China,,,,Female,28.44408
2013,SH_STA_MORT,China,,,,Female,28.29749
2014,SH_STA_MORT,China,,,,Female,25.82247
2015,SH_STA_MORT,China,,,,Female,25.98126
2016,SH_STA_MORT,China,,,,Female,23.3129
2017,SH_STA_MORT,China,,,,Female,21.87205
2018,SH_STA_MORT,China,,,,Female,20.35598
2020,SH_STA_MORT,Spain,,,,Female,3.44125
2000,SH_STA_MORT,Sweden,,,,Female,6.14638
2001,SH_STA_MORT,Sweden,,,,Female,5.8172
2002,SH_STA_MORT,Sweden,,,,Female,5.67067
2003,SH_STA_MORT,Sweden,,,,Female,5.59969
2004,SH_STA_MORT,Sweden,,,,Female,5.27906
2005,SH_STA_MORT,Sweden,,,,Female,5.08004
2006,SH_STA_MORT,Sweden,,,,Female,5.1541
2007,SH_STA_MORT,Sweden,,,,Female,5.07337
2008,SH_STA_MORT,Sweden,,,,Female,5.00755
2009,SH_STA_MORT,Sweden,,,,Female,4.96492
2010,SH_STA_MORT,Sweden,,,,Female,4.53081
2011,SH_STA_MORT,Sweden,,,,Female,4.88886
2012,SH_STA_MORT,Sweden,,,,Female,4.92753
2013,SH_STA_MORT,Sweden,,,,Female,4.92798
2014,SH_STA_MORT,Sweden,,,,Female,4.77894
2015,SH_STA_MORT,Sweden,,,,Female,4.44644
