Year,SeriesCode,Country,Value
2000,SH_STA_BRTC,Montenegro,99.1
2001,SH_STA_BRTC,Montenegro,96.6
2002,SH_STA_BRTC,Montenegro,98.0
2003,SH_STA_BRTC,Montenegro,98.9
2004,SH_STA_BRTC,Montenegro,98.3
2005,SH_STA_BRTC,Montenegro,99.0
2006,SH_STA_BRTC,Montenegro,87.2
2007,SH_STA_BRTC,Montenegro,99.7
2008,SH_STA_BRTC,Montenegro,99.9
2009,SH_STA_BRTC,Montenegro,99.5
2013,SH_STA_BRTC,Montenegro,99.0
2018,SH_STA_BRTC,Montenegro,98.8
2000,SH_STA_BRTC,New Zealand,97.3
2001,SH_STA_BRTC,New Zealand,96.6
2002,SH_STA_BRTC,New Zealand,99.2
2003,SH_STA_BRTC,New Zealand,98.2
2004,SH_STA_BRTC,New Zealand,94.0
2005,SH_STA_BRTC,New Zealand,96.6
2006,SH_STA_BRTC,New Zealand,96.8
2007,SH_STA_BRTC,New Zealand,96.7
2008,SH_STA_BRTC,New Zealand,96.7
2009,SH_STA_BRTC,New Zealand,96.7
2010,SH_STA_BRTC,New Zealand,96.8
2011,SH_STA_BRTC,New Zealand,96.7
2012,SH_STA_BRTC,New Zealand,96.8
2013,SH_STA_BRTC,New Zealand,96.7
2014,SH_STA_BRTC,New Zealand,96.7
2015,SH_STA_BRTC,New Zealand,96.3
2016,SH_STA_BRTC,New Zealand,96.5
2017,SH_STA_BRTC,New Zealand,96.6
2000,SH_STA_BRTC,Albania,99.1
2002,SH_STA_BRTC,Albania,98.0
2005,SH_STA_BRTC,Albania,99.8
2009,SH_STA_BRTC,Albania,99.3
2018,SH_STA_BRTC,Albania,99.8
2000,SH_STA_BRTC,Azerbaijan,80.7
2001,SH_STA_BRTC,Azerbaijan,88.0
2002,SH_STA_BRTC,Azerbaijan,94.0
2003,SH_STA_BRTC,Azerbaijan,95.8
2004,SH_STA_BRTC,Azerbaijan,95.9
2005,SH_STA_BRTC,Azerbaijan,94.4
2006,SH_STA_BRTC,Azerbaijan,88.6
2007,SH_STA_BRTC,Azerbaijan,93.0
2008,SH_STA_BRTC,Azerbaijan,98.0
2009,SH_STA_BRTC,Azerbaijan,99.8
2010,SH_STA_BRTC,Azerbaijan,99.4
2011,SH_STA_BRTC,Azerbaijan,97.2
2012,SH_STA_BRTC,Azerbaijan,99.8
2013,SH_STA_BRTC,Azerbaijan,99.9
2018,SH_STA_BRTC,New Zealand,96.4
2019,SH_STA_BRTC,New Zealand,96.5
2000,SH_STA_BRTC,Norway,99.0
2001,SH_STA_BRTC,Norway,99.1
2002,SH_STA_BRTC,Norway,99.1
2003,SH_STA_BRTC,Norway,99.0
2004,SH_STA_BRTC,Norway,99.1
2005,SH_STA_BRTC,Norway,99.2
2014,SH_STA_BRTC,Azerbaijan,99.9
2015,SH_STA_BRTC,Azerbaijan,99.8
2016,SH_STA_BRTC,Azerbaijan,99.8
2017,SH_STA_BRTC,Azerbaijan,99.8
2018,SH_STA_BRTC,Azerbaijan,99.39
2019,SH_STA_BRTC,Azerbaijan,99.9
2020,SH_STA_BRTC,Azerbaijan,99.9
2021,SH_STA_BRTC,Azerbaijan,99.9
2000,SH_STA_BRTC,Australia,99.3
2006,SH_STA_BRTC,Norway,99.2
2007,SH_STA_BRTC,Norway,99.1
2008,SH_STA_BRTC,Norway,99.2
2009,SH_STA_BRTC,Norway,99.2
2010,SH_STA_BRTC,Norway,99.1
2011,SH_STA_BRTC,Norway,99.2
2012,SH_STA_BRTC,Norway,99.2
2013,SH_STA_BRTC,Norway,99.1
2014,SH_STA_BRTC,Norway,99.1
2015,SH_STA_BRTC,Norway,99.1
2016,SH_STA_BRTC,Norway,99.1
2017,SH_STA_BRTC,Norway,99.2
2018,SH_STA_BRTC,Norway,99.2
2019,SH_STA_BRTC,Norway,99.3
2020,SH_STA_BRTC,Norway,99.2
2021,SH_STA_BRTC,Norway,99.2
2001,SH_STA_BRTC,Australia,99.3
2002,SH_STA_BRTC,Australia,99.3
2003,SH_STA_BRTC,Australia,99.3
2004,SH_STA_BRTC,Australia,99.3
2005,SH_STA_BRTC,Australia,99.4
2006,SH_STA_BRTC,Australia,99.3
2007,SH_STA_BRTC,Australia,99.2
2008,SH_STA_BRTC,Australia,99.1
2009,SH_STA_BRTC,Australia,99.1
2010,SH_STA_BRTC,Australia,99.1
2011,SH_STA_BRTC,Australia,99.1
2012,SH_STA_BRTC,Australia,99.2
2013,SH_STA_BRTC,Australia,99.0
2014,SH_STA_BRTC,Australia,99.8
2015,SH_STA_BRTC,Australia,98.8
2016,SH_STA_BRTC,Australia,98.8
2017,SH_STA_BRTC,Australia,99.4
2018,SH_STA_BRTC,Australia,98.7
2019,SH_STA_BRTC,Australia,98.8
2020,SH_STA_BRTC,Australia,96.0
2000,SH_STA_BRTC,Austria,98.3
2001,SH_STA_BRTC,Austria,98.3
2002,SH_STA_BRTC,Austria,98.4
2003,SH_STA_BRTC,Austria,98.4
2004,SH_STA_BRTC,Austria,98.4
2005,SH_STA_BRTC,Austria,98.6
2006,SH_STA_BRTC,Austria,98.6
2007,SH_STA_BRTC,Austria,98.5
2000,SH_STA_BRTC,Poland,99.4
2001,SH_STA_BRTC,Poland,99.8
2002,SH_STA_BRTC,Poland,99.8
2003,SH_STA_BRTC,Poland,99.8
2004,SH_STA_BRTC,Poland,99.8
2005,SH_STA_BRTC,Poland,99.3
2006,SH_STA_BRTC,Poland,99.4
2007,SH_STA_BRTC,Poland,99.4
2008,SH_STA_BRTC,Poland,99.4
2009,SH_STA_BRTC,Poland,99.7
2010,SH_STA_BRTC,Poland,99.9
2011,SH_STA_BRTC,Poland,99.9
2012,SH_STA_BRTC,Poland,99.9
2013,SH_STA_BRTC,Poland,99.9
2014,SH_STA_BRTC,Poland,99.9
2015,SH_STA_BRTC,Poland,99.9
2016,SH_STA_BRTC,Poland,99.8
2017,SH_STA_BRTC,Poland,99.8
2018,SH_STA_BRTC,Poland,99.8
2019,SH_STA_BRTC,Poland,99.8
2008,SH_STA_BRTC,Austria,98.6
2009,SH_STA_BRTC,Austria,98.6
2010,SH_STA_BRTC,Austria,98.5
2011,SH_STA_BRTC,Austria,98.6
2012,SH_STA_BRTC,Austria,98.5
2013,SH_STA_BRTC,Austria,98.5
2014,SH_STA_BRTC,Austria,98.5
2015,SH_STA_BRTC,Austria,98.5
2016,SH_STA_BRTC,Austria,98.4
2017,SH_STA_BRTC,Austria,98.4
2020,SH_STA_BRTC,Poland,99.7
2021,SH_STA_BRTC,Poland,99.6
2011,SH_STA_BRTC,Portugal,99.9
2012,SH_STA_BRTC,Portugal,99.9
2013,SH_STA_BRTC,Portugal,99.9
2014,SH_STA_BRTC,Portugal,99.9
2015,SH_STA_BRTC,Portugal,99.9
2016,SH_STA_BRTC,Portugal,99.9
2017,SH_STA_BRTC,Portugal,99.9
2018,SH_STA_BRTC,Portugal,99.9
2019,SH_STA_BRTC,Portugal,99.9
2020,SH_STA_BRTC,Portugal,98.6
2000,SH_STA_BRTC,Romania,99.0
2001,SH_STA_BRTC,Romania,99.0
2002,SH_STA_BRTC,Romania,99.1
2003,SH_STA_BRTC,Romania,99.2
2004,SH_STA_BRTC,Romania,98.9
2005,SH_STA_BRTC,Romania,98.1
2006,SH_STA_BRTC,Romania,98.2
2007,SH_STA_BRTC,Romania,98.8
2008,SH_STA_BRTC,Romania,99.4
2009,SH_STA_BRTC,Romania,99.5
2010,SH_STA_BRTC,Romania,99.5
2011,SH_STA_BRTC,Romania,99.4
2012,SH_STA_BRTC,Romania,99.5
2018,SH_STA_BRTC,Austria,98.4
2019,SH_STA_BRTC,Austria,98.4
2020,SH_STA_BRTC,Austria,98.1
2000,SH_STA_BRTC,Armenia,96.8
2001,SH_STA_BRTC,Armenia,98.4
2002,SH_STA_BRTC,Armenia,98.8
2003,SH_STA_BRTC,Armenia,99.2
2004,SH_STA_BRTC,Armenia,99.5
2005,SH_STA_BRTC,Armenia,97.8
2006,SH_STA_BRTC,Armenia,99.7
2007,SH_STA_BRTC,Armenia,99.9
2008,SH_STA_BRTC,Armenia,99.9
2009,SH_STA_BRTC,Armenia,100.0
2010,SH_STA_BRTC,Armenia,99.5
2011,SH_STA_BRTC,Armenia,100.0
2012,SH_STA_BRTC,Armenia,100.0
2013,SH_STA_BRTC,Armenia,100.0
2014,SH_STA_BRTC,Armenia,100.0
2016,SH_STA_BRTC,Armenia,99.8
2000,SH_STA_BRTC,Bosnia and Herzegovina,98.9
2001,SH_STA_BRTC,Bosnia and Herzegovina,99.9
2002,SH_STA_BRTC,Bosnia and Herzegovina,99.9
2003,SH_STA_BRTC,Bosnia and Herzegovina,99.9
2004,SH_STA_BRTC,Bosnia and Herzegovina,99.9
