Year,Gender,Country Name,Value
1998,Female,Kazakhstan,70.4
1999,Female,Kazakhstan,70.9
2000,Female,Kazakhstan,71.2
2001,Female,Kazakhstan,71.3
2002,Female,Kazakhstan,71.6
2003,Female,Kazakhstan,71.5
2004,Female,Kazakhstan,72.0
2005,Female,Kazakhstan,71.8
2006,Female,Kazakhstan,72.0
2007,Female,Kazakhstan,72.3
2008,Female,Kazakhstan,72.4
2009,Female,Kazakhstan,73.25
2010,Female,Kazakhstan,73.41
2011,Female,Kazakhstan,73.57
2012,Female,Kazakhstan,74.29
2013,Female,Kazakhstan,75.23
2014,Female,Kazakhstan,75.82
2015,Female,Kazakhstan,76.26
2016,Female,Kazakhstan,76.61
2017,Female,Kazakhstan,76.92
2018,Female,Kazakhstan,77.19
2019,Female,Kazakhstan,77.3
2020,Female,Kazakhstan,75.53
2021,Female,Kazakhstan,74.03
1998,Total,Kazakhstan,64.5
1999,Total,Kazakhstan,65.63
2000,Total,Kazakhstan,65.45
2001,Total,Kazakhstan,65.76
2002,Total,Kazakhstan,65.95
2003,Total,Kazakhstan,65.74
2004,Total,Kazakhstan,66.06
2005,Total,Kazakhstan,65.86
2006,Total,Kazakhstan,66.15
2007,Total,Kazakhstan,66.34
2008,Total,Kazakhstan,67.11
2009,Total,Kazakhstan,68.39
2010,Total,Kazakhstan,68.45
2011,Total,Kazakhstan,68.69
2012,Total,Kazakhstan,69.52
2013,Total,Kazakhstan,70.62
2014,Total,Kazakhstan,71.44
2015,Total,Kazakhstan,71.97
2016,Total,Kazakhstan,72.41
2017,Total,Kazakhstan,72.95
2018,Total,Kazakhstan,73.15
2019,Total,Kazakhstan,73.18
2020,Total,Kazakhstan,71.37
2021,Total,Kazakhstan,70.23
1998,Male,Kazakhstan,59.0
1999,Male,Kazakhstan,60.6
2000,Male,Kazakhstan,60.2
2001,Male,Kazakhstan,60.5
2002,Male,Kazakhstan,60.7
2003,Male,Kazakhstan,60.5
2004,Male,Kazakhstan,60.6
2005,Male,Kazakhstan,60.3
2006,Male,Kazakhstan,60.6
2007,Male,Kazakhstan,60.7
2008,Male,Kazakhstan,61.9
2009,Male,Kazakhstan,63.55
2010,Male,Kazakhstan,63.55
2011,Male,Kazakhstan,63.85
2012,Male,Kazakhstan,64.74
2013,Male,Kazakhstan,65.91
2014,Male,Kazakhstan,66.9
2015,Male,Kazakhstan,67.49
2016,Male,Kazakhstan,67.99
2017,Male,Kazakhstan,68.72
2018,Male,Kazakhstan,68.84
2019,Male,Kazakhstan,68.82
2020,Male,Kazakhstan,67.09
2021,Male,Kazakhstan,66.33
1998,Female,Kyrgyz Republic,71.2
1999,Female,Kyrgyz Republic,72.6
2000,Female,Kyrgyz Republic,72.4
2001,Female,Kyrgyz Republic,72.6
2002,Female,Kyrgyz Republic,72.1
2003,Female,Kyrgyz Republic,72.2
2004,Female,Kyrgyz Republic,72.2
2005,Female,Kyrgyz Republic,71.9
2006,Female,Kyrgyz Republic,72.1
2007,Female,Kyrgyz Republic,72.3
2008,Female,Kyrgyz Republic,72.6
2009,Female,Kyrgyz Republic,73.2
2010,Female,Kyrgyz Republic,73.5
