Year,SeriesCode,Country,Age,Name of non-communicable disease,Sex,Value
2000,SH_DTH_NCOM,Moldova,30-70,,Both sexes,33.0
2000,SH_DTH_NCOM,Moldova,30-70,,Male,40.8
2000,SH_DTH_NCOM,Moldova,30-70,,Female,26.4
2005,SH_DTH_NCOM,Moldova,30-70,,Both sexes,32.3
2005,SH_DTH_NCOM,Moldova,30-70,,Female,25.1
2005,SH_DTH_NCOM,Moldova,30-70,,Male,40.8
2010,SH_DTH_NCOM,Moldova,30-70,,Both sexes,29.9
2010,SH_DTH_NCOM,Moldova,30-70,,Female,22.2
2000,SH_DTH_NCOM,Albania,30-70,,Female,12.9
2000,SH_DTH_NCOM,Albania,30-70,,Both sexes,18.7
2000,SH_DTH_NCOM,Albania,30-70,,Male,23.5
2005,SH_DTH_NCOM,Albania,30-70,,Male,25.2
2005,SH_DTH_NCOM,Albania,30-70,,Female,14.5
2005,SH_DTH_NCOM,Albania,30-70,,Both sexes,20.3
2010,SH_DTH_NCOM,Albania,30-70,,Female,17.0
2010,SH_DTH_NCOM,Albania,30-70,,Both sexes,19.5
2010,SH_DTH_NCOM,Moldova,30-70,,Male,38.5
2015,SH_DTH_NCOM,Moldova,30-70,,Both sexes,26.6
2015,SH_DTH_NCOM,Moldova,30-70,,Male,35.5
2015,SH_DTH_NCOM,Moldova,30-70,,Female,18.6
2019,SH_DTH_NCOM,Moldova,30-70,,Both sexes,24.1
2019,SH_DTH_NCOM,Moldova,30-70,,Female,15.7
2019,SH_DTH_NCOM,Moldova,30-70,,Male,33.8
2000,SH_DTH_NCOM,Montenegro,30-70,,Male,30.5
2000,SH_DTH_NCOM,Montenegro,30-70,,Both sexes,24.8
2000,SH_DTH_NCOM,Montenegro,30-70,,Female,19.3
2005,SH_DTH_NCOM,Montenegro,30-70,,Both sexes,25.8
2005,SH_DTH_NCOM,Montenegro,30-70,,Male,32.9
2005,SH_DTH_NCOM,Montenegro,30-70,,Female,19.0
2010,SH_DTH_NCOM,Montenegro,30-70,,Both sexes,23.6
2010,SH_DTH_NCOM,Montenegro,30-70,,Female,17.9
2010,SH_DTH_NCOM,Montenegro,30-70,,Male,29.7
2010,SH_DTH_NCOM,Albania,30-70,,Male,21.8
2015,SH_DTH_NCOM,Albania,30-70,,Both sexes,13.6
2015,SH_DTH_NCOM,Albania,30-70,,Female,10.0
2015,SH_DTH_NCOM,Albania,30-70,,Male,17.0
2019,SH_DTH_NCOM,Albania,30-70,,Male,16.7
2019,SH_DTH_NCOM,Albania,30-70,,Female,6.0
2019,SH_DTH_NCOM,Albania,30-70,,Both sexes,11.4
2000,SH_DTH_NCOM,Azerbaijan,30-70,,Male,39.7
2000,SH_DTH_NCOM,Azerbaijan,30-70,,Female,25.5
2000,SH_DTH_NCOM,Azerbaijan,30-70,,Both sexes,32.5
2005,SH_DTH_NCOM,Azerbaijan,30-70,,Both sexes,32.1
2005,SH_DTH_NCOM,Azerbaijan,30-70,,Male,39.6
2005,SH_DTH_NCOM,Azerbaijan,30-70,,Female,25.0
2010,SH_DTH_NCOM,Azerbaijan,30-70,,Male,37.4
2010,SH_DTH_NCOM,Azerbaijan,30-70,,Female,22.6
2010,SH_DTH_NCOM,Azerbaijan,30-70,,Both sexes,29.8
2015,SH_DTH_NCOM,Montenegro,30-70,,Both sexes,22.8
2015,SH_DTH_NCOM,Montenegro,30-70,,Female,16.7
2015,SH_DTH_NCOM,Montenegro,30-70,,Male,29.0
2019,SH_DTH_NCOM,Montenegro,30-70,,Female,16.0
2019,SH_DTH_NCOM,Montenegro,30-70,,Male,28.6
2019,SH_DTH_NCOM,Montenegro,30-70,,Both sexes,22.3
2000,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Both sexes,16.5
2000,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Female,12.5
2015,SH_DTH_NCOM,Azerbaijan,30-70,,Both sexes,28.4
2015,SH_DTH_NCOM,Azerbaijan,30-70,,Male,36.1
2015,SH_DTH_NCOM,Azerbaijan,30-70,,Female,21.1
2019,SH_DTH_NCOM,Azerbaijan,30-70,,Male,34.4
2019,SH_DTH_NCOM,Azerbaijan,30-70,,Female,20.4
2019,SH_DTH_NCOM,Azerbaijan,30-70,,Both sexes,27.2
2000,SH_DTH_NCOM,Australia,30-70,,Male,16.0
2000,SH_DTH_NCOM,Australia,30-70,,Female,9.8
2000,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Male,20.4
2005,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Both sexes,14.0
2005,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Female,11.2
2005,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Male,16.8
2010,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Both sexes,12.6
2010,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Female,10.4
2010,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Male,14.7
2015,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Both sexes,11.2
2000,SH_DTH_NCOM,Australia,30-70,,Both sexes,12.9
2005,SH_DTH_NCOM,Australia,30-70,,Both sexes,11.4
2005,SH_DTH_NCOM,Australia,30-70,,Male,13.9
2005,SH_DTH_NCOM,Australia,30-70,,Female,8.7
2010,SH_DTH_NCOM,Australia,30-70,,Both sexes,9.9
2010,SH_DTH_NCOM,Australia,30-70,,Male,12.1
2010,SH_DTH_NCOM,Australia,30-70,,Female,7.6
2015,SH_DTH_NCOM,Australia,30-70,,Both sexes,9.3
2015,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Male,12.7
2015,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Female,9.7
2019,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Both sexes,10.3
2019,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Female,9.1
2019,SH_DTH_NCOM,Netherlands (Kingdom of the),30-70,,Male,11.6
2000,SH_DTH_NCOM,New Zealand,30-70,,Female,13.0
2000,SH_DTH_NCOM,New Zealand,30-70,,Male,18.8
2000,SH_DTH_NCOM,New Zealand,30-70,,Both sexes,15.9
2015,SH_DTH_NCOM,Australia,30-70,,Female,7.3
2015,SH_DTH_NCOM,Australia,30-70,,Male,11.3
2019,SH_DTH_NCOM,Australia,30-70,,Male,10.4
2019,SH_DTH_NCOM,Australia,30-70,,Female,6.8
2019,SH_DTH_NCOM,Australia,30-70,,Both sexes,8.6
2000,SH_DTH_NCOM,Austria,30-70,,Male,20.2
2000,SH_DTH_NCOM,Austria,30-70,,Female,10.7
2000,SH_DTH_NCOM,Austria,30-70,,Both sexes,15.3
2005,SH_DTH_NCOM,Austria,30-70,,Female,9.1
2005,SH_DTH_NCOM,Austria,30-70,,Both sexes,12.8
2005,SH_DTH_NCOM,Austria,30-70,,Male,16.6
2010,SH_DTH_NCOM,Austria,30-70,,Male,16.2
2010,SH_DTH_NCOM,Austria,30-70,,Female,8.8
2010,SH_DTH_NCOM,Austria,30-70,,Both sexes,12.4
2015,SH_DTH_NCOM,Austria,30-70,,Male,14.7
2015,SH_DTH_NCOM,Austria,30-70,,Female,8.6
2005,SH_DTH_NCOM,New Zealand,30-70,,Both sexes,13.3
2005,SH_DTH_NCOM,New Zealand,30-70,,Female,11.1
2005,SH_DTH_NCOM,New Zealand,30-70,,Male,15.5
2010,SH_DTH_NCOM,New Zealand,30-70,,Both sexes,11.8
2010,SH_DTH_NCOM,New Zealand,30-70,,Male,13.7
2010,SH_DTH_NCOM,New Zealand,30-70,,Female,9.9
2015,SH_DTH_NCOM,New Zealand,30-70,,Both sexes,10.9
2015,SH_DTH_NCOM,New Zealand,30-70,,Female,9.3
2015,SH_DTH_NCOM,Austria,30-70,,Both sexes,11.6
2019,SH_DTH_NCOM,Austria,30-70,,Both sexes,10.4
2019,SH_DTH_NCOM,Austria,30-70,,Male,12.9
2019,SH_DTH_NCOM,Austria,30-70,,Female,7.9
2000,SH_DTH_NCOM,Armenia,30-70,,Female,20.2
2000,SH_DTH_NCOM,Armenia,30-70,,Both sexes,26.7
2000,SH_DTH_NCOM,Armenia,30-70,,Male,34.1
2005,SH_DTH_NCOM,Armenia,30-70,,Male,33.9
2015,SH_DTH_NCOM,New Zealand,30-70,,Male,12.6
2019,SH_DTH_NCOM,New Zealand,30-70,,Both sexes,10.3
2019,SH_DTH_NCOM,New Zealand,30-70,,Female,8.5
2019,SH_DTH_NCOM,New Zealand,30-70,,Male,12.1
2000,SH_DTH_NCOM,Norway,30-70,,Both sexes,14.3
2000,SH_DTH_NCOM,Norway,30-70,,Female,11.0
2000,SH_DTH_NCOM,Norway,30-70,,Male,17.7
2005,SH_DTH_NCOM,Norway,30-70,,Male,14.8
2005,SH_DTH_NCOM,Armenia,30-70,,Female,18.5
2005,SH_DTH_NCOM,Armenia,30-70,,Both sexes,25.7
2010,SH_DTH_NCOM,Armenia,30-70,,Male,33.9
2010,SH_DTH_NCOM,Armenia,30-70,,Female,17.4
2010,SH_DTH_NCOM,Armenia,30-70,,Both sexes,25.0
2015,SH_DTH_NCOM,Armenia,30-70,,Female,15.3
2015,SH_DTH_NCOM,Armenia,30-70,,Both sexes,22.3
2015,SH_DTH_NCOM,Armenia,30-70,,Male,30.6
2005,SH_DTH_NCOM,Norway,30-70,,Both sexes,12.3
2005,SH_DTH_NCOM,Norway,30-70,,Female,9.9
2010,SH_DTH_NCOM,Norway,30-70,,Both sexes,11.3
2010,SH_DTH_NCOM,Norway,30-70,,Female,9.1
2010,SH_DTH_NCOM,Norway,30-70,,Male,13.4
2015,SH_DTH_NCOM,Norway,30-70,,Both sexes,9.5
2015,SH_DTH_NCOM,Norway,30-70,,Female,7.7
2015,SH_DTH_NCOM,Norway,30-70,,Male,11.2
2019,SH_DTH_NCOM,Armenia,30-70,,Male,28.0
2019,SH_DTH_NCOM,Armenia,30-70,,Female,13.4
2019,SH_DTH_NCOM,Armenia,30-70,,Both sexes,19.9
2000,SH_DTH_NCOM,Belgium,30-70,,Female,10.7
2000,SH_DTH_NCOM,Belgium,30-70,,Both sexes,15.4
2000,SH_DTH_NCOM,Belgium,30-70,,Male,20.3
2005,SH_DTH_NCOM,Belgium,30-70,,Both sexes,13.7
2005,SH_DTH_NCOM,Belgium,30-70,,Male,17.7
2005,SH_DTH_NCOM,Belgium,30-70,,Female,9.9
2010,SH_DTH_NCOM,Belgium,30-70,,Both sexes,12.9
2010,SH_DTH_NCOM,Belgium,30-70,,Female,9.7
2010,SH_DTH_NCOM,Belgium,30-70,,Male,16.3
2015,SH_DTH_NCOM,Belgium,30-70,,Male,14.2
2015,SH_DTH_NCOM,Belgium,30-70,,Female,8.8
2015,SH_DTH_NCOM,Belgium,30-70,,Both sexes,11.5
2019,SH_DTH_NCOM,Belgium,30-70,,Both sexes,10.6
2019,SH_DTH_NCOM,Norway,30-70,,Both sexes,8.7
2019,SH_DTH_NCOM,Norway,30-70,,Female,7.4
2019,SH_DTH_NCOM,Norway,30-70,,Male,10.0
2000,SH_DTH_NCOM,Poland,30-70,,Male,34.4
2000,SH_DTH_NCOM,Poland,30-70,,Female,16.4
2000,SH_DTH_NCOM,Poland,30-70,,Both sexes,25.0
2005,SH_DTH_NCOM,Poland,30-70,,Both sexes,22.5
2005,SH_DTH_NCOM,Poland,30-70,,Female,14.4
2019,SH_DTH_NCOM,Belgium,30-70,,Male,13.0
2019,SH_DTH_NCOM,Belgium,30-70,,Female,8.2
2000,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Both sexes,22.0
2000,SH_DTH_NCOM,Bosnia and Herzegovina,30-70,,Female,17.0
