Year,SeriesCode,Country,Education level,Value
2005,SE_GPI_TCAQ,Costa Rica,PRIMAR,1.00112
2005,SE_GPI_TCAQ,Costa Rica,PREPRI,1.13194
2006,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.96535
2006,SE_GPI_TCAQ,Costa Rica,SECOND,0.97384
2006,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.97737
2006,SE_GPI_TCAQ,Costa Rica,PREPRI,1.20178
2006,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99554
2007,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.97827
2007,SE_GPI_TCAQ,Costa Rica,SECOND,0.97971
2007,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.98329
2007,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99719
2007,SE_GPI_TCAQ,Costa Rica,PREPRI,1.26722
2008,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.97865
2008,SE_GPI_TCAQ,Costa Rica,PREPRI,1.25873
2008,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99254
2008,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.97984
2008,SE_GPI_TCAQ,Costa Rica,SECOND,0.97909
2009,SE_GPI_TCAQ,Costa Rica,LOWSEC,0.98266
2009,SE_GPI_TCAQ,Costa Rica,SECOND,0.98247
2009,SE_GPI_TCAQ,Costa Rica,UPPSEC,0.98236
2018,SE_GPI_TCAQ,Albania,PRIMAR,1.07191
2018,SE_GPI_TCAQ,Albania,PREPRI,2.0
2018,SE_GPI_TCAQ,Albania,LOWSEC,1.17419
2020,SE_GPI_TCAQ,Albania,LOWSEC,0.78184
2020,SE_GPI_TCAQ,Albania,SECOND,0.91184
2020,SE_GPI_TCAQ,Albania,UPPSEC,1.15123
2021,SE_GPI_TCAQ,Albania,UPPSEC,1.0422
2021,SE_GPI_TCAQ,Albania,PRIMAR,0.83207
2021,SE_GPI_TCAQ,Albania,SECOND,0.9142
2021,SE_GPI_TCAQ,Albania,LOWSEC,0.85507
2009,SE_GPI_TCAQ,Costa Rica,PREPRI,1.19795
2009,SE_GPI_TCAQ,Costa Rica,PRIMAR,0.99539
