Year,SeriesCode,Country,Education level,Type of skill,Value
2001,SE_TOT_GPI,Latvia,PRIMAR,SKILL_READ,1.0103
2003,SE_TOT_GPI,Latvia,LOWSEC,SKILL_READ,1.15215
2003,SE_TOT_GPI,Latvia,LOWSEC,SKILL_MATH,1.016
2003,SE_TOT_GPI,Latvia,PRIMAR,SKILL_MATH,1.01508
2006,SE_TOT_GPI,Latvia,PRIMAR,SKILL_READ,1.0211
2006,SE_TOT_GPI,Latvia,LOWSEC,SKILL_MATH,0.9835
2006,SE_TOT_GPI,Latvia,LOWSEC,SKILL_READ,1.19881
2007,SE_TOT_GPI,Latvia,PRIMAR,SKILL_MATH,1.03122
2009,SE_TOT_GPI,Latvia,LOWSEC,SKILL_MATH,1.01423
2009,SE_TOT_GPI,Latvia,LOWSEC,SKILL_READ,1.19518
2012,SE_TOT_GPI,Latvia,LOWSEC,SKILL_READ,1.19053
2012,SE_TOT_GPI,Latvia,LOWSEC,SKILL_MATH,1.0393
2015,SE_TOT_GPI,Latvia,LOWSEC,SKILL_MATH,1.03917
2015,SE_TOT_GPI,Latvia,LOWSEC,SKILL_READ,1.15063
2016,SE_TOT_GPI,Latvia,PRIMAR,SKILL_READ,1.00377
2018,SE_TOT_GPI,Latvia,LOWSEC,SKILL_MATH,0.9987
2018,SE_TOT_GPI,Latvia,LOWSEC,SKILL_READ,1.16224
2019,SE_TOT_GPI,Latvia,PRIMAR,SKILL_MATH,1.01287
2001,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_READ,1.01717
2003,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_MATH,1.01045
2006,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_READ,1.00832
2006,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_READ,1.21419
2006,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_MATH,0.99883
2007,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_MATH,1.017
2009,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_READ,1.25839
2009,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_MATH,1.04911
2011,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_READ,1.01776
2011,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_MATH,1.0012
2012,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_READ,1.24016
2012,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_MATH,1.04401
2015,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_MATH,1.03344
2015,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_READ,1.17489
2015,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_MATH,1.03042
2016,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_READ,1.01329
2018,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_READ,1.18128
2018,SE_TOT_GPI,Lithuania,LOWSEC,SKILL_MATH,1.04744
2019,SE_TOT_GPI,Lithuania,PRIMAR,SKILL_MATH,1.0145
2000,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_READ,1.15591
2000,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_MATH,0.91667
2003,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_MATH,0.95788
2003,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_READ,1.13769
2006,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_MATH,0.95702
2006,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_READ,1.13107
2006,SE_TOT_GPI,Luxembourg,PRIMAR,SKILL_READ,1.00725
2009,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_MATH,0.95476
2009,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_READ,1.17025
2012,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_READ,1.10968
2012,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_MATH,0.89202
2000,SE_TOT_GPI,Albania,LOWSEC,SKILL_READ,1.50961
2000,SE_TOT_GPI,Albania,LOWSEC,SKILL_MATH,1.18575
2009,SE_TOT_GPI,Albania,LOWSEC,SKILL_MATH,1.08138
2009,SE_TOT_GPI,Albania,LOWSEC,SKILL_READ,1.45085
2012,SE_TOT_GPI,Albania,LOWSEC,SKILL_READ,1.11672
2012,SE_TOT_GPI,Albania,LOWSEC,SKILL_MATH,1.01788
2015,SE_TOT_GPI,Albania,LOWSEC,SKILL_MATH,1.08577
2018,SE_TOT_GPI,Albania,LOWSEC,SKILL_READ,1.34699
2015,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_MATH,0.97569
2015,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_READ,1.09369
2018,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_READ,1.13312
2018,SE_TOT_GPI,Luxembourg,LOWSEC,SKILL_MATH,0.97463
2009,SE_TOT_GPI,Malta,LOWSEC,SKILL_READ,1.31857
2011,SE_TOT_GPI,Malta,PRIMAR,SKILL_READ,1.07681
2011,SE_TOT_GPI,Malta,PRIMAR,SKILL_MATH,0.97511
2015,SE_TOT_GPI,Malta,LOWSEC,SKILL_READ,1.21027
2016,SE_TOT_GPI,Malta,PRIMAR,SKILL_READ,1.11125
2018,SE_TOT_GPI,Malta,LOWSEC,SKILL_READ,1.25581
2019,SE_TOT_GPI,Malta,PRIMAR,SKILL_MATH,1.02909
2000,SE_TOT_GPI,Mexico,LOWSEC,SKILL_READ,1.17835
2000,SE_TOT_GPI,Mexico,LOWSEC,SKILL_MATH,0.86773
2003,SE_TOT_GPI,Mexico,LOWSEC,SKILL_MATH,0.85358
2003,SE_TOT_GPI,Mexico,LOWSEC,SKILL_READ,1.18232
2006,SE_TOT_GPI,Mexico,PRIMAR,SKILL_READ,1.11026
2006,SE_TOT_GPI,Mexico,PRIMAR,SKILL_MATH,1.05861
2006,SE_TOT_GPI,Mexico,GRAD23,SKILL_READ,1.06218
2006,SE_TOT_GPI,Mexico,GRAD23,SKILL_MATH,1.01656
2006,SE_TOT_GPI,Mexico,LOWSEC,SKILL_MATH,0.89728
2006,SE_TOT_GPI,Mexico,LOWSEC,SKILL_READ,1.23202
2009,SE_TOT_GPI,Mexico,LOWSEC,SKILL_READ,1.18407
2009,SE_TOT_GPI,Mexico,LOWSEC,SKILL_MATH,0.87564
2012,SE_TOT_GPI,Mexico,LOWSEC,SKILL_READ,1.19062
2012,SE_TOT_GPI,Mexico,LOWSEC,SKILL_MATH,0.84203
2015,SE_TOT_GPI,Mexico,LOWSEC,SKILL_MATH,0.89921
2015,SE_TOT_GPI,Mexico,LOWSEC,SKILL_READ,1.14977
2018,SE_TOT_GPI,Mexico,LOWSEC,SKILL_MATH,0.87741
2018,SE_TOT_GPI,Mexico,LOWSEC,SKILL_READ,1.10711
2019,SE_TOT_GPI,Mexico,PRIMAR,SKILL_READ,1.1573
2019,SE_TOT_GPI,Mexico,GRAD23,SKILL_MATH,0.97426
2019,SE_TOT_GPI,Mexico,GRAD23,SKILL_READ,1.05427
2019,SE_TOT_GPI,Mexico,PRIMAR,SKILL_MATH,1.05021
