Year,SeriesCode,Country,Value
2022,SH_LGR_ACSRHE,Albania,79
2019,SH_LGR_ACSRHE,Armenia,87
2022,SH_LGR_ACSRHE,Bosnia and Herzegovina,70
2022,SH_LGR_ACSRHE,Bulgaria,62
2022,SH_LGR_ACSRHE,Belarus,83
2022,SH_LGR_ACSRHE,Colombia,96
2022,SH_LGR_ACSRHE,Costa Rica,84
2022,SH_LGR_ACSRHE,Croatia,98
2022,SH_LGR_ACSRHE,Cyprus,72
2022,SH_LGR_ACSRHE,Czechia,79
2022,SH_LGR_ACSRHE,Denmark,87
2022,SH_LGR_ACSRHE,Estonia,98
2022,SH_LGR_ACSRHE,Finland,98
2022,SH_LGR_ACSRHE,Georgia,94
2022,SH_LGR_ACSRHE,Germany,87
2022,SH_LGR_ACSRHE,Greece,72
2022,SH_LGR_ACSRHE,Hungary,93
2022,SH_LGR_ACSRHE,India,74
2022,SH_LGR_ACSRHE,Japan,85
2022,SH_LGR_ACSRHE,Kazakhstan,65
2019,SH_LGR_ACSRHE,Kyrgyzstan,73
2019,SH_LGR_ACSRHE,Latvia,70
2022,SH_LGR_ACSRHE,Lithuania,87
2022,SH_LGR_ACSRHE,Mexico,86
2019,SH_LGR_ACSRHE,Montenegro,52
2022,SH_LGR_ACSRHE,Netherlands (Kingdom of the),100
2019,SH_LGR_ACSRHE,New Zealand,95
2022,SH_LGR_ACSRHE,Norway,100
2022,SH_LGR_ACSRHE,Poland,89
2022,SH_LGR_ACSRHE,Portugal,95
2022,SH_LGR_ACSRHE,Romania,98
2022,SH_LGR_ACSRHE,Serbia,99
2022,SH_LGR_ACSRHE,Slovakia,86
2019,SH_LGR_ACSRHE,Viet Nam,54
2019,SH_LGR_ACSRHE,Sweden,100
2019,SH_LGR_ACSRHE,Switzerland,94
2022,SH_LGR_ACSRHE,Türkiye,78
2022,SH_LGR_ACSRHE,Turkmenistan,94
2022,SH_LGR_ACSRHE,Ukraine,95
2022,SH_LGR_ACSRHE,United Kingdom of Great Britain and Northern Ireland,96
2022,SH_LGR_ACSRHE,Uzbekistan,92
2022,SH_LGR_ACSRHE,Uzbekistan,92
