Year,SeriesCode,Country,Value
2022,SH_LGR_ACSRHEC4,Albania,100
2022,SH_LGR_ACSRHEC4,Australia,100
2022,SH_LGR_ACSRHEC4,Austria,0
2019,SH_LGR_ACSRHEC4,Armenia,100
2019,SH_LGR_ACSRHEC4,Belgium,0
2022,SH_LGR_ACSRHEC4,Bosnia and Herzegovina,100
2022,SH_LGR_ACSRHEC4,Bulgaria,100
2022,SH_LGR_ACSRHEC4,Belarus,100
2022,SH_LGR_ACSRHEC4,Canada,0
2022,SH_LGR_ACSRHEC4,Chile,100
2022,SH_LGR_ACSRHEC4,China,100
2022,SH_LGR_ACSRHEC4,Colombia,100
2022,SH_LGR_ACSRHEC4,Costa Rica,100
2022,SH_LGR_ACSRHEC4,Croatia,100
2022,SH_LGR_ACSRHEC4,Cyprus,0
2022,SH_LGR_ACSRHEC4,Czechia,100
2022,SH_LGR_ACSRHEC4,Denmark,100
2022,SH_LGR_ACSRHEC4,Estonia,100
2022,SH_LGR_ACSRHEC4,Finland,100
2022,SH_LGR_ACSRHEC4,Georgia,100
2022,SH_LGR_ACSRHEC4,Germany,75
2022,SH_LGR_ACSRHEC4,Greece,0
2022,SH_LGR_ACSRHEC4,Hungary,100
2022,SH_LGR_ACSRHEC4,India,100
2022,SH_LGR_ACSRHEC4,Japan,0
2022,SH_LGR_ACSRHEC4,Kazakhstan,75
2019,SH_LGR_ACSRHEC4,Kyrgyzstan,50
2019,SH_LGR_ACSRHEC4,Latvia,0
2022,SH_LGR_ACSRHEC4,Lithuania,100
2019,SH_LGR_ACSRHEC4,Malta,100
2022,SH_LGR_ACSRHEC4,Mexico,0
2019,SH_LGR_ACSRHEC4,Moldova,100
2019,SH_LGR_ACSRHEC4,Montenegro,75
2022,SH_LGR_ACSRHEC4,Netherlands (Kingdom of the),100
2019,SH_LGR_ACSRHEC4,New Zealand,100
2022,SH_LGR_ACSRHEC4,Norway,100
2022,SH_LGR_ACSRHEC4,Poland,75
2022,SH_LGR_ACSRHEC4,Portugal,100
2022,SH_LGR_ACSRHEC4,Romania,100
2022,SH_LGR_ACSRHEC4,Serbia,100
2022,SH_LGR_ACSRHEC4,Slovakia,75
2019,SH_LGR_ACSRHEC4,Viet Nam,0
2022,SH_LGR_ACSRHEC4,Slovenia,100
2019,SH_LGR_ACSRHEC4,Sweden,100
2019,SH_LGR_ACSRHEC4,Switzerland,100
2022,SH_LGR_ACSRHEC4,United Arab Emirates,100
2022,SH_LGR_ACSRHEC4,Türkiye,100
2022,SH_LGR_ACSRHEC4,Turkmenistan,100
2022,SH_LGR_ACSRHEC4,Ukraine,100
2022,SH_LGR_ACSRHEC4,North Macedonia,100
2022,SH_LGR_ACSRHEC4,United Kingdom of Great Britain and Northern Ireland,100
2022,SH_LGR_ACSRHEC4,Uzbekistan,100
2022,SH_LGR_ACSRHEC4,Uzbekistan,100
