Year,SeriesCode,Country,Sex,Value
2013,IT_MOB_OWN,Azerbaijan,Both sexes,72.41433
2014,IT_MOB_OWN,Azerbaijan,Male,77.2075
2014,IT_MOB_OWN,Azerbaijan,Both sexes,73.9173
2014,IT_MOB_OWN,Azerbaijan,Female,70.65596
2015,IT_MOB_OWN,Azerbaijan,Both sexes,74.1245
2015,IT_MOB_OWN,Azerbaijan,Female,70.46501
2015,IT_MOB_OWN,Azerbaijan,Male,77.80999
2016,IT_MOB_OWN,Azerbaijan,Female,69.84266
2016,IT_MOB_OWN,Azerbaijan,Male,77.01012
2016,IT_MOB_OWN,Azerbaijan,Both sexes,73.41631
2017,IT_MOB_OWN,Azerbaijan,Both sexes,84.0
2017,IT_MOB_OWN,Azerbaijan,Female,79.72038
2017,IT_MOB_OWN,Azerbaijan,Male,88.3795
2018,IT_MOB_OWN,Azerbaijan,Both sexes,83.5
2018,IT_MOB_OWN,Azerbaijan,Female,79.34035
2018,IT_MOB_OWN,Azerbaijan,Male,87.74649
2019,IT_MOB_OWN,Azerbaijan,Both sexes,83.5
2019,IT_MOB_OWN,Azerbaijan,Female,79.43088
2019,IT_MOB_OWN,Azerbaijan,Male,87.64452
2020,IT_MOB_OWN,Azerbaijan,Male,88.12328
2020,IT_MOB_OWN,Azerbaijan,Both sexes,84.00001
2020,IT_MOB_OWN,Azerbaijan,Female,79.94754
2021,IT_MOB_OWN,Azerbaijan,Both sexes,84.0
2021,IT_MOB_OWN,Azerbaijan,Female,83.37485
2021,IT_MOB_OWN,Azerbaijan,Male,84.63484
2017,IT_MOB_OWN,Armenia,Both sexes,72.60673
2017,IT_MOB_OWN,Armenia,Female,72.63815
2017,IT_MOB_OWN,Armenia,Male,72.56871
2018,IT_MOB_OWN,Armenia,Female,76.81744
2018,IT_MOB_OWN,Armenia,Male,75.95236
2018,IT_MOB_OWN,Armenia,Both sexes,76.42854
2021,IT_MOB_OWN,Belgium,Female,90.285
2021,IT_MOB_OWN,Belgium,Male,89.77226
2021,IT_MOB_OWN,Belgium,Both sexes,90.02923
2017,IT_MOB_OWN,Belarus,Male,91.48085
2017,IT_MOB_OWN,Belarus,Female,94.98769
2017,IT_MOB_OWN,Belarus,Both sexes,93.48521
2018,IT_MOB_OWN,Belarus,Both sexes,94.83765
2018,IT_MOB_OWN,Belarus,Male,93.68755
2018,IT_MOB_OWN,Belarus,Female,95.69948
2019,IT_MOB_OWN,Belarus,Both sexes,95.26146
2019,IT_MOB_OWN,Belarus,Female,96.25902
2019,IT_MOB_OWN,Belarus,Male,93.94575
2020,IT_MOB_OWN,Belarus,Both sexes,95.88722
2020,IT_MOB_OWN,Belarus,Female,96.88836
2020,IT_MOB_OWN,Belarus,Male,94.59995
2021,IT_MOB_OWN,Belarus,Both sexes,97.08283
2021,IT_MOB_OWN,Belarus,Female,97.77932
2021,IT_MOB_OWN,Belarus,Male,96.09757
2016,IT_MOB_OWN,Chile,Both sexes,95.32023
2016,IT_MOB_OWN,Chile,Female,98.82035
2016,IT_MOB_OWN,Chile,Male,91.55596
2017,IT_MOB_OWN,Chile,Both sexes,92.01104
2017,IT_MOB_OWN,Chile,Female,97.15276
2017,IT_MOB_OWN,Chile,Male,86.6711
2014,IT_MOB_OWN,Colombia,Female,70.56789
2014,IT_MOB_OWN,Colombia,Male,68.03359
2014,IT_MOB_OWN,Colombia,Both sexes,69.31919
2015,IT_MOB_OWN,Colombia,Female,72.81828
2015,IT_MOB_OWN,Colombia,Male,70.08439
2015,IT_MOB_OWN,Colombia,Both sexes,71.47384
2016,IT_MOB_OWN,Colombia,Both sexes,72.06032
2016,IT_MOB_OWN,Colombia,Female,73.10334
2016,IT_MOB_OWN,Colombia,Male,70.9842
2017,IT_MOB_OWN,Colombia,Both sexes,73.15218
2017,IT_MOB_OWN,Colombia,Female,74.45673
2017,IT_MOB_OWN,Colombia,Male,71.80815
2018,IT_MOB_OWN,Colombia,Both sexes,72.15799
2018,IT_MOB_OWN,Colombia,Male,70.94716
2018,IT_MOB_OWN,Colombia,Female,73.33209
2019,IT_MOB_OWN,Colombia,Both sexes,73.05917
2019,IT_MOB_OWN,Colombia,Female,74.17533
