Year,SeriesCode,Country,Location,Value
2013,SH_H2O_SAFE,Chile,Urban,99.20481
2013,SH_H2O_SAFE,Chile,All areas,97.6581
2014,SH_H2O_SAFE,Chile,All areas,98.08776
2014,SH_H2O_SAFE,Chile,Urban,99.25043
2015,SH_H2O_SAFE,Chile,All areas,98.38247
2015,SH_H2O_SAFE,Chile,Urban,99.29604
2016,SH_H2O_SAFE,Chile,All areas,98.57763
2016,SH_H2O_SAFE,Chile,Urban,99.34164
2017,SH_H2O_SAFE,Chile,All areas,98.77024
2017,SH_H2O_SAFE,Chile,Urban,99.38724
2018,SH_H2O_SAFE,Chile,All areas,98.77137
2018,SH_H2O_SAFE,Chile,Urban,99.42182
2019,SH_H2O_SAFE,Chile,Urban,99.42182
2019,SH_H2O_SAFE,Chile,All areas,98.77137
2020,SH_H2O_SAFE,Chile,Urban,99.42182
2020,SH_H2O_SAFE,Chile,All areas,98.77137
2021,SH_H2O_SAFE,Chile,All areas,98.77137
2021,SH_H2O_SAFE,Chile,Urban,99.42182
2022,SH_H2O_SAFE,Chile,Urban,99.42182
2022,SH_H2O_SAFE,Chile,All areas,98.77136
2000,SH_H2O_SAFE,Albania,All areas,49.13832
2001,SH_H2O_SAFE,Albania,All areas,49.0812
2002,SH_H2O_SAFE,Albania,All areas,48.98477
2003,SH_H2O_SAFE,Albania,All areas,48.88545
2004,SH_H2O_SAFE,Albania,All areas,50.71768
2005,SH_H2O_SAFE,Albania,All areas,52.57833
2006,SH_H2O_SAFE,Albania,All areas,54.46708
2007,SH_H2O_SAFE,Albania,All areas,56.38384
2008,SH_H2O_SAFE,Albania,All areas,58.32848
2009,SH_H2O_SAFE,Albania,All areas,60.30091
2000,SH_H2O_SAFE,China,Urban,89.53876
2001,SH_H2O_SAFE,China,Urban,89.53876
2002,SH_H2O_SAFE,China,Urban,89.55752
2003,SH_H2O_SAFE,China,Urban,89.57627
2004,SH_H2O_SAFE,China,Urban,89.59503
2005,SH_H2O_SAFE,China,Urban,89.61378
2006,SH_H2O_SAFE,China,Urban,89.63254
2007,SH_H2O_SAFE,China,Urban,89.65129
2008,SH_H2O_SAFE,China,Urban,89.67005
2009,SH_H2O_SAFE,China,Urban,89.6888
2010,SH_H2O_SAFE,Albania,All areas,62.30063
2011,SH_H2O_SAFE,Albania,All areas,64.3274
2012,SH_H2O_SAFE,Albania,All areas,66.38085
2013,SH_H2O_SAFE,Albania,All areas,68.45983
2014,SH_H2O_SAFE,Albania,All areas,70.56326
2015,SH_H2O_SAFE,Albania,All areas,70.59197
2016,SH_H2O_SAFE,Albania,All areas,70.61651
2017,SH_H2O_SAFE,Albania,All areas,70.63694
2018,SH_H2O_SAFE,Albania,All areas,70.65335
2019,SH_H2O_SAFE,Albania,All areas,70.66586
2010,SH_H2O_SAFE,China,Urban,89.70756
2011,SH_H2O_SAFE,China,Urban,90.52677
2012,SH_H2O_SAFE,China,Urban,91.34632
2013,SH_H2O_SAFE,China,Urban,92.1662
2014,SH_H2O_SAFE,China,Urban,92.98642
2015,SH_H2O_SAFE,China,Urban,93.80697
2016,SH_H2O_SAFE,China,Urban,94.62786
2017,SH_H2O_SAFE,China,Urban,95.44908
2018,SH_H2O_SAFE,China,Urban,96.27064
2019,SH_H2O_SAFE,China,Urban,97.09253
2002,SH_H2O_SAFE,Republic of Korea,All areas,97.10565
2003,SH_H2O_SAFE,Republic of Korea,All areas,97.10565
2004,SH_H2O_SAFE,Republic of Korea,All areas,97.10565
2005,SH_H2O_SAFE,Republic of Korea,All areas,97.10565
2006,SH_H2O_SAFE,Republic of Korea,All areas,97.10565
2007,SH_H2O_SAFE,Republic of Korea,All areas,97.27112
2008,SH_H2O_SAFE,Republic of Korea,All areas,97.43673
2009,SH_H2O_SAFE,Republic of Korea,All areas,97.60248
2010,SH_H2O_SAFE,Republic of Korea,All areas,97.76837
2011,SH_H2O_SAFE,Republic of Korea,All areas,97.9344
2020,SH_H2O_SAFE,China,Urban,97.48117
2021,SH_H2O_SAFE,China,Urban,97.68575
2022,SH_H2O_SAFE,China,Urban,97.87385
2000,SH_H2O_SAFE,Colombia,Urban,80.63933
2000,SH_H2O_SAFE,Colombia,Rural,34.21683
2000,SH_H2O_SAFE,Colombia,All areas,68.54952
2001,SH_H2O_SAFE,Colombia,Urban,80.70569
2001,SH_H2O_SAFE,Colombia,All areas,68.86417
2001,SH_H2O_SAFE,Colombia,Rural,34.48768
2002,SH_H2O_SAFE,Colombia,Rural,34.75853
2002,SH_H2O_SAFE,Colombia,Urban,80.77205
2002,SH_H2O_SAFE,Colombia,All areas,69.17526
2003,SH_H2O_SAFE,Colombia,Urban,80.83841
2003,SH_H2O_SAFE,Colombia,Rural,35.02937
2003,SH_H2O_SAFE,Colombia,All areas,69.48281
2004,SH_H2O_SAFE,Colombia,All areas,69.78638
2004,SH_H2O_SAFE,Colombia,Urban,80.90477
2004,SH_H2O_SAFE,Colombia,Rural,35.30022
2005,SH_H2O_SAFE,Colombia,All areas,70.08601
2005,SH_H2O_SAFE,Colombia,Rural,35.57107
2005,SH_H2O_SAFE,Colombia,Urban,80.97113
2006,SH_H2O_SAFE,Colombia,Urban,81.03749
2006,SH_H2O_SAFE,Colombia,Rural,35.84191
2006,SH_H2O_SAFE,Colombia,All areas,70.38173
2007,SH_H2O_SAFE,Colombia,All areas,70.63542
2007,SH_H2O_SAFE,Colombia,Urban,81.05478
2007,SH_H2O_SAFE,Colombia,Rural,36.11276
2008,SH_H2O_SAFE,Colombia,Urban,81.072
2008,SH_H2O_SAFE,Colombia,Rural,36.38361
2008,SH_H2O_SAFE,Colombia,All areas,70.88484
2009,SH_H2O_SAFE,Colombia,Urban,81.08913
2009,SH_H2O_SAFE,Colombia,Rural,36.65445
2009,SH_H2O_SAFE,Colombia,All areas,71.12999
2010,SH_H2O_SAFE,Colombia,Rural,36.9253
2010,SH_H2O_SAFE,Colombia,All areas,71.37048
2010,SH_H2O_SAFE,Colombia,Urban,81.10618
2011,SH_H2O_SAFE,Colombia,Urban,81.12316
2011,SH_H2O_SAFE,Colombia,Rural,37.19615
2011,SH_H2O_SAFE,Colombia,All areas,71.60637
2012,SH_H2O_SAFE,Colombia,Urban,81.14005
2012,SH_H2O_SAFE,Colombia,Rural,37.46699
2012,SH_H2O_SAFE,Colombia,All areas,71.83812
2013,SH_H2O_SAFE,Colombia,All areas,72.06536
2013,SH_H2O_SAFE,Colombia,Rural,37.73784
2013,SH_H2O_SAFE,Colombia,Urban,81.15686
2014,SH_H2O_SAFE,Colombia,Rural,38.00869
2014,SH_H2O_SAFE,Colombia,All areas,72.2881
2014,SH_H2O_SAFE,Colombia,Urban,81.1736
2015,SH_H2O_SAFE,Colombia,All areas,72.50684
2015,SH_H2O_SAFE,Colombia,Rural,38.27953
2012,SH_H2O_SAFE,Republic of Korea,All areas,98.10057
2013,SH_H2O_SAFE,Republic of Korea,All areas,98.26689
2014,SH_H2O_SAFE,Republic of Korea,All areas,98.43334
2015,SH_H2O_SAFE,Republic of Korea,All areas,98.58376
2016,SH_H2O_SAFE,Republic of Korea,All areas,98.6927
2017,SH_H2O_SAFE,Republic of Korea,All areas,98.80168
2018,SH_H2O_SAFE,Republic of Korea,All areas,98.91071
2019,SH_H2O_SAFE,Republic of Korea,All areas,99.01979
2020,SH_H2O_SAFE,Republic of Korea,All areas,99.12891
2021,SH_H2O_SAFE,Republic of Korea,All areas,99.21022
2020,SH_H2O_SAFE,Albania,All areas,70.67454
2021,SH_H2O_SAFE,Albania,All areas,70.7058
2022,SH_H2O_SAFE,Albania,All areas,70.73607
2000,SH_H2O_SAFE,Azerbaijan,All areas,57.74855
2000,SH_H2O_SAFE,Azerbaijan,Urban,80.61574
2000,SH_H2O_SAFE,Azerbaijan,Rural,33.57747
2001,SH_H2O_SAFE,Azerbaijan,Rural,35.74493
2001,SH_H2O_SAFE,Azerbaijan,All areas,59.48841
2001,SH_H2O_SAFE,Azerbaijan,Urban,81.83224
2002,SH_H2O_SAFE,Azerbaijan,All areas,60.11043
2000,SH_H2O_SAFE,Serbia,Rural,66.38787
2000,SH_H2O_SAFE,Serbia,Urban,81.46126
2000,SH_H2O_SAFE,Serbia,All areas,74.34195
2001,SH_H2O_SAFE,Serbia,Urban,81.46407
2001,SH_H2O_SAFE,Serbia,Rural,66.39682
2001,SH_H2O_SAFE,Serbia,All areas,74.38126
2002,SH_H2O_SAFE,Serbia,Urban,81.46688
2002,SH_H2O_SAFE,Serbia,All areas,74.42054
2002,SH_H2O_SAFE,Serbia,Rural,66.40578
2003,SH_H2O_SAFE,Serbia,Urban,81.46969
2015,SH_H2O_SAFE,Colombia,Urban,81.19025
2016,SH_H2O_SAFE,Colombia,Rural,38.55038
2016,SH_H2O_SAFE,Colombia,Urban,81.20682
2016,SH_H2O_SAFE,Colombia,All areas,72.7216
2017,SH_H2O_SAFE,Colombia,Rural,38.82123
2017,SH_H2O_SAFE,Colombia,All areas,72.93201
2017,SH_H2O_SAFE,Colombia,Urban,81.22331
2018,SH_H2O_SAFE,Colombia,Urban,81.22528
2018,SH_H2O_SAFE,Colombia,Rural,39.09207
2018,SH_H2O_SAFE,Colombia,All areas,73.12644
2019,SH_H2O_SAFE,Colombia,All areas,73.27192
2019,SH_H2O_SAFE,Colombia,Urban,81.1722
2019,SH_H2O_SAFE,Colombia,Rural,39.36292
2020,SH_H2O_SAFE,Colombia,Rural,39.63377
2020,SH_H2O_SAFE,Colombia,All areas,73.41323
2020,SH_H2O_SAFE,Colombia,Urban,81.11914
2021,SH_H2O_SAFE,Colombia,All areas,73.7199
2021,SH_H2O_SAFE,Colombia,Urban,81.27393
2021,SH_H2O_SAFE,Colombia,Rural,39.90461
2022,SH_H2O_SAFE,Colombia,All areas,73.85604
2002,SH_H2O_SAFE,Azerbaijan,Urban,83.05276
2002,SH_H2O_SAFE,Azerbaijan,Rural,37.97444
2003,SH_H2O_SAFE,Azerbaijan,Rural,40.266
2003,SH_H2O_SAFE,Azerbaijan,All areas,60.72896
2003,SH_H2O_SAFE,Azerbaijan,Urban,84.27731
2004,SH_H2O_SAFE,Azerbaijan,Rural,42.61961
2004,SH_H2O_SAFE,Azerbaijan,All areas,61.34377
2004,SH_H2O_SAFE,Azerbaijan,Urban,85.50588
2005,SH_H2O_SAFE,Azerbaijan,Rural,45.03528
2005,SH_H2O_SAFE,Azerbaijan,All areas,61.95468
2003,SH_H2O_SAFE,Serbia,All areas,74.45966
2003,SH_H2O_SAFE,Serbia,Rural,66.41474
2004,SH_H2O_SAFE,Serbia,Urban,81.4725
2004,SH_H2O_SAFE,Serbia,Rural,66.4237
2004,SH_H2O_SAFE,Serbia,All areas,74.49904
2005,SH_H2O_SAFE,Serbia,Rural,66.43265
2005,SH_H2O_SAFE,Serbia,Urban,81.47531
2005,SH_H2O_SAFE,Serbia,All areas,74.53809
2006,SH_H2O_SAFE,Serbia,All areas,74.57712
2006,SH_H2O_SAFE,Serbia,Rural,66.44161
2022,SH_H2O_SAFE,Colombia,Rural,40.17546
2022,SH_H2O_SAFE,Colombia,Urban,81.22431
2000,SH_H2O_SAFE,Costa Rica,All areas,76.40624
2000,SH_H2O_SAFE,Costa Rica,Rural,71.44085
2000,SH_H2O_SAFE,Costa Rica,Urban,79.84934
2001,SH_H2O_SAFE,Costa Rica,Urban,79.8808
2001,SH_H2O_SAFE,Costa Rica,Rural,71.98275
2001,SH_H2O_SAFE,Costa Rica,All areas,76.75396
2002,SH_H2O_SAFE,Costa Rica,Rural,72.52465
2002,SH_H2O_SAFE,Costa Rica,All areas,77.08671
2005,SH_H2O_SAFE,Azerbaijan,Urban,86.73848
2006,SH_H2O_SAFE,Azerbaijan,Rural,47.51299
2006,SH_H2O_SAFE,Azerbaijan,All areas,62.56189
2006,SH_H2O_SAFE,Azerbaijan,Urban,87.97511
2007,SH_H2O_SAFE,Azerbaijan,Urban,89.21576
2007,SH_H2O_SAFE,Azerbaijan,All areas,63.16558
2007,SH_H2O_SAFE,Azerbaijan,Rural,50.05276
2008,SH_H2O_SAFE,Azerbaijan,All areas,63.76539
2008,SH_H2O_SAFE,Azerbaijan,Rural,52.65458
2008,SH_H2O_SAFE,Azerbaijan,Urban,90.3536
2006,SH_H2O_SAFE,Serbia,Urban,81.47812
2007,SH_H2O_SAFE,Serbia,Urban,81.48094
2007,SH_H2O_SAFE,Serbia,All areas,74.61627
2007,SH_H2O_SAFE,Serbia,Rural,66.45057
2008,SH_H2O_SAFE,Serbia,Rural,66.45952
2008,SH_H2O_SAFE,Serbia,All areas,74.65524
2008,SH_H2O_SAFE,Serbia,Urban,81.48375
2009,SH_H2O_SAFE,Serbia,All areas,74.69418
2009,SH_H2O_SAFE,Serbia,Rural,66.46848
2009,SH_H2O_SAFE,Serbia,Urban,81.48656
2009,SH_H2O_SAFE,Azerbaijan,All areas,64.36151
2009,SH_H2O_SAFE,Azerbaijan,Rural,55.31845
2009,SH_H2O_SAFE,Azerbaijan,Urban,90.52231
2010,SH_H2O_SAFE,Azerbaijan,All areas,64.95611
2010,SH_H2O_SAFE,Azerbaijan,Urban,90.69102
2010,SH_H2O_SAFE,Azerbaijan,Rural,58.04438
2011,SH_H2O_SAFE,Azerbaijan,All areas,65.54863
2011,SH_H2O_SAFE,Azerbaijan,Urban,90.85973
2011,SH_H2O_SAFE,Azerbaijan,Rural,60.83235
2012,SH_H2O_SAFE,Azerbaijan,All areas,66.13864
2002,SH_H2O_SAFE,Costa Rica,Urban,79.91225
2003,SH_H2O_SAFE,Costa Rica,All areas,77.40466
2003,SH_H2O_SAFE,Costa Rica,Rural,73.06654
2003,SH_H2O_SAFE,Costa Rica,Urban,79.94371
2004,SH_H2O_SAFE,Costa Rica,Rural,73.60844
2004,SH_H2O_SAFE,Costa Rica,All areas,77.70785
2004,SH_H2O_SAFE,Costa Rica,Urban,79.97517
2005,SH_H2O_SAFE,Costa Rica,Urban,80.00662
2005,SH_H2O_SAFE,Costa Rica,Rural,74.15034
2005,SH_H2O_SAFE,Costa Rica,All areas,77.99628
2010,SH_H2O_SAFE,Serbia,All areas,74.73295
2010,SH_H2O_SAFE,Serbia,Urban,81.48937
2010,SH_H2O_SAFE,Serbia,Rural,66.47744
2011,SH_H2O_SAFE,Serbia,All areas,74.77184
2011,SH_H2O_SAFE,Serbia,Rural,66.4864
2011,SH_H2O_SAFE,Serbia,Urban,81.49218
2012,SH_H2O_SAFE,Serbia,Rural,66.49535
2012,SH_H2O_SAFE,Serbia,All areas,74.79855
2012,SH_H2O_SAFE,Serbia,Urban,81.49499
2013,SH_H2O_SAFE,Serbia,Urban,81.4978
2006,SH_H2O_SAFE,Costa Rica,All areas,78.27048
2006,SH_H2O_SAFE,Costa Rica,Rural,74.69224
2006,SH_H2O_SAFE,Costa Rica,Urban,80.03808
2007,SH_H2O_SAFE,Costa Rica,Urban,80.06953
2007,SH_H2O_SAFE,Costa Rica,Rural,75.23414
2007,SH_H2O_SAFE,Costa Rica,All areas,78.53062
2008,SH_H2O_SAFE,Costa Rica,Rural,75.77604
2008,SH_H2O_SAFE,Costa Rica,All areas,78.77712
2008,SH_H2O_SAFE,Costa Rica,Urban,80.10099
2009,SH_H2O_SAFE,Costa Rica,All areas,79.01002
2009,SH_H2O_SAFE,Costa Rica,Rural,76.31794
2009,SH_H2O_SAFE,Costa Rica,Urban,80.13244
2010,SH_H2O_SAFE,Costa Rica,All areas,79.23004
2010,SH_H2O_SAFE,Costa Rica,Rural,76.85983
2010,SH_H2O_SAFE,Costa Rica,Urban,80.1639
2011,SH_H2O_SAFE,Costa Rica,All areas,79.43739
2011,SH_H2O_SAFE,Costa Rica,Urban,80.19536
2011,SH_H2O_SAFE,Costa Rica,Rural,77.40173
2012,SH_H2O_SAFE,Costa Rica,Rural,77.94363
2012,SH_H2O_SAFE,Costa Rica,All areas,79.63195
2012,SH_H2O_SAFE,Azerbaijan,Rural,63.68238
2012,SH_H2O_SAFE,Azerbaijan,Urban,91.02844
2013,SH_H2O_SAFE,Azerbaijan,Urban,91.19715
2013,SH_H2O_SAFE,Azerbaijan,All areas,66.72585
2013,SH_H2O_SAFE,Azerbaijan,Rural,66.59446
2014,SH_H2O_SAFE,Azerbaijan,Rural,69.56859
2014,SH_H2O_SAFE,Azerbaijan,Urban,91.36586
2014,SH_H2O_SAFE,Azerbaijan,All areas,67.3097
2015,SH_H2O_SAFE,Azerbaijan,Rural,72.60477
2015,SH_H2O_SAFE,Azerbaijan,All areas,67.88978
2013,SH_H2O_SAFE,Serbia,Rural,66.50431
2013,SH_H2O_SAFE,Serbia,All areas,74.82105
2014,SH_H2O_SAFE,Serbia,All areas,74.84368
2014,SH_H2O_SAFE,Serbia,Rural,66.51327
2014,SH_H2O_SAFE,Serbia,Urban,81.50061
2015,SH_H2O_SAFE,Serbia,All areas,74.86615
2015,SH_H2O_SAFE,Serbia,Rural,66.52223
2015,SH_H2O_SAFE,Serbia,Urban,81.50342
2016,SH_H2O_SAFE,Serbia,Rural,66.53118
2016,SH_H2O_SAFE,Serbia,All areas,74.88876
2015,SH_H2O_SAFE,Azerbaijan,Urban,91.53457
2016,SH_H2O_SAFE,Azerbaijan,Rural,73.82324
2016,SH_H2O_SAFE,Azerbaijan,Urban,91.70328
2016,SH_H2O_SAFE,Azerbaijan,All areas,68.46568
2017,SH_H2O_SAFE,Azerbaijan,All areas,69.03698
2017,SH_H2O_SAFE,Azerbaijan,Urban,91.87199
2017,SH_H2O_SAFE,Azerbaijan,Rural,75.0417
2018,SH_H2O_SAFE,Azerbaijan,Urban,92.04071
2018,SH_H2O_SAFE,Azerbaijan,Rural,76.26016
2018,SH_H2O_SAFE,Azerbaijan,All areas,69.60327
2012,SH_H2O_SAFE,Costa Rica,Urban,80.22681
2013,SH_H2O_SAFE,Costa Rica,Urban,80.25827
2013,SH_H2O_SAFE,Costa Rica,All areas,79.81455
2013,SH_H2O_SAFE,Costa Rica,Rural,78.48553
2014,SH_H2O_SAFE,Costa Rica,Urban,80.28972
2014,SH_H2O_SAFE,Costa Rica,Rural,79.02743
2014,SH_H2O_SAFE,Costa Rica,All areas,79.98603
2015,SH_H2O_SAFE,Costa Rica,Urban,80.32118
2015,SH_H2O_SAFE,Costa Rica,Rural,79.56933
2015,SH_H2O_SAFE,Costa Rica,All areas,80.14722
2016,SH_H2O_SAFE,Costa Rica,Rural,80.11123
2016,SH_H2O_SAFE,Costa Rica,All areas,80.29888
2016,SH_H2O_SAFE,Costa Rica,Urban,80.35263
2017,SH_H2O_SAFE,Costa Rica,Urban,80.38409
2017,SH_H2O_SAFE,Costa Rica,Rural,80.65312
2017,SH_H2O_SAFE,Costa Rica,All areas,80.44177
2018,SH_H2O_SAFE,Costa Rica,Rural,81.05455
2018,SH_H2O_SAFE,Costa Rica,All areas,80.52559
2018,SH_H2O_SAFE,Costa Rica,Urban,80.38785
2019,SH_H2O_SAFE,Costa Rica,Urban,80.38785
2019,SH_H2O_SAFE,Azerbaijan,All areas,70.16407
2019,SH_H2O_SAFE,Azerbaijan,Rural,77.47863
2019,SH_H2O_SAFE,Azerbaijan,Urban,92.20942
2020,SH_H2O_SAFE,Azerbaijan,All areas,70.67331
2020,SH_H2O_SAFE,Azerbaijan,Urban,92.275
2020,SH_H2O_SAFE,Azerbaijan,Rural,78.69709
2021,SH_H2O_SAFE,Azerbaijan,Urban,92.275
2021,SH_H2O_SAFE,Azerbaijan,All areas,71.14635
2021,SH_H2O_SAFE,Azerbaijan,Rural,79.91555
2022,SH_H2O_SAFE,Azerbaijan,Urban,92.275
2019,SH_H2O_SAFE,Costa Rica,All areas,80.52068
2019,SH_H2O_SAFE,Costa Rica,Rural,81.05455
2020,SH_H2O_SAFE,Costa Rica,Urban,80.38785
2020,SH_H2O_SAFE,Costa Rica,Rural,81.05455
2020,SH_H2O_SAFE,Costa Rica,All areas,80.51605
2021,SH_H2O_SAFE,Costa Rica,Rural,81.05455
2021,SH_H2O_SAFE,Costa Rica,Urban,80.38785
2021,SH_H2O_SAFE,Costa Rica,All areas,80.51169
2022,SH_H2O_SAFE,Costa Rica,Urban,80.38785
2022,SH_H2O_SAFE,Costa Rica,Rural,81.05455
2022,SH_H2O_SAFE,Costa Rica,All areas,80.50758
2000,SH_H2O_SAFE,Croatia,Rural,71.99965
2000,SH_H2O_SAFE,Croatia,All areas,85.11641
2000,SH_H2O_SAFE,Croatia,Urban,96.55
2001,SH_H2O_SAFE,Croatia,Urban,96.55
2001,SH_H2O_SAFE,Croatia,Rural,71.99965
2001,SH_H2O_SAFE,Croatia,All areas,85.16895
2002,SH_H2O_SAFE,Croatia,Urban,96.55
2002,SH_H2O_SAFE,Croatia,Rural,71.99965
2002,SH_H2O_SAFE,Croatia,All areas,85.21019
2016,SH_H2O_SAFE,Serbia,Urban,81.50623
2017,SH_H2O_SAFE,Serbia,Rural,66.54014
2017,SH_H2O_SAFE,Serbia,All areas,74.91404
2017,SH_H2O_SAFE,Serbia,Urban,81.50904
2018,SH_H2O_SAFE,Serbia,All areas,74.94201
2018,SH_H2O_SAFE,Serbia,Rural,66.5491
2018,SH_H2O_SAFE,Serbia,Urban,81.51185
2019,SH_H2O_SAFE,Serbia,Urban,81.51466
2019,SH_H2O_SAFE,Serbia,Rural,66.55806
2019,SH_H2O_SAFE,Serbia,All areas,74.97264
2022,SH_H2O_SAFE,Azerbaijan,All areas,71.6117
2022,SH_H2O_SAFE,Azerbaijan,Rural,81.13402
2000,SH_H2O_SAFE,Australia,Urban,98.28848
2001,SH_H2O_SAFE,Australia,Urban,98.28848
2002,SH_H2O_SAFE,Australia,Urban,98.28848
2003,SH_H2O_SAFE,Australia,Urban,98.42049
2004,SH_H2O_SAFE,Australia,Urban,98.55253
2005,SH_H2O_SAFE,Australia,Urban,98.68458
2006,SH_H2O_SAFE,Australia,Urban,98.81667
2007,SH_H2O_SAFE,Australia,Urban,98.94877
2003,SH_H2O_SAFE,Croatia,All areas,85.25168
2003,SH_H2O_SAFE,Croatia,Urban,96.55
2003,SH_H2O_SAFE,Croatia,Rural,71.99965
2004,SH_H2O_SAFE,Croatia,Urban,96.55
2004,SH_H2O_SAFE,Croatia,All areas,85.29293
2004,SH_H2O_SAFE,Croatia,Rural,71.99965
2005,SH_H2O_SAFE,Croatia,Urban,96.55
2005,SH_H2O_SAFE,Croatia,Rural,71.99965
2005,SH_H2O_SAFE,Croatia,All areas,85.33417
2006,SH_H2O_SAFE,Croatia,Urban,96.55
2008,SH_H2O_SAFE,Australia,Urban,99.08091
2009,SH_H2O_SAFE,Australia,Urban,99.21306
2010,SH_H2O_SAFE,Australia,Urban,99.34524
2011,SH_H2O_SAFE,Australia,Urban,99.47745
2012,SH_H2O_SAFE,Australia,Urban,99.60968
2013,SH_H2O_SAFE,Australia,Urban,99.69373
2014,SH_H2O_SAFE,Australia,Urban,99.68308
2015,SH_H2O_SAFE,Australia,Urban,99.67244
2016,SH_H2O_SAFE,Australia,Urban,99.65181
2017,SH_H2O_SAFE,Australia,Urban,99.63119
2020,SH_H2O_SAFE,Serbia,All areas,75.00595
2020,SH_H2O_SAFE,Serbia,Rural,66.56701
2020,SH_H2O_SAFE,Serbia,Urban,81.51747
2021,SH_H2O_SAFE,Serbia,Urban,81.52028
2021,SH_H2O_SAFE,Serbia,Rural,66.57597
2021,SH_H2O_SAFE,Serbia,All areas,75.04207
2022,SH_H2O_SAFE,Serbia,Rural,66.57597
2022,SH_H2O_SAFE,Serbia,Urban,81.52028
2022,SH_H2O_SAFE,Serbia,All areas,75.07525
2000,SH_H2O_SAFE,Slovakia,All areas,92.17965
2006,SH_H2O_SAFE,Croatia,Rural,71.99965
2006,SH_H2O_SAFE,Croatia,All areas,85.37542
2007,SH_H2O_SAFE,Croatia,All areas,85.41666
2007,SH_H2O_SAFE,Croatia,Rural,71.99965
2007,SH_H2O_SAFE,Croatia,Urban,96.55
2008,SH_H2O_SAFE,Croatia,Urban,96.55
