Year,SeriesCode,Country,Location,Value
2000,SH_SAN_HNDWSH,Armenia,All areas,83.24601
2000,SH_SAN_HNDWSH,Armenia,Urban,92.89997
2000,SH_SAN_HNDWSH,Armenia,Rural,65.57796
2001,SH_SAN_HNDWSH,Armenia,Urban,93.11703
2001,SH_SAN_HNDWSH,Armenia,Rural,66.99612
2001,SH_SAN_HNDWSH,Armenia,All areas,83.81407
2002,SH_SAN_HNDWSH,Armenia,All areas,84.42177
2002,SH_SAN_HNDWSH,Armenia,Rural,68.41428
2002,SH_SAN_HNDWSH,Armenia,Urban,93.3341
2003,SH_SAN_HNDWSH,Armenia,Rural,69.83243
2003,SH_SAN_HNDWSH,Armenia,Urban,93.55117
2003,SH_SAN_HNDWSH,Armenia,All areas,85.04492
2004,SH_SAN_HNDWSH,Armenia,Rural,71.25059
2004,SH_SAN_HNDWSH,Armenia,Urban,93.76824
2004,SH_SAN_HNDWSH,Armenia,All areas,85.67044
2005,SH_SAN_HNDWSH,Armenia,All areas,86.29813
2005,SH_SAN_HNDWSH,Armenia,Urban,93.9853
2005,SH_SAN_HNDWSH,Armenia,Rural,72.66875
2006,SH_SAN_HNDWSH,Armenia,Urban,94.20237
2006,SH_SAN_HNDWSH,Armenia,All areas,86.92842
2006,SH_SAN_HNDWSH,Armenia,Rural,74.08691
2007,SH_SAN_HNDWSH,Armenia,Urban,94.41944
2007,SH_SAN_HNDWSH,Armenia,Rural,75.50507
2007,SH_SAN_HNDWSH,Armenia,All areas,87.5609
2008,SH_SAN_HNDWSH,Armenia,All areas,88.19596
2008,SH_SAN_HNDWSH,Armenia,Rural,76.92322
2008,SH_SAN_HNDWSH,Armenia,Urban,94.63651
2009,SH_SAN_HNDWSH,Armenia,Rural,78.34138
2009,SH_SAN_HNDWSH,Armenia,Urban,94.85357
2009,SH_SAN_HNDWSH,Armenia,All areas,88.83323
2009,SH_SAN_HNDWSH,Mexico,Urban,90.65383
2009,SH_SAN_HNDWSH,Mexico,Rural,90.65383
2009,SH_SAN_HNDWSH,Mexico,All areas,90.65383
2010,SH_SAN_HNDWSH,Mexico,Urban,90.65383
2010,SH_SAN_HNDWSH,Mexico,Rural,90.65383
2010,SH_SAN_HNDWSH,Mexico,All areas,90.65383
2011,SH_SAN_HNDWSH,Mexico,Rural,90.65383
2011,SH_SAN_HNDWSH,Mexico,All areas,90.65383
2011,SH_SAN_HNDWSH,Mexico,Urban,90.65383
2012,SH_SAN_HNDWSH,Mexico,All areas,90.65383
2010,SH_SAN_HNDWSH,Armenia,Urban,95.07064
2010,SH_SAN_HNDWSH,Armenia,All areas,89.4729
2010,SH_SAN_HNDWSH,Armenia,Rural,79.75954
2011,SH_SAN_HNDWSH,Armenia,All areas,90.11498
2011,SH_SAN_HNDWSH,Armenia,Rural,81.1777
2011,SH_SAN_HNDWSH,Armenia,Urban,95.28771
2012,SH_SAN_HNDWSH,Armenia,All areas,90.75945
2012,SH_SAN_HNDWSH,Armenia,Rural,82.59586
2012,SH_SAN_HNDWSH,Armenia,Urban,95.50478
2013,SH_SAN_HNDWSH,Armenia,All areas,91.40915
2012,SH_SAN_HNDWSH,Mexico,Rural,90.65383
2012,SH_SAN_HNDWSH,Mexico,Urban,90.65383
2013,SH_SAN_HNDWSH,Mexico,Rural,90.65383
2013,SH_SAN_HNDWSH,Mexico,All areas,90.65383
2013,SH_SAN_HNDWSH,Mexico,Urban,90.65383
2014,SH_SAN_HNDWSH,Mexico,All areas,91.01905
2014,SH_SAN_HNDWSH,Mexico,Rural,91.01905
2014,SH_SAN_HNDWSH,Mexico,Urban,91.01905
2015,SH_SAN_HNDWSH,Mexico,Rural,91.38427
2015,SH_SAN_HNDWSH,Mexico,Urban,91.38427
2013,SH_SAN_HNDWSH,Armenia,Urban,95.72184
2013,SH_SAN_HNDWSH,Armenia,Rural,84.01401
2014,SH_SAN_HNDWSH,Armenia,All areas,92.06319
2014,SH_SAN_HNDWSH,Armenia,Urban,95.93891
2014,SH_SAN_HNDWSH,Armenia,Rural,85.43217
2015,SH_SAN_HNDWSH,Armenia,All areas,92.7208
2015,SH_SAN_HNDWSH,Armenia,Rural,86.85033
2015,SH_SAN_HNDWSH,Armenia,Urban,96.15598
2016,SH_SAN_HNDWSH,Armenia,All areas,93.381
2016,SH_SAN_HNDWSH,Armenia,Urban,96.37305
2009,SH_SAN_HNDWSH,Azerbaijan,Urban,90.86326
2009,SH_SAN_HNDWSH,Azerbaijan,All areas,89.22884
2009,SH_SAN_HNDWSH,Azerbaijan,Rural,87.37166
2010,SH_SAN_HNDWSH,Azerbaijan,All areas,89.23639
2010,SH_SAN_HNDWSH,Azerbaijan,Rural,87.37166
2010,SH_SAN_HNDWSH,Azerbaijan,Urban,90.86326
2011,SH_SAN_HNDWSH,Azerbaijan,Urban,90.86326
2011,SH_SAN_HNDWSH,Azerbaijan,All areas,89.24445
2011,SH_SAN_HNDWSH,Azerbaijan,Rural,87.37166
2012,SH_SAN_HNDWSH,Azerbaijan,All areas,89.25304
2015,SH_SAN_HNDWSH,Mexico,All areas,91.38428
2016,SH_SAN_HNDWSH,Mexico,All areas,91.74949
2016,SH_SAN_HNDWSH,Mexico,Urban,91.74949
2016,SH_SAN_HNDWSH,Mexico,Rural,91.74949
2017,SH_SAN_HNDWSH,Mexico,Rural,92.11471
2017,SH_SAN_HNDWSH,Mexico,Urban,92.11471
2017,SH_SAN_HNDWSH,Mexico,All areas,92.11472
2018,SH_SAN_HNDWSH,Mexico,Rural,92.47994
