Year,SeriesCode,Country,Activity,Value
2000,ER_H2O_WUEYST,Armenia,TOTAL,1.49
2000,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.3
2000,ER_H2O_WUEYST,Armenia,INDUSTRIES,11.48
2000,ER_H2O_WUEYST,Armenia,ISIC4_GTT,2.7
2001,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.4
2001,ER_H2O_WUEYST,Armenia,TOTAL,1.74
2001,ER_H2O_WUEYST,Armenia,ISIC4_GTT,3.1
2001,ER_H2O_WUEYST,Armenia,INDUSTRIES,12.72
2002,ER_H2O_WUEYST,Armenia,TOTAL,2.21
2002,ER_H2O_WUEYST,Armenia,INDUSTRIES,17.45
2002,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.46
2002,ER_H2O_WUEYST,Armenia,ISIC4_GTT,3.79
2003,ER_H2O_WUEYST,Armenia,ISIC4_GTT,3.69
2003,ER_H2O_WUEYST,Armenia,INDUSTRIES,19.55
2003,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.43
2003,ER_H2O_WUEYST,Armenia,TOTAL,2.24
2004,ER_H2O_WUEYST,Armenia,TOTAL,1.75
2004,ER_H2O_WUEYST,Armenia,INDUSTRIES,15.24
2004,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.35
2004,ER_H2O_WUEYST,Armenia,ISIC4_GTT,2.86
2005,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.4
2005,ER_H2O_WUEYST,Armenia,ISIC4_GTT,3.81
2005,ER_H2O_WUEYST,Armenia,INDUSTRIES,23.32
2005,ER_H2O_WUEYST,Armenia,TOTAL,2.43
2006,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.37
2006,ER_H2O_WUEYST,Armenia,TOTAL,2.29
2006,ER_H2O_WUEYST,Armenia,INDUSTRIES,22.32
2006,ER_H2O_WUEYST,Armenia,ISIC4_GTT,3.57
2007,ER_H2O_WUEYST,Armenia,ISIC4_GTT,4.36
2007,ER_H2O_WUEYST,Armenia,INDUSTRIES,22.42
2007,ER_H2O_WUEYST,Armenia,TOTAL,2.58
2007,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.38
2008,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.4
2008,ER_H2O_WUEYST,Armenia,TOTAL,3.06
2008,ER_H2O_WUEYST,Armenia,INDUSTRIES,21.63
2008,ER_H2O_WUEYST,Armenia,ISIC4_GTT,5.15
2009,ER_H2O_WUEYST,Armenia,ISIC4_GTT,5.6
2009,ER_H2O_WUEYST,Armenia,INDUSTRIES,13.87
2009,ER_H2O_WUEYST,Armenia,TOTAL,2.98
2009,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.39
2010,ER_H2O_WUEYST,Armenia,TOTAL,3.43
2010,ER_H2O_WUEYST,Armenia,INDUSTRIES,13.46
2010,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.46
2010,ER_H2O_WUEYST,Armenia,ISIC4_GTT,5.95
2011,ER_H2O_WUEYST,Armenia,ISIC4_GTT,7.02
2011,ER_H2O_WUEYST,Armenia,TOTAL,2.9
2011,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.38
2011,ER_H2O_WUEYST,Armenia,INDUSTRIES,11.66
2012,ER_H2O_WUEYST,Armenia,TOTAL,2.59
2012,ER_H2O_WUEYST,Armenia,INDUSTRIES,9.82
2012,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.28
2012,ER_H2O_WUEYST,Armenia,ISIC4_GTT,7.9
2013,ER_H2O_WUEYST,Armenia,ISIC4_GTT,9.13
2013,ER_H2O_WUEYST,Armenia,INDUSTRIES,17.9
2013,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.25
2013,ER_H2O_WUEYST,Armenia,TOTAL,2.61
2014,ER_H2O_WUEYST,Armenia,INDUSTRIES,12.49
2014,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.25
2014,ER_H2O_WUEYST,Armenia,ISIC4_GTT,9.68
2014,ER_H2O_WUEYST,Armenia,TOTAL,2.78
2015,ER_H2O_WUEYST,Armenia,ISIC4_GTT,11.48
2015,ER_H2O_WUEYST,Armenia,TOTAL,2.62
2015,ER_H2O_WUEYST,Armenia,INDUSTRIES,20.01
2015,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.29
2016,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.26
2016,ER_H2O_WUEYST,Armenia,TOTAL,2.72
2016,ER_H2O_WUEYST,Armenia,INDUSTRIES,19.97
2016,ER_H2O_WUEYST,Armenia,ISIC4_GTT,10.94
2017,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.3
2017,ER_H2O_WUEYST,Armenia,ISIC4_GTT,9.39
2017,ER_H2O_WUEYST,Armenia,INDUSTRIES,19.72
2017,ER_H2O_WUEYST,Armenia,TOTAL,3.26
2018,ER_H2O_WUEYST,Armenia,ISIC4_GTT,9.65
2018,ER_H2O_WUEYST,Armenia,ISIC4_A01_A0210_A0322,0.23
2018,ER_H2O_WUEYST,Armenia,TOTAL,3.57
2018,ER_H2O_WUEYST,Armenia,INDUSTRIES,19.04
2019,ER_H2O_WUEYST,Armenia,ISIC4_GTT,12.06
2000,ER_H2O_WUEYST,Albania,INDUSTRIES,4.44
2000,ER_H2O_WUEYST,Albania,ISIC4_GTT,5.18
2001,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,0.26
2001,ER_H2O_WUEYST,Albania,ISIC4_GTT,5.64
2001,ER_H2O_WUEYST,Albania,INDUSTRIES,5.5
2001,ER_H2O_WUEYST,Albania,TOTAL,2.64
2002,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,0.37
2002,ER_H2O_WUEYST,Albania,TOTAL,2.95
2002,ER_H2O_WUEYST,Albania,INDUSTRIES,6.34
2002,ER_H2O_WUEYST,Albania,ISIC4_GTT,5.65
2003,ER_H2O_WUEYST,Albania,INDUSTRIES,6.48
2003,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,0.49
2003,ER_H2O_WUEYST,Albania,ISIC4_GTT,5.89
2003,ER_H2O_WUEYST,Albania,TOTAL,3.28
2004,ER_H2O_WUEYST,Albania,TOTAL,3.68
2004,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,0.5
2004,ER_H2O_WUEYST,Albania,INDUSTRIES,6.84
2004,ER_H2O_WUEYST,Albania,ISIC4_GTT,6.36
2005,ER_H2O_WUEYST,Albania,ISIC4_GTT,6.82
2005,ER_H2O_WUEYST,Albania,TOTAL,4.2
2005,ER_H2O_WUEYST,Albania,INDUSTRIES,7.35
2005,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,0.57
2006,ER_H2O_WUEYST,Albania,INDUSTRIES,8.4
2006,ER_H2O_WUEYST,Albania,TOTAL,4.89
2006,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,0.68
2006,ER_H2O_WUEYST,Albania,ISIC4_GTT,7.52
2007,ER_H2O_WUEYST,Albania,ISIC4_GTT,8.46
2007,ER_H2O_WUEYST,Albania,ISIC4_A01_A0210_A0322,0.71
2007,ER_H2O_WUEYST,Albania,TOTAL,5.37
2007,ER_H2O_WUEYST,Albania,INDUSTRIES,9.72
