Year,SeriesCode,Country,Level/Status,Value
2017,ER_H2O_IWRMD,Netherlands (Kingdom of the),Total or no breakdown,93.19444
2020,ER_H2O_IWRMD,Netherlands (Kingdom of the),Total or no breakdown,92.0
2017,ER_H2O_IWRMD,New Zealand,Total or no breakdown,57.61607
2020,ER_H2O_IWRMD,New Zealand,Total or no breakdown,65.0
2017,ER_H2O_IWRMD,Norway,Total or no breakdown,63.44444
2020,ER_H2O_IWRMD,Norway,Total or no breakdown,68.0
2017,ER_H2O_IWRMD,Poland,Total or no breakdown,39.5
2020,ER_H2O_IWRMD,Poland,Total or no breakdown,74.0
2017,ER_H2O_IWRMD,Portugal,Total or no breakdown,74.06944
2020,ER_H2O_IWRMD,Portugal,Total or no breakdown,72.0
2017,ER_H2O_IWRMD,Romania,Total or no breakdown,72.47475
2020,ER_H2O_IWRMD,Romania,Total or no breakdown,77.0
2017,ER_H2O_IWRMD,Serbia,Total or no breakdown,29.86364
2020,ER_H2O_IWRMD,Serbia,Total or no breakdown,36.0
2017,ER_H2O_IWRMD,Slovakia,Total or no breakdown,65.76389
2020,ER_H2O_IWRMD,Slovakia,Total or no breakdown,61.0
2017,ER_H2O_IWRMD,Viet Nam,Total or no breakdown,37.69192
2020,ER_H2O_IWRMD,Viet Nam,Total or no breakdown,52.0
2017,ER_H2O_IWRMD,Slovenia,Total or no breakdown,57.88889
2020,ER_H2O_IWRMD,Slovenia,Total or no breakdown,87.0
2017,ER_H2O_IWRMD,Spain,Total or no breakdown,82.47727
2020,ER_H2O_IWRMD,Spain,Total or no breakdown,87.0
2017,ER_H2O_IWRMD,Sweden,Total or no breakdown,88.5
2020,ER_H2O_IWRMD,Sweden,Total or no breakdown,86.0
2017,ER_H2O_IWRMD,Switzerland,Total or no breakdown,81.35714
2020,ER_H2O_IWRMD,Switzerland,Total or no breakdown,81.0
2020,ER_H2O_IWRMD,Tajikistan,Total or no breakdown,46.0
2017,ER_H2O_IWRMD,United Arab Emirates,Total or no breakdown,74.92064
2020,ER_H2O_IWRMD,United Arab Emirates,Total or no breakdown,79.0
2017,ER_H2O_IWRMD,Türkiye,Total or no breakdown,69.5
2020,ER_H2O_IWRMD,Türkiye,Total or no breakdown,72.0
2020,ER_H2O_IWRMD,Turkmenistan,Total or no breakdown,64.0
2017,ER_H2O_IWRMD,Ukraine,Total or no breakdown,38.9375
2020,ER_H2O_IWRMD,Ukraine,Total or no breakdown,39.0
2017,ER_H2O_IWRMD,North Macedonia,Total or no breakdown,22.33333
2017,ER_H2O_IWRMD,Albania,Total or no breakdown,43.14141
2020,ER_H2O_IWRMD,Albania,Total or no breakdown,47.0
2017,ER_H2O_IWRMD,Azerbaijan,Total or no breakdown,65.95328
2020,ER_H2O_IWRMD,Azerbaijan,Total or no breakdown,57.0
2017,ER_H2O_IWRMD,Australia,Total or no breakdown,85.5
2020,ER_H2O_IWRMD,Australia,Total or no breakdown,88.0
2017,ER_H2O_IWRMD,Austria,Total or no breakdown,91.13636
2020,ER_H2O_IWRMD,Austria,Total or no breakdown,91.0
2017,ER_H2O_IWRMD,Armenia,Total or no breakdown,35.94444
2020,ER_H2O_IWRMD,Armenia,Total or no breakdown,52.0
2017,ER_H2O_IWRMD,Belgium,Total or no breakdown,77.51984
2020,ER_H2O_IWRMD,Belgium,Total or no breakdown,82.0
2017,ER_H2O_IWRMD,Bosnia and Herzegovina,Total or no breakdown,60.88889
2020,ER_H2O_IWRMD,Bosnia and Herzegovina,Total or no breakdown,53.0
2017,ER_H2O_IWRMD,Bulgaria,Total or no breakdown,60.22222
2020,ER_H2O_IWRMD,Bulgaria,Total or no breakdown,69.0
2017,ER_H2O_IWRMD,Belarus,Total or no breakdown,38.08081
2020,ER_H2O_IWRMD,Belarus,Total or no breakdown,54.0
2020,ER_H2O_IWRMD,Canada,Total or no breakdown,0.0
2017,ER_H2O_IWRMD,Chile,Total or no breakdown,22.5625
2020,ER_H2O_IWRMD,Chile,Total or no breakdown,32.0
2017,ER_H2O_IWRMD,China,Total or no breakdown,74.5
2020,ER_H2O_IWRMD,China,Total or no breakdown,80.0
2017,ER_H2O_IWRMD,Colombia,Total or no breakdown,50.44697
2020,ER_H2O_IWRMD,Colombia,Total or no breakdown,57.0
2017,ER_H2O_IWRMD,Costa Rica,Total or no breakdown,43.27778
2020,ER_H2O_IWRMD,Costa Rica,Total or no breakdown,51.0
2017,ER_H2O_IWRMD,Croatia,Total or no breakdown,89.82323
2020,ER_H2O_IWRMD,Croatia,Total or no breakdown,90.0
2017,ER_H2O_IWRMD,Cyprus,Total or no breakdown,90.69444
2020,ER_H2O_IWRMD,Cyprus,Total or no breakdown,93.0
2017,ER_H2O_IWRMD,Czechia,Total or no breakdown,79.32071
2020,ER_H2O_IWRMD,Czechia,Total or no breakdown,80.0
2017,ER_H2O_IWRMD,Denmark,Total or no breakdown,93.0
2020,ER_H2O_IWRMD,Denmark,Total or no breakdown,95.0
