Year,SeriesCode,Country,Level/Status,Value
2017,ER_H2O_IWRMD_IP,Albania,Total or no breakdown,65
2020,ER_H2O_IWRMD_IP,Albania,Total or no breakdown,58
2017,ER_H2O_IWRMD_IP,Azerbaijan,Total or no breakdown,59
2020,ER_H2O_IWRMD_IP,Azerbaijan,Total or no breakdown,61
2017,ER_H2O_IWRMD_IP,Australia,Total or no breakdown,88
2020,ER_H2O_IWRMD_IP,Australia,Total or no breakdown,89
2017,ER_H2O_IWRMD_IP,Austria,Total or no breakdown,95
2020,ER_H2O_IWRMD_IP,Austria,Total or no breakdown,95
2017,ER_H2O_IWRMD_IP,Armenia,Total or no breakdown,40
2020,ER_H2O_IWRMD_IP,Armenia,Total or no breakdown,46
2017,ER_H2O_IWRMD_IP,Belgium,Total or no breakdown,94
2020,ER_H2O_IWRMD_IP,Belgium,Total or no breakdown,95
2017,ER_H2O_IWRMD_IP,Bosnia and Herzegovina,Total or no breakdown,62
2020,ER_H2O_IWRMD_IP,Bosnia and Herzegovina,Total or no breakdown,53
2017,ER_H2O_IWRMD_IP,Bulgaria,Total or no breakdown,65
2020,ER_H2O_IWRMD_IP,Bulgaria,Total or no breakdown,72
2017,ER_H2O_IWRMD_IP,Belarus,Total or no breakdown,35
2020,ER_H2O_IWRMD_IP,Belarus,Total or no breakdown,56
2020,ER_H2O_IWRMD_IP,Canada,Total or no breakdown,0
2017,ER_H2O_IWRMD_IP,Chile,Total or no breakdown,26
2020,ER_H2O_IWRMD_IP,Chile,Total or no breakdown,39
2017,ER_H2O_IWRMD_IP,China,Total or no breakdown,75
2020,ER_H2O_IWRMD_IP,China,Total or no breakdown,75
2017,ER_H2O_IWRMD_IP,Colombia,Total or no breakdown,55
2020,ER_H2O_IWRMD_IP,Colombia,Total or no breakdown,70
2017,ER_H2O_IWRMD_IP,Costa Rica,Total or no breakdown,44
2020,ER_H2O_IWRMD_IP,Costa Rica,Total or no breakdown,56
2017,ER_H2O_IWRMD_IP,Croatia,Total or no breakdown,98
2020,ER_H2O_IWRMD_IP,Croatia,Total or no breakdown,98
2017,ER_H2O_IWRMD_IP,Cyprus,Total or no breakdown,91
2020,ER_H2O_IWRMD_IP,Cyprus,Total or no breakdown,96
2017,ER_H2O_IWRMD_IP,Czechia,Total or no breakdown,83
2020,ER_H2O_IWRMD_IP,Czechia,Total or no breakdown,83
2017,ER_H2O_IWRMD_IP,Denmark,Total or no breakdown,94
2020,ER_H2O_IWRMD_IP,Denmark,Total or no breakdown,96
2017,ER_H2O_IWRMD_IP,Estonia,Total or no breakdown,93
2020,ER_H2O_IWRMD_IP,Estonia,Total or no breakdown,96
