Year,SeriesCode,Country,Value
2005,DC_TOF_WASHL,Belarus,0.11132
2006,DC_TOF_WASHL,Belarus,0.08257
2007,DC_TOF_WASHL,Belarus,0.05004
2008,DC_TOF_WASHL,Belarus,0.97648
2009,DC_TOF_WASHL,Belarus,0.54362
2010,DC_TOF_WASHL,Belarus,2.06174
2011,DC_TOF_WASHL,Belarus,0.16436
2012,DC_TOF_WASHL,Belarus,0.2809
2013,DC_TOF_WASHL,Belarus,0.8341
2014,DC_TOF_WASHL,Belarus,1.28902
2015,DC_TOF_WASHL,Belarus,1.39828
2016,DC_TOF_WASHL,Belarus,5.40367
2017,DC_TOF_WASHL,Belarus,3.18684
2018,DC_TOF_WASHL,Belarus,1.57044
2019,DC_TOF_WASHL,Belarus,3.3553
2020,DC_TOF_WASHL,Belarus,0.33412
2021,DC_TOF_WASHL,Belarus,1.24065
2000,DC_TOF_WASHL,Chile,0.45394
2001,DC_TOF_WASHL,Chile,6.17048
2002,DC_TOF_WASHL,Chile,0.09114
2003,DC_TOF_WASHL,Chile,1.71166
2004,DC_TOF_WASHL,Chile,5.16215
2005,DC_TOF_WASHL,Chile,20.85963
2006,DC_TOF_WASHL,Chile,17.04332
2007,DC_TOF_WASHL,Chile,23.50781
2008,DC_TOF_WASHL,Chile,32.42919
2009,DC_TOF_WASHL,Chile,15.71931
2010,DC_TOF_WASHL,Chile,10.89613
2011,DC_TOF_WASHL,Chile,68.85692
2012,DC_TOF_WASHL,Chile,35.55295
2013,DC_TOF_WASHL,Chile,8.72183
2014,DC_TOF_WASHL,Chile,1.05923
2015,DC_TOF_WASHL,Chile,17.03625
2016,DC_TOF_WASHL,Chile,4.36242
2017,DC_TOF_WASHL,Chile,5.41675
2000,DC_TOF_WASHL,China,591.7764
2001,DC_TOF_WASHL,China,799.54067
2002,DC_TOF_WASHL,China,260.41228
2003,DC_TOF_WASHL,China,246.72066
2004,DC_TOF_WASHL,China,244.28294
2005,DC_TOF_WASHL,China,423.79902
2006,DC_TOF_WASHL,China,278.12494
2007,DC_TOF_WASHL,China,339.14203
2008,DC_TOF_WASHL,China,281.98401
2009,DC_TOF_WASHL,China,329.56002
2010,DC_TOF_WASHL,China,294.59357
2011,DC_TOF_WASHL,China,218.47984
2012,DC_TOF_WASHL,China,210.01957
2000,DC_TOF_WASHL,Albania,118.13218
2001,DC_TOF_WASHL,Albania,20.8371
2002,DC_TOF_WASHL,Albania,33.36381
2003,DC_TOF_WASHL,Albania,33.05003
2004,DC_TOF_WASHL,Albania,27.72273
2005,DC_TOF_WASHL,Albania,39.98851
2006,DC_TOF_WASHL,Albania,42.71248
2007,DC_TOF_WASHL,Albania,42.90606
2008,DC_TOF_WASHL,Albania,46.73945
2009,DC_TOF_WASHL,Albania,35.3242
2010,DC_TOF_WASHL,Albania,40.74531
2011,DC_TOF_WASHL,Albania,48.34769
2012,DC_TOF_WASHL,Albania,43.81441
2013,DC_TOF_WASHL,Albania,42.08216
2014,DC_TOF_WASHL,Albania,83.58903
2015,DC_TOF_WASHL,Albania,92.5239
2013,DC_TOF_WASHL,China,226.33239
2014,DC_TOF_WASHL,China,170.90442
2015,DC_TOF_WASHL,China,216.33132
2016,DC_TOF_WASHL,China,101.26754
2017,DC_TOF_WASHL,China,102.68529
2018,DC_TOF_WASHL,China,79.4806
2019,DC_TOF_WASHL,China,91.78058
2020,DC_TOF_WASHL,China,109.87249
2021,DC_TOF_WASHL,China,63.22123
2000,DC_TOF_WASHL,Colombia,0.24943
2001,DC_TOF_WASHL,Colombia,0.6118
2002,DC_TOF_WASHL,Colombia,1.83743
2003,DC_TOF_WASHL,Colombia,2.05742
2004,DC_TOF_WASHL,Colombia,0.99714
2005,DC_TOF_WASHL,Colombia,0.8063
2006,DC_TOF_WASHL,Colombia,2.42812
2007,DC_TOF_WASHL,Colombia,2.95688
2008,DC_TOF_WASHL,Colombia,3.87361
2009,DC_TOF_WASHL,Colombia,60.39991
2010,DC_TOF_WASHL,Colombia,2.10868
2011,DC_TOF_WASHL,Colombia,3.09135
2012,DC_TOF_WASHL,Colombia,103.89832
2013,DC_TOF_WASHL,Colombia,27.65649
2014,DC_TOF_WASHL,Colombia,14.05468
2000,DC_TOF_WASHL,Serbia,65.71022
2001,DC_TOF_WASHL,Serbia,49.05553
2002,DC_TOF_WASHL,Serbia,21.39844
2003,DC_TOF_WASHL,Serbia,23.2872
2004,DC_TOF_WASHL,Serbia,26.07839
2005,DC_TOF_WASHL,Serbia,26.76955
2006,DC_TOF_WASHL,Serbia,37.0059
2007,DC_TOF_WASHL,Serbia,43.98857
2016,DC_TOF_WASHL,Albania,75.83034
2017,DC_TOF_WASHL,Albania,65.23012
2018,DC_TOF_WASHL,Albania,26.83503
2019,DC_TOF_WASHL,Albania,51.00228
2020,DC_TOF_WASHL,Albania,51.59717
