Year,SeriesCode,Country,Age,Education level,Location,Quantile,Sex,Value
2011,FB_BNK_ACCSS,Azerbaijan,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,16.66914
2011,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Male,15.61626
2011,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,14.90085
2011,FB_BNK_ACCSS,Azerbaijan,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,8.69968
2011,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,8.15484
2011,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,19.38502
2011,FB_BNK_ACCSS,Azerbaijan,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,18.56072
2011,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Female,14.25925
2011,FB_BNK_ACCSS,Azerbaijan,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,4.50735
2014,FB_BNK_ACCSS,Azerbaijan,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,17.30359
2014,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,29.15149
2014,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Male,32.61356
2014,FB_BNK_ACCSS,Azerbaijan,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,31.65081
2014,FB_BNK_ACCSS,Azerbaijan,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,36.30556
2014,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,32.04978
2014,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,24.79335
2014,FB_BNK_ACCSS,Azerbaijan,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,10.02495
2014,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Female,25.89699
2017,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,28.5712
2017,FB_BNK_ACCSS,Azerbaijan,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,20.48311
2017,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,18.13518
2017,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,35.4988
2017,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Female,27.71963
2017,FB_BNK_ACCSS,Azerbaijan,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,12.571
2017,FB_BNK_ACCSS,Azerbaijan,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,30.06141
2017,FB_BNK_ACCSS,Azerbaijan,15+,Total or no breakdown,All areas,Total or no breakdown,Male,29.43609
2017,FB_BNK_ACCSS,Azerbaijan,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,34.54172
2011,FB_BNK_ACCSS,Australia,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,98.76114
2011,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Female,98.59229
2011,FB_BNK_ACCSS,Australia,15+,AGG_GE2,All areas,Total or no breakdown,Both sexes,99.02826
2011,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Male,99.5947
2011,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.06484
2011,FB_BNK_ACCSS,Australia,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,100.0
2011,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,97.95354
2011,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,99.80312
2011,FB_BNK_ACCSS,Australia,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.11808
2014,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Richest 60%,Both sexes,98.12948
2014,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Bottom 40%,Both sexes,100.0
2014,FB_BNK_ACCSS,Australia,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,100.0
2014,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,98.85957
2014,FB_BNK_ACCSS,Australia,25+,Total or no breakdown,All areas,Total or no breakdown,Both sexes,99.61907
2014,FB_BNK_ACCSS,Australia,15+,Total or no breakdown,All areas,Total or no breakdown,Male,98.67058
2017,FB_BNK_ACCSS,Estonia,15+,AGG_0_1,All areas,Total or no breakdown,Both sexes,94.37813
2017,FB_BNK_ACCSS,Estonia,15-24,Total or no breakdown,All areas,Total or no breakdown,Both sexes,91.92842
