Year,SeriesCode,Country,Activity,Sex,Value
2010,SL_ISV_IFEM,Australia,NONAGR,Male,24.64
2010,SL_ISV_IFEM,Australia,ISIC4_A,Male,62.23
2010,SL_ISV_IFEM,Australia,TOTAL,Female,28.36
2010,SL_ISV_IFEM,Australia,ISIC4_A,Female,86.29
2010,SL_ISV_IFEM,Australia,NONAGR,Both sexes,25.97
2010,SL_ISV_IFEM,Australia,ISIC4_A,Both sexes,68.21
2010,SL_ISV_IFEM,Australia,TOTAL,Both sexes,27.09
2010,SL_ISV_IFEM,Australia,TOTAL,Male,26.03
2010,SL_ISV_IFEM,Australia,NONAGR,Female,27.51
2011,SL_ISV_IFEM,Australia,ISIC4_A,Both sexes,61.56
2011,SL_ISV_IFEM,Australia,NONAGR,Both sexes,27.41
2011,SL_ISV_IFEM,Australia,ISIC4_A,Male,56.75
2011,SL_ISV_IFEM,Australia,NONAGR,Male,26.0
2011,SL_ISV_IFEM,Australia,TOTAL,Male,27.15
2011,SL_ISV_IFEM,Australia,TOTAL,Female,29.71
2011,SL_ISV_IFEM,Australia,NONAGR,Female,29.08
2011,SL_ISV_IFEM,Australia,ISIC4_A,Female,78.48
2011,SL_ISV_IFEM,Australia,TOTAL,Both sexes,28.31
2012,SL_ISV_IFEM,Australia,NONAGR,Male,24.82
2012,SL_ISV_IFEM,Australia,ISIC4_A,Male,61.76
2012,SL_ISV_IFEM,Australia,TOTAL,Female,29.55
2012,SL_ISV_IFEM,Australia,NONAGR,Female,28.83
2012,SL_ISV_IFEM,Australia,ISIC4_A,Female,84.03
2012,SL_ISV_IFEM,Australia,TOTAL,Both sexes,27.63
2012,SL_ISV_IFEM,Australia,NONAGR,Both sexes,26.67
2012,SL_ISV_IFEM,Australia,ISIC4_A,Both sexes,67.34
2012,SL_ISV_IFEM,Australia,TOTAL,Male,26.02
2013,SL_ISV_IFEM,Australia,TOTAL,Both sexes,28.16
2013,SL_ISV_IFEM,Australia,ISIC4_A,Male,68.35
2013,SL_ISV_IFEM,Australia,ISIC4_A,Both sexes,70.13
2013,SL_ISV_IFEM,Australia,TOTAL,Female,29.59
2013,SL_ISV_IFEM,Australia,NONAGR,Male,25.36
2013,SL_ISV_IFEM,Australia,NONAGR,Both sexes,27.07
2013,SL_ISV_IFEM,Australia,TOTAL,Male,26.92
2013,SL_ISV_IFEM,Australia,NONAGR,Female,28.99
2013,SL_ISV_IFEM,Australia,ISIC4_A,Female,76.03
2014,SL_ISV_IFEM,Australia,NONAGR,Both sexes,26.83
2014,SL_ISV_IFEM,Australia,TOTAL,Both sexes,28.03
2014,SL_ISV_IFEM,Australia,ISIC4_A,Female,71.33
2014,SL_ISV_IFEM,Australia,ISIC4_A,Both sexes,65.59
2014,SL_ISV_IFEM,Australia,NONAGR,Female,27.75
2014,SL_ISV_IFEM,Australia,ISIC4_A,Male,63.17
2014,SL_ISV_IFEM,Australia,TOTAL,Female,28.6
2014,SL_ISV_IFEM,Australia,TOTAL,Male,27.52
2014,SL_ISV_IFEM,Australia,NONAGR,Male,26.01
2015,SL_ISV_IFEM,Australia,ISIC4_A,Male,69.98
2015,SL_ISV_IFEM,Australia,TOTAL,Male,26.9
2015,SL_ISV_IFEM,Australia,TOTAL,Both sexes,28.81
2015,SL_ISV_IFEM,Australia,NONAGR,Female,30.15
2015,SL_ISV_IFEM,Australia,ISIC4_A,Female,80.12
2015,SL_ISV_IFEM,Australia,NONAGR,Both sexes,27.59
2015,SL_ISV_IFEM,Australia,ISIC4_A,Both sexes,72.93
2015,SL_ISV_IFEM,Australia,TOTAL,Female,30.99
2015,SL_ISV_IFEM,Australia,NONAGR,Male,25.31
2007,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,67.08
2007,SL_ISV_IFEM,Colombia,NONAGR,Male,61.06
2007,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,62.4
2007,SL_ISV_IFEM,Colombia,ISIC4_A,Female,85.64
2007,SL_ISV_IFEM,Colombia,TOTAL,Female,65.3
2007,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,89.82
2007,SL_ISV_IFEM,Colombia,ISIC4_A,Male,90.44
2007,SL_ISV_IFEM,Colombia,TOTAL,Male,68.21
2007,SL_ISV_IFEM,Colombia,NONAGR,Female,64.08
2008,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,66.84
2008,SL_ISV_IFEM,Colombia,TOTAL,Female,64.87
2008,SL_ISV_IFEM,Colombia,NONAGR,Male,60.29
2008,SL_ISV_IFEM,Colombia,NONAGR,Female,63.53
2008,SL_ISV_IFEM,Colombia,ISIC4_A,Female,85.86
2008,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,61.75
2008,SL_ISV_IFEM,Colombia,TOTAL,Male,68.11
2008,SL_ISV_IFEM,Colombia,ISIC4_A,Male,90.62
2008,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,90.0
2009,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,68.76
2009,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,90.46
2009,SL_ISV_IFEM,Colombia,ISIC4_A,Female,87.93
2009,SL_ISV_IFEM,Colombia,TOTAL,Female,67.92
2009,SL_ISV_IFEM,Colombia,NONAGR,Male,61.57
2009,SL_ISV_IFEM,Colombia,ISIC4_A,Male,90.85
2009,SL_ISV_IFEM,Colombia,TOTAL,Male,69.32
2009,SL_ISV_IFEM,Colombia,NONAGR,Female,66.61
2009,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,63.88
2010,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,63.16
2010,SL_ISV_IFEM,Colombia,TOTAL,Male,68.53
2010,SL_ISV_IFEM,Colombia,NONAGR,Female,65.89
2010,SL_ISV_IFEM,Colombia,ISIC4_A,Female,88.51
2010,SL_ISV_IFEM,Colombia,TOTAL,Female,67.4
2010,SL_ISV_IFEM,Colombia,NONAGR,Male,60.77
2010,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,68.07
2010,SL_ISV_IFEM,Colombia,ISIC4_A,Male,89.86
2010,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,89.66
2011,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,62.53
2011,SL_ISV_IFEM,Colombia,ISIC4_A,Female,89.87
2011,SL_ISV_IFEM,Colombia,NONAGR,Female,65.52
2011,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,89.36
2011,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,67.37
2011,SL_ISV_IFEM,Colombia,ISIC4_A,Male,89.27
2011,SL_ISV_IFEM,Colombia,TOTAL,Male,67.49
2011,SL_ISV_IFEM,Colombia,NONAGR,Male,59.93
2011,SL_ISV_IFEM,Colombia,TOTAL,Female,67.19
2012,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,66.95
2012,SL_ISV_IFEM,Colombia,NONAGR,Female,65.32
2012,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,89.8
2016,SL_ISV_IFEM,Australia,NONAGR,Both sexes,26.76
2016,SL_ISV_IFEM,Australia,ISIC4_A,Both sexes,69.64
2016,SL_ISV_IFEM,Australia,TOTAL,Male,27.62
2016,SL_ISV_IFEM,Australia,TOTAL,Both sexes,28.02
2016,SL_ISV_IFEM,Australia,ISIC4_A,Male,66.69
2016,SL_ISV_IFEM,Australia,TOTAL,Female,28.48
2016,SL_ISV_IFEM,Australia,NONAGR,Male,25.9
2016,SL_ISV_IFEM,Australia,NONAGR,Female,27.72
2016,SL_ISV_IFEM,Australia,ISIC4_A,Female,79.18
2012,SL_ISV_IFEM,Colombia,TOTAL,Male,66.86
2012,SL_ISV_IFEM,Colombia,NONAGR,Male,59.23
2012,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,62.07
2012,SL_ISV_IFEM,Colombia,ISIC4_A,Male,89.81
2012,SL_ISV_IFEM,Colombia,TOTAL,Female,67.08
2012,SL_ISV_IFEM,Colombia,ISIC4_A,Female,89.74
2013,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,65.04
2013,SL_ISV_IFEM,Colombia,ISIC4_A,Both sexes,88.87
2013,SL_ISV_IFEM,Colombia,NONAGR,Both sexes,60.16
2013,SL_ISV_IFEM,Colombia,TOTAL,Male,65.14
2008,SL_ISV_IFEM,Greece,TOTAL,Both sexes,9.98
2008,SL_ISV_IFEM,Greece,NONAGR,Female,10.89
2008,SL_ISV_IFEM,Greece,ISIC4_A,Female,50.73
2008,SL_ISV_IFEM,Greece,TOTAL,Male,6.08
2008,SL_ISV_IFEM,Greece,NONAGR,Both sexes,7.73
2008,SL_ISV_IFEM,Greece,ISIC4_A,Both sexes,26.28
2008,SL_ISV_IFEM,Greece,TOTAL,Female,15.67
2008,SL_ISV_IFEM,Greece,NONAGR,Male,5.55
2008,SL_ISV_IFEM,Greece,ISIC4_A,Male,9.87
2012,SL_ISV_IFEM,Albania,TOTAL,Both sexes,66.59
2012,SL_ISV_IFEM,Albania,ISIC4_A,Both sexes,97.64
2012,SL_ISV_IFEM,Albania,NONAGR,Both sexes,40.17
2012,SL_ISV_IFEM,Albania,TOTAL,Male,63.39
2012,SL_ISV_IFEM,Albania,ISIC4_A,Male,96.17
2012,SL_ISV_IFEM,Albania,NONAGR,Male,43.81
2012,SL_ISV_IFEM,Albania,NONAGR,Female,33.49
2012,SL_ISV_IFEM,Albania,TOTAL,Female,70.64
2012,SL_ISV_IFEM,Albania,ISIC4_A,Female,98.87
2013,SL_ISV_IFEM,Albania,NONAGR,Female,24.13
2013,SL_ISV_IFEM,Colombia,ISIC4_A,Male,88.62
2013,SL_ISV_IFEM,Colombia,NONAGR,Male,57.59
2013,SL_ISV_IFEM,Colombia,TOTAL,Female,64.91
2013,SL_ISV_IFEM,Colombia,ISIC4_A,Female,90.15
2013,SL_ISV_IFEM,Colombia,NONAGR,Female,63.09
2014,SL_ISV_IFEM,Colombia,TOTAL,Female,63.24
2014,SL_ISV_IFEM,Colombia,ISIC4_A,Male,88.27
2014,SL_ISV_IFEM,Colombia,NONAGR,Male,55.97
2014,SL_ISV_IFEM,Colombia,TOTAL,Both sexes,63.43
