Year,SeriesCode,Country,Age,Sex,Type of occupation,Value
2002,SL_EMP_EARN,Austria,,Both sexes,isco88-5,8.98
2002,SL_EMP_EARN,Austria,,Female,isco88-7,7.91
2002,SL_EMP_EARN,Austria,,Female,isco88-3,14.0
2002,SL_EMP_EARN,Austria,,Male,isco88-4,15.04
2002,SL_EMP_EARN,Austria,,Male,isco88-2,23.32
2002,SL_EMP_EARN,Austria,,Male,isco88-1,30.33
2002,SL_EMP_EARN,Austria,,Both sexes,Total or no breakdown,12.01
2002,SL_EMP_EARN,Austria,,Male,isco88-5,10.83
2002,SL_EMP_EARN,Austria,,Female,isco88-5,7.88
2002,SL_EMP_EARN,Austria,,Both sexes,isco88-7,10.76
2002,SL_EMP_EARN,Austria,,Both sexes,isco88-8,11.46
2002,SL_EMP_EARN,Austria,,Both sexes,isco88-4,12.81
2002,SL_EMP_EARN,Austria,,Female,isco88-9,7.75
2002,SL_EMP_EARN,Austria,,Both sexes,isco88-3,16.75
2002,SL_EMP_EARN,Austria,,Female,isco88-8,8.75
2002,SL_EMP_EARN,Austria,,Both sexes,isco88-2,22.22
2002,SL_EMP_EARN,Austria,,Male,Total or no breakdown,13.26
2002,SL_EMP_EARN,Austria,,Both sexes,isco88-1,29.55
2002,SL_EMP_EARN,Austria,,Male,isco88-7,10.92
2002,SL_EMP_EARN,Austria,,Female,isco88-2,18.87
2002,SL_EMP_EARN,Austria,,Female,isco88-4,11.42
2002,SL_EMP_EARN,Austria,,Both sexes,isco88-9,8.82
2002,SL_EMP_EARN,Austria,,Female,Total or no breakdown,9.76
2002,SL_EMP_EARN,Austria,,Male,isco88-3,17.09
2002,SL_EMP_EARN,Austria,,Male,isco88-8,11.71
2002,SL_EMP_EARN,Austria,,Male,isco88-9,9.77
2002,SL_EMP_EARN,Austria,,Female,isco88-1,24.46
2006,SL_EMP_EARN,Austria,,Both sexes,isco88-3,17.55
2006,SL_EMP_EARN,Austria,,Female,isco88-8,9.78
2006,SL_EMP_EARN,Austria,,Female,isco88-3,14.44
2006,SL_EMP_EARN,Austria,,Male,isco88-1,33.98
2006,SL_EMP_EARN,Austria,,Male,isco88-2,23.31
2006,SL_EMP_EARN,Austria,,Male,isco88-3,18.8
2006,SL_EMP_EARN,Austria,,Male,isco88-7,11.94
2006,SL_EMP_EARN,Austria,,Male,isco88-9,10.28
2006,SL_EMP_EARN,Austria,,Male,isco88-8,12.41
2002,SL_EMP_EARN,Albania,,Female,isco88-2,166.53
2002,SL_EMP_EARN,Albania,,Female,isco88-3,85.83
2002,SL_EMP_EARN,Albania,,Female,isco88-4,97.97
2002,SL_EMP_EARN,Albania,,Female,isco88-6,125.98
2002,SL_EMP_EARN,Albania,,Female,isco88-5,67.89
2002,SL_EMP_EARN,Albania,,Female,isco88-8,79.08
2002,SL_EMP_EARN,Albania,,Female,isco88-9,70.71
2002,SL_EMP_EARN,Albania,,Male,Total or no breakdown,141.32
2002,SL_EMP_EARN,Albania,,Male,isco88-7,139.01
2000,SL_EMP_EARN,Chile,,Male,isco88-3,1784.83
2000,SL_EMP_EARN,Chile,,Male,isco88-5,839.85
2000,SL_EMP_EARN,Chile,,Male,isco88-6,548.53
2000,SL_EMP_EARN,Chile,,Female,isco88-X,1242.24
2000,SL_EMP_EARN,Chile,,Male,Total or no breakdown,1117.59
2000,SL_EMP_EARN,Chile,,Male,isco88-8,824.24
2000,SL_EMP_EARN,Chile,,Male,isco88-4,1153.57
2000,SL_EMP_EARN,Chile,,Male,isco88-9,564.12
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-1,3109.66
2000,SL_EMP_EARN,Chile,,Both sexes,Total or no breakdown,1082.33
2000,SL_EMP_EARN,Chile,,Both sexes,isco88-2,2596.29
2000,SL_EMP_EARN,Chile,,Male,isco88-X,2154.71
2003,SL_EMP_EARN,Chile,,Both sexes,Total or no breakdown,1383.36
2003,SL_EMP_EARN,Chile,,Male,Total or no breakdown,1471.59
2003,SL_EMP_EARN,Chile,,Female,Total or no breakdown,1230.83
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-X,1991.73
2006,SL_EMP_EARN,Chile,,Female,Total or no breakdown,1444.16
2006,SL_EMP_EARN,Chile,,Male,isco88-2,4265.18
2006,SL_EMP_EARN,Chile,,Male,isco88-1,5825.43
2006,SL_EMP_EARN,Chile,,Male,isco88-0,2410.56
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-8,1268.83
2006,SL_EMP_EARN,Chile,,Female,isco88-2,3319.05
2006,SL_EMP_EARN,Chile,,Male,isco88-4,1616.33
2006,SL_EMP_EARN,Chile,,Female,isco88-X,2827.93
2006,SL_EMP_EARN,Chile,,Female,isco88-8,896.11
2006,SL_EMP_EARN,Chile,,Male,isco88-6,1041.5
2006,SL_EMP_EARN,Chile,,Male,isco88-7,1287.06
2006,SL_EMP_EARN,Chile,,Male,isco88-9,864.81
2006,SL_EMP_EARN,Chile,,Female,isco88-7,1061.53
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-0,2391.51
2006,SL_EMP_EARN,Chile,,Male,isco88-X,1660.87
2006,SL_EMP_EARN,Chile,,Female,isco88-6,767.23
2006,SL_EMP_EARN,Chile,,Male,isco88-3,2777.3
2006,SL_EMP_EARN,Chile,,Female,isco88-1,4483.7
2006,SL_EMP_EARN,Chile,,Female,isco88-0,2161.28
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-6,998.75
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-7,1265.61
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-5,1159.23
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-9,844.8
2006,SL_EMP_EARN,Chile,,Male,Total or no breakdown,1609.05
2006,SL_EMP_EARN,Chile,,Male,isco88-5,1309.96
2006,SL_EMP_EARN,Chile,,Male,isco88-8,1307.44
2006,SL_EMP_EARN,Chile,,Female,isco88-9,818.71
2006,SL_EMP_EARN,Chile,,Female,isco88-4,1327.63
2006,SL_EMP_EARN,Chile,,Female,isco88-3,2073.73
2006,SL_EMP_EARN,Chile,,Female,isco88-5,1049.34
2006,SL_EMP_EARN,Chile,,Both sexes,Total or no breakdown,1544.67
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-2,3798.9
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-1,5471.79
2006,SL_EMP_EARN,Chile,,Both sexes,isco88-4,1442.78
