Year,SeriesCode,Country,Age,Sex,Value
2000,SL_TLF_UEM_19ICLS,Bulgaria,25+,Male,14.19
2000,SL_TLF_UEM_19ICLS,Bulgaria,25+,Female,14.39
2000,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Both sexes,33.33
2000,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Male,36.1
2000,SL_TLF_UEM_19ICLS,Bulgaria,15+,Both sexes,16.22
2000,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Female,29.63
2000,SL_TLF_UEM_19ICLS,Bulgaria,15+,Female,15.82
2000,SL_TLF_UEM_19ICLS,Bulgaria,15+,Male,16.57
2000,SL_TLF_UEM_19ICLS,Bulgaria,25+,Both sexes,14.28
2001,SL_TLF_UEM_19ICLS,Bulgaria,25+,Female,16.82
2001,SL_TLF_UEM_19ICLS,Bulgaria,25+,Both sexes,17.58
2001,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Female,35.43
2001,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Male,42.76
2001,SL_TLF_UEM_19ICLS,Bulgaria,15+,Female,18.86
2001,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Both sexes,39.26
2001,SL_TLF_UEM_19ICLS,Bulgaria,15+,Both sexes,19.92
2001,SL_TLF_UEM_19ICLS,Bulgaria,25+,Male,18.25
2001,SL_TLF_UEM_19ICLS,Bulgaria,15+,Male,20.86
2002,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Both sexes,35.61
2002,SL_TLF_UEM_19ICLS,Bulgaria,15+,Female,17.36
2002,SL_TLF_UEM_19ICLS,Bulgaria,25+,Both sexes,16.11
2002,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Male,38.96
2002,SL_TLF_UEM_19ICLS,Bulgaria,15+,Male,18.78
2002,SL_TLF_UEM_19ICLS,Bulgaria,25+,Male,16.36
2002,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Female,31.48
2002,SL_TLF_UEM_19ICLS,Bulgaria,25+,Female,15.83
2002,SL_TLF_UEM_19ICLS,Bulgaria,15+,Both sexes,18.11
2003,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Male,29.42
2003,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Female,24.06
2003,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Both sexes,27.07
2003,SL_TLF_UEM_19ICLS,Bulgaria,15+,Male,14.2
2003,SL_TLF_UEM_19ICLS,Bulgaria,15+,Female,13.19
2003,SL_TLF_UEM_19ICLS,Bulgaria,25+,Female,12.15
2003,SL_TLF_UEM_19ICLS,Bulgaria,25+,Both sexes,12.36
2003,SL_TLF_UEM_19ICLS,Bulgaria,15+,Both sexes,13.73
2003,SL_TLF_UEM_19ICLS,Bulgaria,25+,Male,12.54
2004,SL_TLF_UEM_19ICLS,Bulgaria,15+,Female,11.62
2004,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Female,23.78
2004,SL_TLF_UEM_19ICLS,Bulgaria,15+,Both sexes,12.04
2004,SL_TLF_UEM_19ICLS,Bulgaria,25+,Both sexes,10.77
2004,SL_TLF_UEM_19ICLS,Bulgaria,25+,Male,11.01
2004,SL_TLF_UEM_19ICLS,Bulgaria,25+,Female,10.49
2004,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Male,24.99
2004,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Both sexes,24.47
2004,SL_TLF_UEM_19ICLS,Bulgaria,15+,Male,12.4
2005,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Female,21.04
2005,SL_TLF_UEM_19ICLS,Bulgaria,15+,Female,9.84
2005,SL_TLF_UEM_19ICLS,Bulgaria,15+,Male,10.3
2005,SL_TLF_UEM_19ICLS,Bulgaria,25+,Female,8.83
2005,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Male,23.35
2005,SL_TLF_UEM_19ICLS,Bulgaria,15+,Both sexes,10.08
2005,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Both sexes,22.35
2005,SL_TLF_UEM_19ICLS,Bulgaria,25+,Both sexes,8.9
2005,SL_TLF_UEM_19ICLS,Bulgaria,25+,Male,8.96
2006,SL_TLF_UEM_19ICLS,Bulgaria,15+,Male,8.64
2006,SL_TLF_UEM_19ICLS,Bulgaria,25+,Both sexes,7.94
2006,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Male,18.89
2006,SL_TLF_UEM_19ICLS,Bulgaria,15-24,Female,20.28
2006,SL_TLF_UEM_19ICLS,Bulgaria,25+,Female,8.29
