Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-1-1,complete,International Labour Organization (ILO),,,,,line
#1-1-1-a,complete,,,,custom.central_asia,,line
#1-1-1-b,complete,,,,custom.central_asia,,line
#1-1-1-cmp,complete,,,,custom.central_asia,,line
#1-2-1,complete,World Bank,,,custom.central_asia,,line
#1-2-2,notstarted,"The World Bank, United Nations Children&#x2019;s Fund (UNICEF), United Nations Development Programme (UNDP)",True,,,,line
#1-2-2-SD_MDP_ANDI,complete,,,,custom.central_asia,,line
#1-2-2-SD_MDP_CSMP,complete,,,,custom.central_asia,,line
#1-2-2-SD_MDP_MUHC,complete,,,,custom.central_asia,,line
#1-2-2-SD_MDP_MUHHC,complete,,,,custom.central_asia,,line
#1-3-1,notstarted,International Labour Organization (ILO),True,,,,line
#1-3-1-SI_COV_BENFTS,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_CHLD,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_DISAB,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_LMKT,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_MATNL,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_PENSN,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_POOR,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_SOCAST,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_SOCINS,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_UEMP,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_VULN,complete,,,,custom.central_asia,,line
#1-3-1-SI_COV_WKINJRY,complete,,,,custom.central_asia,,line
#1-4-1,notstarted,"United Nations Human Settlements Programme (UN-Habitat)
WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (1.4.1a, b and c)",True,,,,line
#1-4-1-SP_ACS_BSRVH2O,complete,,,,custom.central_asia,,line
#1-4-1-SP_ACS_BSRVSAN,complete,,,,custom.central_asia,,line
#1-4-2,notstarted,UN-Habitat and World Bank,True,,,,line
#1-4-2-SP_LGL_LNDDOC,complete,,,,custom.central_asia,,line
#1-4-2-SP_LGL_LNDSEC,complete,,,,custom.central_asia,,line
#1-4-2-SP_LGL_LNDSTR,complete,,,,custom.central_asia,,line
#1-5-1,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#1-5-1-VC_DSR_AFFCT,complete,,,,custom.central_asia,,line
#1-5-1-VC_DSR_DAFF,complete,,,,custom.central_asia,,line
#1-5-1-VC_DSR_IJILN,complete,,,,custom.central_asia,,line
#1-5-1-VC_DSR_MISS,complete,,,,custom.central_asia,,line
#1-5-1-VC_DSR_MMHN,complete,,,,custom.central_asia,,line
#1-5-1-VC_DSR_MORT,complete,,,,custom.central_asia,,line
