Year,SeriesCode,Страна ,Value
2010,FI_FSI_FSERA,Albania,0.810615968145684
2011,FI_FSI_FSERA,Albania,0.215097560689753
2012,FI_FSI_FSERA,Albania,0.44523023268466
2013,FI_FSI_FSERA,Albania,0.652320163301218
2014,FI_FSI_FSERA,Albania,1.09666730461025
2015,FI_FSI_FSERA,Albania,1.3856291168635
2016,FI_FSI_FSERA,Albania,0.864971588304484
2017,FI_FSI_FSERA,Albania,1.70873553769042
2018,FI_FSI_FSERA,Albania,1.46022951961939
2019,FI_FSI_FSERA,Albania,1.53973172557935
2020,FI_FSI_FSERA,Albania,1.28583322968906
2021,FI_FSI_FSERA,Albania,1.51219492552302
2022,FI_FSI_FSERA,Albania,1.4362278564946
2005,FI_FSI_FSERA,Australia,1.67095276244771
2006,FI_FSI_FSERA,Australia,1.62880292402049
2007,FI_FSI_FSERA,Australia,1.26993280366765
2008,FI_FSI_FSERA,Australia,1.44891332828525
2009,FI_FSI_FSERA,Australia,0.914521952486866
2010,FI_FSI_FSERA,Australia,0.0255232072164056
2011,FI_FSI_FSERA,Australia,1.23782681682115
2012,FI_FSI_FSERA,Australia,1.26356421785626
2013,FI_FSI_FSERA,Australia,1.51423519482103
2014,FI_FSI_FSERA,Australia,1.3215720698343
2015,FI_FSI_FSERA,Australia,1.51558051461391
2016,FI_FSI_FSERA,Australia,0.818294293064368
2017,FI_FSI_FSERA,Australia,1.20250336327025
2018,FI_FSI_FSERA,Australia,1.41467895534998
2019,FI_FSI_FSERA,Australia,0.995955596743427
2020,FI_FSI_FSERA,Australia,0.390381944249191
2021,FI_FSI_FSERA,Australia,0.987431427074624
2006,FI_FSI_FSERA,Austria,0.786739360782971
2007,FI_FSI_FSERA,Austria,0.873572561734882
2008,FI_FSI_FSERA,Austria,0.154286061513415
2009,FI_FSI_FSERA,Austria,0.152569190868569
2010,FI_FSI_FSERA,Austria,0.541080722793718
2011,FI_FSI_FSERA,Austria,0.207667375752228
2012,FI_FSI_FSERA,Austria,0.437307273443305
2013,FI_FSI_FSERA,Austria,0.163340807578709
2014,FI_FSI_FSERA,Austria,-0.0434198482524396
2015,FI_FSI_FSERA,Austria,0.588852080451387
2016,FI_FSI_FSERA,Austria,0.647994952103282
2017,FI_FSI_FSERA,Austria,0.928323028806439
2018,FI_FSI_FSERA,Austria,0.905590510967441
2019,FI_FSI_FSERA,Austria,0.882712499933156
2020,FI_FSI_FSERA,Austria,0.508061401608702
2005,FI_FSI_FSERA,Armenia,2.92310443748177
2006,FI_FSI_FSERA,Armenia,3.91841890013716
2007,FI_FSI_FSERA,Armenia,3.52048792219097
2008,FI_FSI_FSERA,Armenia,3.46959482612699
2009,FI_FSI_FSERA,Armenia,1.00045787172322
2010,FI_FSI_FSERA,Armenia,2.81102556817952
2011,FI_FSI_FSERA,Armenia,2.42312476537769
2012,FI_FSI_FSERA,Armenia,2.47371656614341
2013,FI_FSI_FSERA,Armenia,1.8779136818653
2014,FI_FSI_FSERA,Armenia,0.998267450573339
2015,FI_FSI_FSERA,Armenia,-0.49600341169952
2016,FI_FSI_FSERA,Armenia,1.0907181362484
2017,FI_FSI_FSERA,Armenia,1.38869943955852
2018,FI_FSI_FSERA,Armenia,1.20916230096881
2019,FI_FSI_FSERA,Armenia,1.52521969204707
2020,FI_FSI_FSERA,Armenia,1.28341851216895
2005,FI_FSI_FSERA,Belgium,1.49037786205928
2006,FI_FSI_FSERA,Belgium,0.835323257933128
2007,FI_FSI_FSERA,Belgium,0.506885415176749
2008,FI_FSI_FSERA,Belgium,-0.152029421092097
2009,FI_FSI_FSERA,Belgium,-0.234608101471891
2010,FI_FSI_FSERA,Belgium,0.539359316985465
2011,FI_FSI_FSERA,Belgium,0.0624796153674969
2012,FI_FSI_FSERA,Belgium,0.239394489115294
2013,FI_FSI_FSERA,Belgium,1.1230656702842
2014,FI_FSI_FSERA,Belgium,0.69091057361727
2015,FI_FSI_FSERA,Belgium,0.791125621816741
2016,FI_FSI_FSERA,Belgium,0.784957475997492
2017,FI_FSI_FSERA,Belgium,0.930630427315572
2018,FI_FSI_FSERA,Belgium,0.803305110306114
2019,FI_FSI_FSERA,Belgium,0.81250762847954
2020,FI_FSI_FSERA,Belgium,0.535024858204298
2021,FI_FSI_FSERA,Belgium,0.862296301095364
2003,FI_FSI_FSERA,Bosnia and Herzegovina,0.447295941933142
2004,FI_FSI_FSERA,Bosnia and Herzegovina,0.688579471962261
2005,FI_FSI_FSERA,Bosnia and Herzegovina,0.694024200985177
2006,FI_FSI_FSERA,Bosnia and Herzegovina,0.869776327088587
2007,FI_FSI_FSERA,Bosnia and Herzegovina,0.835024319684054
2008,FI_FSI_FSERA,Bosnia and Herzegovina,0.524372870549622
2009,FI_FSI_FSERA,Bosnia and Herzegovina,0.143226706561702
2010,FI_FSI_FSERA,Bosnia and Herzegovina,-0.509728972287804
2011,FI_FSI_FSERA,Bosnia and Herzegovina,0.778743008295491
2012,FI_FSI_FSERA,Bosnia and Herzegovina,0.716342472767243
2013,FI_FSI_FSERA,Bosnia and Herzegovina,-0.0686137480172121
2014,FI_FSI_FSERA,Bosnia and Herzegovina,0.772460611752665
2015,FI_FSI_FSERA,Bosnia and Herzegovina,0.296789598587759
2016,FI_FSI_FSERA,Bosnia and Herzegovina,1.05432075342037
2017,FI_FSI_FSERA,Bosnia and Herzegovina,1.44966568553882
2018,FI_FSI_FSERA,Bosnia and Herzegovina,1.29305882141092
2019,FI_FSI_FSERA,Bosnia and Herzegovina,1.35167440098876
2020,FI_FSI_FSERA,Bosnia and Herzegovina,0.745683965876277
2021,FI_FSI_FSERA,Bosnia and Herzegovina,1.31304926551055
2008,FI_FSI_FSERA,Bulgaria,2.12431537371167
2009,FI_FSI_FSERA,Bulgaria,1.08137686589527
2010,FI_FSI_FSERA,Bulgaria,0.839779203615925
2011,FI_FSI_FSERA,Bulgaria,0.630390446084524
2012,FI_FSI_FSERA,Bulgaria,0.661417827536983
2013,FI_FSI_FSERA,Bulgaria,0.601557209180154
2014,FI_FSI_FSERA,Bulgaria,0.845855947397106
2015,FI_FSI_FSERA,Bulgaria,1.08495547921928
2016,FI_FSI_FSERA,Bulgaria,1.40303426717937
2017,FI_FSI_FSERA,Bulgaria,1.2314031791176
2018,FI_FSI_FSERA,Bulgaria,1.59013775657536
2019,FI_FSI_FSERA,Bulgaria,1.46562248111141
2020,FI_FSI_FSERA,Bulgaria,0.657259969662746
2010,FI_FSI_FSERA,Belarus,2.14314516891776
2011,FI_FSI_FSERA,Belarus,2.07644757545346
2012,FI_FSI_FSERA,Belarus,2.20746096323932
2013,FI_FSI_FSERA,Belarus,2.32925799413896
2014,FI_FSI_FSERA,Belarus,2.10387661160428
2015,FI_FSI_FSERA,Belarus,1.31887059085121
2016,FI_FSI_FSERA,Belarus,1.62932754888905
2017,FI_FSI_FSERA,Belarus,1.76616607424591
2018,FI_FSI_FSERA,Belarus,2.0216214139274
2019,FI_FSI_FSERA,Belarus,1.91830519618296
2020,FI_FSI_FSERA,Belarus,1.48283120567852
2021,FI_FSI_FSERA,Belarus,1.84578434598077
2005,FI_FSI_FSERA,Canada,0.986895504607826
2006,FI_FSI_FSERA,Canada,1.22571209974921
2007,FI_FSI_FSERA,Canada,1.05762613899315
2008,FI_FSI_FSERA,Canada,0.529118907653672
2009,FI_FSI_FSERA,Canada,0.69145560238759
2010,FI_FSI_FSERA,Canada,1.03141550000009
2011,FI_FSI_FSERA,Canada,1.17938831545579
2012,FI_FSI_FSERA,Canada,1.07738403018296
2013,FI_FSI_FSERA,Canada,1.09073931844725
2014,FI_FSI_FSERA,Canada,1.10349512996737
2015,FI_FSI_FSERA,Canada,1.00798534708998
2016,FI_FSI_FSERA,Canada,0.999911542239935
2017,FI_FSI_FSERA,Canada,1.11117702651566
2018,FI_FSI_FSERA,Canada,1.1524780947674
2019,FI_FSI_FSERA,Canada,1.06124994437979
2020,FI_FSI_FSERA,Canada,0.782802410851855
2021,FI_FSI_FSERA,Canada,1.1243180655415
2001,FI_FSI_FSERA,Chile,1.46820655115606
2002,FI_FSI_FSERA,Chile,1.32861333934624
2003,FI_FSI_FSERA,Chile,1.58508961488034
2004,FI_FSI_FSERA,Chile,1.54742385408111
2005,FI_FSI_FSERA,Chile,1.61800970106579
2006,FI_FSI_FSERA,Chile,1.62631283521517
2007,FI_FSI_FSERA,Chile,1.45367450997563
2008,FI_FSI_FSERA,Chile,1.28983337326413
2009,FI_FSI_FSERA,Chile,1.51078933366922
2010,FI_FSI_FSERA,Chile,1.78191893172369
2011,FI_FSI_FSERA,Chile,1.71161142826106
2012,FI_FSI_FSERA,Chile,1.45305106378971
2013,FI_FSI_FSERA,Chile,1.59491906194412
2014,FI_FSI_FSERA,Chile,1.62607845324361
2015,FI_FSI_FSERA,Chile,1.46498235600734
2016,FI_FSI_FSERA,Chile,1.18577735691512
2017,FI_FSI_FSERA,Chile,1.33179036148814
2018,FI_FSI_FSERA,Chile,1.38272304608096
2019,FI_FSI_FSERA,Chile,1.33700944650077
2020,FI_FSI_FSERA,Chile,0.531232601340212
2021,FI_FSI_FSERA,Chile,1.50411329296769
2010,FI_FSI_FSERA,China,1.12576047506194
2011,FI_FSI_FSERA,China,1.28111252088155
2012,FI_FSI_FSERA,China,1.28359892901427
2013,FI_FSI_FSERA,China,1.26965149154123
2014,FI_FSI_FSERA,China,1.22622791433716
2015,FI_FSI_FSERA,China,1.09597153951359
2016,FI_FSI_FSERA,China,0.977150851016626
2017,FI_FSI_FSERA,China,0.923536127671307
2018,FI_FSI_FSERA,China,0.899927281794497
2019,FI_FSI_FSERA,China,0.868593548795762
2020,FI_FSI_FSERA,China,0.767581057780288
2021,FI_FSI_FSERA,China,0.787945672227023
2005,FI_FSI_FSERA,Colombia,4.00233329777488
2006,FI_FSI_FSERA,Colombia,3.13391731038886
2007,FI_FSI_FSERA,Colombia,2.8056129729812
2008,FI_FSI_FSERA,Colombia,3.03086676056574
2009,FI_FSI_FSERA,Colombia,3.05994272181195
2010,FI_FSI_FSERA,Colombia,2.87901472674144
2011,FI_FSI_FSERA,Colombia,2.8424555043941
2012,FI_FSI_FSERA,Colombia,2.67662002571983
2013,FI_FSI_FSERA,Colombia,2.33835422649259
2014,FI_FSI_FSERA,Colombia,2.4126866724066
2015,FI_FSI_FSERA,Colombia,2.36514866872094
2016,FI_FSI_FSERA,Colombia,2.664649443181
2017,FI_FSI_FSERA,Colombia,1.85782656648053
2018,FI_FSI_FSERA,Colombia,7.02752601706882
2019,FI_FSI_FSERA,Colombia,5.85543153306838
2020,FI_FSI_FSERA,Colombia,6.11860525354099
2021,FI_FSI_FSERA,Colombia,5.22533850280817
2008,FI_FSI_FSERA,Costa Rica,2.52227662632976
2009,FI_FSI_FSERA,Costa Rica,1.52233042997589
