Year,SeriesCode,Страна ,Type of product,Value
2000,EN_MAT_DOMCMPT,Albania,FEO,166560.51149
2000,EN_MAT_DOMCMPT,Albania,MEO,260518.31949
2000,EN_MAT_DOMCMPT,Albania,CRO,2246881.0
2000,EN_MAT_DOMCMPT,Albania,WCH,5673.0
2000,EN_MAT_DOMCMPT,Albania,PET,317000.0
2000,EN_MAT_DOMCMPT,Albania,BIM,9093748.58
2000,EN_MAT_DOMCMPT,Albania,NMA,110331.641
2000,EN_MAT_DOMCMPT,Albania,COL,73000.0
2000,EN_MAT_DOMCMPT,Albania,FOF,397542.0
2000,EN_MAT_DOMCMPT,Albania,NFO,93957.808
2000,EN_MAT_DOMCMPT,Albania,GAS,7542.0
2000,EN_MAT_DOMCMPT,Albania,ONT,0.0
2000,EN_MAT_DOMCMPT,Albania,NMM,10127419.9381
2000,EN_MAT_DOMCMPT,Albania,CPR,830834.5
2000,EN_MAT_DOMCMPT,Albania,GBO,5692772.0
2000,EN_MAT_DOMCMPT,Albania,ALP,22057704.71159
2000,EN_MAT_DOMCMPT,Albania,WOD,317588.08
2000,EN_MAT_DOMCMPT,Albania,NMC,10017088.2971
2001,EN_MAT_DOMCMPT,Albania,ONT,0.0
2001,EN_MAT_DOMCMPT,Albania,WOD,29804.0
2001,EN_MAT_DOMCMPT,Albania,GAS,5886.0
2001,EN_MAT_DOMCMPT,Albania,FEO,221622.03524
2001,EN_MAT_DOMCMPT,Albania,GBO,5520736.0
2001,EN_MAT_DOMCMPT,Albania,NMC,12071152.6604
2001,EN_MAT_DOMCMPT,Albania,FOF,401886.0
2001,EN_MAT_DOMCMPT,Albania,PET,311000.0
2001,EN_MAT_DOMCMPT,Albania,MEO,301445.09924
2001,EN_MAT_DOMCMPT,Albania,ALP,23943700.82164
2001,EN_MAT_DOMCMPT,Albania,NFO,79823.064
2001,EN_MAT_DOMCMPT,Albania,BIM,8577530.7
2001,EN_MAT_DOMCMPT,Albania,CRO,2258106.0
2001,EN_MAT_DOMCMPT,Albania,WCH,6639.2
2001,EN_MAT_DOMCMPT,Albania,NMA,74295.287
2001,EN_MAT_DOMCMPT,Albania,NMM,12145447.9474
2001,EN_MAT_DOMCMPT,Albania,CPR,762245.5
2001,EN_MAT_DOMCMPT,Albania,COL,85000.0
2002,EN_MAT_DOMCMPT,Albania,NMA,117167.854
2002,EN_MAT_DOMCMPT,Albania,GBO,5307695.0
2002,EN_MAT_DOMCMPT,Albania,ONT,0.0
2002,EN_MAT_DOMCMPT,Albania,WOD,167140.64
2002,EN_MAT_DOMCMPT,Albania,PET,393000.0
2002,EN_MAT_DOMCMPT,Albania,GAS,9792.0
2002,EN_MAT_DOMCMPT,Albania,COL,28000.0
