Year,SeriesCode,Страна ,Value
2004,EN_HAZ_GENGDP,Malta,0.00623
2006,EN_HAZ_GENGDP,Malta,0.0068
2008,EN_HAZ_GENGDP,Malta,0.00677
2010,EN_HAZ_GENGDP,Malta,0.00292
2012,EN_HAZ_GENGDP,Malta,0.00426
2014,EN_HAZ_GENGDP,Malta,0.00362
2016,EN_HAZ_GENGDP,Malta,0.01169
2018,EN_HAZ_GENGDP,Malta,0.00225
2020,EN_HAZ_GENGDP,Malta,0.00315
2000,EN_HAZ_GENGDP,Republic of Moldova,0.00074
2001,EN_HAZ_GENGDP,Republic of Moldova,0.00055
2002,EN_HAZ_GENGDP,Republic of Moldova,0.00051
2003,EN_HAZ_GENGDP,Republic of Moldova,0.00075
2004,EN_HAZ_GENGDP,Republic of Moldova,0.00038
2005,EN_HAZ_GENGDP,Republic of Moldova,0.00032
2006,EN_HAZ_GENGDP,Republic of Moldova,0.0003
2007,EN_HAZ_GENGDP,Republic of Moldova,0.00044
2008,EN_HAZ_GENGDP,Republic of Moldova,0.00023
2009,EN_HAZ_GENGDP,Republic of Moldova,0.00028
2010,EN_HAZ_GENGDP,Republic of Moldova,0.00014
2011,EN_HAZ_GENGDP,Republic of Moldova,0.00045
2012,EN_HAZ_GENGDP,Republic of Moldova,0.00057
2013,EN_HAZ_GENGDP,Republic of Moldova,0.00056
2014,EN_HAZ_GENGDP,Republic of Moldova,0.00016
2015,EN_HAZ_GENGDP,Republic of Moldova,0.00094
2016,EN_HAZ_GENGDP,Republic of Moldova,0.00076
2017,EN_HAZ_GENGDP,Republic of Moldova,0.00103
2018,EN_HAZ_GENGDP,Republic of Moldova,0.00124
2019,EN_HAZ_GENGDP,Republic of Moldova,0.00095
2012,EN_HAZ_GENGDP,Montenegro,0.05627
2014,EN_HAZ_GENGDP,Montenegro,0.06908
2016,EN_HAZ_GENGDP,Montenegro,0.07832
2018,EN_HAZ_GENGDP,Montenegro,0.07395
2020,EN_HAZ_GENGDP,Montenegro,0.08498
2004,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.00317
2006,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.00721
2008,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.0059
2010,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.00609
2012,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.00655
2014,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.00644
2016,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.00657
2018,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.00623
2020,EN_HAZ_GENGDP,Netherlands (Kingdom of the),0.00622
2004,EN_HAZ_GENGDP,Norway,0.00204
2006,EN_HAZ_GENGDP,Norway,0.00352
2008,EN_HAZ_GENGDP,Norway,0.00405
2010,EN_HAZ_GENGDP,Norway,0.00498
2012,EN_HAZ_GENGDP,Norway,0.0037
2014,EN_HAZ_GENGDP,Norway,0.00421
2016,EN_HAZ_GENGDP,Norway,0.00416
2018,EN_HAZ_GENGDP,Norway,0.00405
2020,EN_HAZ_GENGDP,Norway,0.00462
2004,EN_HAZ_GENGDP,Poland,0.00511
2006,EN_HAZ_GENGDP,Poland,0.00687
2008,EN_HAZ_GENGDP,Poland,0.0038
2010,EN_HAZ_GENGDP,Poland,0.00365
2012,EN_HAZ_GENGDP,Poland,0.00398
2014,EN_HAZ_GENGDP,Poland,0.00368
2016,EN_HAZ_GENGDP,Poland,0.0039
2018,EN_HAZ_GENGDP,Poland,0.00695
2020,EN_HAZ_GENGDP,Poland,0.00403
2004,EN_HAZ_GENGDP,Portugal,0.0113
2006,EN_HAZ_GENGDP,Portugal,0.02956
2008,EN_HAZ_GENGDP,Portugal,0.00268
2010,EN_HAZ_GENGDP,Portugal,0.00328
2012,EN_HAZ_GENGDP,Portugal,0.00374
2014,EN_HAZ_GENGDP,Portugal,0.00377
2016,EN_HAZ_GENGDP,Portugal,0.0041
2018,EN_HAZ_GENGDP,Portugal,0.00515
2020,EN_HAZ_GENGDP,Portugal,0.00459
2004,EN_HAZ_GENGDP,Romania,0.0178
2006,EN_HAZ_GENGDP,Romania,0.00724
2008,EN_HAZ_GENGDP,Romania,0.00311
2010,EN_HAZ_GENGDP,Romania,0.00449
2012,EN_HAZ_GENGDP,Romania,0.00417
2014,EN_HAZ_GENGDP,Romania,0.00342
2016,EN_HAZ_GENGDP,Romania,0.00342
2018,EN_HAZ_GENGDP,Romania,0.00351
2020,EN_HAZ_GENGDP,Romania,0.00369
2008,EN_HAZ_GENGDP,Serbia,0.21495
2009,EN_HAZ_GENGDP,Serbia,0.26607
2010,EN_HAZ_GENGDP,Serbia,0.29403
2011,EN_HAZ_GENGDP,Serbia,0.33037
2000,EN_HAZ_GENGDP,Azerbaijan,0.00226
2001,EN_HAZ_GENGDP,Azerbaijan,0.00127
2002,EN_HAZ_GENGDP,Azerbaijan,0.00068
2003,EN_HAZ_GENGDP,Azerbaijan,0.00169
2004,EN_HAZ_GENGDP,Azerbaijan,0.00064
2005,EN_HAZ_GENGDP,Azerbaijan,0.00058
2006,EN_HAZ_GENGDP,Azerbaijan,0.001
2007,EN_HAZ_GENGDP,Azerbaijan,0.00028
2008,EN_HAZ_GENGDP,Azerbaijan,0.00059
2009,EN_HAZ_GENGDP,Azerbaijan,0.00293
2010,EN_HAZ_GENGDP,Azerbaijan,0.00296
2011,EN_HAZ_GENGDP,Azerbaijan,0.00393
2012,EN_HAZ_GENGDP,Azerbaijan,0.00615
2013,EN_HAZ_GENGDP,Azerbaijan,0.00397
2014,EN_HAZ_GENGDP,Azerbaijan,0.0087
2015,EN_HAZ_GENGDP,Azerbaijan,0.00361
2016,EN_HAZ_GENGDP,Azerbaijan,0.01223
2017,EN_HAZ_GENGDP,Azerbaijan,0.00364
2018,EN_HAZ_GENGDP,Azerbaijan,0.00611
2019,EN_HAZ_GENGDP,Azerbaijan,0.00555
2012,EN_HAZ_GENGDP,Serbia,0.37582
2013,EN_HAZ_GENGDP,Serbia,0.42349
2014,EN_HAZ_GENGDP,Serbia,0.34594
2015,EN_HAZ_GENGDP,Serbia,0.41788
2016,EN_HAZ_GENGDP,Serbia,0.42046
2018,EN_HAZ_GENGDP,Serbia,0.3512
2020,EN_HAZ_GENGDP,Serbia,0.25115
2004,EN_HAZ_GENGDP,Slovakia,0.00734
2006,EN_HAZ_GENGDP,Slovakia,0.008
2008,EN_HAZ_GENGDP,Slovakia,0.00677
2020,EN_HAZ_GENGDP,Azerbaijan,0.00553
2004,EN_HAZ_GENGDP,Austria,0.00305
2006,EN_HAZ_GENGDP,Austria,0.00274
2008,EN_HAZ_GENGDP,Austria,0.0036
2010,EN_HAZ_GENGDP,Austria,0.00407
2012,EN_HAZ_GENGDP,Austria,0.00284
2014,EN_HAZ_GENGDP,Austria,0.00337
2016,EN_HAZ_GENGDP,Austria,0.00324
2018,EN_HAZ_GENGDP,Austria,0.00322
2020,EN_HAZ_GENGDP,Austria,0.00332
2010,EN_HAZ_GENGDP,Slovakia,0.00529
2012,EN_HAZ_GENGDP,Slovakia,0.00453
2014,EN_HAZ_GENGDP,Slovakia,0.00439
2016,EN_HAZ_GENGDP,Slovakia,0.00548
2018,EN_HAZ_GENGDP,Slovakia,0.00464
2020,EN_HAZ_GENGDP,Slovakia,0.00454
2004,EN_HAZ_GENGDP,Slovenia,0.00291
2006,EN_HAZ_GENGDP,Slovenia,0.00286
2008,EN_HAZ_GENGDP,Slovenia,0.00339
2010,EN_HAZ_GENGDP,Slovenia,0.00278
2012,EN_HAZ_GENGDP,Slovenia,0.00322
2014,EN_HAZ_GENGDP,Slovenia,0.00368
2016,EN_HAZ_GENGDP,Slovenia,0.00278
2018,EN_HAZ_GENGDP,Slovenia,0.00265
2020,EN_HAZ_GENGDP,Slovenia,0.00275
2004,EN_HAZ_GENGDP,Spain,0.00283
2006,EN_HAZ_GENGDP,Spain,0.00339
2008,EN_HAZ_GENGDP,Spain,0.00294
2010,EN_HAZ_GENGDP,Spain,0.0025
2012,EN_HAZ_GENGDP,Spain,0.0027
2000,EN_HAZ_GENGDP,Armenia,0.09788
2001,EN_HAZ_GENGDP,Armenia,0.08792
2002,EN_HAZ_GENGDP,Armenia,0.07691
2003,EN_HAZ_GENGDP,Armenia,0.06141
2004,EN_HAZ_GENGDP,Armenia,0.05677
2005,EN_HAZ_GENGDP,Armenia,0.04914
2006,EN_HAZ_GENGDP,Armenia,0.04415
2007,EN_HAZ_GENGDP,Armenia,0.03992
2008,EN_HAZ_GENGDP,Armenia,0.04505
2009,EN_HAZ_GENGDP,Armenia,0.05293
2010,EN_HAZ_GENGDP,Armenia,0.05112
2011,EN_HAZ_GENGDP,Armenia,0.05193
2012,EN_HAZ_GENGDP,Armenia,0.04926
2013,EN_HAZ_GENGDP,Armenia,0.05871
2014,EN_HAZ_GENGDP,Armenia,0.05639
2015,EN_HAZ_GENGDP,Armenia,0.0526
2016,EN_HAZ_GENGDP,Armenia,0.05822
2017,EN_HAZ_GENGDP,Armenia,0.04731
