Year,SeriesCode,Страна ,Value
2014,EN_HAZ_TRTDISV,Albania,0.0
2000,EN_HAZ_TRTDISV,Azerbaijan,26783.0
2001,EN_HAZ_TRTDISV,Azerbaijan,4927.0
2002,EN_HAZ_TRTDISV,Azerbaijan,3342.0
2003,EN_HAZ_TRTDISV,Azerbaijan,11492.0
2004,EN_HAZ_TRTDISV,Azerbaijan,105165.0
2005,EN_HAZ_TRTDISV,Azerbaijan,5571.0
2006,EN_HAZ_TRTDISV,Azerbaijan,1435482.0
2007,EN_HAZ_TRTDISV,Azerbaijan,7677.0
2008,EN_HAZ_TRTDISV,Azerbaijan,69180.0
2009,EN_HAZ_TRTDISV,Azerbaijan,173658.0938
2010,EN_HAZ_TRTDISV,Azerbaijan,151291.9062
2011,EN_HAZ_TRTDISV,Azerbaijan,138281.5
2012,EN_HAZ_TRTDISV,Azerbaijan,205211.2031
2013,EN_HAZ_TRTDISV,Azerbaijan,152446.0
2014,EN_HAZ_TRTDISV,Azerbaijan,529106.5
2015,EN_HAZ_TRTDISV,Azerbaijan,382998.0
2016,EN_HAZ_TRTDISV,Azerbaijan,707768.0
2017,EN_HAZ_TRTDISV,Azerbaijan,216837.0
2018,EN_HAZ_TRTDISV,Azerbaijan,283600.0
2019,EN_HAZ_TRTDISV,Azerbaijan,254450.0
2020,EN_HAZ_TRTDISV,Azerbaijan,296370.0
2021,EN_HAZ_TRTDISV,Azerbaijan,299042.0
2004,EN_HAZ_TRTDISV,Austria,861967.0
2006,EN_HAZ_TRTDISV,Austria,335042.0
2008,EN_HAZ_TRTDISV,Austria,395221.0
2010,EN_HAZ_TRTDISV,Austria,401082.0
2012,EN_HAZ_TRTDISV,Austria,338860.0
2014,EN_HAZ_TRTDISV,Austria,440136.0
2016,EN_HAZ_TRTDISV,Austria,448518.0
2018,EN_HAZ_TRTDISV,Austria,458489.0
2020,EN_HAZ_TRTDISV,Austria,402927.0
2000,EN_HAZ_TRTDISV,Armenia,381578.0
2001,EN_HAZ_TRTDISV,Armenia,375500.0
2002,EN_HAZ_TRTDISV,Armenia,377900.0
2003,EN_HAZ_TRTDISV,Armenia,344095.0
2004,EN_HAZ_TRTDISV,Armenia,351400.0
2005,EN_HAZ_TRTDISV,Armenia,346325.0
2006,EN_HAZ_TRTDISV,Armenia,352279.0
2007,EN_HAZ_TRTDISV,Armenia,362275.0
2008,EN_HAZ_TRTDISV,Armenia,437258.53125
2009,EN_HAZ_TRTDISV,Armenia,441023.5625
2010,EN_HAZ_TRTDISV,Armenia,435397.78125
2011,EN_HAZ_TRTDISV,Armenia,462895.8125
2012,EN_HAZ_TRTDISV,Armenia,470505.6875
