Year,SeriesCode,Страна ,Value
2020,EN_MWT_GENV,Romania,5588000.0
2021,EN_MWT_GENV,Romania,5768000.0
2006,EN_MWT_GENV,Serbia,1730000.0
2007,EN_MWT_GENV,Serbia,2067000.0
2008,EN_MWT_GENV,Serbia,2550000.0
2009,EN_MWT_GENV,Serbia,2636000.0
2010,EN_MWT_GENV,Serbia,2650000.0
2011,EN_MWT_GENV,Serbia,2710000.0
2012,EN_MWT_GENV,Serbia,2620000.0
2013,EN_MWT_GENV,Serbia,2410000.0
2014,EN_MWT_GENV,Serbia,2130000.0
2015,EN_MWT_GENV,Serbia,1840000.0
2016,EN_MWT_GENV,Serbia,1890000.0
2017,EN_MWT_GENV,Serbia,2150000.0
2018,EN_MWT_GENV,Serbia,2230000.0
2019,EN_MWT_GENV,Serbia,2350000.0
2020,EN_MWT_GENV,Serbia,2947000.0
2000,EN_MWT_GENV,Slovakia,1369000.0
2001,EN_MWT_GENV,Slovakia,1286000.0
2002,EN_MWT_GENV,Slovakia,1449000.0
2003,EN_MWT_GENV,Slovakia,1511000.0
2004,EN_MWT_GENV,Slovakia,1400000.0
2005,EN_MWT_GENV,Slovakia,1468000.0
2006,EN_MWT_GENV,Slovakia,1524000.0
2007,EN_MWT_GENV,Slovakia,1579000.0
2008,EN_MWT_GENV,Slovakia,1686000.0
2009,EN_MWT_GENV,Slovakia,1654000.0
2010,EN_MWT_GENV,Slovakia,1719000.0
2011,EN_MWT_GENV,Slovakia,1679000.0
2012,EN_MWT_GENV,Slovakia,1657000.0
2013,EN_MWT_GENV,Slovakia,1645000.0
2014,EN_MWT_GENV,Slovakia,1733000.0
2015,EN_MWT_GENV,Slovakia,1784000.0
2016,EN_MWT_GENV,Slovakia,1890000.0
2017,EN_MWT_GENV,Slovakia,2058000.0
2018,EN_MWT_GENV,Slovakia,2254000.0
2019,EN_MWT_GENV,Slovakia,2299000.0
2020,EN_MWT_GENV,Slovakia,2612000.0
2021,EN_MWT_GENV,Slovakia,2702000.0
2000,EN_MWT_GENV,Slovenia,1020000.0
2001,EN_MWT_GENV,Slovenia,953000.0
2002,EN_MWT_GENV,Slovenia,812000.0
2003,EN_MWT_GENV,Slovenia,834000.0
2004,EN_MWT_GENV,Slovenia,969000.0
2005,EN_MWT_GENV,Slovenia,989000.0
2006,EN_MWT_GENV,Slovenia,1036000.0
2007,EN_MWT_GENV,Slovenia,1060000.0
2008,EN_MWT_GENV,Slovenia,1095000.0
2009,EN_MWT_GENV,Slovenia,1069000.0
2010,EN_MWT_GENV,Slovenia,1004000.0
2011,EN_MWT_GENV,Slovenia,852000.0
2012,EN_MWT_GENV,Slovenia,744000.0
2013,EN_MWT_GENV,Slovenia,853000.0
2014,EN_MWT_GENV,Slovenia,892000.0
2015,EN_MWT_GENV,Slovenia,926000.0
2016,EN_MWT_GENV,Slovenia,943000.0
2017,EN_MWT_GENV,Slovenia,974000.0
2018,EN_MWT_GENV,Slovenia,1009000.0
2019,EN_MWT_GENV,Slovenia,1052000.0
2020,EN_MWT_GENV,Slovenia,1024000.0
2021,EN_MWT_GENV,Slovenia,1077000.0
2000,EN_MWT_GENV,Spain,26505000.0
2001,EN_MWT_GENV,Spain,26616000.0
2002,EN_MWT_GENV,Spain,26404000.0
2003,EN_MWT_GENV,Spain,27270000.0
2004,EN_MWT_GENV,Spain,25746000.0
2005,EN_MWT_GENV,Spain,25683000.0
2006,EN_MWT_GENV,Spain,26209000.0
2007,EN_MWT_GENV,Spain,26154000.0
2008,EN_MWT_GENV,Spain,25317000.0
2009,EN_MWT_GENV,Spain,25108000.0
2010,EN_MWT_GENV,Spain,23774000.0
2011,EN_MWT_GENV,Spain,22672000.0
2012,EN_MWT_GENV,Spain,21896000.0
2013,EN_MWT_GENV,Spain,21184000.0
2014,EN_MWT_GENV,Spain,20836000.0
2015,EN_MWT_GENV,Spain,21158000.0
2016,EN_MWT_GENV,Spain,21542000.0
2017,EN_MWT_GENV,Spain,22018000.0
2018,EN_MWT_GENV,Spain,22229000.0
2019,EN_MWT_GENV,Spain,22262000.0
2020,EN_MWT_GENV,Spain,21989000.0
2021,EN_MWT_GENV,Spain,22374000.0
2000,EN_MWT_GENV,Sweden,3773000.0
2001,EN_MWT_GENV,Sweden,3907000.0
2002,EN_MWT_GENV,Sweden,4149000.0
2003,EN_MWT_GENV,Sweden,4159000.0
2004,EN_MWT_GENV,Sweden,4143000.0
2005,EN_MWT_GENV,Sweden,4321000.0
2006,EN_MWT_GENV,Sweden,4461000.0
2013,EN_MWT_GENV,Albania,940000.0
2014,EN_MWT_GENV,Albania,1229000.0
2015,EN_MWT_GENV,Albania,1413000.0
2016,EN_MWT_GENV,Albania,1300000.0
2017,EN_MWT_GENV,Albania,1254000.0
2018,EN_MWT_GENV,Albania,1325000.0
2019,EN_MWT_GENV,Albania,1087000.0
2020,EN_MWT_GENV,Albania,1048000.0
2021,EN_MWT_GENV,Albania,875000.0
2000,EN_MWT_GENV,Austria,4646000.0
2001,EN_MWT_GENV,Austria,4634000.0
2002,EN_MWT_GENV,Austria,4914000.0
2003,EN_MWT_GENV,Austria,4932000.0
2004,EN_MWT_GENV,Austria,4687000.0
2005,EN_MWT_GENV,Austria,4732000.0
2006,EN_MWT_GENV,Austria,4933000.0
2007,EN_MWT_GENV,Austria,4951000.0
2008,EN_MWT_GENV,Austria,4997000.0
2009,EN_MWT_GENV,Austria,4921000.0
2010,EN_MWT_GENV,Austria,4701000.0
2011,EN_MWT_GENV,Austria,4807000.0
2012,EN_MWT_GENV,Austria,4883000.0
2013,EN_MWT_GENV,Austria,4905000.0
2014,EN_MWT_GENV,Austria,4833000.0
2015,EN_MWT_GENV,Austria,4836000.0
2016,EN_MWT_GENV,Austria,4928000.0
2017,EN_MWT_GENV,Austria,5018000.0
2018,EN_MWT_GENV,Austria,5119000.0
