Year,SeriesCode,Страна ,Value
2000,EN_MWT_IMP,Montenegro,0.0
2006,EN_MWT_IMP,Serbia,0.0
2007,EN_MWT_IMP,Serbia,0.0
2008,EN_MWT_IMP,Serbia,0.0
2009,EN_MWT_IMP,Serbia,0.0
2010,EN_MWT_IMP,Serbia,0.0
2011,EN_MWT_IMP,Serbia,0.0
2012,EN_MWT_IMP,Serbia,0.0
2013,EN_MWT_IMP,Serbia,0.0
2014,EN_MWT_IMP,Serbia,0.0
2015,EN_MWT_IMP,Serbia,0.0
2010,EN_MWT_IMP,Ukraine,1300.0
2011,EN_MWT_IMP,Ukraine,900.0
2012,EN_MWT_IMP,Ukraine,0.0
2013,EN_MWT_IMP,Ukraine,600.0
2013,EN_MWT_IMP,Albania,0.0
2014,EN_MWT_IMP,Albania,0.0
2015,EN_MWT_IMP,Albania,0.0
2012,EN_MWT_IMP,Colombia,661243.042
2013,EN_MWT_IMP,Colombia,497324.219
2014,EN_MWT_IMP,Colombia,449998.444
2015,EN_MWT_IMP,Colombia,534682.495
2016,EN_MWT_IMP,Colombia,487727.173
2000,EN_MWT_IMP,Liechtenstein,0.0
2001,EN_MWT_IMP,Liechtenstein,0.0
2002,EN_MWT_IMP,Liechtenstein,0.0
2003,EN_MWT_IMP,Liechtenstein,0.0
2004,EN_MWT_IMP,Liechtenstein,0.0
2005,EN_MWT_IMP,Liechtenstein,0.0
2006,EN_MWT_IMP,Liechtenstein,0.0
2007,EN_MWT_IMP,Liechtenstein,0.0
2008,EN_MWT_IMP,Liechtenstein,0.0
2009,EN_MWT_IMP,Liechtenstein,0.0
2010,EN_MWT_IMP,Liechtenstein,0.0
2011,EN_MWT_IMP,Liechtenstein,0.0
2012,EN_MWT_IMP,Liechtenstein,0.0
2013,EN_MWT_IMP,Liechtenstein,0.0
2014,EN_MWT_IMP,Liechtenstein,0.0
2015,EN_MWT_IMP,Liechtenstein,0.0
2016,EN_MWT_IMP,Liechtenstein,0.0
2017,EN_MWT_IMP,Liechtenstein,0.0
2018,EN_MWT_IMP,Liechtenstein,0.0
2019,EN_MWT_IMP,Liechtenstein,0.0
2014,EN_MWT_IMP,Ukraine,500.0
2015,EN_MWT_IMP,Ukraine,200.0
2016,EN_MWT_IMP,Ukraine,300.0
2017,EN_MWT_IMP,Ukraine,300.0
2018,EN_MWT_IMP,Ukraine,300.0
2019,EN_MWT_IMP,Ukraine,600.0
2005,EN_MWT_IMP,North Macedonia,0.0
2008,EN_MWT_IMP,North Macedonia,0.0
2009,EN_MWT_IMP,North Macedonia,0.0
2009,EN_MWT_IMP,North Macedonia,0.0
