Year,SeriesCode,Страна ,Value
2018,VC_DSR_PDLN,Albania,20
2018,VC_DSR_PDLN,Austria,2
2019,VC_DSR_PDLN,Armenia,0
2020,VC_DSR_PDLN,Armenia,0
2021,VC_DSR_PDLN,Armenia,0
2005,VC_DSR_PDLN,Bulgaria,337
2006,VC_DSR_PDLN,Bulgaria,20
2007,VC_DSR_PDLN,Bulgaria,0
2009,VC_DSR_PDLN,Bulgaria,0
2010,VC_DSR_PDLN,Bulgaria,12
2011,VC_DSR_PDLN,Bulgaria,0
2012,VC_DSR_PDLN,Bulgaria,96
2013,VC_DSR_PDLN,Bulgaria,0
2014,VC_DSR_PDLN,Bulgaria,16
2015,VC_DSR_PDLN,Bulgaria,33
2016,VC_DSR_PDLN,Bulgaria,20
2017,VC_DSR_PDLN,Bulgaria,138
2018,VC_DSR_PDLN,Bulgaria,48
2019,VC_DSR_PDLN,Bulgaria,2
2021,VC_DSR_PDLN,Bulgaria,155
2015,VC_DSR_PDLN,Belarus,0
2016,VC_DSR_PDLN,Belarus,0
2017,VC_DSR_PDLN,Belarus,0
2018,VC_DSR_PDLN,Belarus,0
2019,VC_DSR_PDLN,Belarus,0
2020,VC_DSR_PDLN,Belarus,0
2021,VC_DSR_PDLN,Belarus,0
2009,VC_DSR_PDLN,Chile,0
2013,VC_DSR_PDLN,Chile,0
2018,VC_DSR_PDLN,Chile,0
2015,VC_DSR_PDLN,China,6444231
2016,VC_DSR_PDLN,China,9101245
2017,VC_DSR_PDLN,China,5253216
2018,VC_DSR_PDLN,China,5244931
2019,VC_DSR_PDLN,China,5286411
2020,VC_DSR_PDLN,China,5891000
2005,VC_DSR_PDLN,Colombia,0
2010,VC_DSR_PDLN,Colombia,891945
2011,VC_DSR_PDLN,Colombia,891945
2014,VC_DSR_PDLN,Colombia,5890
2015,VC_DSR_PDLN,Colombia,31350
2016,VC_DSR_PDLN,Colombia,437630
2017,VC_DSR_PDLN,Colombia,121420
2018,VC_DSR_PDLN,Colombia,72145
2020,VC_DSR_PDLN,Colombia,0
2021,VC_DSR_PDLN,Colombia,550436
2005,VC_DSR_PDLN,Costa Rica,0
2006,VC_DSR_PDLN,Costa Rica,0
2007,VC_DSR_PDLN,Costa Rica,0
2008,VC_DSR_PDLN,Costa Rica,0
2009,VC_DSR_PDLN,Costa Rica,0
2010,VC_DSR_PDLN,Costa Rica,0
2011,VC_DSR_PDLN,Costa Rica,0
2012,VC_DSR_PDLN,Costa Rica,0
2013,VC_DSR_PDLN,Costa Rica,0
2014,VC_DSR_PDLN,Costa Rica,0
2015,VC_DSR_PDLN,Costa Rica,1457
2016,VC_DSR_PDLN,Costa Rica,8808
2017,VC_DSR_PDLN,Costa Rica,21697
2018,VC_DSR_PDLN,Costa Rica,0
2019,VC_DSR_PDLN,Costa Rica,12615
2020,VC_DSR_PDLN,Costa Rica,994
2021,VC_DSR_PDLN,Costa Rica,9588
2005,VC_DSR_PDLN,Cyprus,29
2006,VC_DSR_PDLN,Cyprus,16
2007,VC_DSR_PDLN,Cyprus,34
2008,VC_DSR_PDLN,Cyprus,1
2009,VC_DSR_PDLN,Cyprus,308
2010,VC_DSR_PDLN,Cyprus,76
2011,VC_DSR_PDLN,Cyprus,322
2012,VC_DSR_PDLN,Cyprus,5
2013,VC_DSR_PDLN,Cyprus,1
2014,VC_DSR_PDLN,Cyprus,722
2015,VC_DSR_PDLN,Cyprus,88
2016,VC_DSR_PDLN,Cyprus,1
2015,VC_DSR_PDLN,Czechia,0
2016,VC_DSR_PDLN,Czechia,0
2017,VC_DSR_PDLN,Czechia,0
2015,VC_DSR_PDLN,Denmark,0
2016,VC_DSR_PDLN,Denmark,0
2017,VC_DSR_PDLN,Denmark,0
2018,VC_DSR_PDLN,Denmark,0
2019,VC_DSR_PDLN,Denmark,0
2020,VC_DSR_PDLN,Denmark,0
2005,VC_DSR_PDLN,Estonia,0
2006,VC_DSR_PDLN,Estonia,0
2007,VC_DSR_PDLN,Estonia,0
2008,VC_DSR_PDLN,Estonia,0
2009,VC_DSR_PDLN,Estonia,0
2010,VC_DSR_PDLN,Estonia,0
2011,VC_DSR_PDLN,Estonia,0
2012,VC_DSR_PDLN,Estonia,0
2013,VC_DSR_PDLN,Estonia,0
2014,VC_DSR_PDLN,Estonia,0
2015,VC_DSR_PDLN,Estonia,0
2016,VC_DSR_PDLN,Estonia,0
2017,VC_DSR_PDLN,Estonia,0
2018,VC_DSR_PDLN,Estonia,0
2005,VC_DSR_PDLN,Finland,0
2006,VC_DSR_PDLN,Finland,0
2007,VC_DSR_PDLN,Finland,0
2008,VC_DSR_PDLN,Finland,0
2009,VC_DSR_PDLN,Finland,0
2010,VC_DSR_PDLN,Finland,0
2011,VC_DSR_PDLN,Finland,0
2012,VC_DSR_PDLN,Finland,0
2013,VC_DSR_PDLN,Finland,0
2014,VC_DSR_PDLN,Finland,0
2015,VC_DSR_PDLN,Finland,0
2016,VC_DSR_PDLN,Finland,0
2017,VC_DSR_PDLN,Finland,0
2018,VC_DSR_PDLN,Finland,0
2019,VC_DSR_PDLN,Finland,0
2005,VC_DSR_PDLN,Georgia,0
2006,VC_DSR_PDLN,Georgia,0
2007,VC_DSR_PDLN,Georgia,0
2008,VC_DSR_PDLN,Georgia,0
2009,VC_DSR_PDLN,Georgia,0
2010,VC_DSR_PDLN,Georgia,0
2011,VC_DSR_PDLN,Georgia,0
2012,VC_DSR_PDLN,Georgia,0
2013,VC_DSR_PDLN,Georgia,0
2014,VC_DSR_PDLN,Georgia,0
2015,VC_DSR_PDLN,Georgia,0
2016,VC_DSR_PDLN,Georgia,0
2017,VC_DSR_PDLN,Georgia,0
2018,VC_DSR_PDLN,Georgia,0
2019,VC_DSR_PDLN,Georgia,0
2020,VC_DSR_PDLN,Georgia,64
2021,VC_DSR_PDLN,Georgia,0
2020,VC_DSR_PDLN,Hungary,0
2021,VC_DSR_PDLN,Hungary,0
2015,VC_DSR_PDLN,Ireland,0
2016,VC_DSR_PDLN,Ireland,606
2019,VC_DSR_PDLN,Japan,0
2005,VC_DSR_PDLN,Казахстан,0
2006,VC_DSR_PDLN,Казахстан,0
2007,VC_DSR_PDLN,Казахстан,0
2008,VC_DSR_PDLN,Казахстан,0
2009,VC_DSR_PDLN,Казахстан,0
2010,VC_DSR_PDLN,Казахстан,0
2011,VC_DSR_PDLN,Казахстан,0
2012,VC_DSR_PDLN,Казахстан,0
2013,VC_DSR_PDLN,Казахстан,0
2014,VC_DSR_PDLN,Казахстан,0
2015,VC_DSR_PDLN,Казахстан,0
2016,VC_DSR_PDLN,Казахстан,0
2017,VC_DSR_PDLN,Казахстан,10509
2018,VC_DSR_PDLN,Казахстан,5812
2019,VC_DSR_PDLN,Казахстан,52
2020,VC_DSR_PDLN,Казахстан,6526
2005,VC_DSR_PDLN,Кыргызстан,1339
2006,VC_DSR_PDLN,Кыргызстан,563
2007,VC_DSR_PDLN,Кыргызстан,596
2008,VC_DSR_PDLN,Кыргызстан,4000
2009,VC_DSR_PDLN,Кыргызстан,2501
2010,VC_DSR_PDLN,Кыргызстан,13887
2011,VC_DSR_PDLN,Кыргызстан,2144
2012,VC_DSR_PDLN,Кыргызстан,809
2013,VC_DSR_PDLN,Кыргызстан,1760
2014,VC_DSR_PDLN,Кыргызстан,2818
2015,VC_DSR_PDLN,Кыргызстан,184
2016,VC_DSR_PDLN,Кыргызстан,507
2017,VC_DSR_PDLN,Кыргызстан,1001
2018,VC_DSR_PDLN,Кыргызстан,75
2019,VC_DSR_PDLN,Кыргызстан,140
2020,VC_DSR_PDLN,Кыргызстан,109
2020,VC_DSR_PDLN,Lithuania,105329
2021,VC_DSR_PDLN,Lithuania,105652
2012,VC_DSR_PDLN,Mexico,0
2016,VC_DSR_PDLN,Mexico,0
2019,VC_DSR_PDLN,Mexico,0
2020,VC_DSR_PDLN,Mexico,0
2021,VC_DSR_PDLN,Mexico,0
2005,VC_DSR_PDLN,Montenegro,0
2006,VC_DSR_PDLN,Montenegro,0
2007,VC_DSR_PDLN,Montenegro,0
2008,VC_DSR_PDLN,Montenegro,0
2009,VC_DSR_PDLN,Montenegro,11
2010,VC_DSR_PDLN,Montenegro,553
2011,VC_DSR_PDLN,Montenegro,7
2012,VC_DSR_PDLN,Montenegro,0
2013,VC_DSR_PDLN,Montenegro,0
2014,VC_DSR_PDLN,Montenegro,0
2015,VC_DSR_PDLN,Montenegro,0
2016,VC_DSR_PDLN,Montenegro,0
2017,VC_DSR_PDLN,Montenegro,15
2018,VC_DSR_PDLN,Montenegro,32
2020,VC_DSR_PDLN,Montenegro,0
2021,VC_DSR_PDLN,Montenegro,0
2017,VC_DSR_PDLN,Netherlands (Kingdom of the),0
2019,VC_DSR_PDLN,Netherlands (Kingdom of the),0
2017,VC_DSR_PDLN,Norway,4262
2018,VC_DSR_PDLN,Poland,0
2005,VC_DSR_PDLN,Romania,45130
2006,VC_DSR_PDLN,Romania,4505
2007,VC_DSR_PDLN,Romania,3320
2008,VC_DSR_PDLN,Romania,4678
2009,VC_DSR_PDLN,Romania,2044
2010,VC_DSR_PDLN,Romania,15347
2011,VC_DSR_PDLN,Romania,5255
2012,VC_DSR_PDLN,Romania,1637
2013,VC_DSR_PDLN,Romania,1500
2014,VC_DSR_PDLN,Romania,2029
2015,VC_DSR_PDLN,Romania,700
2016,VC_DSR_PDLN,Romania,4919
2017,VC_DSR_PDLN,Romania,1225
2018,VC_DSR_PDLN,Romania,34192
2019,VC_DSR_PDLN,Romania,2250
2020,VC_DSR_PDLN,Romania,2485
2021,VC_DSR_PDLN,Romania,55004
2005,VC_DSR_PDLN,Serbia,10192
2006,VC_DSR_PDLN,Serbia,32447
2007,VC_DSR_PDLN,Serbia,16852
2008,VC_DSR_PDLN,Serbia,7411
2009,VC_DSR_PDLN,Serbia,25845
2010,VC_DSR_PDLN,Serbia,74262
2011,VC_DSR_PDLN,Serbia,129109
2012,VC_DSR_PDLN,Serbia,148660
2013,VC_DSR_PDLN,Serbia,13200
2014,VC_DSR_PDLN,Serbia,181787
2015,VC_DSR_PDLN,Serbia,21544
2016,VC_DSR_PDLN,Serbia,2319
2017,VC_DSR_PDLN,Serbia,898
2018,VC_DSR_PDLN,Serbia,15038
2019,VC_DSR_PDLN,Serbia,9
