Year,SeriesCode,Страна ,Value
2010,AG_LND_FRSTCHG,Albania,0.16
2020,AG_LND_FRSTCHG,Albania,0.09
2010,AG_LND_FRSTCHG,Azerbaijan,0.45
2020,AG_LND_FRSTCHG,Azerbaijan,0.92
2010,AG_LND_FRSTCHG,Australia,-0.17
2020,AG_LND_FRSTCHG,Australia,0.34
2010,AG_LND_FRSTCHG,Austria,0.06
2020,AG_LND_FRSTCHG,Austria,0.09
2010,AG_LND_FRSTCHG,Armenia,-0.06
2020,AG_LND_FRSTCHG,Armenia,-0.06
2010,AG_LND_FRSTCHG,Belgium,0.33
2020,AG_LND_FRSTCHG,Belgium,-0.01
2010,AG_LND_FRSTCHG,Bosnia and Herzegovina,-0.04
2020,AG_LND_FRSTCHG,Bosnia and Herzegovina,0.4
2010,AG_LND_FRSTCHG,Bulgaria,1.02
2020,AG_LND_FRSTCHG,Bulgaria,0.41
2010,AG_LND_FRSTCHG,Belarus,0.42
2020,AG_LND_FRSTCHG,Belarus,0.16
2010,AG_LND_FRSTCHG,Canada,-0.01
2020,AG_LND_FRSTCHG,Canada,-0.01
2010,AG_LND_FRSTCHG,Chile,0.56
2020,AG_LND_FRSTCHG,Chile,0.86
2010,AG_LND_FRSTCHG,China,1.26
2020,AG_LND_FRSTCHG,China,0.93
2010,AG_LND_FRSTCHG,Colombia,-0.31
2020,AG_LND_FRSTCHG,Colombia,-0.28
2010,AG_LND_FRSTCHG,Costa Rica,0.05
2020,AG_LND_FRSTCHG,Costa Rica,0.56
2010,AG_LND_FRSTCHG,Croatia,0.18
2020,AG_LND_FRSTCHG,Croatia,0.1
2010,AG_LND_FRSTCHG,Cyprus,0.07
2020,AG_LND_FRSTCHG,Cyprus,-0.02
2010,AG_LND_FRSTCHG,Czechia,0.08
2020,AG_LND_FRSTCHG,Czechia,0.07
2010,AG_LND_FRSTCHG,Denmark,0.26
2020,AG_LND_FRSTCHG,Denmark,0.69
2010,AG_LND_FRSTCHG,Estonia,0.43
2020,AG_LND_FRSTCHG,Estonia,0.43
2010,AG_LND_FRSTCHG,Finland,-0.09
2020,AG_LND_FRSTCHG,Finland,0.07
2010,AG_LND_FRSTCHG,France,0.72
2020,AG_LND_FRSTCHG,France,0.5
2010,AG_LND_FRSTCHG,Georgia,0.22
2020,AG_LND_FRSTCHG,Georgia,0.0
2010,AG_LND_FRSTCHG,Germany,0.05
2020,AG_LND_FRSTCHG,Germany,0.01
2010,AG_LND_FRSTCHG,Greece,0.81
2020,AG_LND_FRSTCHG,Greece,0.0
2010,AG_LND_FRSTCHG,Hungary,0.63
2020,AG_LND_FRSTCHG,Hungary,0.03
2010,AG_LND_FRSTCHG,Iceland,4.12
2020,AG_LND_FRSTCHG,Iceland,1.4
2010,AG_LND_FRSTCHG,India,0.28
2020,AG_LND_FRSTCHG,India,0.38
2010,AG_LND_FRSTCHG,Ireland,1.34
2020,AG_LND_FRSTCHG,Ireland,0.82
2010,AG_LND_FRSTCHG,Israel,0.06
2020,AG_LND_FRSTCHG,Israel,-0.95
2010,AG_LND_FRSTCHG,Italy,0.76
2020,AG_LND_FRSTCHG,Italy,0.58
2010,AG_LND_FRSTCHG,Japan,0.04
2020,AG_LND_FRSTCHG,Japan,-0.01
2010,AG_LND_FRSTCHG,Казахстан,-0.24
2020,AG_LND_FRSTCHG,Казахстан,1.15
2010,AG_LND_FRSTCHG,Republic of Korea,-0.14
2020,AG_LND_FRSTCHG,Republic of Korea,-0.16
2010,AG_LND_FRSTCHG,Кыргызстан,0.41
2020,AG_LND_FRSTCHG,Кыргызстан,0.68
2010,AG_LND_FRSTCHG,Latvia,0.4
2020,AG_LND_FRSTCHG,Latvia,0.11
2010,AG_LND_FRSTCHG,Liechtenstein,0.0
2020,AG_LND_FRSTCHG,Liechtenstein,0.0
2010,AG_LND_FRSTCHG,Lithuania,0.72
2020,AG_LND_FRSTCHG,Lithuania,0.14
2010,AG_LND_FRSTCHG,Luxembourg,0.23
2020,AG_LND_FRSTCHG,Luxembourg,0.0
2010,AG_LND_FRSTCHG,Malta,0.0
2020,AG_LND_FRSTCHG,Malta,2.77
2010,AG_LND_FRSTCHG,Mexico,-0.21
2020,AG_LND_FRSTCHG,Mexico,-0.19
2010,AG_LND_FRSTCHG,Republic of Moldova,0.84
2020,AG_LND_FRSTCHG,Republic of Moldova,0.32
2010,AG_LND_FRSTCHG,Montenegro,2.82
2020,AG_LND_FRSTCHG,Montenegro,0.0
2010,AG_LND_FRSTCHG,Netherlands (Kingdom of the),0.38
2020,AG_LND_FRSTCHG,Netherlands (Kingdom of the),-0.11
2010,AG_LND_FRSTCHG,New Zealand,0.0
2020,AG_LND_FRSTCHG,New Zealand,0.04
2010,AG_LND_FRSTCHG,Norway,-0.01
2020,AG_LND_FRSTCHG,Norway,0.06
2010,AG_LND_FRSTCHG,Poland,0.29
2020,AG_LND_FRSTCHG,Poland,0.16
2010,AG_LND_FRSTCHG,Portugal,-0.09
2020,AG_LND_FRSTCHG,Portugal,0.18
2010,AG_LND_FRSTCHG,Romania,0.23
2020,AG_LND_FRSTCHG,Romania,0.62
2010,AG_LND_FRSTCHG,Serbia,0.98
2020,AG_LND_FRSTCHG,Serbia,0.04
2010,AG_LND_FRSTCHG,Slovakia,0.09
2020,AG_LND_FRSTCHG,Slovakia,0.04
2010,AG_LND_FRSTCHG,Viet Nam,1.28
2020,AG_LND_FRSTCHG,Viet Nam,0.9
2010,AG_LND_FRSTCHG,Slovenia,0.11
2020,AG_LND_FRSTCHG,Slovenia,-0.07
2010,AG_LND_FRSTCHG,Spain,0.82
2020,AG_LND_FRSTCHG,Spain,0.01
2010,AG_LND_FRSTCHG,Sweden,-0.03
2020,AG_LND_FRSTCHG,Sweden,-0.03
2010,AG_LND_FRSTCHG,Switzerland,0.32
2020,AG_LND_FRSTCHG,Switzerland,0.28
2010,AG_LND_FRSTCHG,Таджикистан,0.0
2020,AG_LND_FRSTCHG,Таджикистан,0.33
2010,AG_LND_FRSTCHG,United Arab Emirates,0.25
2020,AG_LND_FRSTCHG,United Arab Emirates,0.0
2010,AG_LND_FRSTCHG,Türkiye,0.46
2020,AG_LND_FRSTCHG,Türkiye,0.53
2010,AG_LND_FRSTCHG,Туркменистан,0.0
2020,AG_LND_FRSTCHG,Туркменистан,0.0
2010,AG_LND_FRSTCHG,Ukraine,0.04
2020,AG_LND_FRSTCHG,Ukraine,0.15
2010,AG_LND_FRSTCHG,North Macedonia,0.03
2020,AG_LND_FRSTCHG,North Macedonia,0.42
2010,AG_LND_FRSTCHG,United Kingdom of Great Britain and Northern Ireland,0.35
2020,AG_LND_FRSTCHG,United Kingdom of Great Britain and Northern Ireland,0.42
2010,AG_LND_FRSTCHG,Узбекистан,1.24
2020,AG_LND_FRSTCHG,Узбекистан,0.97
2020,AG_LND_FRSTCHG,Узбекистан,0.97
