Year,SeriesCode,Страна ,Bioclimatic belt,Value
2000,ER_MTN_TOTL,Albania,REMAIN_MOUNT,221.1
2000,ER_MTN_TOTL,Albania,TOTAL,20267.45
2000,ER_MTN_TOTL,Albania,ALPINE,12.88
2000,ER_MTN_TOTL,Albania,MONTANE,20033.47
2005,ER_MTN_TOTL,Albania,ALPINE,12.88
2005,ER_MTN_TOTL,Albania,TOTAL,20267.45
2005,ER_MTN_TOTL,Albania,MONTANE,20033.47
2005,ER_MTN_TOTL,Albania,REMAIN_MOUNT,221.1
2010,ER_MTN_TOTL,Albania,ALPINE,12.88
2010,ER_MTN_TOTL,Albania,MONTANE,20033.47
2010,ER_MTN_TOTL,Albania,TOTAL,20267.45
2010,ER_MTN_TOTL,Albania,REMAIN_MOUNT,221.1
2000,ER_MTN_TOTL,Казахстан,ALPINE,9143.69
2000,ER_MTN_TOTL,Казахстан,MONTANE,142975.32
2005,ER_MTN_TOTL,Казахстан,MONTANE,142975.32
2005,ER_MTN_TOTL,Казахстан,ALPINE,9143.69
2005,ER_MTN_TOTL,Казахстан,NIVAL,840.33
2005,ER_MTN_TOTL,Казахстан,TOTAL,189795.03
2005,ER_MTN_TOTL,Казахстан,REMAIN_MOUNT,36835.69
2010,ER_MTN_TOTL,Казахстан,ALPINE,9143.69
2010,ER_MTN_TOTL,Казахстан,NIVAL,840.33
2010,ER_MTN_TOTL,Казахстан,REMAIN_MOUNT,36835.69
2010,ER_MTN_TOTL,Казахстан,TOTAL,189795.03
2010,ER_MTN_TOTL,Казахстан,MONTANE,142975.32
2015,ER_MTN_TOTL,Казахстан,MONTANE,142975.32
2015,ER_MTN_TOTL,Казахстан,ALPINE,9143.69
2015,ER_MTN_TOTL,Казахстан,TOTAL,189795.03
2015,ER_MTN_TOTL,Казахстан,REMAIN_MOUNT,36835.69
2015,ER_MTN_TOTL,Казахстан,NIVAL,840.33
2018,ER_MTN_TOTL,Казахстан,TOTAL,189795.03
2018,ER_MTN_TOTL,Казахстан,ALPINE,9143.69
2018,ER_MTN_TOTL,Казахстан,NIVAL,840.33
2018,ER_MTN_TOTL,Казахстан,REMAIN_MOUNT,36835.69
2018,ER_MTN_TOTL,Казахстан,MONTANE,142975.32
2015,ER_MTN_TOTL,Albania,TOTAL,20267.45
2015,ER_MTN_TOTL,Albania,MONTANE,20033.47
2015,ER_MTN_TOTL,Albania,REMAIN_MOUNT,221.1
2015,ER_MTN_TOTL,Albania,ALPINE,12.88
2018,ER_MTN_TOTL,Albania,MONTANE,20033.47
2018,ER_MTN_TOTL,Albania,ALPINE,12.88
2018,ER_MTN_TOTL,Albania,TOTAL,20267.45
2018,ER_MTN_TOTL,Albania,REMAIN_MOUNT,221.1
2000,ER_MTN_TOTL,Azerbaijan,ALPINE,278.74
2000,ER_MTN_TOTL,Azerbaijan,NIVAL,10.57
2000,ER_MTN_TOTL,Azerbaijan,TOTAL,41676.92
2000,ER_MTN_TOTL,Azerbaijan,REMAIN_MOUNT,1834.33
2000,ER_MTN_TOTL,Azerbaijan,MONTANE,39553.28
2005,ER_MTN_TOTL,Azerbaijan,ALPINE,278.74
2005,ER_MTN_TOTL,Azerbaijan,REMAIN_MOUNT,1834.33
2005,ER_MTN_TOTL,Azerbaijan,MONTANE,39553.28
2005,ER_MTN_TOTL,Azerbaijan,NIVAL,10.57
2005,ER_MTN_TOTL,Azerbaijan,TOTAL,41676.92
2010,ER_MTN_TOTL,Azerbaijan,NIVAL,10.57
2010,ER_MTN_TOTL,Azerbaijan,TOTAL,41676.92
2010,ER_MTN_TOTL,Azerbaijan,REMAIN_MOUNT,1834.33
2010,ER_MTN_TOTL,Azerbaijan,MONTANE,39553.28
2010,ER_MTN_TOTL,Azerbaijan,ALPINE,278.74
2015,ER_MTN_TOTL,Azerbaijan,TOTAL,41676.92
2000,ER_MTN_TOTL,Кыргызстан,TOTAL,181264.89
2000,ER_MTN_TOTL,Кыргызстан,ALPINE,32721.52
2000,ER_MTN_TOTL,Кыргызстан,MONTANE,126189.71
2000,ER_MTN_TOTL,Кыргызстан,REMAIN_MOUNT,16379.14
2000,ER_MTN_TOTL,Кыргызстан,NIVAL,5974.52
2005,ER_MTN_TOTL,Кыргызстан,MONTANE,126189.71
2005,ER_MTN_TOTL,Кыргызстан,ALPINE,32721.52
2005,ER_MTN_TOTL,Кыргызстан,NIVAL,5974.52
2005,ER_MTN_TOTL,Кыргызстан,REMAIN_MOUNT,16379.14
2005,ER_MTN_TOTL,Кыргызстан,TOTAL,181264.89
2015,ER_MTN_TOTL,Azerbaijan,MONTANE,39553.28
2015,ER_MTN_TOTL,Azerbaijan,NIVAL,10.57
2015,ER_MTN_TOTL,Azerbaijan,REMAIN_MOUNT,1834.33
2015,ER_MTN_TOTL,Azerbaijan,ALPINE,278.74
2018,ER_MTN_TOTL,Azerbaijan,REMAIN_MOUNT,1834.33
2018,ER_MTN_TOTL,Azerbaijan,MONTANE,39553.28
2018,ER_MTN_TOTL,Azerbaijan,NIVAL,10.57
2018,ER_MTN_TOTL,Azerbaijan,ALPINE,278.74
2018,ER_MTN_TOTL,Azerbaijan,TOTAL,41676.92
2000,ER_MTN_TOTL,Australia,TOTAL,235595.25
2000,ER_MTN_TOTL,Australia,ALPINE,2423.41
2000,ER_MTN_TOTL,Australia,REMAIN_MOUNT,89776.49
2000,ER_MTN_TOTL,Australia,MONTANE,143395.36
2005,ER_MTN_TOTL,Australia,REMAIN_MOUNT,89776.49
2005,ER_MTN_TOTL,Australia,ALPINE,2423.41
2005,ER_MTN_TOTL,Australia,MONTANE,143395.36
2005,ER_MTN_TOTL,Australia,TOTAL,235595.25
2010,ER_MTN_TOTL,Australia,REMAIN_MOUNT,89776.49
2010,ER_MTN_TOTL,Australia,TOTAL,235595.25
2010,ER_MTN_TOTL,Australia,ALPINE,2423.41
2010,ER_MTN_TOTL,Australia,MONTANE,143395.36
2015,ER_MTN_TOTL,Australia,MONTANE,143395.36
2015,ER_MTN_TOTL,Australia,TOTAL,235595.25
2015,ER_MTN_TOTL,Australia,REMAIN_MOUNT,89776.49
2010,ER_MTN_TOTL,Кыргызстан,NIVAL,5974.52
2010,ER_MTN_TOTL,Кыргызстан,TOTAL,181264.89
2010,ER_MTN_TOTL,Кыргызстан,ALPINE,32721.52
2010,ER_MTN_TOTL,Кыргызстан,REMAIN_MOUNT,16379.14
2010,ER_MTN_TOTL,Кыргызстан,MONTANE,126189.71
2015,ER_MTN_TOTL,Кыргызстан,ALPINE,32721.52
2015,ER_MTN_TOTL,Кыргызстан,NIVAL,5974.52
2015,ER_MTN_TOTL,Кыргызстан,TOTAL,181264.89
2015,ER_MTN_TOTL,Кыргызстан,REMAIN_MOUNT,16379.14
2015,ER_MTN_TOTL,Кыргызстан,MONTANE,126189.71
2018,ER_MTN_TOTL,Кыргызстан,REMAIN_MOUNT,16379.14
2018,ER_MTN_TOTL,Кыргызстан,TOTAL,181264.89
2015,ER_MTN_TOTL,Australia,ALPINE,2423.41
2018,ER_MTN_TOTL,Australia,ALPINE,2423.41
2018,ER_MTN_TOTL,Australia,REMAIN_MOUNT,89776.49
2018,ER_MTN_TOTL,Australia,TOTAL,235595.25
2018,ER_MTN_TOTL,Australia,MONTANE,143395.36
2000,ER_MTN_TOTL,Austria,ALPINE,5035.4
2000,ER_MTN_TOTL,Austria,MONTANE,51411.39
2000,ER_MTN_TOTL,Austria,NIVAL,3505.33
2000,ER_MTN_TOTL,Austria,TOTAL,59952.12
2005,ER_MTN_TOTL,Austria,NIVAL,3505.33
2005,ER_MTN_TOTL,Austria,MONTANE,51411.39
2005,ER_MTN_TOTL,Austria,ALPINE,5035.4
2005,ER_MTN_TOTL,Austria,TOTAL,59952.12
2010,ER_MTN_TOTL,Austria,NIVAL,3505.33
2010,ER_MTN_TOTL,Austria,ALPINE,5035.4
2010,ER_MTN_TOTL,Austria,TOTAL,59952.12
2010,ER_MTN_TOTL,Austria,MONTANE,51411.39
2015,ER_MTN_TOTL,Austria,NIVAL,3505.33
2015,ER_MTN_TOTL,Austria,TOTAL,59952.12
2015,ER_MTN_TOTL,Austria,MONTANE,51411.39
2015,ER_MTN_TOTL,Austria,ALPINE,5035.4
2018,ER_MTN_TOTL,Austria,MONTANE,51411.39
2018,ER_MTN_TOTL,Austria,ALPINE,5035.4
2018,ER_MTN_TOTL,Austria,NIVAL,3505.33
2018,ER_MTN_TOTL,Кыргызстан,MONTANE,126189.71
2018,ER_MTN_TOTL,Кыргызстан,NIVAL,5974.52
2018,ER_MTN_TOTL,Кыргызстан,ALPINE,32721.52
2000,ER_MTN_TOTL,Liechtenstein,ALPINE,10.14
2000,ER_MTN_TOTL,Liechtenstein,MONTANE,149.84
2000,ER_MTN_TOTL,Liechtenstein,TOTAL,159.97
2005,ER_MTN_TOTL,Liechtenstein,MONTANE,149.84
2005,ER_MTN_TOTL,Liechtenstein,ALPINE,10.14
2005,ER_MTN_TOTL,Liechtenstein,TOTAL,159.97
2010,ER_MTN_TOTL,Liechtenstein,MONTANE,149.84
2010,ER_MTN_TOTL,Liechtenstein,TOTAL,159.97
2010,ER_MTN_TOTL,Liechtenstein,ALPINE,10.14
2018,ER_MTN_TOTL,Austria,TOTAL,59952.12
2000,ER_MTN_TOTL,Belgium,MONTANE,839.21
2000,ER_MTN_TOTL,Belgium,TOTAL,839.21
2005,ER_MTN_TOTL,Belgium,TOTAL,839.21
2005,ER_MTN_TOTL,Belgium,MONTANE,839.21
2010,ER_MTN_TOTL,Belgium,TOTAL,839.21
2010,ER_MTN_TOTL,Belgium,MONTANE,839.21
2015,ER_MTN_TOTL,Belgium,MONTANE,839.21
2015,ER_MTN_TOTL,Belgium,TOTAL,839.21
2018,ER_MTN_TOTL,Belgium,TOTAL,839.21
2018,ER_MTN_TOTL,Belgium,MONTANE,839.21
2000,ER_MTN_TOTL,Bosnia and Herzegovina,MONTANE,38029.51
2000,ER_MTN_TOTL,Bosnia and Herzegovina,REMAIN_MOUNT,24.61
2000,ER_MTN_TOTL,Bosnia and Herzegovina,TOTAL,38054.12
2005,ER_MTN_TOTL,Bosnia and Herzegovina,TOTAL,38054.12
2005,ER_MTN_TOTL,Bosnia and Herzegovina,REMAIN_MOUNT,24.61
2005,ER_MTN_TOTL,Bosnia and Herzegovina,MONTANE,38029.51
2010,ER_MTN_TOTL,Bosnia and Herzegovina,TOTAL,38054.12
2010,ER_MTN_TOTL,Bosnia and Herzegovina,MONTANE,38029.51
