Year,SeriesCode,Страна ,Value
2017,ER_CBD_ABSCLRHS,Albania,1
2021,ER_CBD_ABSCLRHS,Albania,1
2022,ER_CBD_ABSCLRHS,Albania,1
2021,ER_CBD_ABSCLRHS,Azerbaijan,0
2022,ER_CBD_ABSCLRHS,Azerbaijan,0
2021,ER_CBD_ABSCLRHS,Australia,0
2022,ER_CBD_ABSCLRHS,Australia,0
2019,ER_CBD_ABSCLRHS,Austria,1
2021,ER_CBD_ABSCLRHS,Austria,1
2022,ER_CBD_ABSCLRHS,Austria,1
2021,ER_CBD_ABSCLRHS,Armenia,0
2022,ER_CBD_ABSCLRHS,Armenia,0
2019,ER_CBD_ABSCLRHS,Belgium,1
2021,ER_CBD_ABSCLRHS,Belgium,1
2022,ER_CBD_ABSCLRHS,Belgium,1
2021,ER_CBD_ABSCLRHS,Bosnia and Herzegovina,0
2022,ER_CBD_ABSCLRHS,Bosnia and Herzegovina,0
2017,ER_CBD_ABSCLRHS,Bulgaria,1
2021,ER_CBD_ABSCLRHS,Bulgaria,1
2022,ER_CBD_ABSCLRHS,Bulgaria,1
2016,ER_CBD_ABSCLRHS,Belarus,1
2021,ER_CBD_ABSCLRHS,Belarus,1
2022,ER_CBD_ABSCLRHS,Belarus,1
2021,ER_CBD_ABSCLRHS,Canada,0
2022,ER_CBD_ABSCLRHS,Canada,0
2021,ER_CBD_ABSCLRHS,Chile,0
2022,ER_CBD_ABSCLRHS,Chile,0
2021,ER_CBD_ABSCLRHS,China,0
2022,ER_CBD_ABSCLRHS,China,0
2020,ER_CBD_ABSCLRHS,Colombia,1
2021,ER_CBD_ABSCLRHS,Colombia,1
2022,ER_CBD_ABSCLRHS,Colombia,1
2017,ER_CBD_ABSCLRHS,Costa Rica,1
2021,ER_CBD_ABSCLRHS,Costa Rica,1
2022,ER_CBD_ABSCLRHS,Costa Rica,1
2016,ER_CBD_ABSCLRHS,Croatia,1
2021,ER_CBD_ABSCLRHS,Croatia,1
2022,ER_CBD_ABSCLRHS,Croatia,1
2021,ER_CBD_ABSCLRHS,Cyprus,0
2022,ER_CBD_ABSCLRHS,Cyprus,0
2018,ER_CBD_ABSCLRHS,Czechia,1
2021,ER_CBD_ABSCLRHS,Czechia,1
2022,ER_CBD_ABSCLRHS,Czechia,1
2016,ER_CBD_ABSCLRHS,Denmark,1
2021,ER_CBD_ABSCLRHS,Denmark,1
2022,ER_CBD_ABSCLRHS,Denmark,1
2017,ER_CBD_ABSCLRHS,Estonia,1
2021,ER_CBD_ABSCLRHS,Estonia,1
2022,ER_CBD_ABSCLRHS,Estonia,1
2016,ER_CBD_ABSCLRHS,Finland,1
2021,ER_CBD_ABSCLRHS,Finland,1
2022,ER_CBD_ABSCLRHS,Finland,1
2018,ER_CBD_ABSCLRHS,France,1
2021,ER_CBD_ABSCLRHS,France,1
2022,ER_CBD_ABSCLRHS,France,1
2021,ER_CBD_ABSCLRHS,Georgia,0
2022,ER_CBD_ABSCLRHS,Georgia,0
2016,ER_CBD_ABSCLRHS,Germany,1
2021,ER_CBD_ABSCLRHS,Germany,1
2022,ER_CBD_ABSCLRHS,Germany,1
2021,ER_CBD_ABSCLRHS,Greece,0
2022,ER_CBD_ABSCLRHS,Greece,0
2016,ER_CBD_ABSCLRHS,Hungary,1
2021,ER_CBD_ABSCLRHS,Hungary,1
2022,ER_CBD_ABSCLRHS,Hungary,1
2021,ER_CBD_ABSCLRHS,Iceland,0
2022,ER_CBD_ABSCLRHS,Iceland,0
2014,ER_CBD_ABSCLRHS,India,1
2021,ER_CBD_ABSCLRHS,India,1
2022,ER_CBD_ABSCLRHS,India,1
2020,ER_CBD_ABSCLRHS,Ireland,1
2021,ER_CBD_ABSCLRHS,Ireland,1
2022,ER_CBD_ABSCLRHS,Ireland,1
2021,ER_CBD_ABSCLRHS,Israel,0
2022,ER_CBD_ABSCLRHS,Israel,0
2021,ER_CBD_ABSCLRHS,Italy,0
2022,ER_CBD_ABSCLRHS,Italy,0
2017,ER_CBD_ABSCLRHS,Japan,1
2021,ER_CBD_ABSCLRHS,Japan,1
2022,ER_CBD_ABSCLRHS,Japan,1
2021,ER_CBD_ABSCLRHS,Казахстан,0
2022,ER_CBD_ABSCLRHS,Казахстан,0
2019,ER_CBD_ABSCLRHS,Republic of Korea,1
2021,ER_CBD_ABSCLRHS,Republic of Korea,1
2022,ER_CBD_ABSCLRHS,Republic of Korea,1
2021,ER_CBD_ABSCLRHS,Кыргызстан,0
2022,ER_CBD_ABSCLRHS,Кыргызстан,0
2020,ER_CBD_ABSCLRHS,Latvia,1
2021,ER_CBD_ABSCLRHS,Latvia,1
2022,ER_CBD_ABSCLRHS,Latvia,1
2021,ER_CBD_ABSCLRHS,Liechtenstein,0
2022,ER_CBD_ABSCLRHS,Liechtenstein,0
2021,ER_CBD_ABSCLRHS,Lithuania,0
2022,ER_CBD_ABSCLRHS,Lithuania,0
2021,ER_CBD_ABSCLRHS,Luxembourg,0
2022,ER_CBD_ABSCLRHS,Luxembourg,0
2017,ER_CBD_ABSCLRHS,Malta,1
2021,ER_CBD_ABSCLRHS,Malta,1
2022,ER_CBD_ABSCLRHS,Malta,1
2017,ER_CBD_ABSCLRHS,Mexico,1
2021,ER_CBD_ABSCLRHS,Mexico,1
2022,ER_CBD_ABSCLRHS,Mexico,1
2017,ER_CBD_ABSCLRHS,Republic of Moldova,1
2021,ER_CBD_ABSCLRHS,Republic of Moldova,1
2022,ER_CBD_ABSCLRHS,Republic of Moldova,1
2021,ER_CBD_ABSCLRHS,Montenegro,0
2022,ER_CBD_ABSCLRHS,Montenegro,0
2017,ER_CBD_ABSCLRHS,Netherlands (Kingdom of the),1
2021,ER_CBD_ABSCLRHS,Netherlands (Kingdom of the),1
2022,ER_CBD_ABSCLRHS,Netherlands (Kingdom of the),1
2021,ER_CBD_ABSCLRHS,New Zealand,0
2022,ER_CBD_ABSCLRHS,New Zealand,0
2016,ER_CBD_ABSCLRHS,Norway,1
2021,ER_CBD_ABSCLRHS,Norway,1
2022,ER_CBD_ABSCLRHS,Norway,1
2017,ER_CBD_ABSCLRHS,Poland,1
2021,ER_CBD_ABSCLRHS,Poland,1
2022,ER_CBD_ABSCLRHS,Poland,1
2017,ER_CBD_ABSCLRHS,Portugal,1
2021,ER_CBD_ABSCLRHS,Portugal,1
2022,ER_CBD_ABSCLRHS,Portugal,1
2021,ER_CBD_ABSCLRHS,Romania,0
2022,ER_CBD_ABSCLRHS,Romania,0
2019,ER_CBD_ABSCLRHS,Serbia,1
2021,ER_CBD_ABSCLRHS,Serbia,1
2022,ER_CBD_ABSCLRHS,Serbia,1
2016,ER_CBD_ABSCLRHS,Slovakia,1
2021,ER_CBD_ABSCLRHS,Slovakia,1
2022,ER_CBD_ABSCLRHS,Slovakia,1
2014,ER_CBD_ABSCLRHS,Viet Nam,1
2021,ER_CBD_ABSCLRHS,Viet Nam,1
2022,ER_CBD_ABSCLRHS,Viet Nam,1
2021,ER_CBD_ABSCLRHS,Slovenia,0
2022,ER_CBD_ABSCLRHS,Slovenia,0
2019,ER_CBD_ABSCLRHS,Spain,1
2021,ER_CBD_ABSCLRHS,Spain,1
2022,ER_CBD_ABSCLRHS,Spain,1
2016,ER_CBD_ABSCLRHS,Sweden,1
2021,ER_CBD_ABSCLRHS,Sweden,1
2022,ER_CBD_ABSCLRHS,Sweden,1
2016,ER_CBD_ABSCLRHS,Switzerland,1
2021,ER_CBD_ABSCLRHS,Switzerland,1
2022,ER_CBD_ABSCLRHS,Switzerland,1
2021,ER_CBD_ABSCLRHS,Таджикистан,0
2022,ER_CBD_ABSCLRHS,Таджикистан,0
2021,ER_CBD_ABSCLRHS,United Arab Emirates,0
2022,ER_CBD_ABSCLRHS,United Arab Emirates,0
2021,ER_CBD_ABSCLRHS,Türkiye,0
2022,ER_CBD_ABSCLRHS,Türkiye,0
2021,ER_CBD_ABSCLRHS,Туркменистан,0
2022,ER_CBD_ABSCLRHS,Туркменистан,0
2021,ER_CBD_ABSCLRHS,Ukraine,0
2022,ER_CBD_ABSCLRHS,Ukraine,0
2021,ER_CBD_ABSCLRHS,North Macedonia,0
2022,ER_CBD_ABSCLRHS,North Macedonia,0
2016,ER_CBD_ABSCLRHS,United Kingdom of Great Britain and Northern Ireland,1
2021,ER_CBD_ABSCLRHS,United Kingdom of Great Britain and Northern Ireland,1
2022,ER_CBD_ABSCLRHS,United Kingdom of Great Britain and Northern Ireland,1
2021,ER_CBD_ABSCLRHS,Узбекистан,0
2022,ER_CBD_ABSCLRHS,Узбекистан,0
2022,ER_CBD_ABSCLRHS,Узбекистан,0
