Year,SeriesCode,Страна ,Age,Sex,Value
2012,VC_HTF_DETVOGR,Armenia,ALLAGE,BOTHSEX,0.20587
2010,VC_HTF_DETVOGR,Bulgaria,ALLAGE,BOTHSEX,0.07903
2019,VC_HTF_DETVOGR,Bulgaria,ALLAGE,BOTHSEX,0.11343
2020,VC_HTF_DETVOGR,Bulgaria,ALLAGE,BOTHSEX,0.07164
2020,VC_HTF_DETVOGR,Bulgaria,18+,BOTHSEX,0.08605
2021,VC_HTF_DETVOGR,Bulgaria,ALLAGE,BOTHSEX,0.11618
2018,VC_HTF_DETVOGR,China,ALLAGE,BOTHSEX,0.00056
2013,VC_HTF_DETVOGR,Costa Rica,ALLAGE,BOTHSEX,0.27131
2019,VC_HTF_DETVOGR,Denmark,ALLAGE,BOTHSEX,0.29331
2018,VC_HTF_DETVOGR,Hungary,ALLAGE,BOTHSEX,0.05114
2018,VC_HTF_DETVOGR,India,ALLAGE,BOTHSEX,0.00044
2009,VC_HTF_DETVOGR,Republic of Moldova,ALLAGE,BOTHSEX,0.13335
2015,VC_HTF_DETVOGR,Republic of Moldova,18+,MALE,0.5002
2015,VC_HTF_DETVOGR,Republic of Moldova,ALLAGE,BOTHSEX,0.18307
2017,VC_HTF_DETVOGR,Republic of Moldova,ALLAGE,BOTHSEX,0.15721
2012,VC_HTF_DETVOGR,Таджикистан,ALLAGE,BOTHSEX,0.11312
2013,VC_HTF_DETVOGR,Таджикистан,ALLAGE,BOTHSEX,0.1229
2014,VC_HTF_DETVOGR,Таджикистан,ALLAGE,BOTHSEX,0.09608
2008,VC_HTF_DETVOGR,Ukraine,ALLAGE,BOTHSEX,0.0152
2011,VC_HTF_DETVOGR,Ukraine,ALLAGE,BOTHSEX,0.05493
2016,VC_HTF_DETVOGR,Ukraine,ALLAGE,BOTHSEX,0.01115
2020,VC_HTF_DETVOGR,Ukraine,ALLAGE,BOTHSEX,0.05694
2020,VC_HTF_DETVOGR,United Kingdom of Great Britain and Northern Ireland,ALLAGE,BOTHSEX,0.00746
