Year,SeriesCode,Страна ,Age,Sex,Value
2005,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,0.16
2006,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,0.2
2015,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,1.67
2016,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,0.62
2017,VC_HTF_DETVOPR,Albania,<18Y,FEMALE,3.27
2017,VC_HTF_DETVOPR,Albania,<18Y,MALE,1.55
2017,VC_HTF_DETVOPR,Albania,<18Y,BOTHSEX,1.43
2017,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,1.88
2018,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,2.82
2018,VC_HTF_DETVOPR,Albania,<18Y,FEMALE,3.35
2018,VC_HTF_DETVOPR,Albania,<18Y,MALE,5.72
2018,VC_HTF_DETVOPR,Albania,<18Y,BOTHSEX,4.24
2019,VC_HTF_DETVOPR,Albania,<18Y,FEMALE,3.42
2019,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,1.43
2019,VC_HTF_DETVOPR,Albania,<18Y,MALE,1.95
2019,VC_HTF_DETVOPR,Albania,<18Y,BOTHSEX,1.67
2020,VC_HTF_DETVOPR,Albania,<18Y,BOTHSEX,1.36
2020,VC_HTF_DETVOPR,Albania,<18Y,MALE,1.67
2006,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,1.85
2007,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,0.46
2009,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,0.27
2012,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,0.4
2013,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,0.7
2014,VC_HTF_DETVOPR,Republic of Moldova,18+,FEMALE,1.57
2014,VC_HTF_DETVOPR,Republic of Moldova,18+,MALE,2.53
2014,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,1.71
2015,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,0.55
2015,VC_HTF_DETVOPR,Republic of Moldova,18+,MALE,1.33
2015,VC_HTF_DETVOPR,Republic of Moldova,18+,FEMALE,0.95
2020,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,1.36
2021,VC_HTF_DETVOPR,Albania,ALLAGE,BOTHSEX,2.94
2016,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,1.71
2016,VC_HTF_DETVOPR,Republic of Moldova,18+,FEMALE,2.53
2016,VC_HTF_DETVOPR,Republic of Moldova,18+,MALE,1.19
2017,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,0.69
2017,VC_HTF_DETVOPR,Republic of Moldova,<18Y,MALE,1.68
2018,VC_HTF_DETVOPR,Republic of Moldova,18+,MALE,0.88
2018,VC_HTF_DETVOPR,Republic of Moldova,ALLAGE,BOTHSEX,0.48
2009,VC_HTF_DETVOPR,Australia,ALLAGE,BOTHSEX,0.06
2015,VC_HTF_DETVOPR,Australia,ALLAGE,BOTHSEX,0.03
2016,VC_HTF_DETVOPR,Australia,ALLAGE,BOTHSEX,0.1
2017,VC_HTF_DETVOPR,Australia,18+,BOTHSEX,0.11
2017,VC_HTF_DETVOPR,Australia,<18Y,MALE,0.6
2017,VC_HTF_DETVOPR,Australia,18+,FEMALE,0.07
2017,VC_HTF_DETVOPR,Australia,<18Y,BOTHSEX,0.31
