Year,SeriesCode,Страна ,Age,Disability status,Location,Population Group,Quantile,Sex,Value
2022,SP_PSR_OSATIS_PRM,Belarus,ALLAGE,_T,RURAL,TOTAL,,BOTHSEX,92
2022,SP_PSR_OSATIS_PRM,Belarus,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,93
2022,SP_PSR_OSATIS_PRM,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,93
2022,SP_PSR_OSATIS_PRM,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,MALE,92
2022,SP_PSR_OSATIS_PRM,Belarus,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,93
2022,SP_PSR_OSATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,MALE,81
2022,SP_PSR_OSATIS_PRM,Israel,ALLAGE,_T,ALLAREA,POP_A,,BOTHSEX,68
2022,SP_PSR_OSATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,79
2022,SP_PSR_OSATIS_PRM,Israel,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,80
2022,SP_PSR_OSATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,BOTHSEX,72
2022,SP_PSR_OSATIS_PRM,Mexico,55-64,_T,ALLAREA,TOTAL,,BOTHSEX,74
2022,SP_PSR_OSATIS_PRM,Mexico,25-34,_T,ALLAREA,TOTAL,,BOTHSEX,71
2022,SP_PSR_OSATIS_PRM,Mexico,<25Y,_T,ALLAREA,TOTAL,,BOTHSEX,74
2022,SP_PSR_OSATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,FEMALE,72
2022,SP_PSR_OSATIS_PRM,Mexico,ALLAGE,_T,URBAN,TOTAL,,BOTHSEX,72
2022,SP_PSR_OSATIS_PRM,Mexico,65+,_T,ALLAREA,TOTAL,,BOTHSEX,67
2022,SP_PSR_OSATIS_PRM,Mexico,35-44,_T,ALLAREA,TOTAL,,BOTHSEX,71
2022,SP_PSR_OSATIS_PRM,Mexico,45-54,_T,ALLAREA,TOTAL,,BOTHSEX,72
2022,SP_PSR_OSATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,MALE,72
2022,SP_PSR_OSATIS_PRM,Mexico,ALLAGE,_T,ALLAREA,TOTAL,,MALE,72
