Year,SeriesCode,Страна ,Age,Disability status,Location,Population Group,Service Attribute,Sex,Value
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,ACCESS,MALE,97
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,AFFORD,MALE,88
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,QUALITY,MALE,93
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,EQUALITY,MALE,85
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,ATTITUDE,MALE,84
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,AVERAGE,MALE,89
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,ACCESS,FEMALE,96
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,URBAN,TOTAL,AFFORD,BOTHSEX,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,URBAN,TOTAL,QUALITY,BOTHSEX,90
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,URBAN,TOTAL,EQUALITY,BOTHSEX,84
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,URBAN,TOTAL,ATTITUDE,BOTHSEX,85
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,AFFORD,BOTHSEX,87
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,URBAN,TOTAL,AVERAGE,BOTHSEX,88
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,RURAL,TOTAL,QUALITY,BOTHSEX,98
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,QUALITY,BOTHSEX,92
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,EQUALITY,BOTHSEX,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,ATTITUDE,BOTHSEX,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,AVERAGE,BOTHSEX,89
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,AFFORD,FEMALE,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,ACCESS,BOTHSEX,96
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,QUALITY,FEMALE,92
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,EQUALITY,FEMALE,86
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,ATTITUDE,FEMALE,88
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,ALLAREA,TOTAL,AVERAGE,FEMALE,90
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,RURAL,TOTAL,ACCESS,BOTHSEX,98
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,URBAN,TOTAL,ACCESS,BOTHSEX,96
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,RURAL,TOTAL,EQUALITY,BOTHSEX,90
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,RURAL,TOTAL,ATTITUDE,BOTHSEX,88
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,RURAL,TOTAL,AVERAGE,BOTHSEX,93
2022,SP_PSR_SATIS_SEC,Belarus,ALLAGE,_T,RURAL,TOTAL,AFFORD,BOTHSEX,91
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,ACCESS,FEMALE,74
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,QUALITY,BOTHSEX,73
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,ATTITUDE,BOTHSEX,75
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,ACCESS,MALE,73
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,QUALITY,MALE,74
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,ATTITUDE,MALE,74
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,ACCESS,BOTHSEX,73
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,QUALITY,FEMALE,72
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,POP_A,ATTITUDE,BOTHSEX,67
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,TOTAL,ATTITUDE,FEMALE,76
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,POP_A,QUALITY,BOTHSEX,70
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,POP_A,ACCESS,BOTHSEX,65
2022,SP_PSR_SATIS_SEC,Israel,ALLAGE,_T,ALLAREA,POP_A,ACCESS,BOTHSEX,65
