Year,SeriesCode,Страна ,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,SG_DMK_JDC,Austria,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.52
2021,SG_DMK_JDC,Austria,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.25
2021,SG_DMK_JDC,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.1
2021,SG_DMK_JDC,Austria,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.76
2022,SG_DMK_JDC,Austria,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.28
2022,SG_DMK_JDC,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.13
2022,SG_DMK_JDC,Austria,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.76
2022,SG_DMK_JDC,Austria,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.53
2021,SG_DMK_JDC,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.27
2021,SG_DMK_JDC,Bosnia and Herzegovina,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.49
2022,SG_DMK_JDC,Belarus,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.73
2022,SG_DMK_JDC,Belarus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.16
2020,SG_DMK_JDC,Croatia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.99
2020,SG_DMK_JDC,Croatia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.35
2020,SG_DMK_JDC,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.73
2020,SG_DMK_JDC,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.42
2021,SG_DMK_JDC,Croatia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,0.97
2021,SG_DMK_JDC,Croatia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.36
2021,SG_DMK_JDC,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.43
2021,SG_DMK_JDC,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.73
2020,SG_DMK_JDC,Cyprus,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.66
2020,SG_DMK_JDC,Cyprus,<45Y,_T,TOTAL,BOTHSEX,JUDGES,1.25
2020,SG_DMK_JDC,Cyprus,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.48
2020,SG_DMK_JDC,Cyprus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.05
