Year,SeriesCode,Страна ,Age,Parliamentary committees,Sex,Value
2021,SG_DMK_PARLCC_UC,Spain,46+,GEN_EQU,FEMALE,1
2021,SG_DMK_PARLCC_UC,Spain,46+,FOR_AFF,MALE,1
2021,SG_DMK_PARLCC_UC,Spain,<=45Y,HUM_RIGH,MALE,1
2021,SG_DMK_PARLCC_UC,Spain,46+,HUM_RIGH,FEMALE,2
2021,SG_DMK_PARLCC_UC,Spain,46+,FINANCE,MALE,1
2021,SG_DMK_PARLCC_UC,Spain,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_UC,Spain,<=45Y,HUM_RIGH,FEMALE,1
2022,SG_DMK_PARLCC_UC,Spain,46+,HUM_RIGH,FEMALE,2
2022,SG_DMK_PARLCC_UC,Spain,46+,FOR_AFF,MALE,1
2022,SG_DMK_PARLCC_UC,Spain,46+,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_UC,Spain,46+,FINANCE,MALE,1
2022,SG_DMK_PARLCC_UC,Spain,<=45Y,HUM_RIGH,MALE,1
2022,SG_DMK_PARLCC_UC,Spain,46+,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_UC,Spain,<=45Y,HUM_RIGH,FEMALE,1
2023,SG_DMK_PARLCC_UC,Spain,46+,FOR_AFF,MALE,1
2023,SG_DMK_PARLCC_UC,Spain,46+,FINANCE,MALE,1
2023,SG_DMK_PARLCC_UC,Spain,46+,DEFENCE,MALE,1
2023,SG_DMK_PARLCC_UC,Spain,46+,HUM_RIGH,FEMALE,2
2021,SG_DMK_PARLCC_UC,Australia,46+,FINANCE,FEMALE,1
2021,SG_DMK_PARLCC_UC,Australia,_X,GEN_EQU,_X,0
2022,SG_DMK_PARLCC_UC,Australia,46+,FINANCE,FEMALE,1
2022,SG_DMK_PARLCC_UC,Australia,_X,GEN_EQU,_X,0
2023,SG_DMK_PARLCC_UC,Australia,_X,GEN_EQU,_X,0
2023,SG_DMK_PARLCC_UC,Australia,<=45Y,FAFF_DEF,FEMALE,1
2023,SG_DMK_PARLCC_UC,Australia,<=45Y,FAFF_DEF,MALE,1
2023,SG_DMK_PARLCC_UC,Australia,46+,FINANCE,FEMALE,1
2023,SG_DMK_PARLCC_UC,Spain,46+,HUM_RIGH,MALE,1
2023,SG_DMK_PARLCC_UC,Spain,<=45Y,HUM_RIGH,FEMALE,1
2023,SG_DMK_PARLCC_UC,Spain,46+,GEN_EQU,FEMALE,1
2021,SG_DMK_PARLCC_UC,Switzerland,46+,FINANCE,MALE,1
2021,SG_DMK_PARLCC_UC,Switzerland,46+,HUM_RIGH,MALE,1
2021,SG_DMK_PARLCC_UC,Switzerland,<=45Y,HUM_RIGH,MALE,1
2021,SG_DMK_PARLCC_UC,Switzerland,46+,GEN_EQU,MALE,1
2021,SG_DMK_PARLCC_UC,Switzerland,<=45Y,FOR_AFF,MALE,1
2021,SG_DMK_PARLCC_UC,Switzerland,46+,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_UC,Switzerland,46+,HUM_RIGH,MALE,1
2022,SG_DMK_PARLCC_UC,Switzerland,<=45Y,HUM_RIGH,MALE,1
2022,SG_DMK_PARLCC_UC,Switzerland,46+,GEN_EQU,MALE,1
2022,SG_DMK_PARLCC_UC,Switzerland,46+,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_UC,Switzerland,<=45Y,FINANCE,FEMALE,1
2022,SG_DMK_PARLCC_UC,Switzerland,46+,FOR_AFF,MALE,1
2023,SG_DMK_PARLCC_UC,Switzerland,46+,FOR_AFF,MALE,1
2023,SG_DMK_PARLCC_UC,Switzerland,46+,GEN_EQU,MALE,1
2023,SG_DMK_PARLCC_UC,Australia,46+,FINANCE,MALE,1
2021,SG_DMK_PARLCC_UC,Austria,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_UC,Austria,46+,GEN_EQU,FEMALE,1
2021,SG_DMK_PARLCC_UC,Austria,_X,HUM_RIGH,_X,0
2021,SG_DMK_PARLCC_UC,Austria,46+,FINANCE,MALE,1
2021,SG_DMK_PARLCC_UC,Austria,46+,FOR_AFF,MALE,1
2022,SG_DMK_PARLCC_UC,Austria,_X,DEFENCE,_X,1
2022,SG_DMK_PARLCC_UC,Austria,46+,GEN_EQU,FEMALE,1
2023,SG_DMK_PARLCC_UC,Switzerland,46+,DEFENCE,MALE,1
2023,SG_DMK_PARLCC_UC,Switzerland,46+,HUM_RIGH,MALE,1
2023,SG_DMK_PARLCC_UC,Switzerland,<=45Y,HUM_RIGH,MALE,1
2023,SG_DMK_PARLCC_UC,Switzerland,<=45Y,FINANCE,FEMALE,1
2022,SG_DMK_PARLCC_UC,Туркменистан,_X,FOR_AFF,_X,0
2022,SG_DMK_PARLCC_UC,Туркменистан,_X,FINANCE,_X,0
2022,SG_DMK_PARLCC_UC,Туркменистан,_X,HUM_RIGH,_X,0
2022,SG_DMK_PARLCC_UC,Туркменистан,_X,GEN_EQU,_X,0
2022,SG_DMK_PARLCC_UC,Austria,46+,FOR_AFF,MALE,1
2022,SG_DMK_PARLCC_UC,Austria,46+,FINANCE,MALE,1
2022,SG_DMK_PARLCC_UC,Austria,_X,HUM_RIGH,_X,0
2023,SG_DMK_PARLCC_UC,Austria,46+,GEN_EQU,FEMALE,1
2023,SG_DMK_PARLCC_UC,Austria,46+,FINANCE,MALE,1
2023,SG_DMK_PARLCC_UC,Austria,_X,DEFENCE,_X,1
2023,SG_DMK_PARLCC_UC,Austria,46+,FOR_AFF,MALE,1
2023,SG_DMK_PARLCC_UC,Austria,_X,HUM_RIGH,_X,0
2022,SG_DMK_PARLCC_UC,Туркменистан,_X,DEFENCE,_X,0
2021,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,46+,FINANCE,FEMALE,1
2021,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,_X,GEN_EQU,_X,0
2021,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,_X,DEFENCE,_X,0
2021,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,46+,FOR_AFF,FEMALE,1
2022,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,46+,FOR_AFF,FEMALE,1
2022,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,_X,DEFENCE,_X,0
2022,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,_X,GEN_EQU,_X,0
2021,SG_DMK_PARLCC_UC,Belgium,_X,DEFENCE,_X,0
2021,SG_DMK_PARLCC_UC,Belgium,46+,GEN_EQU,FEMALE,1
2021,SG_DMK_PARLCC_UC,Belgium,_X,HUM_RIGH,_X,0
2021,SG_DMK_PARLCC_UC,Belgium,_X,FOR_AFF,_X,0
2021,SG_DMK_PARLCC_UC,Belgium,_X,FINANCE,_X,0
2022,SG_DMK_PARLCC_UC,Belgium,_X,FOR_AFF,_X,0
2022,SG_DMK_PARLCC_UC,Belgium,_X,DEFENCE,_X,0
2022,SG_DMK_PARLCC_UC,Belgium,46+,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_UC,Belgium,_X,FINANCE,_X,0
2022,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,46+,FINANCE,FEMALE,1
2023,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,_X,GEN_EQU,_X,0
2023,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,46+,FOR_AFF,FEMALE,1
2023,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,46+,FINANCE,FEMALE,1
2023,SG_DMK_PARLCC_UC,United Kingdom of Great Britain and Northern Ireland,_X,DEFENCE,_X,0
2021,SG_DMK_PARLCC_UC,Узбекистан,46+,FOR_AFF,MALE,1
2021,SG_DMK_PARLCC_UC,Узбекистан,46+,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_UC,Узбекистан,<=45Y,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_UC,Belgium,_X,HUM_RIGH,_X,0
2023,SG_DMK_PARLCC_UC,Belgium,_X,FINANCE,_X,0
2023,SG_DMK_PARLCC_UC,Belgium,_X,DEFENCE,_X,0
2023,SG_DMK_PARLCC_UC,Belgium,46+,GEN_EQU,FEMALE,1
2023,SG_DMK_PARLCC_UC,Belgium,_X,FOR_AFF,_X,0
2023,SG_DMK_PARLCC_UC,Belgium,_X,HUM_RIGH,_X,0
2021,SG_DMK_PARLCC_UC,Bosnia and Herzegovina,_U,DEFENCE,MALE,1
2021,SG_DMK_PARLCC_UC,Bosnia and Herzegovina,_X,FINANCE,_X,0
2021,SG_DMK_PARLCC_UC,Узбекистан,46+,FINANCE,MALE,1
2022,SG_DMK_PARLCC_UC,Узбекистан,46+,DEFENCE,MALE,1
2022,SG_DMK_PARLCC_UC,Узбекистан,46+,FINANCE,MALE,1
2022,SG_DMK_PARLCC_UC,Узбекистан,<=45Y,GEN_EQU,FEMALE,1
2022,SG_DMK_PARLCC_UC,Узбекистан,46+,FOR_AFF,MALE,1
