Year,SeriesCode,Страна ,Age,Disability status,Education level,Location,Population Group,Quantile,Sex,Value
2022,IU_DMK_RESP,Colombia,35-44,_T,_T,ALLAREA,TOTAL,,BOTHSEX,20.0
2022,IU_DMK_RESP,Colombia,ALLAGE,_T,_T,ALLAREA,POP_C,,BOTHSEX,20.6
2022,IU_DMK_RESP,Colombia,25-34,_T,_T,ALLAREA,TOTAL,,BOTHSEX,18.7
2022,IU_DMK_RESP,Colombia,ALLAGE,_T,_T,ALLAREA,TOTAL,,FEMALE,20.1
2022,IU_DMK_RESP,Colombia,65+,_T,_T,ALLAREA,TOTAL,,BOTHSEX,24.0
2022,IU_DMK_RESP,Colombia,45-54,_T,_T,ALLAREA,TOTAL,,BOTHSEX,21.0
2022,IU_DMK_RESP,Colombia,ALLAGE,_T,_T,ALLAREA,TOTAL,,BOTHSEX,20.6
2022,IU_DMK_RESP,Colombia,<25Y,_T,_T,ALLAREA,TOTAL,,BOTHSEX,18.8
2022,IU_DMK_RESP,Colombia,55-64,_T,_T,ALLAREA,TOTAL,,BOTHSEX,22.1
2022,IU_DMK_RESP,Colombia,ALLAGE,_T,_T,ALLAREA,POP_B,,BOTHSEX,19.8
2022,IU_DMK_RESP,Colombia,ALLAGE,_T,_T,ALLAREA,TOTAL,,MALE,21.0
2022,IU_DMK_RESP,Colombia,ALLAGE,_T,_T,ALLAREA,POP_A,,BOTHSEX,20.9
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,_T,_T,RURAL,TOTAL,,BOTHSEX,18.7
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,_T,_T,ALLAREA,TOTAL,,MALE,21.1
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,_T,_T,ALLAREA,TOTAL,,FEMALE,19.6
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,_T,_T,URBAN,TOTAL,,BOTHSEX,23.1
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,_T,_T,ALLAREA,TOTAL,,BOTHSEX,20.9
2022,IU_DMK_RESP,Republic of Korea,ALLAGE,_T,_T,ALLAREA,TOTAL,,BOTHSEX,20.9
