Year,SeriesCode,Страна ,Value
2013,TX_IMP_GBSVR,Italy,2.3548
2014,TX_IMP_GBSVR,Italy,2.27964
2015,TX_IMP_GBSVR,Italy,2.10275
2016,TX_IMP_GBSVR,Italy,2.13866
2017,TX_IMP_GBSVR,Italy,2.18198
2018,TX_IMP_GBSVR,Italy,2.18026
2019,TX_IMP_GBSVR,Italy,2.04287
2020,TX_IMP_GBSVR,Italy,1.91294
2021,TX_IMP_GBSVR,Italy,2.01828
2005,TX_IMP_GBSVR,Japan,5.29306
2006,TX_IMP_GBSVR,Japan,4.77358
2007,TX_IMP_GBSVR,Japan,4.53019
2008,TX_IMP_GBSVR,Japan,4.51299
2009,TX_IMP_GBSVR,Japan,4.36988
2010,TX_IMP_GBSVR,Japan,4.24719
2011,TX_IMP_GBSVR,Japan,4.05646
2012,TX_IMP_GBSVR,Japan,4.12188
2013,TX_IMP_GBSVR,Japan,3.6125
2014,TX_IMP_GBSVR,Japan,3.73546
2015,TX_IMP_GBSVR,Japan,3.64323
2016,TX_IMP_GBSVR,Japan,3.77638
2017,TX_IMP_GBSVR,Japan,3.61574
2018,TX_IMP_GBSVR,Japan,3.4947
2019,TX_IMP_GBSVR,Japan,3.63734
2020,TX_IMP_GBSVR,Japan,4.01412
2021,TX_IMP_GBSVR,Japan,3.68701
2005,TX_IMP_GBSVR,Казахстан,0.28635
2006,TX_IMP_GBSVR,Казахстан,0.29744
2007,TX_IMP_GBSVR,Казахстан,0.33912
2008,TX_IMP_GBSVR,Казахстан,0.28306
2009,TX_IMP_GBSVR,Казахстан,0.28289
2010,TX_IMP_GBSVR,Казахстан,0.29316
2011,TX_IMP_GBSVR,Казахстан,0.25339
2012,TX_IMP_GBSVR,Казахстан,0.32012
2013,TX_IMP_GBSVR,Казахстан,0.29775
2014,TX_IMP_GBSVR,Казахстан,0.26879
2015,TX_IMP_GBSVR,Казахстан,0.22232
2016,TX_IMP_GBSVR,Казахстан,0.19973
2017,TX_IMP_GBSVR,Казахстан,0.18886
2018,TX_IMP_GBSVR,Казахстан,0.20588
2019,TX_IMP_GBSVR,Казахстан,0.18928
2020,TX_IMP_GBSVR,Казахстан,0.16631
2021,TX_IMP_GBSVR,Казахстан,0.13629
2005,TX_IMP_GBSVR,Republic of Korea,2.27897
2006,TX_IMP_GBSVR,Republic of Korea,2.36478
2007,TX_IMP_GBSVR,Republic of Korea,2.41319
2008,TX_IMP_GBSVR,Republic of Korea,2.45636
2009,TX_IMP_GBSVR,Republic of Korea,2.29752
2010,TX_IMP_GBSVR,Republic of Korea,2.4993
2011,TX_IMP_GBSVR,Republic of Korea,2.36969
2012,TX_IMP_GBSVR,Republic of Korea,2.41445
2013,TX_IMP_GBSVR,Republic of Korea,2.31826
2014,TX_IMP_GBSVR,Republic of Korea,2.2362
2015,TX_IMP_GBSVR,Republic of Korea,2.28737
2016,TX_IMP_GBSVR,Republic of Korea,2.27471
2017,TX_IMP_GBSVR,Republic of Korea,2.36824
2018,TX_IMP_GBSVR,Republic of Korea,2.28617
2019,TX_IMP_GBSVR,Republic of Korea,2.16629
2020,TX_IMP_GBSVR,Republic of Korea,2.16589
2021,TX_IMP_GBSVR,Republic of Korea,2.26053
2005,TX_IMP_GBSVR,Кыргызстан,0.01105
2006,TX_IMP_GBSVR,Кыргызстан,0.01552
2007,TX_IMP_GBSVR,Кыргызстан,0.01727
2008,TX_IMP_GBSVR,Кыргызстан,0.02296
2009,TX_IMP_GBSVR,Кыргызстан,0.02094
2010,TX_IMP_GBSVR,Кыргызстан,0.02066
2005,TX_IMP_GBSVR,Albania,0.05265
2006,TX_IMP_GBSVR,Albania,0.05311
2007,TX_IMP_GBSVR,Albania,0.05499
2008,TX_IMP_GBSVR,Albania,0.05984
2009,TX_IMP_GBSVR,Albania,0.06264
2010,TX_IMP_GBSVR,Albania,0.0517
2011,TX_IMP_GBSVR,Albania,0.05192
2012,TX_IMP_GBSVR,Albania,0.04174
2013,TX_IMP_GBSVR,Albania,0.04186
2014,TX_IMP_GBSVR,Albania,0.04016
2015,TX_IMP_GBSVR,Albania,0.03401
2011,TX_IMP_GBSVR,Кыргызстан,0.02226
2012,TX_IMP_GBSVR,Кыргызстан,0.02953
2013,TX_IMP_GBSVR,Кыргызстан,0.02345
2014,TX_IMP_GBSVR,Кыргызстан,0.0242
2015,TX_IMP_GBSVR,Кыргызстан,0.02154
2016,TX_IMP_GBSVR,Кыргызстан,0.02119
2017,TX_IMP_GBSVR,Кыргызстан,0.01715
2018,TX_IMP_GBSVR,Кыргызстан,0.01655
